,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,003028.SZ,20210901,46.98,47.56,45.9,47.2,46.56,0.64,1.3746,21658.98,101426.47
1,003028.SZ,20210831,47.41,48.18,46.5,46.56,47.52,-0.96,-2.0202,21921.67,103359.364
2,003028.SZ,20210830,46.84,47.77,45.9,47.52,46.46,1.06,2.2815,30183.56,141971.848
3,003028.SZ,20210827,43.84,46.56,43.8,46.46,44.2,2.26,5.1131,28634.15,130857.6
4,003028.SZ,20210826,44.64,45.48,44.01,44.2,43.91,0.29,0.6604,28829.89,128805.437
5,003028.SZ,20210825,43.9,43.98,43.18,43.91,43.85,0.06,0.1368,8435.08,36763.745
6,003028.SZ,20210824,43.94,44.15,43.49,43.85,43.78,0.07,0.1599,13133.0,57528.151
7,003028.SZ,20210823,41.4,43.88,41.4,43.78,41.3,2.48,6.0048,20320.24,87732.364
8,003028.SZ,20210820,41.67,41.82,40.8,41.3,41.69,-0.39,-0.9355,6080.82,25116.073
9,003028.SZ,20210819,41.69,42.15,41.36,41.69,41.72,-0.03,-0.0719,6201.06,25862.227
10,003028.SZ,20210818,42.4,42.4,41.22,41.72,42.65,-0.93,-2.1805,12191.4,50807.466
11,003028.SZ,20210817,43.5,44.2,42.6,42.65,43.56,-0.91,-2.0891,12986.73,56179.844
12,003028.SZ,20210816,42.88,43.71,42.35,43.56,43.02,0.54,1.2552,10695.0,46146.072
13,003028.SZ,20210813,43.25,43.83,42.69,43.02,43.25,-0.23,-0.5318,9554.52,41213.471
14,003028.SZ,20210812,43.2,44.27,43.08,43.25,43.21,0.04,0.0926,11785.32,51460.285
15,003028.SZ,20210811,43.9,43.9,43.12,43.21,43.68,-0.47,-1.076,9901.0,42991.473
16,003028.SZ,20210810,43.0,43.93,43.0,43.68,43.31,0.37,0.8543,11383.0,49580.054
17,003028.SZ,20210809,42.04,43.59,41.92,43.31,42.4,0.91,2.1462,11327.86,48766.067
18,003028.SZ,20210806,42.42,42.77,41.52,42.4,42.42,-0.02,-0.0471,9446.62,39692.613
19,003028.SZ,20210805,43.44,43.44,42.02,42.42,43.54,-1.12,-2.5723,12071.32,51209.673
20,003028.SZ,20210804,43.38,43.97,43.21,43.54,43.17,0.37,0.8571,9986.1,43550.204
21,003028.SZ,20210803,43.7,44.25,42.93,43.17,43.87,-0.7,-1.5956,12876.12,55961.139
22,003028.SZ,20210802,42.25,44.19,42.25,43.87,42.26,1.61,3.8097,15730.26,68542.333
23,003028.SZ,20210730,42.3,42.89,41.8,42.26,42.4,-0.14,-0.3302,11553.08,48970.469
24,003028.SZ,20210729,41.19,43.1,41.19,42.4,41.09,1.31,3.1881,13293.64,56242.733
25,003028.SZ,20210728,40.3,41.3,38.8,41.09,40.87,0.22,0.5383,17625.26,70340.659
26,003028.SZ,20210727,41.8,42.87,40.85,40.87,42.0,-1.13,-2.6905,14731.22,61851.908
27,003028.SZ,20210726,43.04,43.26,41.9,42.0,43.06,-1.06,-2.4617,14055.78,59689.236
28,003028.SZ,20210723,43.96,43.96,42.89,43.06,43.96,-0.9,-2.0473,16411.46,70928.077
29,003028.SZ,20210722,43.03,44.23,42.78,43.96,42.67,1.29,3.0232,23569.03,102969.457
30,003028.SZ,20210721,41.43,42.77,41.39,42.67,41.42,1.25,3.0179,17106.66,72221.054
31,003028.SZ,20210720,40.81,41.56,40.76,41.42,41.21,0.21,0.5096,8315.64,34259.211
32,003028.SZ,20210719,41.0,41.47,40.61,41.21,41.3,-0.09,-0.2179,10139.56,41602.242
33,003028.SZ,20210716,42.09,42.36,41.13,41.3,42.05,-0.75,-1.7836,15790.66,65435.744
34,003028.SZ,20210715,42.43,43.12,41.85,42.05,42.43,-0.38,-0.8956,14008.62,59161.411
35,003028.SZ,20210714,43.0,43.35,42.11,42.43,43.29,-0.86,-1.9866,14585.12,61979.945
36,003028.SZ,20210713,43.1,43.56,42.52,43.29,43.06,0.23,0.5341,19976.69,86049.177
37,003028.SZ,20210712,42.15,43.49,41.88,43.06,42.03,1.03,2.4506,20240.26,86749.796
38,003028.SZ,20210709,43.13,43.16,41.58,42.03,42.99,-0.96,-2.2331,23688.16,99458.252
39,003028.SZ,20210708,44.55,44.55,42.73,42.99,43.89,-0.9,-2.0506,24807.0,107286.156
40,003028.SZ,20210707,44.3,44.3,43.02,43.89,45.11,-1.22,-2.7045,36861.0,160735.743
41,003028.SZ,20210706,47.74,47.8,45.11,45.11,50.12,-5.01,-9.996,34108.0,155405.485
42,003028.SZ,20210705,49.22,50.78,49.08,50.12,48.96,1.16,2.3693,14621.26,73212.308
43,003028.SZ,20210702,49.6,49.92,47.81,48.96,50.11,-1.15,-2.295,19651.35,95734.786
44,003028.SZ,20210701,51.4,51.93,49.73,50.11,51.6,-1.49,-2.8876,22193.12,112483.782
45,003028.SZ,20210630,53.15,53.58,51.25,51.6,53.23,-1.63,-3.0622,20983.16,109628.22
46,003028.SZ,20210629,53.25,54.44,52.88,53.23,53.07,0.16,0.3015,17573.88,94009.234
47,003028.SZ,20210628,52.15,53.77,51.11,53.07,52.1,0.97,1.8618,16929.56,89801.97
48,003028.SZ,20210625,53.29,53.5,51.81,52.1,53.29,-1.19,-2.2331,13750.4,72033.236
49,003028.SZ,20210624,52.1,54.13,51.31,53.29,52.45,0.84,1.6015,18986.64,100183.18
50,003028.SZ,20210623,50.46,54.77,50.0,52.45,50.71,1.74,3.4313,32087.32,168539.53
51,003028.SZ,20210622,52.15,52.53,48.37,50.71,51.74,-1.03,-1.9907,33991.12,169749.53
52,003028.SZ,20210621,52.11,54.44,51.33,51.74,52.0,-0.26,-0.5,23575.79,124224.148
53,003028.SZ,20210618,51.73,52.19,49.68,52.0,51.32,0.68,1.325,19428.97,99485.927
54,003028.SZ,20210617,47.59,52.57,47.55,51.32,48.19,3.13,6.4951,40843.72,207103.192
55,003028.SZ,20210616,49.01,49.69,47.8,48.19,48.5,-0.31,-0.6392,23516.08,114699.875
56,003028.SZ,20210615,50.0,50.0,48.31,48.5,51.58,-3.08,-5.9713,34928.94,170572.829
57,003028.SZ,20210611,58.91,59.11,51.58,51.58,57.31,-5.73,-9.9983,46021.32,249619.627
58,003028.SZ,20210610,59.02,61.7,56.45,57.31,57.64,-0.33,-0.5725,54792.41,321326.484
59,003028.SZ,20210609,52.41,57.64,51.51,57.64,52.4,5.24,10.0,27238.05,151048.896
60,003028.SZ,20210608,52.85,53.08,51.57,52.4,53.1,-0.7,-1.3183,14379.32,75124.406
61,003028.SZ,20210607,52.36,55.8,51.8,53.1,51.91,1.19,2.2924,22547.67,121149.936
62,003028.SZ,20210604,52.58,52.85,51.12,51.91,51.61,0.3,0.5813,16215.04,84395.319
63,003028.SZ,20210603,54.88,56.49,51.4,51.61,54.5,-2.89,-5.3028,32152.74,170743.774
64,003028.SZ,20210602,55.99,57.25,54.18,54.5,54.98,-0.48,-0.873,21756.04,121402.049
65,003028.SZ,20210601,55.93,55.93,53.6,54.98,56.06,-1.08,-1.9265,18147.88,99576.133
66,003028.SZ,20210531,55.96,57.19,54.75,56.06,55.5,0.56,1.009,16599.16,93221.111
67,003028.SZ,20210528,52.81,56.5,52.81,55.5,52.81,2.69,5.0937,25474.88,140340.351
68,003028.SZ,20210527,53.9,55.22,51.72,52.81,53.49,-0.68,-1.2713,27143.78,143850.428
69,003028.SZ,20210526,53.42,54.6,53.14,53.79,54.0,-0.21,-0.3889,15615.08,84054.59
70,003028.SZ,20210525,52.23,54.78,51.93,54.0,51.91,2.09,4.0262,24585.36,132314.998
71,003028.SZ,20210524,53.0,54.0,51.61,51.91,53.55,-1.64,-3.0626,23678.12,124727.299
