,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688139.SH,20200630,56.0,56.98,55.4,56.06,56.05,0.01,0.0178,32641.91,183423.94
1,688139.SH,20200629,53.4,56.41,53.21,56.05,53.41,2.64,4.9429,36713.11,202566.399
2,688139.SH,20200624,54.5,56.88,53.4,53.41,54.98,-1.57,-2.8556,45367.43,247366.661
3,688139.SH,20200623,51.48,55.65,51.12,54.98,51.89,3.09,5.9549,52636.17,283934.736
4,688139.SH,20200622,50.85,52.48,49.76,51.89,50.71,1.18,2.327,41546.32,210848.537
5,688139.SH,20200619,49.86,51.26,49.02,50.71,50.15,0.56,1.1167,41337.58,207456.378
6,688139.SH,20200618,49.5,51.44,48.0,50.15,50.25,-0.1,-0.199,63321.85,312545.631
7,688139.SH,20200617,46.99,53.79,46.99,50.25,46.05,4.2,9.1205,95969.84,483830.207
8,688139.SH,20200616,45.08,46.87,44.7,46.05,45.08,0.97,2.1517,42467.38,193853.091
9,688139.SH,20200615,43.79,45.99,43.3,45.08,43.15,1.93,4.4728,47615.05,213114.698
10,688139.SH,20200612,41.41,43.56,41.41,43.15,42.85,0.3,0.7001,25901.08,110697.325
11,688139.SH,20200611,43.61,44.28,42.2,42.85,43.98,-1.13,-2.5693,25846.04,111612.789
12,688139.SH,20200610,42.55,44.28,42.45,43.98,42.87,1.11,2.5892,25105.64,109252.452
13,688139.SH,20200609,42.51,42.98,41.77,42.87,42.79,0.08,0.187,35020.23,148639.733
14,688139.SH,20200608,44.44,44.88,42.56,42.79,44.12,-1.33,-3.0145,34809.23,150346.247
15,688139.SH,20200605,44.76,45.6,43.65,44.12,44.77,-0.65,-1.4519,26925.44,119977.522
16,688139.SH,20200604,44.51,45.76,43.88,44.77,44.6,0.17,0.3812,31737.4,142359.301
17,688139.SH,20200603,43.31,45.86,42.96,44.6,43.6,1.0,2.2936,51205.69,229142.773
18,688139.SH,20200602,43.0,44.5,41.85,43.6,43.21,0.39,0.9026,44245.63,189817.699
19,688139.SH,20200601,42.3,44.95,42.3,43.21,42.19,1.02,2.4176,43247.07,189255.726
