Date,Open,High,Low,Close,AdjustedClose,Volume
2018-08-15,11.84,11.84,11.74,11.74,11.74,27407
2018-08-16,11.78,11.8,11.7394,11.74,11.74,428440
2018-08-17,11.8,11.82,11.77,11.82,11.82,52373
2018-08-20,11.88,11.91,11.8501,11.9,11.9,28728
2018-08-21,11.92,11.95,11.889,11.93,11.93,30625
2018-08-22,11.98,11.98,11.9429,11.96,11.96,101246
2018-08-23,11.91,11.92,11.85,11.85,11.85,54867
2018-08-24,11.97,12.08,11.96,12.05,12.05,106508
2018-08-27,12.06,12.129,12.06,12.1,12.1,295140
2018-08-28,12.13,12.13,12.01,12.01,12.01,30423
2018-08-29,12.0562,12.06,12.03,12.0529,12.0529,31809
2018-08-30,12.03,12.03,11.97,12.0064,12.0064,804462
2018-08-31,12.04,12.05,11.99,12,12,39482
2018-09-04,11.91,11.94,11.9,11.92,11.92,6226
2018-09-05,11.98,11.98,11.9579,11.965,11.965,1032766
2018-09-06,12.07,12.07,11.98,11.9999,11.9999,22941
2018-09-07,11.97,11.98,11.9357,11.96,11.96,20543
2018-09-10,11.97,11.97,11.94,11.95,11.95,64347
2018-09-11,11.9,11.9579,11.8765,11.955,11.955,6761
2018-09-12,12.03,12.073,12.02,12.073,12.073,1606
2018-09-13,12.12,12.12,12.01,12.01,12.01,5857
2018-09-14,12.01,12.01,11.93,11.93,11.93,13650
2018-09-17,12.01,12.04,12,12.007,12.007,2214048
2018-09-18,12.03,12.03,11.98,11.98,11.98,998
2018-09-19,12.04,12.04,12.03,12.03,12.03,17370
2018-09-20,12.06,12.0693,12.04,12.06,12.06,8266
2018-09-21,12,12,11.9703,11.9885,11.9885,2971
2018-09-24,12.01,12.0299,12,12,12,31450
2018-09-25,12.0175,12.02,12.0065,12.0065,12.0065,551627
2018-09-26,11.96,11.99,11.91,11.95,11.95,166541
2018-09-27,11.85,11.87,11.83,11.8393,11.8393,25355
2018-09-28,11.8458,11.93,11.8458,11.92,11.92,24482
2018-10-01,11.8786,11.8961,11.8786,11.8899,11.8899,3359
2018-10-02,12.01,12.07,12.01,12.03,12.03,118730
2018-10-03,12.04,12.04,11.9799,11.9799,11.9799,26112
2018-10-04,12.04,12.04,11.9751,11.98,11.98,7303
2018-10-05,12.02,12.04,12.01,12.01,12.01,4422
2018-10-08,11.86,11.87,11.83,11.8601,11.8601,168168
2018-10-09,11.86,11.8899,11.86,11.87,11.87,202900
2018-10-10,11.87,11.93,11.87,11.93,11.93,16620
2018-10-11,12.07,12.2399,12.07,12.23,12.23,8832
2018-10-12,12.21,12.214,12.1699,12.2,12.2,20348
2018-10-15,12.27,12.3,12.26,12.27,12.27,6313
2018-10-16,12.31,12.31,12.24,12.24,12.24,18680
2018-10-17,12.2599,12.2767,12.22,12.22,12.22,7513
2018-10-18,12.24,12.29,12.24,12.26,12.26,12178
2018-10-19,12.27,12.28,12.2599,12.26,12.26,3843
2018-10-22,12.21,12.2216,12.2099,12.2216,12.2216,501914
2018-10-23,12.39,12.39,12.3,12.3,12.3,13862
2018-10-24,12.3,12.3199,12.28,12.3,12.3,17644
2018-10-25,12.32,12.32,12.28,12.2901,12.2901,9731
2018-10-26,12.34,12.42,12.32,12.3476,12.3476,216362
2018-10-29,12.31,12.31,12.25,12.3,12.3,13441
2018-10-30,12.2,12.25,12.2,12.24,12.24,10990
2018-10-31,12.15,12.17,12.1236,12.17,12.17,16871
2018-11-01,12.3,12.36,12.2962,12.34,12.34,5605
2018-11-02,12.33,12.35,12.31,12.34,12.34,13084
2018-11-05,12.28,12.3168,12.28,12.3099,12.3099,2702
2018-11-06,12.31,12.31,12.24,12.2584,12.2584,13787
2018-11-07,12.28,12.2889,12.26,12.27,12.27,10095
2018-11-08,12.24,12.25,12.2184,12.2184,12.2184,3625
2018-11-09,12.12,12.12,12.0767,12.08,12.08,7106
2018-11-12,12.05,12.05,12.0099,12.0099,12.0099,7717
2018-11-13,11.99,12.0366,11.99,12,12,4227
2018-11-14,12,12.15,11.99,12.11,12.11,7421
2018-11-15,12.1201,12.15,12.1201,12.15,12.15,3419
2018-11-16,12.2399,12.24,12.2099,12.21,12.21,4907
2018-11-19,12.21,12.24,12.2,12.23,12.23,17812
2018-11-20,12.24,12.24,12.1964,12.21,12.21,6866
2018-11-21,12.259,12.2615,12.2584,12.2584,12.2584,451923
2018-11-26,12.2464,12.2464,12.2199,12.2199,12.2199,1493
