Date,Open,High,Low,Close,AdjustedClose,Volume
2020-12-18,10.15,10.15,9.96,9.97,9.97,54454
2020-12-21,10.34,10.34,9.83,10.07,10.07,23700
2020-12-22,10.09,10.12,9.96,10.02,10.02,186000
2020-12-23,10.14,10.23,9.73,10.06,10.06,30500
2020-12-24,10.05,10.19,9.95,10.03,10.03,254300
2020-12-28,11.01,11.82,10.2,10.44,10.44,333100
2020-12-29,10.49,10.49,10.15,10.22,10.22,109400
2020-12-30,10.29,10.45,10.19,10.2,10.2,50900
2020-12-31,10.32,10.32,10.06,10.06,10.06,132700
2021-01-04,10.109,10.15,10.07,10.09,10.09,25100
2021-01-05,10.19,10.28,10.12,10.16,10.16,135200
2021-01-06,10.31,10.52,10.13,10.15,10.15,210000
2021-01-07,10.29,10.39,10.12,10.22,10.22,121100
2021-01-08,10.27,10.42,10.2,10.37,10.37,284300
2021-01-11,10.4,10.4,10.26,10.36,10.36,251700
2021-01-12,10.4,10.68,10.26,10.46,10.46,247900
2021-01-13,10.6,10.68,10.42,10.48,10.48,858600
2021-01-14,10.59,10.59,10.44,10.49,10.49,925500
2021-01-15,10.51,10.54,10.38,10.42,10.42,211300
2021-01-19,10.49,10.59,10.41,10.56,10.56,1115300
2021-01-20,10.62,10.62,10.46,10.5,10.5,284100
2021-01-21,10.6,10.72,10.52,10.56,10.56,272200
2021-01-22,10.55,10.65,10.48,10.6,10.6,463400
2021-01-25,10.74,10.87,10.53,10.73,10.73,505300
2021-01-26,10.85,10.9,10.53,10.58,10.58,396200
2021-01-27,10.44,10.5,10.21,10.25,10.25,576800
2021-01-28,10.41,10.56,10.28,10.44,10.44,547700
2021-01-29,10.44,10.5,10.28,10.34,10.34,229100
2021-02-01,10.42,10.7,10.4,10.67,10.67,250400
2021-02-02,10.64,10.88,10.64,10.75,10.75,364700
2021-02-03,10.69,11.105,10.65,10.79,10.79,593000
2021-02-04,11.08,11.23,10.87,11,11,851200
2021-02-05,11.15,11.78,11.02,11.32,11.32,804800
2021-02-08,11.47,11.66,11.16,11.32,11.32,536200
2021-02-09,11.41,11.52,11.12,11.24,11.24,424500
2021-02-10,15.43,15.75,13.4,13.68,13.68,29707900
2021-02-11,14.5,14.83,13.56,14.08,14.08,14333400
2021-02-12,13.85,13.85,13,13.56,13.56,6558100
2021-02-16,14.87,14.87,13.61,14.14,14.14,8002600
2021-02-17,16.43,16.5,15.17,16.1,16.1,15117727
2021-02-18,16.42,18.6,16.16,17.14,17.14,15590000
2021-02-19,17.6,18.08,16,16.28,16.28,9098100
2021-02-22,16.55,17.29,14.51,14.87,14.87,8477500
2021-02-23,13.4,13.86,11.64,13.4,13.4,9883700
2021-02-24,13.56,14.26,13.01,13.52,13.52,5600300
2021-02-25,13.25,13.4,12,12.16,12.16,6416300
2021-02-26,12.68,12.9,11.88,11.9,11.9,6431700
2021-03-01,12.91,13.37,12.65,12.85,12.85,4007500
2021-03-02,13.09,13.41,12.28,12.36,12.36,6900700
2021-03-03,12.49,12.73,11.2,11.22,11.22,7972600
2021-03-04,11.14,11.53,10.25,10.77,10.77,7718000
2021-03-05,10.75,11.26,10.22,11.03,11.03,6478500
2021-03-08,10.93,11.38,10.52,10.72,10.72,3595500
2021-03-09,11,11.15,10.66,10.93,10.93,3264200
2021-03-10,11.05,11.11,10.58,10.75,10.75,3220600
2021-03-11,11,11.28,10.82,11.21,11.21,3467600
2021-03-12,10.87,11.16,10.76,11.15,11.15,1991300
2021-03-15,11.04,11.08,10.8,10.92,10.92,2066200
2021-03-16,10.91,11.05,10.525,10.56,10.56,2242600
2021-03-17,10.48,10.59,10.36,10.44,10.44,2666000
2021-03-18,10.39,10.65,10.28,10.35,10.35,2050500
2021-03-19,10.3,10.72,10.23,10.68,10.68,1890400
2021-03-22,10.7,10.83,10.47,10.62,10.62,1469900
2021-03-23,10.6,10.6,10.28,10.34,10.34,1383400
2021-03-24,10.31,10.36,9.93,10.13,10.13,3665100
2021-03-25,9.87,10.15,9.85,10.04,10.04,3818900
2021-03-26,10.06,10.15,10.04,10.15,10.15,1566900
2021-03-29,10.15,10.34,10.04,10.29,10.29,1387700
2021-03-30,10.18,10.34,10.04,10.12,10.12,1212400
2021-03-31,10.14,10.22,10.05,10.05,10.05,1582400
2021-04-01,10.06,10.23,10.06,10.12,10.12,1177900
2021-04-05,10.19,10.2,10.04,10.08,10.08,1274400
2021-04-06,10.1,10.35,10.1,10.22,10.22,1531500
2021-04-07,10.18,10.26,10.06,10.06,10.06,1483900
2021-04-08,10.16,10.4,10.12,10.4,10.4,1300100
2021-04-09,10.35,10.36,10.14,10.21,10.21,1018200
2021-04-12,10.16,10.205,10.05,10.08,10.08,1356600
2021-04-13,10.05,10.08,10,10.06,10.06,1173800
2021-04-14,10.02,10.08,10,10.01,10.01,1128500
2021-04-15,10,10.02,9.88,9.95,9.95,1773100
2021-04-16,9.89,9.94,9.86,9.92,9.92,1836200
2021-04-19,9.88,9.9,9.82,9.87,9.87,2220100
2021-04-20,9.83,9.93,9.77,9.86,9.86,2193300
2021-04-21,9.83,9.9,9.83,9.89,9.89,1024600
2021-04-22,9.87,10.01,9.86,9.92,9.92,1166900
2021-04-23,9.92,9.92,9.88,9.89,9.89,604100
2021-04-26,9.9,9.925,9.88,9.89,9.89,926400
2021-04-27,9.89,9.949,9.89,9.9,9.9,904500
2021-04-28,9.9,9.93,9.9,9.91,9.91,740900
2021-04-29,9.91,9.93,9.89,9.9,9.9,824500
2021-04-30,9.9,9.94,9.89,9.94,9.94,414900
2021-05-03,9.89,9.92,9.87,9.9,9.9,765100
2021-05-04,9.87,9.93,9.83,9.87,9.87,1157500
2021-05-05,9.86,9.9,9.86,9.89,9.89,259200
2021-05-06,9.87,9.89,9.86,9.88,9.88,1323900
2021-05-07,9.85,9.87,9.85,9.86,9.86,947200
2021-05-10,9.85,9.905,9.84,9.86,9.86,1195600
2021-05-11,9.75,9.89,9.73,9.86,9.86,1983500
2021-05-12,9.81,9.91,9.81,9.85,9.85,678900
2021-05-13,9.81,9.905,9.81,9.85,9.85,1583000
2021-05-14,9.85,9.875,9.82,9.87,9.87,719500
2021-05-17,9.85,9.88,9.835,9.88,9.88,519500
2021-05-18,9.87,9.91,9.87,9.89,9.89,725200
2021-05-19,9.88,9.94,9.88,9.93,9.93,771800
2021-05-20,9.94,9.94,9.88,9.9,9.9,1024800
2021-05-21,9.91,9.95,9.91,9.92,9.92,317500
2021-05-24,9.93,9.96,9.91,9.91,9.91,865500
2021-05-25,9.92,9.95,9.91,9.92,9.92,713400
2021-05-26,9.9,9.95,9.9,9.95,9.95,601700
2021-05-27,9.95,9.96,9.88,9.89,9.89,568100
2021-05-28,9.95,9.95,9.92,9.93,9.93,278400
2021-06-01,9.94,9.95,9.91,9.92,9.92,442000
2021-06-02,9.91,9.93,9.9,9.91,9.91,375200
2021-06-03,9.91,9.94,9.9,9.93,9.93,428100
2021-06-04,9.94,9.95,9.91,9.92,9.92,375900
2021-06-07,9.92,9.97,9.92,9.96,9.96,499300
2021-06-08,9.99,10.1,9.97,10.07,10.07,1711900
2021-06-09,10.28,10.72,10.15,10.16,10.16,4594400
2021-06-10,10.35,10.35,10.14,10.16,10.16,1321100
2021-06-11,10.06,10.15,9.96,9.99,9.99,2374900
2021-06-14,10.04,10.0499,9.95,9.97,9.97,717992
2021-06-15,9.97,9.98,9.92,9.92,9.92,1400377
2021-06-16,9.92,9.95,9.92,9.95,9.95,488100
2021-06-17,9.92,9.945,9.92,9.93,9.93,359400
2021-06-18,9.93,9.94,9.93,9.93,9.93,512700
2021-06-21,9.91,9.94,9.91,9.94,9.94,1170300
2021-06-22,9.93,9.94,9.89,9.93,9.93,1046200
2021-06-23,9.92,9.94,9.913,9.94,9.94,948600
2021-06-24,9.94,9.97,9.92,9.97,9.97,324200
2021-06-25,9.94,9.99,9.94,9.98,9.98,514700
2021-06-28,9.97,9.99,9.92,9.97,9.97,387400
2021-06-29,9.93,9.99,9.93,9.94,9.94,342200
2021-06-30,9.94,9.97,9.94,9.96,9.96,375900
2021-07-01,9.94,9.98,9.94,9.96,9.96,365800
2021-07-02,9.94,9.97,9.94,9.96,9.96,259200
2021-07-06,9.94,9.97,9.94,9.94,9.94,615500
2021-07-07,9.93,9.96,9.93,9.94,9.94,423100
2021-07-08,9.93,9.95,9.91,9.91,9.91,1515200
2021-07-09,9.91,9.95,9.91,9.92,9.92,1559700
2021-07-12,9.91,9.93,9.91,9.91,9.91,240900
2021-07-13,9.9,9.93,9.89,9.91,9.91,535600
2021-07-14,9.9,9.93,9.9,9.9,9.9,536900
2021-07-15,9.9,9.92,9.9,9.9,9.9,340700
2021-07-16,9.9,9.91,9.9,9.9,9.9,846400
2021-07-19,9.86,9.91,9.86,9.9,9.9,1553505
