Date,Open,High,Low,Close,AdjustedClose,Volume
2008-07-14,41.32,41.4,41.32,41.4,41.4,4000
2008-07-15,42.15,43,41.8,42.11,42.11,1398
2008-07-16,41.41,41.41,40.4,40.4,40.4,1520
2008-07-17,41.49,42.27,41.49,41.88,41.88,6944
2008-07-18,41.5,41.5,40,41,41,8060
2008-07-21,41.65,41.65,40.95,41.1,41.1,3432
2008-07-22,41.68,41.68,40.9,41.03,41.03,5900
2008-07-23,41.36,41.36,40.3,40.3,40.3,16728
2008-07-24,40.19,40.2,39.31,39.31,39.31,2200
2008-07-25,38.88,40,38.88,39.5,39.5,2862
2008-07-28,40.74,40.74,39.69,39.69,39.69,1550
2008-07-29,40.43,40.43,39.65,39.65,39.65,1150
2008-07-30,41.51,41.51,40,40.82,40.82,5650
2008-07-31,41.83,41.83,39.61,40.64,40.64,4700
2008-08-01,40.64,40.64,39.96,40.1,40.1,3709
2008-08-04,41.29,41.29,39.66,39.66,39.66,1246
2008-08-05,39.66,39.66,39.19,39.37,39.37,10468
2008-08-06,38.75,39.47,38.75,39.4699,39.4699,53196
2008-08-07,39.5,39.5,38.57,38.955,38.955,2000
2008-08-08,38.53,38.53,37.3501,38.36,38.36,3189
2008-08-11,39.82,39.87,37.9797,37.98,37.98,3003
2008-08-12,38.5,38.77,37.15,37.15,37.15,2450
2008-08-13,37.28,37.71,37.28,37.69,37.69,1417
2008-08-14,37.94,38.28,37.79,37.9,37.9,1000
2008-08-15,38.28,38.28,37.935,37.935,37.935,465
2008-08-18,37.8,37.8,37.08,37.08,37.08,5481
2008-08-19,36.2501,36.3399,35.3401,35.45,35.45,1539
2008-08-20,37,37,36.09,36.34,36.34,1050
2008-08-21,36.69,37.5,36.69,37.3899,37.3899,6375
2008-08-22,37.29,38.04,37.04,37.18,37.18,3639
2008-08-25,36.94,37.37,36.2501,36.2501,36.2501,1010
2008-08-26,37.56,37.56,36.27,36.59,36.59,645
2008-08-27,37.515,37.55,37.515,37.55,37.55,327
2008-08-28,37.95,37.95,37.83,37.87,37.87,8721
2008-08-29,39.48,39.48,38.29,38.5,38.5,1985
2008-09-02,38.8,38.8,37.15,37.15,37.15,7555
2008-09-03,37.7,37.7,36.8,37.07,37.07,5750
2008-09-04,37.49,37.4999,36.4,36.41,36.41,12038
2008-09-05,37.7,37.7,36.31,36.31,36.31,4300
2008-09-08,36.9,37.42,35.78,35.78,35.78,1400
2008-09-09,35.25,35.4,35,35.055,35.055,2142
2008-09-10,35,35.035,34.445,34.5,34.5,11215
2008-09-11,33.97,34.5,33.94,33.94,33.94,1590
2008-09-12,35.195,35.195,35.195,35.195,35.195,100
2008-09-15,34.33,34.99,32.9201,32.9201,32.9201,2080
2008-09-16,34.75,34.75,33.54,33.95,33.95,1606
2008-09-17,32.98,33.01,32.16,33.01,33.01,1320
2008-09-18,33,33,32.96,32.96,32.96,450
2008-09-19,35.52,35.52,34.59,34.59,34.59,389
2008-09-22,36.49,36.49,34,35.56,35.56,2711
2008-09-23,35.56,35.56,34.29,34.29,34.29,545
2008-09-24,35.18,35.32,33.4,33.842,33.842,3115
2008-09-25,34.75,35.22,33.742,34.29,34.29,21400
2008-09-26,33.74,34.28,33.74,34.28,34.28,1464
