Date,Open,High,Low,Close,AdjustedClose,Volume
2010-08-27,20,20.01,20,20,20,793312
2010-08-30,20,20.01,20,20,20,88321
2010-08-31,20.01,20.01,20,20,20,158960
2010-09-01,20.01,20.01,20,20,20,82986
2010-09-02,20.01,20.05,20,20.01,20.01,98681
2010-09-03,20,20.04,20,20.01,20.01,108207
2010-09-07,20,20.02,20,20,20,102121
2010-09-08,20.02,20.05,20,20.01,20.01,100268
2010-09-09,20.0153,20.02,20,20.01,20.01,93128
2010-09-10,20.02,20.02,20,20.01,20.01,58932
2010-09-13,20.01,20.03,20,20.03,20.03,66979
2010-09-14,20.03,20.1,20,20.09,20.09,79415
2010-09-15,20.11,20.12,20.05,20.07,20.07,63308
2010-09-16,20.02,20.3,20.02,20.3,20.3,50480
2010-09-17,20.45,20.45,20.18,20.45,20.45,105065
2010-09-20,20.5,20.55,20.2,20.3699,20.3699,67465
2010-09-21,20.8,20.8,20.06,20.39,20.39,63256
2010-09-22,20.5,20.5,20.03,20.26,20.26,74549
2010-09-23,20.37,20.37,20.1,20.24,20.24,62903
2010-09-24,20.25,20.25,20.02,20.1,20.1,101737
2010-09-27,20.03,20.08,20.01,20.05,20.05,88797
2010-09-28,20.06,20.1,20.03,20.08,20.08,45565
2010-09-29,20.1,20.18,20.05,20.16,20.16,43402
2010-09-30,20.21,20.3,20.12,20.28,20.28,99794
2010-10-01,20.2201,20.33,20.21,20.32,20.32,49377
2010-10-04,20.42,20.42,20.02,20.02,20.02,96096
2010-10-05,20,20.0625,20,20,20,814245
2010-10-06,20.07,20.08,20,20,20,119606
2010-10-07,20,20.09,20,20.08,20.08,147723
2010-10-08,20.04,20.2436,19.75,20.15,20.15,123625
2010-10-11,19.95,20.14,19.7999,20.09,20.09,117881
2010-10-12,19.99,20.11,19.906,19.94,19.94,107361
2010-10-13,20,20.04,19.91,20,20,91168
2010-10-14,20.09,20.09,19.94,20,20,99311
2010-10-15,19.97,20.04,19.958,20.04,20.04,110540
2010-10-18,19.95,20,19.82,19.92,19.92,141785
2010-10-19,19.95,19.97,19.82,19.87,19.87,196719
2010-10-20,19.94,20.01,19.8798,19.94,19.94,140139
2010-10-21,20.1,20.1,19.69,19.88,19.88,137546
2010-10-22,19.88,19.97,19.6,19.87,19.87,181895
2010-10-25,19.76,19.8799,19.601,19.74,19.74,154836
2010-10-26,19.67,19.87,19.56,19.584,19.584,175838
2010-10-27,19.74,19.74,19.57,19.597,19.597,80334
2010-10-28,19.6,19.87,19.42,19.62,19.62,169937
2010-10-29,19.83,19.83,19.41,19.5,19.5,137252
2010-11-01,19.63,19.75,19.48,19.649,19.649,88286
2010-11-02,19.58,19.71,19.58,19.6999,19.6999,87871
2010-11-03,19.73,20,19.7,19.91,19.91,193049
2010-11-04,19.9,19.9,19.5,19.73,19.73,164934
2010-11-05,19.6,19.9,19.6,19.88,19.88,110293
2010-11-08,19.75,19.8,19.6,19.64,19.64,119717
2010-11-09,19.6,19.75,19.38,19.52,19.52,179776
2010-11-10,19.31,19.32,18.69,18.8,18.8,296258
2010-11-11,18.7,18.882,17.54,18.19,18.19,452841
2010-11-12,18.08,18.28,17.8,18.05,18.05,340688
2010-11-15,18.46,18.46,17.59,17.89,17.89,342337
2010-11-16,17.7,17.77,17,17.7607,17.7607,647255
2010-11-17,17.88,18.195,17.75,18.05,18.05,332557
2010-11-18,17.89,18.17,17.69,17.8,17.8,402667
2010-11-19,17.97,18.27,17.8499,18.16,18.16,217563
2010-11-22,18.41,18.49,18.03,18.31,18.31,252767
2010-11-23,18.17,18.44,18.11,18.2,18.2,255495
2010-11-24,18.17,18.35,18.1096,18.16,18.16,204843
2010-11-26,18.2,18.2499,18.05,18.07,18.07,71729
2010-11-29,18.06,18.2,18.06,18.19,18.19,261837
2010-11-30,18.17,18.43,18.13,18.3,18.3,265595
2010-12-01,18.33,18.45,18.168,18.35,18.35,213827
2010-12-02,18.3,18.54,18.25,18.492,18.492,304037
2010-12-03,18.37,18.49,18.13,18.13,18.13,205004
2010-12-06,18.1,18.13,17.89,18.01,18.01,310490
2010-12-07,18.2,18.2,17.75,17.87,17.87,319175
2010-12-08,17.86,17.896,17.35,17.5458,17.5458,476075
2010-12-09,17.7,17.76,17.25,17.65,17.65,515963
2010-12-10,17.71,17.75,17.35,17.6101,17.6101,353153
2010-12-13,17.39,17.654,17.18,17.315,17.315,329844
2010-12-14,17.23,17.29,16.87,17.26,17.26,853436
