Date,Open,High,Low,Close,AdjustedClose,Volume
2004-09-23,14.5,16.39,14.25,15.99,15.99,13321281
2004-09-24,15.81,16,15.65,15.95,15.95,1075020
2004-09-27,15.8,16,15.78,15.8,15.8,576015
2004-09-28,15.8,16.5,15.8,15.95,15.95,1054366
2004-09-29,15.86,16.46,15.86,16.37,16.37,1097535
2004-09-30,16.3,16.5,16.07,16.4,16.4,566869
2004-10-01,16.25,16.5,16.05,16.45,16.45,553764
2004-10-04,16.5,16.5,15.75,16.25,16.25,412308
2004-10-05,16.1,16.25,15.9,16,16,408907
2004-10-06,15.9,16.24,15.9,16.03,16.03,44099
2004-10-07,16.2,16.32,16.05,16.2,16.2,263409
2004-10-08,16.3,17.18,16.1,16.98,16.98,966753
2004-10-11,17.09,17.3,16.83,17.3,17.3,214383
2004-10-12,17,17.45,16.9,17.38,17.38,251925
2004-10-13,17.31,17.37,17,17.09,17.09,297562
2004-10-14,17.3,17.3,16.98,16.99,16.99,334161
2004-10-15,16.95,17.18,16.95,17.18,17.18,287085
2004-10-18,17.2,17.25,16.95,17.17,17.17,60569
2004-10-19,17,17.32,17,17.19,17.19,156153
2004-10-20,17.05,17.05,16.9,17,17,380680
2004-10-21,17,17.5,16.9,17.34,17.34,437523
2004-10-22,17.45,17.45,17.19,17.33,17.33,104157
2004-10-25,17.35,17.37,17,17.37,17.37,105072
2004-10-26,17.4,18.44,17.4,18.25,18.25,486963
2004-10-27,18.25,18.45,18,18.45,18.45,202008
2004-10-28,18.45,19,17.82,18.64,18.64,179605
2004-10-29,18.85,19,18.6,18.75,18.75,187632
2004-11-01,18.5,18.74,17.8,18.2,18.2,235383
2004-11-02,18.1,18.1,17.76,17.87,17.87,121616
2004-11-03,18,18.2,17.55,17.8,17.8,268062
2004-11-04,17.94,18,17.5,17.78,17.78,33398
2004-11-05,18.04,18.04,17.17,17.77,17.77,62679
2004-11-08,17.72,18.01,17.51,18,18,37940
2004-11-09,17.7,18.55,17.7,18.3,18.3,143916
2004-11-10,18.35,18.5,18.01,18.05,18.05,211938
2004-11-11,18.42,18.42,17.6,17.9,17.9,63497
2004-11-12,17.83,18.03,17.61,17.68,17.68,117582
2004-11-15,17.89,17.89,17.25,17.57,17.57,53459
2004-11-16,17.49,17.61,17.1,17.48,17.48,65055
2004-11-17,17.7,17.95,17.5,17.78,17.78,341310
2004-11-18,17.76,18.2,17.41,18,18,140120
2004-11-19,18.11,18.11,17.8,17.9,17.9,157394
2004-11-22,17.89,17.95,17.7,17.78,17.78,381003
2004-11-23,17.52,18.01,17.51,17.98,17.98,334288
2004-11-24,17.3,18.5,17.3,18.26,18.26,400392
2004-11-26,18.25,18.46,18.07,18.11,18.11,41970
2004-11-29,18.31,18.63,18,18.37,18.37,204997
2004-11-30,18.2,18.65,18.1,18.33,18.33,203529
2004-12-01,18.52,19.54,18.2,19.5,19.5,320793
2004-12-02,19.22,19.9,19.02,19.8,19.8,201631
2004-12-03,19.85,20,19.26,19.93,19.93,180126
2004-12-06,20,20.4,19.48,20.09,20.09,221332
2004-12-07,20.17,20.712,20.1,20.55,20.55,163034
2004-12-08,20.12,20.54,20.12,20.25,20.25,178810
2004-12-09,20.25,20.5,19.8,20.1,20.1,189531
2004-12-10,20.2,20.2,19.77,20.03,20.03,655087
2004-12-13,20.15,20.9,20,20.74,20.74,150561
2004-12-14,20.24,21,20.24,20.77,20.77,306534
2004-12-15,20.61,21.3,20.6,21.16,21.16,301089
2004-12-16,20.86,21.65,20.55,21.5,21.5,183304
2004-12-17,21.2,21.5,19.63,20.5,20.5,2167711
2004-12-20,20.75,20.75,19.5,20.5,20.5,789720
2004-12-21,20,20.24,18.81,19.33,19.33,2010823
2004-12-22,19.35,19.45,19,19.25,19.25,214642
2004-12-23,19,19.53,18.9,19.38,19.38,346693
2004-12-27,19.4,19.4,18.65,19.2,19.2,201996
2004-12-28,18.75,19.8,18.75,19.75,19.75,262203
2004-12-29,19.45,19.8,19.25,19.75,19.75,46578
2004-12-30,19.75,19.85,19.59,19.59,19.59,63324
2004-12-31,19.75,19.92,19.25,19.86,19.86,129698
2005-01-03,19.9,19.9,19.26,19.4,19.4,221025
2005-01-04,19.56,19.56,18.84,19.1,19.1,211806
2005-01-05,18.9,19.49,18.9,19.3,19.3,270228
2005-01-06,19.25,19.5,19.0822,19.23,19.23,89775
2005-01-07,19.08,19.39,19.08,19.33,19.33,61976
2005-01-10,19.1,19.48,19.1,19.3,19.3,145598
2005-01-11,19.4,19.5,19.1,19.5,19.5,204199
2005-01-12,19.22,19.39,19.22,19.26,19.26,130691
2005-01-13,19.2,19.49,19.2,19.4,19.4,67053
2005-01-14,19.4,20.04,19.4,20.04,20.04,115599
2005-01-18,20.18,20.2,19.77,19.99,19.99,51438
2005-01-19,20.05,20.05,19.51,19.81,19.81,64217
2005-01-20,19.9,20.33,19.44,19.53,19.53,57495
2005-01-21,19.53,19.8,19.5,19.56,19.56,42101
2005-01-24,19.77,19.8,19.55,19.63,19.63,71088
2005-01-25,19.55,19.7,19.1,19.21,19.21,134447
2005-01-26,19.34,19.79,19.2,19.79,19.79,55758
2005-01-27,19.61,20.2,19.61,20,20,103338
2005-01-28,20.06,20.06,19.5,19.95,19.95,123113
2005-01-31,19.96,20.1,19.71,20,20,107028
