Date,Open,High,Low,Close,AdjustedClose,Volume
2021-04-06,9.61,9.61,9.61,9.61,9.61,317
2021-04-07,9.71,9.72,9.7,9.72,9.72,66500
2021-04-08,9.72,9.75,9.7,9.75,9.75,1676
2021-04-09,9.72,9.8,9.71,9.78,9.78,45600
2021-04-12,9.87,9.87,9.7,9.75,9.75,174600
2021-04-13,9.67,9.75,9.67,9.73,9.73,12000
2021-04-14,9.75,9.86,9.73,9.84,9.84,266600
2021-04-15,9.75,9.88,9.75,9.8,9.8,11200
2021-04-16,9.82,9.83,9.75,9.83,9.83,12600
2021-04-19,9.83,9.84,9.75,9.78,9.78,6830
2021-04-20,9.8399,9.84,9.8,9.8,9.8,1413
2021-04-21,9.77,9.77,9.77,9.77,9.77,100
2021-04-22,9.75,9.82,9.7,9.77,9.77,7100
2021-04-23,9.91,9.91,9.71,9.71,9.71,7200
2021-04-26,9.85,9.85,9.75,9.77,9.77,600
2021-04-27,9.74,9.74,9.7,9.7,9.7,200
2021-04-28,9.75,9.78,9.75,9.78,9.78,2800
2021-04-29,9.83,9.83,9.79,9.79,9.79,11200
2021-04-30,9.73,9.77,9.73,9.77,9.77,1600
2021-05-03,9.74,9.75,9.72,9.75,9.75,8200
2021-05-04,9.74,9.74,9.74,9.74,9.74,400
2021-05-05,9.75,9.75,9.72,9.72,9.72,153100
2021-05-06,9.75,9.77,9.72,9.73,9.73,12000
2021-05-07,9.735,9.735,9.72,9.73,9.73,3200
2021-05-10,9.75,9.75,9.75,9.75,9.75,200
2021-05-11,9.71,9.71,9.7,9.7,9.7,2000
2021-05-12,9.74,9.74,9.7,9.73,9.73,3000
2021-05-13,9.74,9.74,9.72,9.72,9.72,13900
2021-05-14,9.74,9.8,9.71,9.72,9.72,15700
2021-05-17,9.72,9.74,9.71,9.71,9.71,5900
2021-05-18,9.73,9.73,9.68,9.68,9.68,20100
2021-05-19,9.67,9.695,9.67,9.695,9.695,3900
2021-05-20,9.65,9.71,9.64,9.65,9.65,8500
2021-05-21,9.62,9.68,9.61,9.65,9.65,16400
2021-05-24,9.66,9.71,9.645,9.67,9.67,3600
2021-05-25,9.65,9.7,9.65,9.7,9.7,31100
2021-05-26,9.69,9.71,9.67,9.71,9.71,7100
2021-05-27,9.71,9.71,9.71,9.71,9.71,0
2021-05-28,9.71,9.71,9.63,9.65,9.65,2100
2021-06-01,9.64,9.74,9.64,9.72,9.72,8300
2021-06-02,9.65,9.65,9.64,9.64,9.64,300
2021-06-03,9.71,9.71,9.69,9.69,9.69,2600
2021-06-04,9.67,9.73,9.67,9.73,9.73,1900
2021-06-07,9.76,9.76,9.705,9.71,9.71,2900
2021-06-08,9.75,9.8,9.66,9.8,9.8,152200
2021-06-09,9.72,9.72,9.689,9.689,9.689,300
2021-06-10,9.68,9.68,9.64,9.66,9.66,63100
2021-06-11,9.64,9.68,9.64,9.68,9.68,1200
2021-06-14,9.67,9.7,9.65,9.675,9.675,6657
2021-06-15,9.66,9.7,9.66,9.68,9.68,22279
2021-06-16,9.75,9.75,9.66,9.7,9.7,45000
2021-06-17,9.7,9.7,9.66,9.68,9.68,31800
2021-06-18,9.66,9.7,9.66,9.7,9.7,21800
2021-06-21,9.66,9.69,9.66,9.67,9.67,4500
2021-06-22,9.66,9.68,9.66,9.68,9.68,214900
2021-06-23,9.69,9.69,9.65,9.68,9.68,70300
2021-06-24,9.65,9.68,9.65,9.68,9.68,1200
2021-06-25,9.68,9.68,9.65,9.66,9.66,2800
2021-06-28,9.65,9.67,9.62,9.66,9.66,40600
2021-06-29,9.654,9.67,9.64,9.66,9.66,69700
2021-06-30,9.66,9.68,9.62,9.67,9.67,14900
2021-07-01,9.67,9.67,9.63,9.655,9.655,24300
2021-07-02,9.69,9.69,9.63,9.66,9.66,21300
2021-07-06,9.63,9.67,9.63,9.67,9.67,1600
2021-07-07,9.69,9.69,9.69,9.69,9.69,100
2021-07-08,9.67,9.69,9.66,9.69,9.69,79500
2021-07-09,9.65,9.67,9.65,9.66,9.66,7100
2021-07-12,9.65,9.66,9.642,9.66,9.66,9600
2021-07-13,9.64,9.67,9.64,9.67,9.67,17200
2021-07-14,9.79,9.79,9.65,9.69,9.69,335000
2021-07-15,9.65,9.67,9.65,9.66,9.66,2000
2021-07-16,9.68,9.68,9.68,9.68,9.68,200
2021-07-19,9.68,9.68,9.65,9.66,9.66,8369
