Date,Open,High,Low,Close,AdjustedClose,Volume
1989-05-23,26.125,26.25,26,26.125,26.125,206600
1989-05-24,26.125,26.25,26,26.125,26.125,73400
1989-05-25,26.125,26.125,26,26.125,26.125,21800
1989-05-26,26,26.125,26,26,26,105600
1989-05-30,26.125,26.25,26,26.125,26.125,57100
1989-05-31,26,26.125,26,26,26,44200
1989-06-01,26.125,26.125,26,26.125,26.125,107900
1989-06-02,26,26.125,26,26,26,45600
1989-06-05,26.125,26.125,26,26.125,26.125,43400
1989-06-06,26,26.125,26,26,26,16500
1989-06-07,26.125,26.125,26,26.125,26.125,28500
1989-06-08,26,26.125,25.75,26,26,98400
1989-06-09,26,26.125,25.875,26,26,36100
1989-06-12,25.875,26,25.875,25.875,25.875,2600
1989-06-13,25.75,25.875,25.75,25.75,25.75,12100
1989-06-14,25.875,25.875,25.875,25.875,25.875,6600
1989-06-15,26,26,25.75,26,26,15000
1989-06-16,26,26,25.875,26,26,22400
1989-06-19,26.125,26.125,26,26.125,26.125,62400
1989-06-20,26.125,26.125,26,26.125,26.125,39000
1989-06-21,26.125,26.125,26,26.125,26.125,30500
1989-06-22,26.125,26.125,26,26.125,26.125,27700
1989-06-23,26.125,26.125,25.875,26.125,26.125,74800
1989-06-26,26,26,25.875,26,26,25500
1989-06-27,26.75,26.75,26,26.75,26.75,86300
1989-06-28,27.125,27.375,26.625,27.125,27.125,95100
1989-06-29,27,27.375,26.875,27,27,58800
1989-06-30,27,27.125,26.5,27,27,59600
1989-07-03,27.375,27.5,27.125,27.375,27.375,39700
1989-07-05,27.5,27.5,27.375,27.5,27.5,92000
1989-07-06,27.5,27.5,27.375,27.5,27.5,22700
1989-07-07,27.5,27.5,27.375,27.5,27.5,48100
1989-07-10,27.5,27.5,27.375,27.5,27.5,14800
1989-07-11,27.5,27.5,27.25,27.5,27.5,24500
1989-07-12,27.5,27.75,27.375,27.5,27.5,15200
1989-07-13,27.5,27.75,27.375,27.5,27.5,14800
1989-07-14,27.625,27.75,27.625,27.625,27.625,5800
1989-07-17,27.75,27.875,27.5,27.75,27.75,13800
1989-07-18,27.5,27.75,27.5,27.5,27.5,32300
1989-07-19,27.5,27.75,27.5,27.5,27.5,17800
1989-07-20,27.625,28,27.5,27.625,27.625,24600
1989-07-21,27.5,27.75,27.375,27.5,27.5,13200
