Date,Open,High,Low,Close,AdjustedClose,Volume
2020-09-30,10,10.43,6.5,7.2,7.2,6457800
2020-10-01,7.11,7.11,6.01,6.44,6.44,1024300
2020-10-02,5.96,6.48,5.67,6.21,6.21,461000
2020-10-05,6.09,6.5,5.986,6.2,6.2,1067498
2020-10-06,6.2,6.4,6.0201,6.13,6.13,343008
2020-10-07,6.05,6.2,6.01,6.13,6.13,223973
2020-10-08,6.09,6.4,6.09,6.26,6.26,448227
2020-10-09,6.2,6.99,6.2,6.81,6.81,924716
2020-10-12,6.99,7.02,6.67,6.75,6.75,231000
2020-10-13,6.56,6.582,6.101,6.14,6.14,247300
2020-10-14,6.32,6.82,6.315,6.63,6.63,378299
2020-10-15,6.63,6.63,6.1663,6.3,6.3,296441
2020-10-16,6.34,6.48,6.16,6.17,6.17,142300
2020-10-19,6.19,6.35,5.92,6.13,6.13,452900
2020-10-20,6.2,6.2,6,6.01,6.01,182000
2020-10-21,6.1,6.1,5.84,5.86,5.86,278200
2020-10-22,5.93,5.93,5.75,5.84,5.84,130644
2020-10-23,5.9,5.9,5.6,5.69,5.69,129700
2020-10-26,5.59,5.59,5.3,5.31,5.31,185200
2020-10-27,5.37,5.37,5.013,5.1,5.1,150200
2020-10-28,5.02,5.02,4.32,4.49,4.49,290073
2020-10-29,4.48,4.665,4.36,4.4,4.4,213300
2020-10-30,4.4,4.58,4.2,4.28,4.28,211700
2020-11-02,4.33,4.76,4.33,4.6,4.6,148300
2020-11-03,4.67,4.67,4.488,4.6,4.6,59600
2020-11-04,4.7,4.75,4.06,4.14,4.14,305300
2020-11-05,4.24,4.375,4.16,4.316,4.316,67100
2020-11-06,4.37,4.37,4.2,4.35,4.35,67500
2020-11-09,4.55,4.65,4.42,4.64,4.64,155100
2020-11-10,4.8,5.94,4.76,5.39,5.39,1107900
2020-11-11,5.59,5.59,5.12,5.44,5.44,342351
2020-11-12,5.24,5.39,5.105,5.32,5.32,181900
2020-11-13,5.45,5.6,5.24,5.46,5.46,222300
2020-11-16,5.83,5.9182,5.15,5.25,5.25,510554
2020-11-17,5.25,5.25,5.05,5.14,5.14,106491
2020-11-18,5.1,5.23,5.06,5.13,5.13,103300
2020-11-19,5,5.26,4.87,4.9,4.9,234900
2020-11-20,4.9,4.99,4.8,4.96,4.96,77300
2020-11-23,4.96,5.07,4.7,4.78,4.78,161200
2020-11-24,4.7,5,4.6,4.96,4.96,142600
2020-11-25,4.99,6.22,4.745,6.08,6.08,1261000
2020-11-27,6.3,6.75,5.65,6.61,6.61,1044400
2020-11-30,6.6,6.71,6.05,6.62,6.62,487400
2020-12-01,6.8,6.9,6.35,6.63,6.63,394600
2020-12-02,6.4,6.83,6.26,6.63,6.63,315900
2020-12-03,6.48,6.56,6.04,6.06,6.06,353900
2020-12-04,6.08,6.17,5.8,5.8,5.8,301600
2020-12-07,5.8,6.043,5.7,5.9,5.9,187300
2020-12-08,5.96,5.962,5.35,5.43,5.43,311200
2020-12-09,5.48,5.48,4.88,4.92,4.92,499000
2020-12-10,4.96,5.2,4.92,4.96,4.96,192000
2020-12-11,4.9,4.96,4.72,4.76,4.76,139100
2020-12-14,4.77,4.9,4.62,4.68,4.68,157000
2020-12-15,4.78,4.8,4.61,4.79,4.79,151800
2020-12-16,4.82,4.875,4.73,4.79,4.79,181100
2020-12-17,5,7.58,4.95,7,7,4228100
2020-12-18,6.95,7,6.02,6.35,6.35,1509882
2020-12-21,6.1,6.74,5.95,6.02,6.02,754900
2020-12-22,6.1,6.709,6.05,6.24,6.24,625700
2020-12-23,6.24,7.8,6,7.21,7.21,2257600
2020-12-24,7.03,7.18,6.2,6.49,6.49,534300
2020-12-28,6.54,6.95,6.43,6.43,6.43,424315
2020-12-29,6.43,6.505,5.55,5.61,5.61,628688
2020-12-30,5.79,5.79,5.03,5.08,5.08,706139
2020-12-31,5.5,5.57,5.14,5.21,5.21,635585
2021-01-04,5.4,5.53,5.1,5.28,5.28,315981
2021-01-05,5.3,5.78,5.21,5.72,5.72,356153
2021-01-06,5.59,6.15,5.54,5.6,5.6,314844
2021-01-07,5.68,5.99,5.68,5.84,5.84,185908
2021-01-08,5.86,5.86,5.35,5.59,5.59,319163
2021-01-11,5.36,5.53,5.2652,5.46,5.46,178041
2021-01-12,5.57,6.5,5.33,6.29,6.29,851373
2021-01-13,6.66,6.88,6,6.21,6.21,296237
2021-01-14,6.29,6.88,6.19,6.74,6.74,512339
2021-01-15,6.8,6.8499,6.28,6.57,6.57,356889
2021-01-19,7,7.68,6.71,6.97,6.97,1873973
2021-01-20,7,9.34,6.91,9.01,9.01,2953702
2021-01-21,8.76,10.4,8.1,9.52,9.52,6388072
2021-01-22,9.94,10.88,8.93,9.66,9.66,3003123
2021-01-25,9.85,10.7,7.54,10.19,10.19,2397799
2021-01-26,10.84,11.34,10.19,10.66,10.66,2326412
2021-01-27,9.81,10.25,8.8,9,9,969500
2021-01-28,9.26,9.487,8.7,9.06,9.06,349000
2021-01-29,9.17,10,8.615,8.86,8.86,571600
2021-02-01,8.96,11.35,8.61,10.78,10.78,1326700
2021-02-02,11,11.67,10.18,10.5,10.5,1409900
2021-02-03,10.72,10.836,10.2,10.54,10.54,606300
2021-02-04,10.75,12.3,10.62,12.3,12.3,1847900
2021-02-05,12.75,12.84,10.91,11.18,11.18,1597800
2021-02-08,11.57,12.45,11.38,12.18,12.18,614400
2021-02-09,12.02,12.749,11.43,11.46,11.46,760900
2021-02-10,11.59,11.824,10.06,10.43,10.43,1302200
2021-02-11,10.68,10.752,9.95,10.16,10.16,518100
2021-02-12,10.16,10.46,9.08,10,10,1346400
2021-02-16,10.13,10.16,9,9,9,936800
2021-02-17,9.34,10.23,9.01,9.11,9.11,917600
2021-02-18,9.02,9.25,8.355,8.6,8.6,984500
2021-02-19,8.55,9.51,8.55,9.51,9.51,1051700
2021-02-22,9.4,9.4,8.48,8.56,8.56,772400
2021-02-23,8.13,8.16,6.88,7.87,7.87,981600
2021-02-24,7.67,8.3,7.51,8.02,8.02,522000
2021-02-25,7.87,8.07,7.4,7.58,7.58,397300
2021-02-26,7.25,7.86,6.38,7.07,7.07,828200
2021-03-01,7.4,7.49,6.81,7.27,7.27,425900
2021-03-02,7.5,7.99,7.1,7.22,7.22,379200
2021-03-03,7.92,7.95,5.39,5.96,5.96,1228200
2021-03-04,6.24,6.37,4.44,5.13,5.13,1853700
2021-03-05,5.31,6.68,4.8,5.47,5.47,2384600
2021-03-08,5.35,6.24,5.12,5.62,5.62,1248500
2021-03-09,5.7,6.2,5,5.49,5.49,1862600
2021-03-10,5.56,5.93,5.4,5.53,5.53,509900
2021-03-11,5.5,6.35,5.5,6.29,6.29,2417400
2021-03-12,5.92,6.529,5.8,6.04,6.04,1135100
2021-03-15,6,6.15,5.71,5.92,5.92,458100
2021-03-16,6.12,6.29,5.73,5.85,5.85,641400
2021-03-17,5.85,6.2,5.722,6.09,6.09,407600
2021-03-18,5.91,6.34,5.77,5.82,5.82,405800
2021-03-19,5.89,6.05,5.83,5.87,5.87,300500
2021-03-22,6,6.06,5.735,5.87,5.87,436200
2021-03-23,5.8,5.95,5.37,5.42,5.42,432000
2021-03-24,5.46,5.504,4.81,4.81,4.81,549200
2021-03-25,4.67,5.4,4.6,5.25,5.25,538400
2021-03-26,5.18,5.41,4.72,4.99,4.99,473300
2021-03-29,5.09,5.55,5.02,5.46,5.46,337100
2021-03-30,5.37,5.51,5.201,5.39,5.39,233800
2021-03-31,5.48,5.78,5.33,5.57,5.57,283500
2021-04-01,5.8,5.99,5.6,5.97,5.97,313800
2021-04-05,5.87,6.15,5.67,5.9,5.9,279581
2021-04-06,5.88,5.96,5.71,5.74,5.74,203484
2021-04-07,5.72,5.79,5.42,5.5,5.5,135500
2021-04-08,5.68,5.8,5.29,5.36,5.36,218000
2021-04-09,5.32,5.49,5.28,5.29,5.29,118400
2021-04-12,5.29,5.475,5.16,5.16,5.16,181500
2021-04-13,5.1,5.3,5.08,5.21,5.21,123700
2021-04-14,5.24,5.37,5.12,5.17,5.17,93200
2021-04-15,5.17,5.29,4.68,4.8,4.8,408500
2021-04-16,4.79,5,4.5,4.86,4.86,314400
2021-04-19,4.84,4.99,4.6,4.6,4.6,122500
2021-04-20,4.62,4.68,4.2,4.3,4.3,266400
2021-04-21,4.25,4.73,4.25,4.71,4.71,132100
2021-04-22,4.71,4.95,4.6,4.77,4.77,182600
2021-04-23,4.69,5.05,4.69,5.02,5.02,153900
2021-04-26,5.05,5.5,4.95,5.07,5.07,1969560
2021-04-27,5.03,5.11,4.735,5,5,160071
2021-04-28,5,5.023,4.86,4.98,4.98,102300
2021-04-29,5.02,5.068,4.74,4.75,4.75,134800
2021-04-30,4.65,4.888,4.63,4.69,4.69,74200
2021-05-03,4.7,4.91,4.53,4.53,4.53,258300
2021-05-04,4.52,4.581,4.3,4.4,4.4,143000
2021-05-05,4.49,4.5,4.3,4.3,4.3,35700
2021-05-06,4.3,4.54,4.224,4.36,4.36,188200
2021-05-07,4.3,4.46,4.25,4.25,4.25,80600
2021-05-10,4.23,4.37,4.12,4.18,4.18,161300
2021-05-11,4.11,4.4,3.7,4.12,4.12,314200
2021-05-12,4.07,4.38,4,4.08,4.08,149400
2021-05-13,4.06,4.19,3.7,3.75,3.75,209600
2021-05-14,3.75,3.95,3.75,3.78,3.78,171100
2021-05-17,3.89,3.93,3.6,3.73,3.73,171700
2021-05-18,3.71,4.045,3.7,3.97,3.97,146100
2021-05-19,3.85,3.97,3.83,3.89,3.89,123600
2021-05-20,3.92,4.1,3.87,3.93,3.93,118200
2021-05-21,4,4.07,3.79,3.79,3.79,197100
2021-05-24,3.8,3.92,3.6,3.87,3.87,239700
2021-05-25,3.97,4.4,3.92,4.2,4.2,237500
2021-05-26,4.1,4.55,3.9,4.43,4.43,323800
2021-05-27,4.46,4.5,4.07,4.16,4.16,171700
2021-05-28,4.17,4.27,4.07,4.09,4.09,104000
2021-06-01,4.29,4.3,4.12,4.28,4.28,167700
2021-06-02,4.27,4.426,4.27,4.33,4.33,116600
2021-06-03,4.23,4.99,4.22,4.87,4.87,338800
2021-06-04,4.9,5.3,4.6,4.6,4.6,290200
2021-06-07,4.61,4.92,4.61,4.9,4.9,90700
2021-06-08,4.95,4.95,4.618,4.88,4.88,160300
2021-06-09,4.88,4.99,4.55,4.8,4.8,216800
2021-06-10,4.74,4.815,4.51,4.55,4.55,166200
2021-06-11,4.64,4.9,4.6,4.67,4.67,89400
2021-06-14,4.76,5.36,4.73,5.13,5.13,362000
2021-06-15,5.15,5.29,4.75,4.82,4.82,142900
2021-06-16,4.98,5.3,4.92,5.14,5.14,457000
2021-06-17,5.25,5.75,5.2,5.64,5.64,899500
2021-06-18,5.57,6.22,5.55,5.85,5.85,924400
2021-06-21,5.86,5.9,5.38,5.53,5.53,526400
2021-06-22,5.53,5.59,4.98,5,5,670500
2021-06-23,5.06,5.18,4.85,5.03,5.03,278400
2021-06-24,5.08,5.16,4.86,4.92,4.92,333600
2021-06-25,4.92,5.08,4.75,4.88,4.88,282500
2021-06-28,4.88,4.94,4.39,4.53,4.53,724200
2021-06-29,4.51,4.79,4.261,4.71,4.71,432200
2021-06-30,4.73,4.77,4.412,4.49,4.49,303200
2021-07-01,4.44,4.555,4.245,4.35,4.35,427800
2021-07-02,4.42,4.42,4.22,4.34,4.34,150500
2021-07-06,4.3,4.32,4.05,4.28,4.28,283200
2021-07-07,4.28,4.348,4.03,4.19,4.19,173300
2021-07-08,4.03,4.17,3.95,4.15,4.15,197900
2021-07-09,4.19,4.32,4.02,4.2,4.2,385100
2021-07-12,4.22,4.24,4.035,4.1,4.1,126900
2021-07-13,4.09,4.36,4.09,4.2,4.2,227500
2021-07-14,4.28,4.29,3.79,3.83,3.83,219500
2021-07-15,3.84,3.98,3.75,3.85,3.85,126500
2021-07-16,3.9,4.09,3.78,3.89,3.89,124700
2021-07-19,3.78,3.95,3.74,3.92,3.92,89916
