Date,Open,High,Low,Close,AdjustedClose,Volume
2012-05-03,22,22.45,21.85,22.05,22.05,13299420
2012-05-04,22.05,22.088,22,22.05,22.05,6276244
2012-05-07,22.07,22.09,22,22.01,22.01,2769711
2012-05-08,22.01,22.05,22,22,22,6862653
2012-05-09,22,22.06,21.023,21.75,21.75,4307158
2012-05-10,21.5,21.75,21.5,21.72,21.72,463888
2012-05-11,21.72,21.83,21.15,21.35,21.35,266729
2012-05-14,21.15,21.44,20.98,21.03,21.03,359229
2012-05-15,21.22,21.39,21,21.12,21.12,521457
2012-05-16,21.09,21.6,21.01,21.57,21.57,313179
2012-05-17,21.3,21.51,21,21.1,21.1,329654
2012-05-18,21,21.4,21,21.11,21.11,343862
2012-05-21,22,22,21,21.05,21.05,130552
2012-05-22,21.06,21.27,20.24,21,21,333993
2012-05-23,20.83,20.94,20,20.14,20.14,510414
2012-05-24,20.18,20.62,20,20.39,20.39,204207
2012-05-25,20.27,21.6,20.27,21.51,21.51,305966
2012-05-29,21.73,21.73,20.97,21.06,21.06,96911
2012-05-30,20.82,21.4,20.32,21.21,21.21,157301
2012-05-31,21.09,21.199,20.71,21.12,21.12,366678
2012-06-01,20.66,21.4,20.66,21.02,21.02,347614
2012-06-04,21.17,21.17,20.5,20.96,20.96,116884
2012-06-05,20.32,21.09,20.32,20.94,20.94,231459
2012-06-06,21.1,21.38,20.31,21.38,21.38,165826
2012-06-07,21.5,21.67,21.23,21.6,21.6,162473
2012-06-08,21.67,21.875,21.36,21.75,21.75,1368050
2012-06-11,21.8,21.89,21.3,21.42,21.42,177114
2012-06-12,21.75,22.01,21.63,21.8,21.8,389768
2012-06-13,21.67,21.9,21.67,21.88,21.88,165435
2012-06-14,21.95,22.06,21.56,21.79,21.79,221547
2012-06-15,21.87,21.95,21.69,21.94,21.94,97123
2012-06-18,21.98,21.98,21.73,21.85,21.85,95151
2012-06-19,21.85,21.92,21.68,21.79,21.79,174189
2012-06-20,21.85,21.95,21.72,21.88,21.88,394883
2012-06-21,21.91,22.03,21.508,21.795,21.795,168144
2012-06-22,21.97,22.02,21.74,21.85,21.85,42437
2012-06-25,21.95,22,21.51,21.9,21.9,45747
2012-06-26,21.97,22,21.61,21.61,21.61,232610
2012-06-27,21.8,21.98,21.6,21.73,21.73,91555
2012-06-28,21.48,22.16,21.33,22.16,22.16,907655
2012-06-29,22.3,22.44,22.16,22.43,22.43,171442
2012-07-02,22.45,23,22.4,22.9,22.9,474925
2012-07-03,22.94,23.01,22.9,22.95,22.95,92691
2012-07-05,22.86,23.487,22.86,23.08,23.08,91927
2012-07-06,23.76,23.76,23.05,23.13,23.13,62706
2012-07-09,23.04,23.35,22.87,23.24,23.24,117121
2012-07-10,23.37,23.37,23.06,23.06,23.06,103278
2012-07-11,23.25,23.46,23.1,23.18,23.18,114861
2012-07-12,23.39,23.48,22.55,22.73,22.73,95373
2012-07-13,22.76,23.15,22.76,23.08,23.08,130872
2012-07-16,23.16,23.25,23.01,23.11,23.11,87680
2012-07-17,23.33,23.34,22.87,23.05,23.05,103560
2012-07-18,23.03,23.22,22.82,22.93,22.93,49505
2012-07-19,23.06,23.27,23,23,23,39725
2012-07-20,22.92,23.44,22.76,23.42,23.42,110502
2012-07-23,23.36,23.45,22.61,22.92,22.92,181400
2012-07-24,23.29,23.949,23.28,23.37,23.37,211845
2012-07-25,23.48,23.9,23.02,23.71,23.71,91242
2012-07-26,23.76,24,23.47,24,24,74033
2012-07-27,23.99,24.5,23.87,24.15,24.15,181164
2012-07-30,24.44,24.5,23.93,24.21,24.21,164360
2012-07-31,24,24.52,24,24.43,24.43,723342
2012-08-01,24.46,24.8399,23.92,24.02,24.02,69748
2012-08-02,23.9,24.25,23.24,23.87,23.87,70321
2012-08-03,24.49,24.5,24,24.37,24.37,51563
2012-08-06,24.7,24.89,23.8,24.28,24.28,138236
2012-08-07,25,25.24,24.0201,24.47,24.47,261522
2012-08-08,24.2,24.64,23.64,24.34,24.34,266745
2012-08-09,24.64,25.95,23.7201,24.02,24.02,140614
2012-08-10,24.1,24.36,23.75,23.79,23.79,133088
2012-08-13,23.93,25.1,23.89,24.98,24.98,39944
2012-08-14,24.86,25.23,24.4,24.93,24.93,73898
2012-08-15,24.7,25.08,24.5,24.9,24.9,142356
2012-08-16,25.2,25.2,24.78,24.99,24.99,238935
2012-08-17,25.05,25.12,24.95,25.05,25.05,150131
2012-08-20,25.5,25.5,24.4,24.47,24.47,32256
2012-08-21,24.7,25.21,24.51,25,25,85544
2012-08-22,25.48,25.48,24.5676,24.99,24.99,157533
2012-08-23,25,25.19,24.83,25.1,25.1,66577
2012-08-24,25.17,25.41,25,25.11,25.11,38919
2012-08-27,25.25,25.32,25.06,25.25,25.25,21240
2012-08-28,25.32,26,25.1,25.44,25.44,127006
2012-08-29,25.95,25.95,25.38,25.79,25.79,56993
2012-08-30,25.97,26,25.62,25.88,25.88,111349
2012-08-31,26.14,26.31,25.81,26.215,26.215,162890
2012-09-04,27.9,27.9,25.76,26.28,26.28,252985
2012-09-05,26.4,26.6,25.78,26.34,26.34,171341
2012-09-06,26.2,26.61,26.2,26.2,26.2,140669
2012-09-07,26.6,26.85,26.21,26.47,26.47,296825
2012-09-10,26.59,26.59,26.29,26.47,26.47,145648
2012-09-11,26.4,26.78,26.38,26.59,26.59,102868
2012-09-12,27.78,27.87,26.65,26.89,26.89,148333
2012-09-13,26.51,26.89,26.4,26.72,26.72,223485
2012-09-14,26.7,27.15,26.5,27.02,27.02,193242
2012-09-17,27.1,27.4,26.6,27.25,27.25,136009
2012-09-18,27.05,27.26,26.89,27.12,27.12,98018
2012-09-19,27.11,27.15,26.75,26.82,26.82,87841
2012-09-20,26.8,27,26.11,26.51,26.51,154960
2012-09-21,26.58,27,26.42,26.42,26.42,52070
2012-09-24,26.5,27,26.15,26.17,26.17,49260
2012-09-25,26.25,26.4,25.75,25.84,25.84,64413
2012-09-26,25.89,25.9437,25.34,25.69,25.69,81998
2012-09-27,25.61,25.88,25.53,25.85,25.85,76934
2012-09-28,25.55,26.84,25.55,26.24,26.24,266791
2012-10-01,26.21,26.21,25.96,26.12,26.12,59079
2012-10-02,26.21,26.21,25.5,25.64,25.64,119774
2012-10-03,25.63,26.19,25.49,25.6,25.6,155898
2012-10-04,25.62,26.17,25.56,25.66,25.66,52282
2012-10-05,25.85,26.9192,25.76,25.86,25.86,143486
2012-10-08,25.52,25.735,25.41,25.62,25.62,204176
2012-10-09,25.54,25.89,25.38,25.76,25.76,69148
2012-10-10,25.85,26.28,25.82,26.2,26.2,172963
2012-10-11,26.2,26.27,26.0001,26.19,26.19,58284
2012-10-12,26.32,26.56,25.54,25.65,25.65,100958
2012-10-15,25.68,26.38,25.65,26.2,26.2,94835
2012-10-16,26.55,26.55,25.71,26.03,26.03,106899
2012-10-17,26.13,26.36,25.81,26.32,26.32,84417
2012-10-18,26.45,26.45,26,26.32,26.32,111672
2012-10-19,26.23,26.37,25.7,25.77,25.77,113472
2012-10-22,26.14,26.33,25.8,26.25,26.25,142965
2012-10-23,26.17,26.19,25.62,25.69,25.69,54033
2012-10-24,25.84,25.86,25.55,25.73,25.73,32297
2012-10-25,25.82,26.1299,25.4115,25.95,25.95,69833
2012-10-26,25.9,25.92,25.51,25.82,25.82,27851
2012-10-31,26.08,26.08,25.6805,25.99,25.99,16532
2012-11-01,26.14,26.2,25.49,25.97,25.97,63892
2012-11-02,25.96,26.24,25.8,26.16,26.16,41217
2012-11-05,26.24,26.41,25.95,26.41,26.41,27450
2012-11-06,26.25,26.25,25.96,26.14,26.14,41123
2012-11-07,25.95,26.02,25.42,25.59,25.59,35325
2012-11-08,25.53,26.03,25.42,25.42,25.42,32027
2012-11-09,25.52,26.36,25.5,25.64,25.64,96270
2012-11-12,25.82,26.14,25.66,25.99,25.99,146574
2012-11-13,25.95,26.14,25.51,25.55,25.55,49452
2012-11-14,25.7,25.82,25.45,25.62,25.62,183194
2012-11-15,25.47,25.65,25.26,25.56,25.56,380351
2012-11-16,25.57,25.57,25.25,25.5,25.5,88267
2012-11-19,25.57,26,25.35,25.76,25.76,136904
2012-11-20,25.84,25.96,25.5,25.55,25.55,110996
2012-11-21,25.5,25.76,25.27,25.34,25.34,81331
2012-11-23,25.34,25.36,25.06,25.19,25.19,49787
2012-11-26,25.43,25.65,25.21,25.23,25.23,24666
2012-11-27,25.2,25.36,24.52,24.99,24.99,86945
2012-11-28,24.77,25.48,24.77,24.99,24.99,22667
2012-11-29,25.15,25.5,24.8201,25,25,29431
2012-11-30,25.14,25.4599,25.01,25.08,25.08,19845
2012-12-03,25.16,25.24,24.91,24.9677,24.9677,40862
2012-12-04,24.85,25.21,24.85,25.16,25.16,30580
2012-12-05,25.15,25.41,25.03,25.26,25.26,32858
2012-12-06,25.09,25.48,24.91,24.95,24.95,71375
2012-12-07,25,25.1868,24.81,24.95,24.95,69176
2012-12-10,24.89,24.97,24.761,24.94,24.94,29357
2012-12-11,24.95,25.15,24.93,25.1,25.1,288680
2012-12-12,25.01,25.25,24.73,24.85,24.85,62715
2012-12-13,24.9388,24.9388,24.6424,24.8284,24.8284,39954
2012-12-14,24.74,24.97,24.515,24.71,24.71,99831
2012-12-17,24.71,26.06,24.71,25.28,25.28,52139
2012-12-18,25.4,26.3,25.05,26.27,26.27,139234
2012-12-19,26.25,26.25,25.98,26.11,26.11,49186
2012-12-20,26.04,26.45,26.04,26.2,26.2,99965
2012-12-21,26,26.18,25.86,26.18,26.18,22480
2012-12-24,26.18,26.18,26.01,26.1,26.1,2790
2012-12-26,26.14,26.3188,26,26.01,26.01,30317
2012-12-27,26.2,26.2,26,26.19,26.19,29426
2012-12-28,26.02,26.2,25.85,25.85,25.85,45651
2012-12-31,25.75,26.099,25.75,26.03,26.03,64399
2013-01-02,26.26,26.4699,26.11,26.2,26.2,70456
2013-01-03,26.5,26.93,26.2,26.28,26.28,81054
2013-01-04,26.2,26.5,26.19,26.39,26.39,176339
2013-01-07,26.4,26.47,26.3,26.4,26.4,98535
2013-01-08,26.43,26.744,26.3201,26.46,26.46,94398
2013-01-09,26.77,26.77,26.4,26.45,26.45,102971
2013-01-10,26.6,26.71,26.4655,26.62,26.62,81361
2013-01-11,26.62,26.7,26.45,26.57,26.57,190568
2013-01-14,26.49,26.74,26.46,26.63,26.63,174264
2013-01-15,26.64,27,26.56,27,27,104955
2013-01-16,27,28.9199,27,27.91,27.91,153873
2013-01-17,27.73,28.24,27.56,27.93,27.93,84258
2013-01-18,27.98,29.156,27.98,28.58,28.58,120438
2013-01-22,28.64,29.31,28.27,29.12,29.12,132553
2013-01-23,29.15,29.19,28.99,29.15,29.15,70908
2013-01-24,29.17,29.98,29,29.74,29.74,211762
2013-01-25,30.05,31.739,29.74,30.98,30.98,191806
2013-01-28,31,31.4399,30.0102,30.61,30.61,167328
2013-01-29,30.41,30.72,30.05,30.55,30.55,67091
2013-01-30,30.5,30.795,30.5,30.53,30.53,42205
2013-01-31,30.65,31.47,30.51,31.24,31.24,53178
2013-02-01,32.62,33.419,31.58,31.9,31.9,173286
2013-02-04,31.87,32.32,31,31.02,31.02,83427
2013-02-05,31.23,31.69,29.7,30.49,30.49,294666
2013-02-06,31.29,32,30.5,31.49,31.49,153894
2013-02-07,31.61,32.38,30.59,31.1,31.1,114702
2013-02-08,31.21,32.2,31.1,32.17,32.17,65776
2013-02-11,32.4,33.6295,32.26,32.5,32.5,110102
2013-02-12,32.99,32.99,32.51,32.77,32.77,86152
2013-02-13,32.99,33.97,32.65,33.43,33.43,97938
2013-02-14,33.65,33.9999,33.3101,33.71,33.71,111712
