Date,Open,High,Low,Close,AdjustedClose,Volume
2018-12-11,15,15,14.8666,14.8666,14.8666,100
2018-12-12,14.8714,14.8714,14.8714,14.8714,14.8714,0
2018-12-13,15.0915,15.0915,15.0915,15.0915,15.0915,1
2018-12-14,14.6589,14.6589,14.6589,14.6589,14.6589,0
2018-12-17,14.4275,14.4275,14.4275,14.4275,14.4275,15
2018-12-18,14.4447,14.4447,14.4447,14.4447,14.4447,77
2018-12-19,13.8815,13.8815,13.8815,13.8815,13.8815,1
2018-12-20,13.6774,13.6774,13.6774,13.6774,13.6774,0
2018-12-21,13.4541,13.4541,13.4541,13.4541,13.4541,0
2018-12-24,13.398,13.398,13.398,13.398,13.398,90
2018-12-26,13.6097,13.6097,13.6097,13.6097,13.6097,0
2018-12-27,13.3611,13.3611,13.3611,13.3611,13.3611,0
2018-12-28,13.82,13.82,13.696,13.696,13.696,990
2018-12-31,13.79,13.79,13.5679,13.5679,13.5679,400
2019-01-02,13.2685,13.2685,13.2685,13.2685,13.2685,0
2019-01-03,12.6191,12.6191,12.6191,12.6191,12.6191,1
2019-01-04,13.5,13.5,13.2963,13.2963,13.2963,100
2019-01-07,13.3,13.3778,13.3,13.3778,13.3778,409
2019-01-08,13.6261,13.6261,13.6261,13.6261,13.6261,0
2019-01-09,13.7554,13.7554,13.7554,13.7554,13.7554,0
2019-01-10,14.3197,14.3197,14.3197,14.3197,14.3197,1
2019-01-11,14.29,14.29,14.1033,14.1033,14.1033,209
2019-01-14,13.9238,13.9238,13.9238,13.9238,13.9238,0
2019-01-15,14.0748,14.0748,14.0748,14.0748,14.0748,0
2019-01-16,14.5599,14.5599,14.5599,14.5599,14.5599,0
2019-01-17,14.6448,14.6448,14.6448,14.6448,14.6448,0
2019-01-18,15.0985,15.0985,15.0985,15.0985,15.0985,4
2019-01-22,14.59,14.59,14.42,14.5495,14.5495,415
2019-01-23,14.7573,14.7573,14.7573,14.7573,14.7573,0
2019-01-24,15.0262,15.0262,15.0262,15.0262,15.0262,0
2019-01-25,15.1991,15.1991,15.0655,15.0655,15.0655,456
2019-01-28,14.7019,14.7019,14.7019,14.7019,14.7019,5
2019-01-29,14.992,14.992,14.992,14.992,14.992,0
2019-01-30,14.91,15.0524,14.91,15.0524,15.0524,189
2019-01-31,15.67,15.67,15.5327,15.5327,15.5327,456
2019-02-01,15.7096,15.7096,15.643,15.643,15.643,168
2019-02-04,15.57,15.6098,15.57,15.6098,15.6098,100
2019-02-05,15.8035,15.8035,15.8035,15.8035,15.8035,6
2019-02-06,15.6462,15.6462,15.6462,15.6462,15.6462,0
2019-02-07,15.5737,15.5737,15.4786,15.4786,15.4786,280
2019-02-08,15.3804,15.3804,15.3804,15.3804,15.3804,0
2019-02-11,15.49,15.49,15.49,15.49,15.49,600
2019-02-12,15.9819,15.9819,15.9468,15.9468,15.9468,660
2019-02-13,16.08,16.08,16.0277,16.0277,16.0277,578
2019-02-14,16.21,16.2313,16.21,16.2313,16.2313,500
2019-02-15,16.0728,16.0728,16.0728,16.0728,16.0728,10
2019-02-19,15.75,15.75,15.671,15.671,15.671,646
2019-02-20,15.62,15.62,15.58,15.58,15.58,415
2019-02-21,15.68,15.68,15.68,15.68,15.68,653
2019-02-22,15.9953,15.9953,15.9953,15.9953,15.9953,13
2019-02-25,16.34,16.34,16.0917,16.0917,16.0917,2078
2019-02-26,16.43,16.43,16.43,16.43,16.43,200
2019-02-27,16.37,16.37,16.1628,16.1628,16.1628,415
2019-02-28,16.1329,16.1329,16.1329,16.1329,16.1329,0
2019-03-01,16.4608,16.47,16.399,16.399,16.399,1276
2019-03-04,16.8596,16.8596,16.7,16.8063,16.8063,1417
2019-03-05,17.02,17.12,17.02,17.1105,17.1105,451
2019-03-06,17.215,17.25,17.184,17.2,17.2,4451
2019-03-07,16.5631,16.5631,16.5631,16.5631,16.5631,126
2019-03-08,16,16.24,16,16.1451,16.1451,902
2019-03-11,16.4,16.725,16.4,16.725,16.725,555
2019-03-12,16.95,17.0331,16.876,16.93,16.93,7728
2019-03-13,16.89,16.89,16.75,16.75,16.75,1351
2019-03-14,16.4619,16.4619,16.4619,16.4619,16.4619,50
2019-03-15,16.85,16.85,16.6931,16.6931,16.6931,604
2019-03-18,16.86,17.12,16.86,17.0339,17.0339,8928
2019-03-19,17.389,17.4,17.38,17.38,17.38,1069
2019-03-20,17.0819,17.36,17.0819,17.2076,17.2076,384
2019-03-21,17.3482,17.48,17.3482,17.418,17.418,482
2019-03-22,17.18,17.18,16.8648,16.8648,16.8648,1443
2019-03-25,16.7,16.7,16.6876,16.6876,16.6876,2001
2019-03-26,16.4564,16.4564,16.4564,16.4564,16.4564,273
2019-03-27,16.6143,16.6143,16.6143,16.6143,16.6143,125
2019-03-28,16.616,16.6309,16.5334,16.6309,16.6309,200
2019-03-29,17.0448,17.0848,17.0448,17.0848,17.0848,236
2019-04-01,17.27,17.27,17.2194,17.2281,17.2281,677
2019-04-02,17.1451,17.1451,17.1276,17.1276,17.1276,296
2019-04-03,17.44,17.4499,17.3,17.3,17.3,6939
2019-04-04,17.3,17.57,17.3,17.4452,17.4452,760
2019-04-05,17.5882,17.5882,17.5882,17.5882,17.5882,0
2019-04-08,17.7934,17.7934,17.7934,17.7934,17.7934,37
2019-04-09,18.27,18.54,18.1101,18.1101,18.1101,5908
2019-04-10,18.3872,18.3872,18.3872,18.3872,18.3872,3
2019-04-11,18.2,18.2,18.0423,18.0423,18.0423,609
2019-04-12,18.14,18.288,17.57,17.9708,17.9708,6088
2019-04-15,17.9008,17.9008,17.9008,17.9008,17.9008,188
2019-04-16,18.0048,18.0048,18.0048,18.0048,18.0048,9
2019-04-17,18.0405,18.0405,17.97,17.97,17.97,345
2019-04-18,17.84,17.91,17.73,17.73,17.73,3677
2019-04-22,17.4066,17.5512,17.4066,17.5512,17.5512,638
2019-04-23,17.6,17.65,17.4633,17.4633,17.4633,3559
2019-04-24,17.66,17.69,17.37,17.37,17.37,1883
2019-04-25,17.1139,17.1163,17.1139,17.1163,17.1163,129
2019-04-26,17.378,17.378,17.1517,17.1517,17.1517,574
2019-04-29,17.26,17.26,17.26,17.26,17.26,1460
2019-04-30,17.52,17.52,17.2959,17.2959,17.2959,534
2019-05-01,17.1855,17.244,17.1855,17.244,17.244,230
2019-05-02,17.4,17.4,17.1956,17.1956,17.1956,354
2019-05-03,17.6054,17.6054,17.6054,17.6054,17.6054,0
2019-05-06,16.79,16.9474,16.6157,16.91,16.91,1501
2019-05-07,16.5107,16.5107,16.5107,16.5107,16.5107,0
2019-05-08,16.3132,16.3132,16.3132,16.3132,16.3132,1265
2019-05-09,15.46,15.9142,15.46,15.9142,15.9142,300
2019-05-10,16.1697,16.58,16.1697,16.2664,16.2664,944
2019-05-13,15.53,15.631,15.53,15.631,15.631,306
2019-05-14,15.96,16.13,15.8422,15.8422,15.8422,1676
2019-05-15,16.48,16.48,16.2408,16.2408,16.2408,100
2019-05-16,16.62,16.62,16.43,16.43,16.43,839
2019-05-17,15.9675,15.9675,15.9675,15.9675,15.9675,17
2019-05-20,15.62,15.62,15.4867,15.4867,15.4867,131
2019-05-21,15.3,15.5494,15.3,15.5494,15.5494,419
2019-05-22,15.5479,15.5479,15.5479,15.5479,15.5479,0
2019-05-23,15.02,15.2357,15.02,15.2357,15.2357,617
2019-05-24,15.26,15.27,15.1421,15.2076,15.2076,17604
