Date,Open,High,Low,Close,AdjustedClose,Volume
2007-05-25,12,13,11.97,12.04,12.04,8452661
2007-05-29,12.04,12.08,12,12.04,12.04,1929471
2007-05-30,12,12.03,12,12,12,261067
2007-05-31,12,12.61,12,12.35,12.35,916040
2007-06-01,12.69,13.25,12.25,13.11,13.11,893894
2007-06-04,13.4,13.57,12.77,13.17,13.17,716689
2007-06-05,13.3,13.52,13.14,13.23,13.23,428332
2007-06-06,13.23,13.23,12.4,12.7,12.7,347907
2007-06-07,12.77,13,12.33,12.75,12.75,156960
2007-06-08,12.6,12.74,12.4,12.72,12.72,136243
2007-06-11,12.88,12.88,12.61,12.61,12.61,86866
2007-06-12,12.75,12.84,12.71,12.79,12.79,58654
2007-06-13,12.75,13.1,12.75,12.9,12.9,169660
2007-06-14,13,13.4,12.93,13.05,13.05,217045
2007-06-15,13.13,13.13,12.71,13.08,13.08,158385
2007-06-18,13.1,13.679,13.04,13.31,13.31,174047
2007-06-19,13.37,13.72,13.25,13.58,13.58,151821
2007-06-20,13.7,13.9,13.46,13.46,13.46,235655
2007-06-21,13.5,13.55,13.26,13.26,13.26,148335
2007-06-22,13.35,13.35,12.56,12.56,12.56,902441
2007-06-25,12.5,12.52,11.4,11.83,11.83,774697
2007-06-26,12,12.05,11.71,11.75,11.75,219521
2007-06-27,11.7,12.05,11.7,11.94,11.94,134029
2007-06-28,11.99,12.5,11.83,12.5,12.5,393753
2007-06-29,12.5,12.65,12.25,12.56,12.56,201307
2007-07-02,12.59,12.83,12.41,12.8,12.8,195502
2007-07-03,12.83,13.04,12.68,12.88,12.88,116076
2007-07-05,13.1,13.15,12.77,13.07,13.07,119921
2007-07-06,13.07,13.16,12.67,13.11,13.11,170987
2007-07-09,13.25,13.4194,13.15,13.2999,13.2999,144487
2007-07-10,13.28,13.4,12.7,12.75,12.75,143413
2007-07-11,12.84,13.1,12.67,13,13,99480
2007-07-12,13,13.25,12.87,13.24,13.24,79629
2007-07-13,13.25,13.59,13.23,13.44,13.44,136503
2007-07-16,13.6,15,13.5,14.96,14.96,494461
2007-07-17,15.2,15.97,15.12,15.22,15.22,602405
2007-07-18,15.8,16.3,15.51,15.97,15.97,638171
2007-07-19,16.5,16.5,15.42,15.46,15.46,520236
2007-07-20,16.4,16.45,15.75,15.92,15.92,1437229
2007-07-23,16.19,18.09,15.98,17.47,17.47,1327916
2007-07-24,17.74,17.76,16,16.5,16.5,833577
2007-07-25,16.83,16.99,15.25,16,16,469234
2007-07-26,15.74,15.92,14.75,15.04,15.04,428889
2007-07-27,14.74,15.1499,14.01,14.42,14.42,445761
2007-07-30,14.35,14.45,13.5,13.84,13.84,607578
2007-07-31,13.86,16,13.86,15.82,15.82,865830
2007-08-01,15.43,15.68,14.5,14.87,14.87,355291
2007-08-02,15.2,16.5016,15.2,15.8,15.8,806805
2007-08-03,16.05,16.9,15.37,15.45,15.45,762747
2007-08-06,15.99,16.5,15.25,16.31,16.31,498213
2007-08-07,16.44,17.05,16.02,16.95,16.95,703507
2007-08-08,17.37,18.8,17.07,17.96,17.96,898424
2007-08-09,17.5,18.4,16.65,18.02,18.02,691003
2007-08-10,17.9,18.38,17.3,17.5601,17.5601,444110
2007-08-13,18,18.3,16.75,17.25,17.25,585939
2007-08-14,16.83,17,13.06,13.35,13.35,2562238
2007-08-15,13.4,14,12.55,12.82,12.82,696708
2007-08-16,12.5,12.527,10.81,11.55,11.55,1725902
