Date,Open,High,Low,Close,AdjustedClose,Volume
1986-05-29,2.125,2.375,2.125,2.125,2.125,31000
1986-05-30,2.25,2.312,2.25,2.25,2.25,26500
1986-06-02,2.187,2.312,2.187,2.187,2.187,22800
1986-06-03,2.25,2.312,2.25,2.25,2.25,9000
1986-06-04,2.25,2.312,2.25,2.25,2.25,19500
1986-06-05,2.25,2.312,2.25,2.25,2.25,13000
1986-06-06,2.562,2.625,2.562,2.562,2.562,92800
1986-06-09,2.25,2.5,2.25,2.25,2.25,21200
1986-06-10,2.125,2.25,2.125,2.125,2.125,17500
1986-06-11,2.187,2.25,2.187,2.187,2.187,8000
1986-06-12,2.437,2.562,2.437,2.437,2.437,48000
1986-06-13,2.437,2.5,2.437,2.437,2.437,11000
1986-06-16,2.437,2.5,2.437,2.437,2.437,24400
1986-06-17,2.5,2.562,2.5,2.5,2.5,54500
1986-06-18,2.5,2.562,2.5,2.5,2.5,30700
1986-06-19,2.375,2.562,2.375,2.375,2.375,9700
1986-06-20,2.375,2.5,2.375,2.375,2.375,20300
1986-06-23,2.25,2.375,2.25,2.25,2.25,2600
1986-06-24,2.25,2.375,2.25,2.25,2.25,2000
1986-06-25,2.125,2.25,2.125,2.125,2.125,22300
1986-06-26,2.125,2.25,2.125,2.125,2.125,1200
1986-06-27,2.125,2.312,2.125,2.125,2.125,48700
1986-06-30,2.125,2.187,2.125,2.125,2.125,28800
1986-07-01,2.125,2.187,2.125,2.125,2.125,38200
1986-07-02,2.312,2.375,2.312,2.312,2.312,67300
1986-07-03,2.5,2.562,2.5,2.5,2.5,39300
1986-07-07,2.375,2.5,2.375,2.375,2.375,17500
1986-07-08,2.062,2.125,2.062,2.062,2.062,27600
1986-07-09,2.187,2.25,2.187,2.187,2.187,13600
1986-07-10,2.25,2.312,2.25,2.25,2.25,6600
1986-07-11,2.25,2.312,2.25,2.25,2.25,25700
1986-07-14,2.187,2.25,2.187,2.187,2.187,8800
1986-07-15,2.125,2.25,2.125,2.125,2.125,5500
1986-07-16,2.062,2.125,2.062,2.062,2.062,29200
1986-07-17,2.125,2.187,2.125,2.125,2.125,12500
1986-07-18,2.125,2.187,2.125,2.125,2.125,7900
1986-07-21,2.062,2.25,2.062,2.062,2.062,11200
1986-07-22,2.125,2.187,2.125,2.125,2.125,8700
1986-07-23,2.125,2.187,2.125,2.125,2.125,13000
1986-07-24,2.125,2.187,2.125,2.125,2.125,8400
1986-07-25,2.125,2.187,2.125,2.125,2.125,2000
1986-07-28,2.062,2.187,2.062,2.062,2.062,16200
1986-07-29,2.062,2.187,2.062,2.062,2.062,10700
1986-07-30,2.062,2.125,2.062,2.062,2.062,22300
1986-07-31,2.062,2.187,2.062,2.062,2.062,1500
1986-08-01,2,2.062,2,2,2,12000
1986-08-04,1.812,1.875,1.812,1.812,1.812,23700
1986-08-05,1.75,1.875,1.75,1.75,1.75,12500
1986-08-06,1.75,1.875,1.75,1.75,1.75,6000
1986-08-07,1.75,1.875,1.75,1.75,1.75,3600
1986-08-08,1.75,1.875,1.75,1.75,1.75,1000
1986-08-11,1.75,1.812,1.75,1.75,1.75,23100
1986-08-12,1.75,1.812,1.75,1.75,1.75,800
1986-08-13,1.75,1.875,1.75,1.75,1.75,7200
1986-08-14,1.75,1.875,1.75,1.75,1.75,5500
1986-08-15,1.75,1.812,1.75,1.75,1.75,4700
1986-08-19,1.437,1.562,1.437,1.437,1.437,20700
1986-08-20,1.5,1.625,1.5,1.5,1.5,12300
1986-08-21,1.5,1.625,1.5,1.5,1.5,5400
1986-08-22,1.437,1.562,1.437,1.437,1.437,19000
1986-08-25,1.375,1.5,1.375,1.375,1.375,15900
1986-08-26,1.375,1.5,1.375,1.375,1.375,1000
1986-08-27,1.25,1.375,1.25,1.25,1.25,12000
1986-08-28,1.5,1.562,1.5,1.5,1.5,34300
1986-08-29,1.625,1.687,1.625,1.625,1.625,24200
1986-09-02,1.75,1.812,1.75,1.75,1.75,11500
1986-09-03,1.75,1.812,1.75,1.75,1.75,5000
1986-09-04,1.75,1.812,1.75,1.75,1.75,1700
1986-09-05,1.625,1.75,1.625,1.625,1.625,4900
