Date,Open,High,Low,Close,AdjustedClose,Volume
2021-04-01,10,10,8.08,8.54,8.54,8789939
2021-04-05,8.79,8.93,7.52,8.05,8.05,1872307
2021-04-06,8.1,8.58,7.89,8.35,8.35,1114904
2021-04-07,8.16,8.6,8.16,8.42,8.42,479139
2021-04-08,8.29,8.49,7.99,8.25,8.25,980714
2021-04-09,8.2,8.25,7.48,8.15,8.15,1058848
2021-04-12,7.93,8.08,7.06,7.16,7.16,994614
2021-04-13,7.16,8.09,7.16,8.09,8.09,1169616
2021-04-14,8.11,8.45,8.105,8.37,8.37,440214
2021-04-15,8.37,8.55,8.23,8.45,8.45,504852
2021-04-16,8.37,8.5,8.09,8.49,8.49,161315
2021-04-19,8.41,8.55,8.3,8.49,8.49,348122
2021-04-20,8.46,8.62,8.18,8.54,8.54,488337
2021-04-21,8.45,8.55,8.205,8.54,8.54,267678
2021-04-22,8.58,8.65,8.38,8.4,8.4,437953
2021-04-23,8.48,8.5,7.92,8.27,8.27,187622
2021-04-26,8.3,8.5699,7.95,8.1,8.1,418761
2021-04-27,8.15,9.4,8.15,8.47,8.47,1416900
2021-04-28,8.7,9.7499,8.7,9.21,9.21,1229277
2021-04-29,9.35,9.69,8.01,8.06,8.06,650759
2021-04-30,8.09,8.3,7.57,7.58,7.58,658518
2021-05-03,7.79,7.85,7.21,7.31,7.31,340366
2021-05-04,7.3,7.4,7.05,7.34,7.34,652174
2021-05-05,7.5,7.96,7.4,7.82,7.82,326772
2021-05-06,7.73,7.8501,7.2892,7.66,7.66,409460
2021-05-07,7.68,7.81,7.43,7.6,7.6,170660
2021-05-10,7.63,7.63,6.84,6.88,6.88,419095
2021-05-11,6.7,6.94,6.54,6.91,6.91,73353
2021-05-12,6.89,6.9,6.5,6.65,6.65,245541
2021-05-13,6.72,6.955,6.03,6.09,6.09,363002
2021-05-14,6.29,6.9,6.16,6.21,6.21,458016
2021-05-17,6.28,6.49,6.13,6.2,6.2,211569
2021-05-18,6.25,6.43,5.98,6.1,6.1,473241
2021-05-19,6.36,6.36,6,6.13,6.13,218757
2021-05-20,6.07,6.2509,6.04,6.19,6.19,125980
2021-05-21,6.24,6.24,6.13,6.22,6.22,100220
2021-05-24,6.2,6.24,5.79,5.83,5.83,253568
2021-05-25,5.91,5.99,5.86,5.88,5.88,159270
2021-05-26,5.91,6.1492,5.86,6.11,6.11,141958
2021-05-27,6.18,6.18,6.01,6.08,6.08,80390
2021-05-28,6.19,6.19,5.97,6.04,6.04,95412
2021-06-01,6.12,6.19,5.88,6.02,6.02,163358
2021-06-02,6.06,6.79,6.06,6.78,6.78,334871
2021-06-03,6.71,6.74,6.35,6.35,6.35,173312
2021-06-04,6.45,7.52,6.35,7.15,7.15,418981
2021-06-07,6.95,7.29,6.83,7.12,7.12,118335
2021-06-08,7.12,7.25,7.03,7.11,7.11,61833
2021-06-09,7.11,7.11,6.73,6.9,6.9,143132
2021-06-10,6.81,6.81,6.33,6.44,6.44,184615
2021-06-11,6.44,6.55,6.36,6.54,6.54,77812
2021-06-14,6.49,6.59,6.44,6.49,6.49,52025
2021-06-15,6.47,6.64,6.35,6.44,6.44,46335
2021-06-16,6.43,6.49,6.26,6.37,6.37,48691
2021-06-17,6.41,6.7,6.26,6.29,6.29,71066
2021-06-18,6.25,6.32,6.18,6.19,6.19,26216
2021-06-21,6.15,6.3949,6.1356,6.34,6.34,36228
2021-06-22,6.46,6.46,6,6.19,6.19,85910
2021-06-23,6.2,6.29,6.18,6.18,6.18,29716
2021-06-24,6.21,6.4,6.11,6.19,6.19,82868
2021-06-25,6.16,6.18,6.02,6.08,6.08,76446
2021-06-28,6.18,6.18,6.01,6.01,6.01,61620
2021-06-29,6.08,6.1983,5.96,6.07,6.07,63419
2021-06-30,6.03,6.17,6,6.07,6.07,79003
2021-07-01,6.08,6.09,6,6.02,6.02,52773
2021-07-02,6.02,6.03,5.83,5.83,5.83,323858
2021-07-06,5.82,5.9,5.62,5.62,5.62,92546
2021-07-07,5.68,5.68,5.25,5.31,5.31,103463
2021-07-08,5.16,5.2715,5.0686,5.17,5.17,106956
2021-07-09,5.34,5.34,5.1,5.2,5.2,62115
2021-07-12,5.21,5.2913,5.2,5.24,5.24,37261
2021-07-13,5.25,5.31,5.19,5.31,5.31,124024
2021-07-14,5.42,5.57,5.35,5.51,5.51,53572
2021-07-15,5.5,5.99,5.5,5.66,5.66,143633
2021-07-16,5.68,5.9,5.42,5.5,5.5,35822
2021-07-19,5.35,5.52,5.2,5.47,5.47,61658
