Date,Open,High,Low,Close,AdjustedClose,Volume
1999-02-12,19,25.5,14,20.4688,20.4688,4515400
1999-02-16,25.625,25.625,21.125,23.125,23.125,1998900
1999-02-17,23.375,23.375,20.5,21,21,586000
1999-02-18,21.25,21.5,19,19.875,19.875,514800
1999-02-19,19.875,20.5,19.375,19.6875,19.6875,183100
1999-02-22,20,22,19.5,20.75,20.75,222600
1999-02-23,21.375,22,20.5625,21.625,21.625,196900
1999-02-24,22.125,23.125,21.625,21.625,21.625,239900
1999-02-25,21.625,21.75,19.75,21,21,191900
1999-02-26,22,23,20.625,21,21,239800
1999-03-01,21.3125,21.625,19.875,20.75,20.75,94100
1999-03-02,21,23,21,21.375,21.375,361300
1999-03-03,21.625,22.625,20.875,22,22,136300
1999-03-04,22.125,24,21.875,22.8125,22.8125,277400
1999-03-05,23.125,24.5,23,23.4375,23.4375,332600
1999-03-08,23.9375,29.75,23.625,29,29,886300
1999-03-09,29.625,30.75,26.5,28,28,656800
1999-03-10,29.0625,29.875,26.5,29.75,29.75,613900
1999-03-11,31.25,47.25,31.25,37.625,37.625,4188300
1999-03-12,42.5,60.75,41,57.8594,57.8594,9950900
1999-03-15,66,94,65,92.25,92.25,7038500
1999-03-16,96,98,65,68.5,68.5,9604700
1999-03-17,74,79.5625,70,77.625,77.625,4704300
1999-03-18,71.5,79.375,71,72,72,2160900
1999-03-19,72,74.25,63.5,66,66,2073600
1999-03-22,66.25,66.25,55,56.5,56.5,1898500
1999-03-23,52.375,56,47,52.5,52.5,1851100
1999-03-24,52.875,72.5,52.75,71.5,71.5,5182000
1999-03-25,77.5,79.125,64.75,67.4375,67.4375,3560300
1999-03-26,62.625,71,62.25,66,66,1047600
1999-03-29,67,70,63.75,64.5,64.5,755100
1999-03-30,64,64.125,60.125,60.875,60.875,622400
1999-03-31,61.75,65,60.25,63.8125,63.8125,676400
1999-04-01,66,67.25,62.625,64.5,64.5,549000
1999-04-05,64.75,66,60.25,61.5,61.5,503600
1999-04-06,60.75,65.25,57,61,61,990200
1999-04-07,63.375,63.5,60.0625,60.375,60.375,351900
1999-04-08,61,62.875,57,60.75,60.75,265900
1999-04-09,61.875,71,61.125,64.5,64.5,1639700
1999-04-12,64,69.5,63,64.625,64.625,606600
1999-04-13,68.5,73.25,66,68.8125,68.8125,969500
1999-04-14,73.75,75.5,60.9375,62.25,62.25,802400
1999-04-15,64.125,64.375,50,60,60,610000
1999-04-16,60.5,62.125,58.625,61,61,208800
1999-04-19,61,61.875,46.125,47.625,47.625,667200
1999-04-20,46,55,42,49.875,49.875,851100
1999-04-21,54.875,61,50,60.875,60.875,791200
1999-04-22,62.5,62.75,55.5,59,59,484700
1999-04-23,62,66.5,60.125,61,61,1130200
1999-04-26,60,60.9375,58,59,59,380800
1999-04-27,61,61.75,57,57,57,429000
1999-04-28,57,57.75,54.5,54.625,54.625,213400
1999-04-29,54.625,54.75,52,53.25,53.25,158300
1999-04-30,54,58.75,53.125,58.5,58.5,501700
1999-05-03,59.625,62.875,56.5,61.9375,61.9375,907800
1999-05-04,63.75,64.875,57.6875,57.6875,57.6875,1089100
1999-05-05,57.75,61.375,51,61,61,469300
1999-05-06,56.125,61.5,56.0625,56.5,56.5,228000
1999-05-07,56.5,58.5,53.625,55,55,207100
1999-05-10,54.625,58,54.25,56.5,56.5,115300
1999-05-11,56,58.375,55.8125,56.625,56.625,151500
1999-05-12,56.375,57.875,55.75,56,56,99900
1999-05-13,56,57,53,53.125,53.125,198600
1999-05-14,52,52.75,49.75,52.25,52.25,255400
1999-05-17,50,52.5,49.5,51,51,90100
1999-05-18,51,52.5,51,52.375,52.375,118400
1999-05-19,52.25,54,51.25,51.5625,51.5625,76800
1999-05-20,51.625,51.875,48.5,48.75,48.75,151300
1999-05-21,50.25,50.25,45.5,45.875,45.875,274300
1999-05-24,45,45.875,39,41,41,297100
1999-05-25,40.875,41,36.125,37,37,213600
1999-05-26,38.25,40.375,32,40.25,40.25,375700
1999-05-27,39.75,40.75,35.5,40.375,40.375,198200
1999-05-28,40.125,42.75,40,41.25,41.25,119300
1999-06-01,41.125,41.125,38,38.0625,38.0625,74000
1999-06-02,38,38,34.0625,37.125,37.125,154400
1999-06-03,36.125,38,33.8125,33.8125,33.8125,106600
1999-06-04,33.5,35.25,32.5625,34.5,34.5,139700
1999-06-07,34.75,39.9375,34.5,39.25,39.25,186100
1999-06-08,39,40,35.5,37.5,37.5,104100
1999-06-09,38,40,37.5,39.625,39.625,65400
1999-06-10,38.125,40.875,37.5,38.875,38.875,105000
1999-06-11,39,39.875,37.25,37.75,37.75,112600
1999-06-14,37.5,38.875,34,35,35,196800
1999-06-15,33.1875,34.9375,32.625,34.5,34.5,142800
1999-06-16,35.5,38,35,36.125,36.125,215500
1999-06-17,36.5,37.5,35.5,36.875,36.875,145100
1999-06-18,36.125,38,36.125,37.25,37.25,54400
1999-06-21,36.9375,45,36.9375,41.75,41.75,249600
1999-06-22,42,44.75,39.5,40.5,40.5,217000
1999-06-23,39.6875,43,39.125,42.5,42.5,94000
1999-06-24,42.875,42.875,39.875,39.875,39.875,84400
1999-06-25,39.8125,41.5,38.5,39.5,39.5,56300
1999-06-28,39,40.75,39,40.375,40.375,54900
1999-06-29,40.6563,42.5,40,41.5625,41.5625,101700
1999-06-30,42.5,53.375,41.75,53,53,429800
1999-07-01,50.875,52,45.5,47.5,47.5,260400
1999-07-02,47.375,52.75,47.25,51,51,167800
1999-07-06,51.8125,53.5,49.8125,50.625,50.625,159600
1999-07-07,50.25,50.4375,49,49.375,49.375,62500
1999-07-08,49.4375,50.875,48.5,50,50,55100
1999-07-09,48.75,51.75,48.75,49.25,49.25,86700
1999-07-12,49,54.25,49,52.25,52.25,260800
1999-07-13,51.5,54.25,50,53.875,53.875,166000
1999-07-14,53.375,56,52.125,55.25,55.25,192800
1999-07-15,55.9375,56.25,52.5,53.375,53.375,92300
1999-07-16,53.375,54.125,51.125,52.125,52.125,116600
1999-07-19,53,55,52,52.5625,52.5625,155400
1999-07-20,52.125,52.125,47,47.25,47.25,118300
1999-07-21,48,49.5,46.75,47.4375,47.4375,104000
1999-07-22,47.7188,47.875,45,45,45,56000
1999-07-23,44.0625,45.1875,42.5,42.5625,42.5625,82800
1999-07-26,43,43,39.625,39.625,39.625,88400
1999-07-27,41,42.625,40.25,42.125,42.125,70500
1999-07-28,42.625,42.6875,41,41.8125,41.8125,53300
1999-07-29,41.5,42,39.9375,40.0625,40.0625,58500
1999-07-30,40.625,42,39.5,39.75,39.75,33600
1999-08-02,40.25,40.25,38.5,38.5625,38.5625,58600
1999-08-03,39.5,39.5,33,33.9375,33.9375,168000
1999-08-04,35.1875,35.25,29.75,30.4375,30.4375,205500
1999-08-05,30.125,33.625,27.625,32.0625,32.0625,197800
1999-08-06,30.125,34.5,30,34,34,120600
1999-08-09,33.75,36.75,33.75,35,35,178300
1999-08-10,34.75,35.0625,29.5,33.625,33.625,261000
1999-08-11,34,34.5,31,31.5,31.5,172000
1999-08-12,31.5625,32.1875,29,31.25,31.25,369300
1999-08-13,31.25,34,31.25,33.3125,33.3125,177200
1999-08-16,33.25,34.125,32,33.125,33.125,110700
1999-08-17,33.625,34.75,32.125,34,34,150900
