Date,Open,High,Low,Close,AdjustedClose,Volume
1992-09-11,14.25,14.25,14.125,14.125,14.125,464
1992-09-14,14,14,13.875,13.875,13.875,1858
1992-09-15,13.75,13.75,13.75,13.75,13.75,464
1992-09-16,13.625,13.625,13.625,13.625,13.625,232
1992-09-17,13.375,13.375,13.375,13.375,13.375,813
1992-09-18,13.125,13.125,13,13,13,1045
1992-09-21,12.875,12.875,12,12,12,10105
1992-09-22,11.75,11.75,11.375,11.375,11.375,4065
1992-09-23,10.875,10.875,10.25,10.25,10.25,5923
1992-09-24,10,10,8.75,8.75,8.75,6156
1992-09-25,8.625,8.625,8.5,8.625,8.625,3019
1992-09-28,8.625,8.625,8.625,8.625,8.625,813
1992-09-29,8.625,8.625,8.625,8.625,8.625,2555
1992-10-06,8.625,8.625,8,8,8,4529
1992-10-07,8.125,8.25,8,8,8,2090
1992-10-08,8.125,8.25,8.125,8.125,8.125,4297
1992-10-12,8,8,7.75,7.75,7.75,1742
1992-10-13,7.875,8,7.75,7.75,7.75,2555
1992-10-14,7.625,7.625,7.5,7.5,7.5,2206
1992-10-15,7.375,7.625,7.375,7.625,7.625,1045
1992-10-16,7.625,7.625,7.375,7.375,7.375,1858
1992-10-19,7.5,7.5,7.5,7.5,7.5,813
1992-10-20,7.625,7.625,7.5,7.5,7.5,3019
1992-10-21,7.5,7.5,7.375,7.375,7.375,1161
1992-10-22,7.5,7.5,7.375,7.375,7.375,929
1992-10-23,7.25,7.25,7.125,7.125,7.125,3019
1992-10-26,7,7,6.75,6.75,6.75,813
1992-10-28,6.875,6.875,6.625,6.875,6.875,10105
1992-10-29,7,7.5,7,7.5,7.5,5807
1992-10-30,7.75,7.875,7.75,7.875,7.875,4646
1992-11-02,7.625,7.875,7.5,7.5,7.5,6504
1992-11-03,7.75,7.875,7.75,7.75,7.75,8130
1992-11-05,7.75,7.75,7.625,7.625,7.625,7782
1992-11-06,7.625,7.75,7.625,7.75,7.75,1393
1992-11-09,7.875,7.875,7.625,7.625,7.625,4297
1992-11-10,7.625,7.75,7.625,7.75,7.75,2090
1992-11-12,7.875,8.125,7.75,8.125,8.125,2323
1992-11-13,8.25,8.5,8.25,8.25,8.25,1509
1992-11-16,8.375,8.5,8.375,8.5,8.5,696
1992-11-17,8.5,8.5,8.25,8.25,8.25,3019
1992-11-18,8.5,8.625,8.5,8.625,8.625,1742
1992-11-19,8.75,8.75,8.75,8.75,8.75,813
1992-11-23,8.75,8.75,8.125,8.125,8.125,9989
1992-11-24,8.25,8.25,8.125,8.25,8.25,5923
1992-11-25,8.125,8.125,8,8,8,18932
1992-11-27,8,8.125,8,8.125,8.125,1974
1992-11-30,8,8,8,8,8,1161
1992-12-01,8,8.125,8,8.125,8.125,1277
1992-12-02,8.125,8.5,8.125,8.5,8.5,4297
1992-12-03,8.5,8.625,8.375,8.625,8.625,1858
1992-12-04,8.5,8.875,8.5,8.75,8.75,5575
1992-12-07,8.875,8.875,8.75,8.875,8.875,2903
1992-12-08,9,9,8.625,8.625,8.625,3484
1992-12-09,8.625,8.875,8.625,8.875,8.875,1045
1992-12-10,9,9,9,9,9,1161
1992-12-11,9,9,9,9,9,1858
1992-12-14,9.125,9.125,8.75,9,9,3019
1992-12-15,8.875,9.25,8.875,9.25,9.25,2439
1992-12-16,9.25,9.625,9.25,9.25,9.25,7549
1992-12-17,9.375,9.75,9.375,9.625,9.625,6504
1992-12-18,9.75,10,9.5,10,10,8595
1992-12-21,10,10,10,10,10,929
1992-12-22,10,10,10,10,10,813
1992-12-23,9.875,9.875,9.75,9.75,9.75,3833
1992-12-24,9.625,9.625,9.625,9.625,9.625,232
1992-12-28,9.75,9.75,9.75,9.75,9.75,580
1992-12-29,9.75,9.75,9.75,9.75,9.75,1161
1992-12-30,9.625,9.625,9.625,9.625,9.625,2323
1992-12-31,9.875,9.875,9.875,9.875,9.875,1742
1993-01-04,9.75,10.125,9.75,10.125,10.125,1626
1993-01-05,10,10.375,10,10.375,10.375,2090
1993-01-06,10.5,10.625,10.375,10.625,10.625,4646
1993-01-07,10.75,10.75,10.5,10.5,10.5,1626
1993-01-08,10.375,10.75,10.375,10.75,10.75,1974
1993-01-11,10.625,10.625,10.375,10.625,10.625,5110
1993-01-12,10.5,10.5,10.375,10.5,10.5,3716
1993-01-13,10.625,10.875,10.625,10.625,10.625,2439
1993-01-14,10.625,10.875,10.625,10.875,10.875,464
1993-01-15,10.75,10.875,10.625,10.875,10.875,3949
1993-01-19,10.875,10.875,10.75,10.875,10.875,2323
1993-01-20,10.75,10.875,10.625,10.875,10.875,1626
1993-01-21,10.75,10.75,10.625,10.625,10.625,580
1993-01-22,10.625,10.875,10.625,10.875,10.875,4297
1993-01-26,10.625,10.625,10.625,10.625,10.625,813
1993-01-27,10.625,10.75,10.625,10.625,10.625,3716
1993-01-28,10.625,10.625,10.625,10.625,10.625,1742
1993-01-29,10.625,10.875,10.625,10.625,10.625,3019
1993-02-01,10.625,10.875,10.625,10.875,10.875,1393
1993-02-02,10.75,11,10.75,11,11,1974
1993-02-03,11,11,11,11,11,580
1993-02-04,11,11,10.875,11,11,1509
1993-02-08,11,11,10.875,11,11,1393
1993-02-09,11,11,10.875,10.875,10.875,1161
1993-02-10,11,11,10.875,11,11,1742
1993-02-11,11,11,10.875,10.875,10.875,1858
1993-02-12,10.875,10.875,10.875,10.875,10.875,232
1993-02-16,10.875,10.875,10.875,10.875,10.875,232
1993-02-17,10.75,10.75,10.75,10.75,10.75,696
1993-02-18,10.75,10.75,10.25,10.25,10.25,8130
1993-02-19,10.125,10.125,10,10,10,1626
1993-02-22,10.25,10.25,10.125,10.25,10.25,1045
1993-02-23,10.125,10.125,10.125,10.125,10.125,464
