Date,Open,High,Low,Close,AdjustedClose,Volume
2014-08-14,50.05,50.15,50.05,50.15,50.15,2600
2014-08-15,50.37,50.37,50.18,50.25,50.25,4806
2014-08-18,50.31,50.36,50.15,50.16,50.16,5734
2014-08-19,50.4,50.48,50.4,50.48,50.48,2450
2014-08-20,50.5,50.5,50.45,50.45,50.45,5043
2014-08-22,50.4815,50.4815,50.47,50.47,50.47,782
2014-08-25,50.59,50.6099,50.59,50.6099,50.6099,754
2014-08-26,50.7,50.7,50.6499,50.65,50.65,1736
2014-08-27,50.735,50.76,50.72,50.76,50.76,1000
2014-08-28,50.42,50.814,50.4,50.814,50.814,3091
2014-08-29,50.85,50.9,50.85,50.8999,50.8999,2950
2014-09-02,50.9,51.01,50.78,50.8,50.8,8621
2014-09-03,50.85,51.04,50.83,50.83,50.83,16285
2014-09-04,50.84,50.84,50.63,50.63,50.63,14602
2014-09-05,50.6679,50.75,50.6679,50.75,50.75,1213
2014-09-08,50.691,50.75,50.4999,50.5,50.5,8401
2014-09-09,50.19,50.61,50.19,50.57,50.57,3182
2014-09-10,50.55,50.55,50.38,50.4,50.4,3310
2014-09-11,50.35,50.69,50.35,50.57,50.57,33254
2014-09-12,50.5,50.5,50.5,50.5,50.5,190
2014-09-15,50.1447,50.1986,50.1,50.19,50.19,1830
2014-09-16,50.0345,50.0345,50.0345,50.0345,50.0345,336
2014-09-17,50.31,50.35,50.1,50.11,50.11,6533
2014-09-18,50.35,50.38,50.35,50.38,50.38,1500
2014-09-19,50.42,50.48,50.42,50.48,50.48,1062
2014-09-22,50.3999,50.3999,50.2685,50.28,50.28,1930
2014-09-23,49.97,50.06,49.97,50.02,50.02,3600
2014-09-24,49.785,49.9,49.75,49.9,49.9,3999
2014-09-25,49.7078,49.7078,49.6536,49.6536,49.6536,500
2014-09-26,49.5,49.5,49.5,49.5,49.5,553
2014-09-29,49.6598,49.6598,49.6598,49.6598,49.6598,257
2014-09-30,49.56,49.75,49.5599,49.71,49.71,4017
2014-10-01,49.75,49.85,49.75,49.77,49.77,1403
2014-10-02,49.47,49.58,49.47,49.58,49.58,365
2014-10-03,49.75,49.77,49.746,49.77,49.77,1382
2014-10-06,49.71,49.8927,49.71,49.85,49.85,1647
2014-10-07,49.7045,49.7599,49.6817,49.72,49.72,3520
2014-10-08,49.47,49.75,49.4096,49.7499,49.7499,7768
2014-10-09,50.03,50.03,49.73,49.73,49.73,692
2014-10-10,49.04,49.04,48.92,48.92,48.92,722
2014-10-13,49.17,49.17,49.0414,49.0414,49.0414,566
2014-10-14,48.9,48.94,48.84,48.9,48.9,4650
2014-10-15,48.51,48.79,48.5,48.79,48.79,1502
2014-10-16,49.24,49.42,49.24,49.42,49.42,200
2014-10-17,49.47,49.47,49.47,49.47,49.47,160
2014-10-20,49.69,49.69,49.69,49.69,49.69,200
2014-10-21,49.75,49.9,49.75,49.9,49.9,3542
2014-10-22,50.08,50.08,49.89,49.92,49.92,2061
2014-10-23,50.02,50.02,49.97,50,50,1755
2014-10-24,50.041,50.041,50.03,50.03,50.03,621
2014-10-27,50.05,50.16,50.05,50.1599,50.1599,2090
2014-10-28,50.1966,50.36,50.18,50.36,50.36,464
2014-10-29,52.35,52.35,50.3345,50.3358,50.3358,1959
2014-10-30,50.4,50.4,50.4,50.4,50.4,550
2014-10-31,50.73,50.73,50.73,50.73,50.73,325
2014-11-03,51.01,51.0782,50.76,51.0782,51.0782,1749
2014-11-04,50.57,50.57,50.57,50.57,50.57,267
2014-11-05,50.6,50.6,50.6,50.6,50.6,200
2014-11-06,50.57,50.63,50.53,50.58,50.58,1544
2014-11-07,50.68,50.69,50.68,50.6899,50.6899,1285
2014-11-10,50.73,50.74,50.7299,50.74,50.74,8585
2014-11-13,50.61,50.65,50.6,50.65,50.65,352
2014-11-17,50.63,50.82,50.63,50.82,50.82,1768
2014-11-18,50.836,50.97,50.74,50.92,50.92,1746
2014-11-19,50.94,50.94,50.92,50.92,50.92,2070
2014-11-20,50.9,50.98,50.9,50.93,50.93,3310
2014-11-21,51.12,51.18,51,51.08,51.08,3314
2014-11-24,50.84,50.85,50.76,50.82,50.82,1354
2014-11-25,50.84,50.846,50.75,50.76,50.76,1165
2014-11-26,50.92,51,50.9,51,51,3607
2014-12-01,50.35,50.35,50.2899,50.3199,50.3199,1213
2014-12-02,50.49,50.52,50.25,50.52,50.52,1411
2014-12-03,50.6899,50.6899,50.604,50.604,50.604,855
2014-12-04,50.29,50.69,50.29,50.6899,50.6899,1594
2014-12-05,50.6495,50.69,50.5601,50.61,50.61,2214
2014-12-08,50.409,50.41,50.1635,50.26,50.26,2328
2014-12-09,50.01,50.3072,50.01,50.3072,50.3072,1388
2014-12-10,50.47,50.47,49.79,49.8,49.8,1964
2014-12-11,49.97,49.97,49.97,49.97,49.97,239
2014-12-12,49.44,49.45,49.43,49.43,49.43,5442
2014-12-15,49.19,49.19,48.8201,49.0499,49.0499,5569
2014-12-16,48.77,49.17,48.77,49.1699,49.1699,906
2014-12-17,49.46,49.46,49.426,49.426,49.426,595
2014-12-18,50.06,50.06,49.85,50.05,50.05,2825
2014-12-19,50.15,50.15,49.8,49.8,49.8,5708
2014-12-22,50.38,50.38,50.35,50.35,50.35,859
2014-12-24,50.49,50.5,50.49,50.5,50.5,252
2014-12-29,50.94,50.94,50.91,50.91,50.91,329
2014-12-31,50.91,50.91,50.91,50.91,50.91,131
2015-01-05,50.38,50.48,49.75,50.17,50.17,14160
2015-01-06,49.89,49.9599,49.81,49.9599,49.9599,1599
2015-01-08,50.471,50.54,50.471,50.54,50.54,405
2015-01-09,51.5,51.5,50.25,50.3899,50.3899,5854
2015-01-12,50.22,50.22,50.15,50.15,50.15,1990
2015-01-14,49.99,50.14,49.6926,50.14,50.14,7048
2015-01-15,50.06,50.06,50.058,50.058,50.058,965
2015-01-16,50.14,50.29,50.0754,50.29,50.29,1801
2015-01-20,50.51,50.51,50.3612,50.3612,50.3612,479
2015-01-21,50.35,50.46,50.35,50.46,50.46,1375
2015-01-22,50.8,50.8,50.58,50.7123,50.7123,3872
