Date,Open,High,Low,Close,AdjustedClose,Volume
1993-11-01,174.0248,174.0248,163.9784,174.0248,174.0248,18798
1993-11-03,164.0048,164.0048,164.0048,164.0048,164.0048,24170
1993-11-04,164.0048,164.0048,164.0048,164.0048,164.0048,13428
1993-11-05,165.9956,165.9956,165.9956,165.9956,165.9956,32227
1993-11-10,173.9984,173.9984,173.9984,173.9984,173.9984,2686
1993-11-11,167.9984,167.9984,167.9984,167.9984,167.9984,10742
1993-11-12,167.9984,167.9984,167.9984,167.9984,167.9984,8057
1993-11-18,167.9984,170.5004,167.9984,170.5004,170.5004,145020
1993-11-24,171,171,171,171,171,8057
1993-12-01,170.0048,170.0048,170.0048,170.0048,170.0048,26855
1993-12-06,173.9984,173.9984,173.9984,173.9984,173.9984,5371
1993-12-07,165.9956,165.9956,165.9956,165.9956,165.9956,5371
1993-12-08,164.0048,164.0048,164.0048,164.0048,164.0048,2686
1993-12-10,165.9956,165.9956,165.9956,165.9956,165.9956,77881
1993-12-14,165.9956,165.9956,165.9956,165.9956,165.9956,263184
1993-12-17,165.9956,173.9984,165.9956,173.9984,173.9984,18799
1993-12-30,165.9956,165.9956,165.9956,165.9956,165.9956,8057
1993-12-31,165.9956,165.9956,165.9956,165.9956,165.9956,5371
1994-01-04,173.0036,173.0036,167.9984,167.9984,167.9984,51025
1994-01-05,170.0048,170.0048,167.9984,167.9984,167.9984,10742
1994-01-06,172.5032,172.5032,172.5032,172.5032,172.5032,5371
1994-01-07,170.0048,170.0048,170.0048,170.0048,170.0048,2686
1994-01-10,172.5032,172.5032,172.008,172.008,172.008,29541
1994-01-12,165.9956,165.9956,165.9956,165.9956,165.9956,2686
1994-01-19,172.5032,172.5032,172.5032,172.5032,172.5032,26855
1994-01-20,172.008,172.008,172.008,172.008,172.008,2686
1994-01-21,165.9956,173.9984,165.9956,173.9984,173.9984,29541
1994-01-24,173.9984,173.9984,173.9984,173.9984,173.9984,10742
1994-01-31,178.0032,178.0032,178.0032,178.0032,178.0032,2686
1994-02-01,178.0032,178.0032,173.9984,173.9984,173.9984,5371
1994-02-15,165.9956,165.9956,165.9956,165.9956,165.9956,18799
1994-02-16,172.008,173.9984,172.008,173.9984,173.9984,134277
1994-02-17,176,186.5048,172.008,186.5048,186.5048,222900
1994-02-18,187.0004,192.0048,179.9928,192.0048,192.0048,128906
1994-02-22,178.0032,178.0032,178.0032,178.0032,178.0032,10742
1994-02-23,178.0032,186.0048,178.0032,186.0048,186.0048,10742
1994-02-24,186.0048,186.0048,184.0032,186.0048,186.0048,21484
1994-02-25,187.5,187.9952,179.9928,187.9952,187.9952,42969
1994-02-28,187.9952,187.9952,184.0032,187.9952,187.9952,48340
1994-03-01,182,187.9952,182,187.9952,187.9952,42969
1994-03-02,178.0032,184.9988,178.0032,179.9928,179.9928,37598
1994-03-08,186.0048,186.0048,186.0048,186.0048,186.0048,2686
1994-03-09,178.0032,184.0032,176,176,176,85937
1994-03-11,170.0048,170.0048,167.9984,167.9984,167.9984,142334
1994-03-14,176,176,173.9984,173.9984,173.9984,32227
1994-03-15,176,176,164.0048,176,176,64453
1994-03-16,164.0048,173.9984,164.0048,165.9956,165.9956,120850
1994-03-17,176,176,165.9956,165.9956,165.9956,26855
1994-03-18,164.0048,172.008,160.0004,170.0048,170.0048,177246
1994-03-21,167.9984,167.9984,167.9984,167.9984,167.9984,13428
1994-03-22,167.9984,167.9984,164.0048,164.0048,164.0048,5371
1994-03-25,172.008,172.008,161.0084,164.0048,164.0048,51025
1994-03-28,164.0048,167.9984,164.0048,167.9984,167.9984,5371
1994-03-29,164.0048,164.0048,160.0004,160.0004,160.0004,185303
1994-03-30,167.9984,167.9984,160.0004,164.0048,164.0048,75195
1994-03-31,160.0004,167.9984,160.0004,160.0004,160.0004,77881
1994-04-04,167.9984,167.9984,157.9928,157.9928,157.9928,72510
1994-04-05,164.0048,164.0048,151.9988,159.0048,159.0048,40283
1994-04-06,156.0032,156.0032,151.9988,151.9988,151.9988,34912
1994-04-07,160.0004,160.0004,160.0004,160.0004,160.0004,5371
1994-04-11,148.0052,148.0052,148.0052,148.0052,148.0052,8057
1994-04-12,151.9988,151.9988,150.008,150.008,150.008,37598
1994-04-14,148.0052,150.008,148.0052,150.008,150.008,5371
1994-04-15,154.0004,154.0004,154.0004,154.0004,154.0004,5371
1994-04-21,143.9952,143.9952,143.9952,143.9952,143.9952,16113
1994-04-22,150.008,150.008,150.008,150.008,150.008,5371
1994-04-25,150.008,150.008,150.008,150.008,150.008,24170
1994-04-26,154.0004,160.0004,154.0004,160.0004,160.0004,13428
1994-04-28,156.0032,160.0004,151.9988,157.9928,157.9928,83252
1994-04-29,160.0004,160.0004,156.0032,156.0032,156.0032,18799
1994-05-02,164.0048,164.0048,151.9988,164.0048,164.0048,18799
1994-05-03,164.0048,172.008,156.0032,172.008,172.008,77881
1994-05-04,172.008,172.008,162.0032,162.0032,162.0032,13428
1994-05-05,172.008,172.008,160.0004,162.0032,162.0032,40283
1994-05-10,160.0004,160.0004,160.0004,160.0004,160.0004,5371
1994-05-16,160.0004,160.0004,160.0004,160.0004,160.0004,8057
1994-05-17,156.0032,156.0032,151.9988,151.9988,151.9988,182617
1994-05-18,156.0032,160.0004,156.0032,156.0032,156.0032,42969
1994-05-20,160.0004,167.9984,151.9988,151.9988,151.9988,126221
1994-05-26,151.9988,151.9988,151.9988,151.9988,151.9988,18799
1994-05-27,151.9988,156.0032,151.9988,156.0032,156.0032,24170
1994-05-31,156.0032,156.0032,156.0032,156.0032,156.0032,10742
1994-06-02,126,126,126,126,126,2148
1994-06-06,126,128.0012,121.9952,123.9984,123.9984,73047
1994-06-07,128.0012,128.0012,120.0048,125.004,125.004,124609
1994-06-08,128.0012,128.0012,128.0012,128.0012,128.0012,2148
1994-06-09,128.0012,128.0012,120.0048,123.9984,123.9984,75195
1994-06-13,123.9984,126,123.9984,126,126,10742
1994-06-14,123.9984,123.9984,123.9984,123.9984,123.9984,4297
1994-06-15,123.9984,126,120.0048,126,126,42969
1994-06-16,126,126,126,126,126,2148
1994-06-20,120.0048,120.0048,120.0048,120.0048,120.0048,2148
1994-06-21,126,126,116,121.0004,121.0004,8594
1994-06-28,126,126,116,116,116,8594
1994-06-30,126,129.9984,126,129.9984,129.9984,943164
1994-07-01,123.9984,123.9984,123.9984,123.9984,123.9984,34375
1994-07-06,125.004,125.004,125.004,125.004,125.004,4297
1994-07-08,128.0012,128.0012,128.0012,128.0012,128.0012,10742
1994-07-11,128.0012,128.0012,128.0012,128.0012,128.0012,2148
1994-07-15,128.0012,128.0012,120.0048,120.0048,120.0048,4297
1994-07-18,128.0012,128.0012,128.0012,128.0012,128.0012,6445
1994-07-25,128.0012,128.0012,128.0012,128.0012,128.0012,2148
1994-07-28,120.0048,126,120.0048,126,126,12891
1994-07-29,123.9984,123.9984,123.9984,123.9984,123.9984,21484
1994-08-01,128.0012,128.0012,128.0012,128.0012,128.0012,12891
1994-08-02,120.0048,123.9984,120.0048,123.9984,123.9984,8594
1994-08-03,128.0012,128.0012,125.004,125.004,125.004,8594
1994-08-04,123.9984,123.9984,123.9984,123.9984,123.9984,2148
1994-08-09,120.0048,126,120.0048,126,126,8594
1994-08-10,128.0012,128.0012,126,126,126,12891
1994-08-11,120.0048,128.0012,120.0048,126,126,128906
1994-08-12,128.0012,128.0012,123.9984,123.9984,123.9984,19336
1994-08-15,128.0012,128.0012,128.0012,128.0012,128.0012,8594
1994-08-16,120.0048,121.9952,120.0048,121.0004,121.0004,40820
1994-08-17,126,126,120.0048,121.0004,121.0004,17188
1994-08-19,120.0048,128.0012,120.0048,128.0012,128.0012,17188
1994-08-23,121.9952,121.9952,121.9952,121.9952,121.9952,6445
1994-08-24,120.0048,120.0048,120.0048,120.0048,120.0048,12891
1994-08-26,126,128.0012,126,128.0012,128.0012,23633
