Date,Open,High,Low,Close,AdjustedClose,Volume
2020-02-25,25.03,25.03,25.03,25.03,25.03,0
2020-02-26,25.05,25.05,25.05,25.05,25.05,0
2020-02-27,25.06,25.06,25.06,25.06,25.06,0
2020-02-28,25.14,25.14,25.14,25.14,25.14,300
2020-03-02,25.14,25.14,25.14,25.14,25.14,0
2020-03-03,25.19,25.21,25.19,25.21,25.21,2700
2020-03-04,25.21,25.21,25.21,25.21,25.21,0
2020-03-05,25.21,25.21,25.21,25.21,25.21,0
2020-03-06,25.313,25.313,25.29,25.29,25.29,200
2020-03-09,25.34,25.35,25.33,25.33,25.33,6600
2020-03-10,25.5,25.5,25.33,25.33,25.33,300
2020-03-11,25.33,25.33,25.33,25.33,25.33,0
2020-03-12,25.325,25.34,25.325,25.33,25.33,5200
2020-03-13,25.34,25.36,25.31,25.31,25.31,4100
2020-03-16,25.4,25.42,25.4,25.42,25.42,4200
2020-03-17,25.38,25.4,25.323,25.323,25.323,800
2020-03-18,25.323,25.323,25.323,25.323,25.323,0
2020-03-19,25.323,25.323,25.323,25.323,25.323,0
2020-03-20,25.323,25.323,25.323,25.323,25.323,0
2020-03-23,25.323,25.323,25.323,25.323,25.323,0
2020-03-24,25.32,25.32,25.32,25.32,25.32,700
2020-03-25,25.32,25.32,25.32,25.32,25.32,0
2020-03-26,25.32,25.32,25.32,25.32,25.32,0
2020-03-27,25.32,25.32,25.32,25.32,25.32,0
2020-03-30,25.45,25.45,25.376,25.405,25.405,49500
2020-03-31,25.405,25.405,25.405,25.405,25.405,100
2020-04-01,25.39,25.42,25.39,25.39,25.39,200
2020-04-02,25.39,25.39,25.39,25.39,25.39,100
2020-04-03,25.45,25.45,25.4,25.4,25.4,200
2020-04-06,25.44,25.44,25.39,25.39,25.39,200
2020-04-07,25.39,25.39,25.39,25.39,25.39,100
2020-04-08,25.35,25.385,25.35,25.385,25.385,200
2020-04-09,25.385,25.385,25.385,25.385,25.385,0
2020-04-13,25.4,25.4,25.385,25.385,25.385,400
2020-04-14,25.385,25.385,25.385,25.385,25.385,100
2020-04-15,25.385,25.385,25.385,25.385,25.385,0
2020-04-16,25.38,25.42,25.38,25.395,25.395,1000
2020-04-17,25.41,25.451,25.395,25.395,25.395,7700
2020-04-20,25.42,25.43,25.395,25.395,25.395,3100
2020-04-21,25.395,25.395,25.395,25.395,25.395,0
2020-04-22,25.395,25.395,25.395,25.395,25.395,0
2020-04-23,25.395,25.395,25.395,25.395,25.395,0
2020-04-24,25.41,25.42,25.41,25.42,25.42,800
2020-04-27,25.42,25.42,25.42,25.42,25.42,100
2020-04-28,25.42,25.42,25.42,25.42,25.42,0
2020-04-29,25.42,25.42,25.42,25.42,25.42,0
2020-04-30,25.395,25.43,25.37,25.405,25.405,4800
2020-05-01,25.4,26.72,25.39,25.4,25.4,15000
2020-05-04,25.4,25.85,25.39,25.4,25.4,13200
2020-05-05,25.4,25.4,25.4,25.4,25.4,100
2020-05-06,25.39,25.405,25.39,25.4,25.4,4100
2020-05-07,25.53,25.62,25.41,25.41,25.41,5000
2020-05-08,25.42,25.42,25.4,25.4,25.4,3100
2020-05-11,25.41,25.72,25.4,25.4,25.4,11900
2020-05-12,25.4,25.4,25.4,25.4,25.4,2400
2020-05-13,25.4,25.404,25.39,25.39,25.39,1100
2020-05-14,25.41,25.41,25.36,25.39,25.39,600
2020-05-15,25.36,25.39,25.36,25.39,25.39,500
2020-05-18,25.385,25.385,25.36,25.36,25.36,400
2020-05-19,25.37,25.37,25.37,25.37,25.37,200
2020-05-20,25.37,25.37,25.37,25.37,25.37,100
2020-05-21,25.37,25.37,25.37,25.37,25.37,0
2020-05-22,25.37,25.37,25.37,25.37,25.37,0
2020-05-26,25.37,25.37,25.37,25.37,25.37,0
2020-05-27,25.39,25.39,25.375,25.375,25.375,5000
2020-05-28,25.36,25.38,25.36,25.38,25.38,800
2020-05-29,25.38,25.38,25.38,25.38,25.38,100
2020-06-01,25.38,25.38,25.36,25.36,25.36,300
2020-06-02,25.36,25.36,25.36,25.36,25.36,100
2020-06-03,25.37,25.37,25.355,25.355,25.355,200
2020-06-04,25.37,25.37,25.36,25.36,25.36,700
