Date,Open,High,Low,Close,AdjustedClose,Volume
2021-01-13,24.81,24.81,24.81,24.81,24.81,338200
2021-01-14,25.25,25.25,24.9,25.25,25.25,32080
2021-01-15,25.25,25.3,25.06,25.25,25.25,13200
2021-01-19,25.36,25.55,25.36,25.55,25.55,3000
2021-01-20,25.5,25.5,25.45,25.5,25.5,7200
2021-01-21,25.5,25.5,25.25,25.5,25.5,6700
2021-01-22,25.5,25.89,25.5,25.89,25.89,2200
2021-01-25,25.8,25.99,25.41,25.99,25.99,17700
2021-01-26,25.922,25.95,25.74,25.9,25.9,10400
2021-01-27,25.8,25.8,25.7,25.8,25.8,4900
2021-01-28,25.7,25.8,25.63,25.63,25.63,2600
2021-01-29,26,26,25.7,25.99,25.99,14900
2021-02-01,25.99,25.99,25.831,25.97,25.97,1400
2021-02-02,25.9,25.9,25.81,25.81,25.81,600
2021-02-03,25.845,25.99,25.845,25.99,25.99,1000
2021-02-04,25.96,25.97,25.66,25.8,25.8,4200
2021-02-05,25.939,26,25.939,25.99,25.99,12000
2021-02-08,26.14,26.14,25.775,25.79,25.79,5200
2021-02-09,25.75,25.93,25.71,25.71,25.71,3800
2021-02-10,25.85,25.91,25.85,25.91,25.91,1800
2021-02-11,25.977,25.977,25.629,25.7,25.7,37000
2021-02-12,25.64,25.84,25.63,25.7,25.7,9500
2021-02-16,25.74,26,25.74,25.95,25.95,20100
2021-02-17,25.825,25.999,25.825,25.999,25.999,3500
2021-02-18,26.54,26.54,25.85,25.93,25.93,7400
2021-02-19,25.85,25.95,25.85,25.95,25.95,1300
2021-02-22,25.98,25.98,25.945,25.945,25.945,1000
2021-02-23,25.9,25.9,25.25,25.9,25.9,160800
2021-02-24,25.75,25.95,25.67,25.717,25.717,18200
2021-02-25,25.7,25.75,25.5,25.75,25.75,5100
2021-02-26,25.64,25.72,25.535,25.65,25.65,4300
2021-03-01,25.74,25.75,25.5,25.5,25.5,3300
2021-03-02,25.61,25.61,25.61,25.61,25.61,300
2021-03-03,25.6,25.7,25.55,25.68,25.68,4700
2021-03-04,25.65,25.65,25.614,25.648,25.648,3400
2021-03-05,25.72,25.91,25.671,25.86,25.86,4300
2021-03-08,25.741,26.1,25.741,26.1,26.1,1000
2021-03-09,25.9,25.95,25.9,25.95,25.95,300
2021-03-10,25.56,25.8,25.56,25.78,25.78,18100
2021-03-11,25.78,25.78,25.755,25.76,25.76,600
2021-03-12,25.643,25.7,25.6,25.69,25.69,8700
2021-03-15,25.69,25.74,25.65,25.676,25.676,2700
2021-03-16,25.73,25.74,25.696,25.74,25.74,2600
2021-03-17,25.75,25.76,25.75,25.75,25.75,700
2021-03-18,25.859,25.86,25.859,25.86,25.86,500
2021-03-19,25.76,25.76,25.76,25.76,25.76,1000
2021-03-22,25.95,26.02,25.939,26.015,26.015,3600
2021-03-23,26.015,26.015,26.015,26.015,26.015,0
2021-03-24,25.75,25.794,25.673,25.764,25.764,3500
2021-03-25,25.69,25.69,25.57,25.57,25.57,11600
2021-03-26,25.56,25.7,25.48,25.67,25.67,11300
2021-03-29,25.37,25.59,25.15,25.59,25.59,40400
2021-03-30,25.55,25.598,25.44,25.44,25.44,6600
2021-03-31,25.534,25.6,25.45,25.54,25.54,6600
2021-04-01,25.639,25.74,25.589,25.642,25.642,3100
2021-04-05,25.69,25.69,25.571,25.571,25.571,3400
2021-04-06,25.7,25.7,25.6,25.6,25.6,2400
2021-04-07,25.6,25.645,25.47,25.47,25.47,7900
2021-04-08,25.69,25.69,25.46,25.56,25.56,2300
2021-04-09,25.64,25.75,25.5,25.74,25.74,12700
2021-04-12,25.65,25.77,25.58,25.65,25.65,9500
2021-04-13,25.9,25.9,25.7,25.7,25.7,2900
2021-04-14,25.812,25.812,25.812,25.812,25.812,600
2021-04-15,25.824,25.88,25.8,25.88,25.88,900
2021-04-16,25.88,27.17,25.872,25.872,25.872,1800
2021-04-19,26.07,26.18,26,26,26,3100
2021-04-20,26.14,27.18,25.937,27.18,27.18,3000
2021-04-21,26.45,26.45,25.79,26.126,26.126,4900
2021-04-22,26.358,26.358,26.038,26.1,26.1,3100
2021-04-23,25.94,26,25.94,25.96,25.96,1300
2021-04-26,25.98,25.98,25.98,25.98,25.98,100
2021-04-27,26.25,26.25,26.041,26.25,26.25,1300
2021-04-28,26.225,26.25,26.062,26.103,26.103,3700
2021-04-29,26.041,26.041,26.041,26.041,26.041,100
2021-04-30,26.05,26.05,26.02,26.02,26.02,1400
2021-05-03,26.1,26.1,25.81,25.81,25.81,8200
2021-05-04,26.05,26.05,25.58,25.81,25.81,14300
2021-05-05,25.78,25.848,25.5,25.73,25.73,19600
2021-05-06,25.71,25.726,25.69,25.69,25.69,5000
2021-05-07,25.672,25.79,25.42,25.64,25.64,24200
2021-05-10,25.6,25.72,25.59,25.674,25.674,2500
2021-05-11,25.46,25.69,25.46,25.68,25.68,1900
2021-05-12,25.5,25.663,25.5,25.5,25.5,8400
2021-05-13,25.525,25.58,25.46,25.46,25.46,5800
2021-05-14,25.57,25.57,25.57,25.57,25.57,300
2021-05-17,25.56,25.6,25.56,25.6,25.6,900
2021-05-18,25.625,25.625,25.625,25.625,25.625,900
2021-05-19,25.597,25.65,25.597,25.607,25.607,2000
2021-05-20,25.53,25.59,25.49,25.58,25.58,9200
2021-05-21,25.56,25.648,25.4,25.58,25.58,37000
2021-05-24,25.48,25.56,25.48,25.56,25.56,3000
2021-05-25,25.6,25.75,25.45,25.47,25.47,49000
2021-05-26,25.485,25.53,25.47,25.47,25.47,7800
2021-05-27,25.48,25.5,25.46,25.475,25.475,6100
2021-05-28,25.47,25.6,25.46,25.6,25.6,5800
2021-06-01,25.73,25.73,25.5,25.62,25.62,5300
2021-06-02,25.53,25.61,25.51,25.6,25.6,5400
2021-06-03,25.47,25.6,25.47,25.55,25.55,4500
2021-06-04,25.55,25.55,25.55,25.55,25.55,600
2021-06-07,25.57,25.64,25.57,25.635,25.635,2800
2021-06-08,25.665,25.67,25.6,25.6,25.6,800
2021-06-09,25.679,25.679,25.659,25.659,25.659,1200
2021-06-10,25.62,25.62,25.61,25.61,25.61,1000
2021-06-11,25.61,25.68,25.61,25.647,25.647,1800
2021-06-14,25.68,25.68,25.68,25.68,25.68,300
2021-06-15,25.68,25.79,25.6,25.6,25.6,4400
2021-06-16,25.84,25.868,25.84,25.868,25.868,500
2021-06-17,25.58,25.656,25.54,25.656,25.656,3700
2021-06-18,25.65,25.663,25.65,25.663,25.663,2800
2021-06-21,25.65,25.739,25.65,25.739,25.739,700
2021-06-22,25.65,25.65,25.65,25.65,25.65,800
2021-06-23,25.65,25.664,25.55,25.55,25.55,5400
2021-06-24,25.56,25.722,25.56,25.7,25.7,3500
2021-06-25,25.7,25.7,25.7,25.7,25.7,0
2021-06-28,25.67,25.75,25.5,25.75,25.75,47700
2021-06-29,25.75,25.95,25.75,25.88,25.88,4100
2021-06-30,25.88,26.033,25.88,26.033,26.033,5300
2021-07-01,26,26,26,26,26,400
2021-07-02,26,26,26,26,26,0
2021-07-06,26,26,25.983,26,26,18400
2021-07-07,25.99,26,25.9,26,26,26400
2021-07-08,26,26,25.875,25.979,25.979,900
2021-07-09,25.75,25.99,25.75,25.9,25.9,8600
2021-07-12,25.94,25.94,25.91,25.935,25.935,800
2021-07-13,25.9,25.9,25.65,25.83,25.83,3300
2021-07-14,25.75,25.85,25.67,25.85,25.85,5700
2021-07-15,25.75,25.8,25.69,25.8,25.8,900
2021-07-16,25.8,25.8,25.8,25.8,25.8,0
2021-07-19,25.68,25.7,25.68,25.7,25.7,579
