Date,Open,High,Low,Close,AdjustedClose,Volume
2019-03-20,17,17,17,17,17,0
2019-03-21,22.22,23.15,22,22.41,22.41,43433700
2019-03-22,22.86,23.24,22.01,22.12,22.12,12359200
2019-03-25,22.25,22.5,21.37,21.77,21.77,3832300
2019-03-26,22.04,22.4,21.9,22.08,22.08,2924000
2019-03-27,22.32,22.72,22.19,22.3,22.3,5228100
2019-03-28,22.5,22.7,22.4,22.69,22.69,1763000
2019-03-29,22.8,23.74,22.7,23.55,23.55,2413900
2019-04-01,23.99,24.19,22.6,22.71,22.71,2587100
2019-04-02,22.8,23.08,22.43,23,23,1225400
2019-04-03,23.13,23.18,21.7,21.78,21.78,2631100
2019-04-04,21.85,21.99,21.38,21.69,21.69,1236300
2019-04-05,21.78,21.95,21.51,21.69,21.69,1570700
2019-04-08,21.69,21.9,21.24,21.3,21.3,1607800
2019-04-09,21.4,22.02,21.26,21.88,21.88,3204100
2019-04-10,23.23,23.9,22.72,22.75,22.75,10398200
2019-04-11,23.01,23.21,22.75,23.03,23.03,2183200
2019-04-12,23.07,23.22,22.32,22.45,22.45,1689800
2019-04-15,22.81,24.17,22.66,23.97,23.97,5351700
2019-04-16,24.227,24.5,23.6,23.91,23.91,2509100
2019-04-17,23.82,23.96,23.44,23.45,23.45,941700
2019-04-18,23.45,24.34,23.33,23.79,23.79,2058600
2019-04-22,23.81,23.91,22.77,22.82,22.82,1735000
2019-04-23,22.9,22.97,22.15,22.19,22.19,2226400
2019-04-24,22.27,22.6,21.84,22.4,22.4,1342100
2019-04-25,22.4,22.505,21.88,22.33,22.33,1104700
2019-04-26,22.4,22.93,22.06,22.79,22.79,1159300
2019-04-29,23.04,23.26,22.79,23.19,23.19,835300
2019-04-30,23.37,23.43,22.41,22.41,22.41,1036000
2019-05-01,22.45,22.65,22.18,22.63,22.63,1335100
2019-05-02,22.48,22.97,22.33,22.92,22.92,954600
2019-05-03,22.99,23.06,22.38,22.61,22.61,1211000
2019-05-06,22.3,22.75,22.19,22.69,22.69,682800
2019-05-07,22.44,22.88,22.42,22.83,22.83,1209400
2019-05-08,22.61,22.89,22.57,22.6,22.6,678000
2019-05-09,22.51,22.63,22.31,22.48,22.48,598300
2019-05-10,22.3,22.54,22.23,22.38,22.38,727100
2019-05-13,22,22.12,21.8,21.98,21.98,1053000
2019-05-14,22.21,22.65,22,22.38,22.38,826100
2019-05-15,22.5,22.62,22.04,22.1,22.1,534500
2019-05-16,22.16,22.35,21.96,21.97,21.97,832900
2019-05-17,21.89,22.34,21.8,21.95,21.95,533800
2019-05-20,21.81,22.07,21.74,22.02,22.02,473600
2019-05-21,22,22.29,21.89,22.25,22.25,371500
2019-05-22,22.06,22.48,22.06,22.4,22.4,381800
2019-05-23,22.25,22.49,22.094,22.14,22.14,660100
2019-05-24,22.25,22.42,21.783,22.06,22.06,1182800
2019-05-28,22,22.2,21.755,21.99,21.99,668100
2019-05-29,21.79,21.819,21,21.28,21.28,1541700
2019-05-30,21.11,21.33,20.41,20.79,20.79,1893900
2019-05-31,20.54,20.56,18.92,19.42,19.42,3355800
2019-06-03,19.43,20.79,19.375,20.63,20.63,1185500
2019-06-04,20.84,22.08,20.81,21.48,21.48,2092900
2019-06-05,21.51,21.55,20.7,21.33,21.33,784500
2019-06-06,21.21,21.385,20.45,20.82,20.82,782200
2019-06-07,20.8,21.09,20.4,20.97,20.97,714000
2019-06-10,21.19,22.11,21.19,21.65,21.65,577300
2019-06-11,21.76,21.88,20.82,20.91,20.91,485900
2019-06-12,20.95,21.13,20.5,20.63,20.63,736400
2019-06-13,20.73,21.54,20.7,21.18,21.18,478500
2019-06-14,21.01,21.89,21,21.49,21.49,708000
2019-06-17,21.57,22.25,21.5,21.83,21.83,1047400
2019-06-18,21.87,22.14,21.64,21.76,21.76,628900
2019-06-19,21.98,22.465,21.75,22.31,22.31,729900
2019-06-20,22.45,22.47,21.35,21.78,21.78,1181700
2019-06-21,21.77,21.94,21.48,21.76,21.76,2399300
2019-06-24,21.65,22.03,20.9,21.06,21.06,788200
2019-06-25,21.13,21.45,20.75,20.75,20.75,925800
2019-06-26,21.15,21.47,20.45,20.71,20.71,2299200
2019-06-27,20.68,21.18,20.68,21.07,21.07,948600
2019-06-28,21.1,21.29,20.7,20.88,20.88,699100
2019-07-01,21,21.55,20.775,21.25,21.25,1229500
2019-07-02,21.28,21.64,21.02,21.36,21.36,963200
2019-07-03,21.42,22,21.2,21.79,21.79,683600
2019-07-05,21.7,22.5,21.57,22.27,22.27,1060600
2019-07-08,22.46,23.37,22.3,23.19,23.19,1860000
2019-07-09,23.09,23.74,22.54,23.66,23.66,4003700
2019-07-10,21.78,21.97,20.65,20.82,20.82,17099700
2019-07-11,20.84,20.84,20.2,20.25,20.25,4510200
2019-07-12,20.29,20.4,19.56,20.12,20.12,3648000
2019-07-15,20,20.34,19.973,20.12,20.12,1201600
2019-07-16,20,20.12,19.8,19.8,19.8,968500
2019-07-17,19.2,19.26,18.486,18.89,18.89,4894300
2019-07-18,18.79,18.89,18.16,18.4,18.4,2226100
2019-07-19,18.39,18.812,18.39,18.75,18.75,1051900
2019-07-22,18.83,18.9,18.26,18.43,18.43,1105300
2019-07-23,18.3,18.64,18.3,18.5,18.5,708900
2019-07-24,18.63,19.25,18.523,19.24,19.24,1127100
2019-07-25,19.3,19.52,19.06,19.32,19.32,996700
2019-07-26,19.4,19.54,19.3,19.37,19.37,800400
2019-07-29,19.35,19.7,18.97,19.29,19.29,878900
2019-07-30,19.22,19.29,18.66,18.82,18.82,1279700
2019-07-31,19.05,19.145,18.59,19.06,19.06,1222400
2019-08-01,18.89,19.21,18.23,18.31,18.31,1712400
2019-08-02,18.63,19.16,18.37,18.88,18.88,1454200
2019-08-05,18.48,18.71,18.12,18.64,18.64,1241300
2019-08-06,18.6,18.73,18,18.51,18.51,1038600
2019-08-07,18.22,18.3,17.74,17.93,17.93,1488400
2019-08-08,17.98,18.08,17.515,17.61,17.61,1213600
2019-08-09,17.5,17.62,16.72,17.33,17.33,1442500
2019-08-12,17.14,17.24,16.86,17.11,17.11,853700
2019-08-13,17.04,17.96,16.87,17.21,17.21,1414500
2019-08-14,16.77,16.77,16,16.25,16.25,1530100
2019-08-15,16.79,16.91,16.06,16.12,16.12,1004100
2019-08-16,16.4,16.6,16.29,16.3,16.3,942400
2019-08-19,16.64,16.78,16.07,16.31,16.31,1196800
2019-08-20,16.35,16.56,16.19,16.46,16.46,645000
2019-08-21,16.68,17.18,16.61,16.98,16.98,861500
2019-08-22,16.95,17.22,16.81,17.2,17.2,450500
2019-08-23,17.04,17.04,16.48,16.66,16.66,769000
2019-08-26,16.86,17.32,16.69,17.13,17.13,605000
2019-08-27,17.2,17.349,16.595,16.71,16.71,715700
2019-08-28,16.64,17.3,16.64,17.11,17.11,341900
2019-08-29,17.42,17.425,17.15,17.35,17.35,322000
2019-08-30,17.33,17.41,16.82,16.9,16.9,416300
2019-09-03,16.67,16.98,16.571,16.97,16.97,425000
2019-09-04,17.07,17.42,16.885,17.35,17.35,574700
2019-09-05,17.56,17.7,17.4,17.58,17.58,606300
2019-09-06,17.65,17.65,16.96,17.08,17.08,894900
2019-09-09,17.25,18.27,17.08,18.19,18.19,1913200
2019-09-10,18.1,18.55,17.85,18.53,18.53,1428000
2019-09-11,18.47,19.07,18.03,19.01,19.01,1432400
2019-09-12,18.85,19.09,18.51,18.57,18.57,898900
2019-09-13,18.62,18.89,17.93,18,18,664400
2019-09-16,18,18.23,17.77,17.91,17.91,666300
2019-09-17,18.43,18.54,17.945,18.26,18.26,1297200
2019-09-18,18.24,18.445,18.05,18.3,18.3,808600
2019-09-19,18.35,18.51,18.15,18.49,18.49,295400
2019-09-20,18.47,18.69,18.25,18.25,18.25,965800
2019-09-23,18.1,18.467,18.1,18.35,18.35,670900
2019-09-24,18.41,18.53,17.82,18.19,18.19,353500
2019-09-25,18.41,18.95,18.27,18.91,18.91,673200
2019-09-26,18.89,19.14,18.75,19.08,19.08,678800
2019-09-27,18.93,19.25,18.78,19.21,19.21,611700
2019-09-30,19.14,19.21,18.86,19.04,19.04,457900
2019-10-01,19.01,19.25,18.76,19.01,19.01,515000
2019-10-02,19.01,19.39,18.66,19.29,19.29,955400
2019-10-03,19.06,19.74,18.6,19.45,19.45,1149500
2019-10-04,19.41,19.462,18.93,19.29,19.29,623700
2019-10-07,19.35,19.8,19.3,19.77,19.77,1162100
2019-10-08,19.67,19.825,18.75,18.96,18.96,3763300
2019-10-09,19.02,19.11,17.26,17.54,17.54,6143500
2019-10-10,17.55,17.94,17.31,17.55,17.55,2002300
2019-10-11,17.57,17.98,17.39,17.41,17.41,1806400
2019-10-14,17.37,17.505,16.8,17.12,17.12,1556100
2019-10-15,17.18,17.65,17.07,17.38,17.38,1400100
2019-10-16,17.32,17.65,17.31,17.63,17.63,755100
2019-10-17,17.7,17.8,17.02,17.05,17.05,1061900
2019-10-18,16.85,17.22,16.85,17.11,17.11,1033900
2019-10-21,17.25,17.335,17,17.02,17.02,1089900
2019-10-22,17.23,17.69,17,17.58,17.58,1519700
2019-10-23,17.67,17.67,17.36,17.46,17.46,539400
2019-10-24,17.52,17.52,16.91,16.98,16.98,944700
2019-10-25,17.09,17.375,16.88,17.12,17.12,873000
2019-10-28,17.14,17.311,16.97,17.17,17.17,822100
2019-10-29,17.07,17.36,17.02,17.32,17.32,809200
2019-10-30,17.46,17.83,17.24,17.8,17.8,1211800
2019-10-31,17.72,17.85,17.34,17.82,17.82,813600
2019-11-01,17.84,17.968,17.72,17.82,17.82,1109100
2019-11-04,17.92,17.94,17.07,17.12,17.12,953100
2019-11-05,17.15,17.77,17.15,17.35,17.35,843200
2019-11-06,17.31,17.31,17.1,17.15,17.15,870300
2019-11-07,17.17,17.7,17.15,17.51,17.51,1061200
2019-11-08,17.45,17.48,16.96,17.13,17.13,1061400
2019-11-11,17.11,17.22,17,17.05,17.05,469400
2019-11-12,17.11,17.24,16.92,17,17,769600
2019-11-13,17.04,17.04,16.871,16.95,16.95,602400
2019-11-14,16.96,17.08,16.86,17.01,17.01,659600
2019-11-15,17,17.38,16.95,17.18,17.18,496300
2019-11-18,17.2,17.25,16.922,17.06,17.06,713500
2019-11-19,17.02,17.14,16.83,17.01,17.01,779000
2019-11-20,16.99,17,16.32,16.37,16.37,1611700
2019-11-21,16.48,16.78,16.43,16.57,16.57,1051100
2019-11-22,16.61,17.01,16.52,16.99,16.99,1056100
2019-11-25,17.06,17.15,16.91,17.05,17.05,941100
2019-11-26,17.06,17.15,16.78,16.85,16.85,1163600
2019-11-27,16.98,17.03,16.882,16.98,16.98,662700
2019-11-29,17.02,17.02,16.76,16.78,16.78,372700
2019-12-02,16.77,16.84,16.61,16.64,16.64,567600
2019-12-03,16.55,17,16.38,16.89,16.89,1338900
2019-12-04,16.84,17.1,16.84,16.99,16.99,647400
2019-12-05,17.03,17.36,17.01,17.19,17.19,862400
2019-12-06,17.33,17.57,17.2,17.43,17.43,544400
2019-12-09,17.31,17.45,17.03,17.41,17.41,1325200
2019-12-10,17.4,17.98,17.312,17.97,17.97,829500
2019-12-11,17.94,18.04,17.801,18.02,18.02,835000
2019-12-12,18.05,18.42,17.97,18.41,18.41,1416900
2019-12-13,18.84,19.25,18.28,18.96,18.96,2416200
2019-12-16,19.15,19.18,18.41,18.78,18.78,1094300
2019-12-17,18.81,19.4,18.68,19.28,19.28,1761500
2019-12-18,19.28,19.95,19.22,19.85,19.85,1325400
2019-12-19,19.62,19.75,19.35,19.53,19.53,844700
2019-12-20,19.84,20.01,19.57,19.91,19.91,2007400
2019-12-23,19.99,20,19.32,19.52,19.52,1002500
2019-12-24,19.42,19.74,19.36,19.63,19.63,223300
2019-12-26,19.7,19.814,19.45,19.66,19.66,360000
2019-12-27,19.71,19.73,19.19,19.25,19.25,601200
2019-12-30,19.23,19.38,18.98,19.03,19.03,648700
2019-12-31,18.95,19.42,18.9,19.29,19.29,560400
2020-01-02,19.33,19.38,18.97,19.12,19.12,557600
2020-01-03,19,19.19,18.88,19.19,19.19,356600
2020-01-06,18.9,19.23,18.87,19.07,19.07,590900
2020-01-07,19.1,19.435,19.054,19.25,19.25,722900
2020-01-08,19.21,19.46,18.98,19.12,19.12,457200
2020-01-09,19.18,19.19,18.61,18.71,18.71,1068600
2020-01-10,18.63,18.72,18.28,18.65,18.65,966200
2020-01-13,18.68,18.93,18.56,18.85,18.85,654000
2020-01-14,18.86,19.13,18.61,18.99,18.99,884800
2020-01-15,18.94,19.1,18.82,19.07,19.07,516800
2020-01-16,19.14,19.72,19,19.69,19.69,2280100
2020-01-17,19.69,19.98,19.21,19.98,19.98,1201000
2020-01-21,19.86,20.04,19.58,20,20,1363900
2020-01-22,19.88,20.01,19.45,19.89,19.89,827300
2020-01-23,19.74,20.17,19.504,19.95,19.95,1351800
2020-01-24,20.11,20.16,19.9,20.14,20.14,1155000
2020-01-27,19.93,20.3,19.7,20.25,20.25,1155700
2020-01-28,20.3,20.39,19.41,19.7,19.7,2121600
2020-01-29,19.76,20,19.5,19.8,19.8,940600
2020-01-30,19.79,19.98,19.43,19.75,19.75,2295100
2020-01-31,19.66,20,18.88,19.64,19.64,2802700
2020-02-03,18.61,19.64,18.14,19.16,19.16,2664100
2020-02-04,19.05,19.75,18.88,19.3,19.3,1924700
2020-02-05,19.25,20.18,19.25,19.9,19.9,1559000
2020-02-06,19.97,20.09,19.76,19.79,19.79,1210900
2020-02-07,19.75,19.86,19.1,19.35,19.35,1760000
2020-02-10,19.41,20.045,19.41,19.96,19.96,934800
2020-02-11,20,20.27,19.94,19.97,19.97,1020200
2020-02-12,20.13,20.6,20.13,20.4,20.4,1266500
2020-02-13,20.39,20.705,20.18,20.48,20.48,1074100
2020-02-14,20.55,20.62,20.11,20.22,20.22,821300
2020-02-18,20.1,20.32,19.72,19.83,19.83,1153800
