Date,Open,High,Low,Close,AdjustedClose,Volume
2021-04-12,10,10,9.62,9.75,9.75,19400
2021-04-13,9.76,9.8,9.74,9.75,9.75,53500
2021-04-14,9.75,9.839,9.75,9.8,9.8,54100
2021-04-15,9.8,9.82,9.8,9.81,9.81,66100
2021-04-16,9.82,9.87,9.8,9.83,9.83,70000
2021-04-19,9.81,9.83,9.7,9.79,9.79,147000
2021-04-20,9.79,9.82,9.79,9.8,9.8,85300
2021-04-21,9.8,9.82,9.79,9.8,9.8,26500
2021-04-22,9.77,9.89,9.72,9.73,9.73,66300
2021-04-23,9.72,9.78,9.72,9.76,9.76,45600
2021-04-26,9.76,9.76,9.73,9.75,9.75,16800
2021-04-27,9.8,9.8,9.75,9.77,9.77,39800
2021-04-28,9.77,9.79,9.77,9.786,9.786,9000
2021-04-29,9.8,9.83,9.76,9.795,9.795,16300
2021-04-30,9.8,9.8,9.77,9.8,9.8,5900
2021-05-03,9.76,9.82,9.76,9.79,9.79,36100
2021-05-04,9.81,9.84,9.75,9.84,9.84,55000
2021-05-05,9.75,9.77,9.74,9.75,9.75,87600
2021-05-06,9.74,9.765,9.72,9.76,9.76,87300
2021-05-07,9.73,9.79,9.725,9.75,9.75,39500
2021-05-10,9.72,9.765,9.71,9.74,9.74,267813
2021-05-11,9.72,9.74,9.7,9.73,9.73,32720
2021-05-12,9.73,9.77,9.72,9.72,9.72,184100
2021-05-13,9.72,9.72,9.71,9.72,9.72,15600
2021-05-14,9.715,9.72,9.71,9.72,9.72,3800
2021-05-17,9.725,9.725,9.653,9.723,9.723,255600
2021-05-18,9.68,9.68,9.65,9.65,9.65,66200
2021-05-19,9.65,9.68,9.62,9.68,9.68,56600
2021-05-20,9.7,9.7,9.64,9.66,9.66,21200
2021-05-21,9.66,9.68,9.66,9.68,9.68,3600
2021-05-24,9.72,9.72,9.66,9.66,9.66,8200
2021-05-25,9.66,9.7,9.66,9.68,9.68,10800
2021-05-26,9.68,9.7,9.67,9.69,9.69,10600
2021-05-27,9.7,9.7,9.66,9.67,9.67,12100
2021-05-28,9.67,9.68,9.661,9.68,9.68,7200
2021-06-01,9.673,9.68,9.66,9.66,9.66,6992
2021-06-02,9.71,9.76,9.68,9.73,9.73,56100
2021-06-03,9.71,9.75,9.71,9.71,9.71,43800
2021-06-04,9.76,9.76,9.71,9.74,9.74,20100
2021-06-07,9.7,9.73,9.7,9.73,9.73,16600
2021-06-08,9.71,9.74,9.71,9.71,9.71,5700
2021-06-09,9.76,9.76,9.72,9.737,9.737,4800
2021-06-10,9.75,9.75,9.72,9.72,9.72,5000
2021-06-11,9.72,9.77,9.72,9.76,9.76,20200
2021-06-14,9.73,9.76,9.71,9.73,9.73,33389
2021-06-15,9.69,9.72,9.69,9.7,9.7,34583
2021-06-16,9.69,9.76,9.68,9.75,9.75,14600
2021-06-17,9.71,9.72,9.7,9.7,9.7,11300
2021-06-18,9.7,9.705,9.7,9.7,9.7,13500
2021-06-21,9.702,9.702,9.69,9.7,9.7,13000
2021-06-22,9.64,9.705,9.64,9.68,9.68,21000
2021-06-23,9.72,9.72,9.67,9.67,9.67,2700
2021-06-24,9.63,9.684,9.63,9.67,9.67,38400
2021-06-25,9.7,9.7,9.67,9.679,9.679,50500
2021-06-28,9.65,9.68,9.65,9.67,9.67,27600
2021-06-29,9.65,9.68,9.65,9.67,9.67,19000
2021-06-30,9.67,9.68,9.67,9.67,9.67,26800
2021-07-01,9.67,9.68,9.66,9.67,9.67,15200
2021-07-02,9.65,9.7,9.65,9.68,9.68,20700
2021-07-06,9.64,9.7,9.64,9.69,9.69,6350
2021-07-07,9.65,9.69,9.65,9.67,9.67,11000
2021-07-08,9.672,9.68,9.67,9.68,9.68,2800
2021-07-09,9.68,9.68,9.66,9.67,9.67,5400
2021-07-12,9.71,9.71,9.67,9.67,9.67,39700
2021-07-13,9.67,9.69,9.67,9.68,9.68,43800
2021-07-14,9.67,9.68,9.67,9.67,9.67,9400
2021-07-15,9.67,9.695,9.664,9.67,9.67,48300
2021-07-16,9.685,9.685,9.66,9.66,9.66,51400
2021-07-19,9.645,9.67,9.645,9.66,9.66,21834
