Date,Open,High,Low,Close,AdjustedClose,Volume
2015-12-01,1.1478,1.1513,1.1301,1.1301,1.1301,2333
2015-12-02,1.1478,1.199,1.1478,1.1672,1.1672,317
2015-12-03,1.1301,1.1301,1.1301,1.1301,1.1301,33
2015-12-07,1.1478,1.1655,1.1478,1.1655,1.1655,1717
2015-12-08,1.1266,1.1655,1.1266,1.1655,1.1655,42
2015-12-09,1.1478,1.1478,1.1478,1.1478,1.1478,467
2015-12-10,1.1478,1.1478,1.1478,1.1478,1.1478,850
2015-12-11,1.1478,1.1478,1.1019,1.1019,1.1019,1233
2015-12-14,1.0948,1.0948,1.0948,1.0948,1.0948,500
2015-12-17,1.109,1.1125,1.0948,1.0948,1.0948,783
2015-12-18,1.0242,1.0242,0.9606,0.9606,0.9606,3045
2015-12-21,0.9924,0.9924,0.9359,0.9359,0.9359,2307
2015-12-22,0.9642,0.9642,0.9359,0.9536,0.9536,19129
2015-12-23,0.9606,1.0171,0.9536,0.9571,0.9571,27835
2015-12-24,0.9536,0.9889,0.9534,0.9889,0.9889,1637
2015-12-28,1.003,1.0171,0.9889,1.0136,1.0136,2389
2015-12-29,1.0171,1.0913,1.0171,1.0383,1.0383,8174
2015-12-30,1.0242,1.0383,0.9712,1.003,1.003,10130
2015-12-31,0.9995,1.0313,0.9712,0.9995,0.9995,8717
2016-01-04,0.9712,0.9712,0.9394,0.9536,0.9536,3061
2016-01-05,0.9712,0.9889,0.9642,0.9642,0.9642,35036
2016-01-06,0.9536,0.9889,0.9324,0.9359,0.9359,2727
2016-01-07,0.9359,0.9447,0.9112,0.9359,0.9359,3856
2016-01-08,0.9324,0.9359,0.9218,0.9359,0.9359,302
2016-01-11,0.9359,0.9606,0.9112,0.9182,0.9182,5296
2016-01-12,0.9218,0.9536,0.9218,0.943,0.943,1679
2016-01-13,0.9359,0.9402,0.9359,0.9359,0.9359,1138
2016-01-14,0.9288,0.9359,0.9006,0.9182,0.9182,3348
2016-01-15,0.671,0.8653,0.671,0.8476,0.8476,12806
2016-01-19,0.8335,0.8653,0.7946,0.83,0.83,7754
2016-01-20,0.8582,0.8582,0.777,0.8264,0.8264,5625
2016-01-21,0.8547,0.8617,0.8476,0.8476,0.8476,282
2016-01-22,0.8829,0.9465,0.8706,0.9006,0.9006,14510
2016-01-25,0.8794,0.9112,0.8653,0.8653,0.8653,3124
2016-01-26,0.8441,0.9076,0.8441,0.8723,0.8723,1838
2016-01-27,0.8759,0.9182,0.8759,0.9006,0.9006,2688
2016-01-28,0.9218,0.9218,0.8759,0.9076,0.9076,2510
2016-01-29,0.9288,0.9536,0.8653,0.95,0.95,1826
2016-02-01,0.9571,0.9571,0.9288,0.9394,0.9394,3151
2016-02-02,0.95,0.9536,0.8311,0.8688,0.8688,9331
2016-02-03,0.8794,0.9112,0.8264,0.8582,0.8582,11771
2016-02-04,0.8229,0.8828,0.8158,0.8441,0.8441,2865
2016-02-05,0.8158,0.8476,0.7946,0.8405,0.8405,4064
2016-02-08,0.8017,0.83,0.7982,0.83,0.83,1876
2016-02-09,0.8441,0.8935,0.8335,0.8405,0.8405,211845
2016-02-10,0.8388,0.8388,0.8178,0.8229,0.8229,96716
2016-02-11,0.8078,0.8158,0.807,0.8123,0.8123,90110
2016-02-12,0.801,0.8176,0.7911,0.7946,0.7946,104954
2016-02-16,0.8017,0.8476,0.7523,0.777,0.777,19056
2016-02-17,0.7805,0.7982,0.777,0.7876,0.7876,20621
2016-02-18,0.784,0.7946,0.7664,0.7734,0.7734,21012
2016-02-19,0.7946,0.7946,0.7593,0.777,0.777,27719
2016-02-22,0.7628,0.777,0.7593,0.7628,0.7628,44086
2016-02-23,0.7593,0.7593,0.6993,0.7275,0.7275,21782
2016-02-24,0.7099,0.7476,0.6781,0.7381,0.7381,53423
2016-02-25,0.6993,0.7699,0.6887,0.7664,0.7664,41713
2016-02-26,0.7681,0.7699,0.7417,0.7487,0.7487,22280
