Date,Open,High,Low,Close,AdjustedClose,Volume
1995-06-12,4.875,5,4.6563,4.875,4.875,13300
1995-06-13,5.125,5.125,4.5,5.125,5.125,76000
1995-06-14,5.125,5.125,4.8906,5.125,5.125,2500
1995-06-15,5.0156,5.25,4.875,5.0156,5.0156,29500
1995-06-16,5.125,5.375,5.125,5.375,5.375,14300
1995-06-19,5.375,5.5,5.375,5.5,5.5,26800
1995-06-20,5.5,5.875,5.5,5.8281,5.8281,29900
1995-06-21,5.875,6,5.5,5.5,5.5,54500
1995-06-22,5.875,5.875,5.5,5.625,5.625,17000
1995-06-23,5.75,5.75,5.5,5.5,5.5,16400
1995-06-26,5.75,5.75,5.5,5.5,5.5,34400
1995-06-27,5.75,5.75,5.5,5.75,5.75,23900
1995-06-28,5.75,5.75,5.375,5.375,5.375,35400
1995-06-29,5.375,5.625,5.375,5.625,5.625,16300
1995-06-30,5.625,5.625,5.25,5.625,5.625,24100
1995-07-03,5.25,5.625,5.25,5.625,5.625,3300
1995-07-05,5.625,5.75,5.375,5.375,5.375,14900
1995-07-06,5.375,5.75,5.375,5.5,5.5,18600
1995-07-07,5.25,5.625,5.25,5.5,5.5,6000
1995-07-10,5.625,5.625,5.375,5.625,5.625,9300
1995-07-11,5.375,5.75,5.375,5.6094,5.6094,9900
1995-07-12,5.625,5.625,5.375,5.375,5.375,13100
1995-07-13,5.5625,5.5625,5.25,5.3125,5.3125,18100
1995-07-14,5.5625,5.5625,5.3125,5.5,5.5,17700
1995-07-17,5.875,6,5.375,5.9531,5.9531,17100
1995-07-18,6,6,5.8125,6,6,15200
1995-07-19,6,6,5.625,5.75,5.75,10500
1995-07-20,5.75,5.875,5.5,5.7031,5.7031,4500
1995-07-21,5.875,5.875,5.5,5.5,5.5,8900
1995-07-24,5.5,5.875,5.5,5.6406,5.6406,8200
1995-07-25,5.75,5.75,5.5,5.75,5.75,11600
1995-07-26,5.75,6,5.5,5.8125,5.8125,29100
1995-07-27,5.75,6,5.75,5.8125,5.8125,25400
1995-07-28,5.875,5.875,5.625,5.875,5.875,23200
1995-07-31,5.875,6,5.625,5.7969,5.7969,12400
1995-08-01,6,6,5.625,5.7656,5.7656,71900
1995-08-02,5.875,6,5.7969,6,6,26000
1995-08-03,5.8125,5.875,5.625,5.875,5.875,24200
1995-08-04,5.875,6.125,5.625,6.125,6.125,39000
1995-08-07,6.125,6.125,5.875,6.125,6.125,4200
1995-08-08,5.875,6.375,5.875,5.9375,5.9375,13500
1995-08-09,6.375,6.375,5.9375,6.375,6.375,61200
1995-08-10,6.375,6.375,5.875,6,6,29200
1995-08-11,6.375,6.375,6,6.25,6.25,11300
1995-08-14,6.25,6.5,5.875,6.5,6.5,39000
1995-08-15,6.5,6.5,6.25,6.25,6.25,20300
1995-08-16,6.4375,6.4375,6.125,6.2813,6.2813,131700
1995-08-17,6.125,6.75,6.125,6.6563,6.6563,93400
1995-08-18,6.75,6.875,6.5,6.875,6.875,44400
1995-08-21,6.875,7.5,6.75,7.3125,7.3125,108300
1995-08-22,7.375,7.375,7,7.375,7.375,16500
1995-08-23,7.25,7.25,6.875,6.875,6.875,39000
1995-08-24,7.125,7.125,6.875,6.9375,6.9375,27300
1995-08-25,7.125,7.125,6.9375,7.0313,7.0313,22000
1995-08-28,7.125,7.1875,6.9375,7,7,64100
1995-08-29,7.1875,7.375,7,7,7,49100
1995-08-30,7,7.25,6.625,6.625,6.625,38900
1995-08-31,6.625,6.875,6.375,6.75,6.75,56200
1995-09-01,6.5,6.875,6.375,6.875,6.875,58600
1995-09-05,6.875,6.875,6.625,6.75,6.75,8800
1995-09-06,6.875,7.125,6.75,7.125,7.125,32000
1995-09-07,6.875,7.375,6.875,7.25,7.25,70600
1995-09-08,7.375,7.375,7.0938,7.125,7.125,18300
1995-09-11,7.125,7.5,7.125,7.5,7.5,49900
1995-09-12,7.5,7.5,7.25,7.25,7.25,32100
1995-09-13,7.5,7.75,7.375,7.4219,7.4219,27400
1995-09-14,7.5,7.625,7.375,7.625,7.625,12200
1995-09-15,7.375,7.625,7.125,7.125,7.125,29100
1995-09-18,7.375,7.5,7.125,7.5,7.5,25800
1995-09-19,7.5,7.5,7.125,7.375,7.375,52800
1995-09-20,7.125,7.375,7,7.25,7.25,36900
1995-09-21,7,7.375,7,7.375,7.375,3600
1995-09-22,7,7.25,7,7,7,10100
1995-09-25,7.25,7.25,7,7,7,10900
1995-09-26,6.875,7.125,6.875,7.125,7.125,16200
1995-09-27,6.875,7,6.75,7,7,69200
1995-09-28,6.875,7.0625,6.875,6.875,6.875,7800
1995-09-29,6.875,7,6.875,6.875,6.875,13700
1995-10-02,6.875,7.125,6.75,6.75,6.75,35600
1995-10-03,6.75,7,6.625,6.625,6.625,38500
1995-10-04,6.875,6.875,6.625,6.625,6.625,25700
1995-10-05,6.75,6.75,6.625,6.75,6.75,2500
1995-10-06,6.75,6.75,6.625,6.625,6.625,19400
1995-10-09,6.75,6.875,6.75,6.875,6.875,11500
1995-10-10,6.875,6.875,6.625,6.625,6.625,82000
1995-10-11,6.875,6.875,6.5625,6.5625,6.5625,15100
1995-10-12,6.875,6.875,6.5938,6.875,6.875,22600
1995-10-13,6.875,6.875,6.5,6.875,6.875,95300
1995-10-16,6.875,6.875,6.625,6.75,6.75,8900
1995-10-17,6.75,6.875,6.5,6.625,6.625,3900
1995-10-18,6.625,6.875,6.5,6.875,6.875,6700
1995-10-19,6.5,6.625,6.5,6.5,6.5,13100
1995-10-20,6.8125,6.8125,6.5,6.5,6.5,11400
1995-10-23,6.75,6.75,6.375,6.375,6.375,30100
1995-10-24,6.625,6.625,6.25,6.375,6.375,33800
1995-10-25,6.25,6.625,6.25,6.3125,6.3125,13300
1995-10-26,6.625,6.625,6.375,6.375,6.375,6500
1995-10-27,6.625,6.625,6.375,6.4844,6.4844,44000
1995-10-30,6.375,6.75,6.375,6.375,6.375,24400
1995-10-31,6.625,6.6875,6.5,6.625,6.625,19900
1995-11-01,6.75,6.75,6.5625,6.625,6.625,13200
1995-11-02,6.5625,6.75,6.5625,6.75,6.75,11200
1995-11-03,6.75,6.75,6.5625,6.5625,6.5625,12700
1995-11-06,6.75,7.1563,6.625,7.125,7.125,62400
1995-11-07,7.25,7.375,7,7.25,7.25,32600
1995-11-08,7.375,7.375,7.125,7.375,7.375,26100
1995-11-09,7.375,7.5,7.125,7.5,7.5,13800
1995-11-10,7.25,7.5,7.25,7.25,7.25,16900
1995-11-13,7.5,7.5,7.125,7.3438,7.3438,14400
1995-11-14,7.375,7.375,7.1875,7.375,7.375,10000
1995-11-15,7.25,7.2813,7,7,7,15300
1995-11-16,7.25,7.25,7,7.25,7.25,11100
1995-11-17,7.25,7.25,7,7.1875,7.1875,6900
1995-11-20,7.1875,7.1875,7,7,7,2300
1995-11-21,7,7.1875,6.875,6.875,6.875,24100
1995-11-22,6.875,7.125,6.625,6.625,6.625,20100
1995-11-24,6.75,6.8125,6.625,6.6875,6.6875,7500
1995-11-27,6.8125,7,6.5,7,7,28700
1995-11-28,6.9844,7,6.7344,6.875,6.875,10500
1995-11-29,6.75,7,6.6406,6.875,6.875,53900
1995-11-30,7,7,6.75,6.75,6.75,5100
1995-12-01,7,7,6.625,6.625,6.625,62100
1995-12-04,6.875,6.875,6.5,6.5,6.5,14400
1995-12-05,6.5,6.75,6.5,6.5,6.5,1700
1995-12-06,6.625,6.75,6.5,6.5,6.5,29500
1995-12-07,6.75,6.875,6.625,6.875,6.875,47000
1995-12-08,6.625,6.9844,6.625,6.9844,6.9844,12500
1995-12-11,7,7,6.625,7,7,7900
1995-12-12,7,7,6.625,6.625,6.625,55900
1995-12-13,6.5938,6.75,6.375,6.5625,6.5625,21600
1995-12-14,6.75,6.75,6.375,6.4375,6.4375,4700
