Date,Open,High,Low,Close,AdjustedClose,Volume
2007-06-13,24.81,25.13,24.78,25.13,25.13,25600
2007-06-14,25.46,25.71,25.46,25.71,25.71,15800
2007-06-15,25.85,25.94,25.85,25.94,25.94,39600
2007-06-18,26.09,26.1,26.05,26.07,26.07,32400
2007-06-19,25.9,26,25.86,26,26,100600
2007-06-20,26.1,26.5,25.94,26.5,26.5,20000
2007-06-21,25.76,26.45,25.74,25.85,25.85,99200
2007-06-22,25.9,26,25.81,25.84,25.84,22600
2007-06-25,25.75,25.9,25.68,25.7,25.7,14400
2007-06-26,25.7,25.75,25.55,25.6,25.6,22600
2007-06-27,25.45,25.75,25.34,25.75,25.75,41700
2007-06-28,26.35,26.45,26.25,26.25,26.25,52800
2007-06-29,26.35,26.4,26.15,26.15,26.15,26700
2007-07-02,26.6,26.86,26.6,26.86,26.86,47900
2007-07-03,27,27.05,27,27.05,27.05,30500
2007-07-05,26.85,26.9,26.62,26.7,26.7,62800
2007-07-06,26.72,27,26.72,27,27,75300
2007-07-09,27.65,27.9,27.65,27.9,27.9,73000
2007-07-10,27.9,28.05,27.9,27.95,27.95,89600
2007-07-11,27.7,27.9,27.7,27.9,27.9,89400
2007-07-12,28.15,28.35,28.15,28.35,28.35,82700
2007-07-13,28.45,28.55,28.45,28.55,28.55,76400
2007-07-16,28.55,28.6,28.3,28.3,28.3,73600
2007-07-17,28.44,28.55,28.25,28.28,28.28,58200
2007-07-18,27.94,28,27.75,28,28,48600
2007-07-19,28.31,28.55,28.2,28.3,28.3,102200
2007-07-20,28.26,28.3,27.81,27.9,27.9,94300
2007-07-23,28.16,28.2,28.16,28.2,28.2,46500
2007-07-24,28.08,28.2,27.04,27.43,27.43,75300
2007-07-25,27.6,27.65,27.4,27.45,27.45,27200
2007-07-26,27.11,27.15,26.23,26.7,26.7,50900
2007-07-27,26.65,26.85,26.48,26.55,26.55,27700
2007-07-30,26.7,26.98,26.64,26.9,26.9,39700
2007-07-31,27.67,27.7,27.02,27.2,27.2,57800
2007-08-01,26.79,26.8,26.35,26.65,26.65,68500
2007-08-02,27.3,27.35,26.75,27.1,27.1,29800
2007-08-03,26.82,26.9,26.09,26.29,26.29,64000
2007-08-06,25.97,26.08,24.154,26.08,26.08,102000
2007-08-07,26.65,27.15,26.49,27.14,27.14,22900
2007-08-08,27.23,27.93,27.2,27.6,27.6,44800
2007-08-09,27.11,27.7,27.11,27.55,27.55,16200
2007-08-10,26.87,27.02,26.4868,26.66,26.66,30000
2007-08-13,26.67,26.9,26.3,26.49,26.49,16000
2007-08-14,26.5,26.5499,26.21,26.35,26.35,13800
2007-08-15,25.25,25.44,24.99,25.0955,25.0955,29300
2007-08-16,23.9,23.956,22.17,23.74,23.74,58300
2007-08-17,24.25,24.45,24.2,24.2,24.2,36900
2007-08-20,25.1,25.1,24.61,24.85,24.85,20100
2007-08-21,24.63,24.7,24.47,24.66,24.66,14900
2007-08-22,25.36,25.5,25.19,25.5,25.5,17400
2007-08-23,25.8,25.85,25.32,25.5,25.5,20000
2007-08-24,25.44,25.95,25.32,25.92,25.92,15700
2007-08-27,26.15,26.3,25.88,26.25,26.25,37800
2007-08-28,25.6,25.7,25.4,25.5,25.5,24600
2007-08-29,25.25,25.4,25,25.4,25.4,30100
2007-08-30,25.41,26.1,25.41,26.01,26.01,35500
2007-08-31,26.15,26.3499,26.15,26.25,26.25,11300
2007-09-04,26.33,26.75,26.33,26.75,26.75,19100
2007-09-05,26.45,26.5,26.2701,26.28,26.28,23600
2007-09-06,26.45,27.11,26.4,26.65,26.65,22800
2007-09-07,26.07,26.15,26,26.07,26.07,16000
2007-09-10,26.15,26.2,25.87,26.15,26.15,12600
2007-09-11,26.2,26.45,26.17,26.436,26.436,23700
2007-09-12,26.26,26.4,26.16,26.39,26.39,34800
2007-09-13,26.18,26.2,25.85,26.11,26.11,18700
2007-09-14,25.94,26,25,26,26,17000
2007-09-17,25.88,25.9,25.63,25.63,25.63,11700
2007-09-18,25.93,26.65,25.79,26.53,26.53,21800
2007-09-19,27.33,27.45,27.12,27.3,27.3,21000
2007-09-20,27.25,27.3,27.16,27.25,27.25,9600
2007-09-21,27.56,27.8,27.46,27.8,27.8,20000
2007-09-24,28.04,28.05,27.97,28.03,28.03,34100
2007-09-25,27.7,27.96,27.6401,27.96,27.96,23600
2007-09-26,28.47,29.44,28.34,28.41,28.41,30400
2007-09-27,28.64,28.65,28.56,28.65,28.65,79400
2007-09-28,28.65,28.7,28.62,28.7,28.7,59100
2007-10-01,28.8,29.44,28.8,29.05,29.05,52600
2007-10-02,29.3,29.45,29.2,29.35,29.35,320700
2007-10-03,28.95,29.11,28.91,29.11,29.11,85400
2007-10-04,28.6,28.7,28.08,28.7,28.7,52100
2007-10-05,28.85,29.15,28.75,29.15,29.15,30400
2007-10-08,29.6,29.65,28.9,28.9,28.9,53000
2007-10-09,28.74,29.1,28.69,28.99,28.99,48400
2007-10-10,29.23,29.3,29.15,29.3,29.3,32300
2007-10-11,29.68,29.84,29.08,29.23,29.23,59500
2007-10-12,29.26,29.3,28.87,29.17,29.17,47300
2007-10-15,29.58,29.6,29.14,29.14,29.14,52300
2007-10-16,28.9,29.1,28.79,29.03,29.03,60600
2007-10-17,29.5,29.6,29.4501,29.6,29.6,29700
2007-10-18,29.59,29.65,29.34,29.4,29.4,36100
2007-10-19,29.46,29.66,28.85,28.85,28.85,39300
2007-10-22,28.5,28.7,28.25,28.7,28.7,40700
2007-10-23,29.57,29.6,29.43,29.54,29.54,59700
2007-10-24,29.78,29.8,29.0701,29.71,29.71,49500
2007-10-25,30.05,30.05,29.75,29.88,29.88,41000
2007-10-26,30.17,30.27,29.99,30.25,30.25,88400
2007-10-29,30.8,30.98,30.6401,30.98,30.98,81600
2007-10-30,30.98,31,30.85,30.99,30.99,72400
2007-10-31,31.08,31.397,30.93,31.24,31.24,55600
2007-11-01,31.49,31.61,31.04,31.29,31.29,114800
2007-11-02,31.27,31.27,30.56,30.99,30.99,85100
2007-11-05,31.71,32.2,30.28,30.58,30.58,45600
2007-11-06,31.02,31.35,30.95,31.35,31.35,47255
2007-11-07,32.15,32.2,31.33,31.52,31.52,123300
2007-11-08,31.94,32.49,31.7501,32.15,32.15,162400
2007-11-09,32.07,32.1,31.4,31.4,31.4,74432
2007-11-12,31.7,32.97,29,29.6,29.6,85776
2007-11-13,29.57,29.8,29.03,29.44,29.44,131535
2007-11-14,26.78,29.8699,26.78,29.02,29.02,263171
2007-11-15,28.65,29.68,28.65,29.14,29.14,95776
2007-11-16,29.03,29.7,29.03,29.5,29.5,41887
2007-11-19,29.04,29.1,28.02,28.39,28.39,110045
2007-11-20,28.71,28.94,27.65,28.3799,28.3799,256404
2007-11-21,28.42,28.42,27.59,27.97,27.97,35071
2007-11-23,28.45,28.45,28.13,28.29,28.29,21740
2007-11-26,28.04,28.97,28.04,28.36,28.36,60332
2007-11-27,28.26,28.55,28.11,28.5,28.5,45080
2007-11-28,28.98,29.48,28.86,29.4,29.4,64377
2007-11-29,29.58,33,29.19,29.87,29.87,122220
2007-11-30,30.8,30.85,30.21,30.32,30.32,99200
2007-12-03,30.56,30.56,29.97,30.07,30.07,76371
2007-12-04,30,30,29.61,29.8,29.8,89400
2007-12-05,30.38,30.7,29.9,30.6,30.6,91250
2007-12-06,30.84,30.95,30.1,30.8,30.8,137021
2007-12-07,30.8,31.2,30.48,31.08,31.08,102400
2007-12-10,32.01,38.1,31.07,31.66,31.66,131660
2007-12-11,32.5,32.5,31.2,31.52,31.52,103900
2007-12-12,32.47,33.03,31.55,31.91,31.91,100549
2007-12-13,32.05,32.15,30.75,31.3301,31.3301,117725
2007-12-14,32.83,32.83,30.91,31.226,31.226,49900
2007-12-17,31.41,31.41,30.13,30.25,30.25,47100
2007-12-18,30.7,30.8,30.36,30.79,30.79,88100
2007-12-19,30.79,31.36,30.79,31.12,31.12,67700
2007-12-20,31.1,31.4,30.82,31.4,31.4,47800
2007-12-21,31.43,32.5,31.2,31.33,31.33,79500
2007-12-24,31.49,32.48,31.4,31.69,31.69,30600
2007-12-26,31.71,32.43,31.71,32.43,32.43,70500
2007-12-27,32.65,33.98,32.17,32.36,32.36,91700
2007-12-28,32.15,32.74,31.9,32.4,32.4,75300
2007-12-31,32.3,32.3,31.7,31.7,31.7,98600
2008-01-02,32.05,32.35,31.62,31.75,31.75,81350
2008-01-03,31.94,32.15,31.8,31.85,31.85,109300
2008-01-04,31.98,32,31.31,31.4,31.4,66810
2008-01-07,31,31,30.24,30.35,30.35,101250
2008-01-08,30.01,31.05,30.01,30.55,30.55,47300
2008-01-09,30.37,30.37,29,29.55,29.55,125928
2008-01-10,29.25,29.4,28.736,29.15,29.15,116231
2008-01-11,29.11,29.35,28.26,28.39,28.39,69413
2008-01-14,28.27,28.73,28,28.22,28.22,173600
2008-01-15,27.7,28.5,27.08,27.234,27.234,80539
2008-01-16,26.94,26.94,25.61,26.27,26.27,143314
2008-01-17,26.01,26.56,25.24,25.25,25.25,87500
2008-01-18,25.01,25.62,24.57,24.93,24.93,113500
2008-01-22,23.93,24.44,22.047,24.44,24.44,134874
2008-01-23,23.65,24.49,23,24.4899,24.4899,187437
2008-01-24,24.76,25.17,24.6,25.16,25.16,62692
2008-01-25,25.58,26.25,25.06,25.25,25.25,124459
2008-01-28,25.44,25.44,24.95,25.38,25.38,106706
2008-01-29,24.52,26,24.52,25.9,25.9,55600
2008-01-30,26.08,26.15,25.17,25.28,25.28,131488
2008-01-31,24.72,25.4,24.18,25.32,25.32,51445
2008-02-01,26.53,26.53,25.3901,25.5,25.5,129294
2008-02-04,26.7,26.7,26,26.09,26.09,61100
2008-02-05,25.98,25.98,24.82,24.82,24.82,64560
2008-02-06,25.15,25.55,24.35,24.5,24.5,79795
2008-02-07,24.51,26.38,24.11,24.44,24.44,60600
2008-02-08,24.46,26.31,23.76,24.14,24.14,56400
2008-02-11,24.31,24.84,24.21,24.84,24.84,29419
2008-02-12,25.25,25.4,24.84,24.89,24.89,43200
2008-02-13,25.5,26,25.42,25.96,25.96,42970
2008-02-14,25.81,27.613,25.61,25.72,25.72,46300
2008-02-15,25.78,25.89,25.22,25.54,25.54,37700
2008-02-19,26.76,26.77,25,25,25,49800
2008-02-20,25.25,25.5899,24.97,25.5899,25.5899,52100
2008-02-21,25.7,25.93,25.29,25.47,25.47,51400
2008-02-22,25.8,25.85,24.8901,25.27,25.27,49106
2008-02-25,25.08,25.7599,25.08,25.74,25.74,53860
2008-02-26,25.81,26.15,25.578,26.15,26.15,75375
2008-02-27,26.21,26.21,25.58,25.87,25.87,177590
2008-02-28,26.1,26.1406,25.58,25.85,25.85,161400
2008-02-29,25.6,25.65,24.73,24.73,24.73,55893
2008-03-03,24.59,24.9,24.5,24.9,24.9,32300
2008-03-04,24.84,24.95,24.48,24.86,24.86,136500
2008-03-05,25,25.48,24.24,25.31,25.31,75502
2008-03-06,26.52,26.52,24.49,24.89,24.89,48439
2008-03-07,24.89,25,24.25,24.55,24.55,35700
2008-03-10,24.35,24.82,23.5,23.6,23.6,110432
2008-03-11,24.41,24.72,24.0501,24.72,24.72,45100
2008-03-12,24.97,25.15,24.8,25,25,26130
2008-03-13,24.82,25.05,24.2,25.05,25.05,44500
2008-03-14,25.44,25.44,24.3962,24.6,24.6,44400
2008-03-17,23.79,25,23.59,24.248,24.248,39195
2008-03-18,24.97,24.97,24.31,24.8,24.8,40199
2008-03-19,24.74,25,23.87,23.94,23.94,26500
2008-03-20,23.58,24,23.15,23.92,23.92,113000
2008-03-24,24.25,24.74,24,24.2,24.2,34908
2008-03-25,25.25,25.25,24.39,25,25,51689
2008-03-26,25.19,25.24,24.8601,25.2,25.2,38000
2008-03-27,25.23,25.9,25.23,25.57,25.57,38100
2008-03-28,25.95,25.95,25.41,25.5,25.5,29500
2008-03-31,26.06,26.06,25.26,25.57,25.57,33200
2008-04-01,25.77,26.3,25.7,26.1717,26.1717,43100
2008-04-02,26.9,26.9,26.01,26.3,26.3,72400
2008-04-03,26.36,27.46,26,26.74,26.74,131400
2008-04-04,26.99,27.66,26.5,27.6,27.6,84262
2008-04-07,28.11,28.2,27.3301,27.66,27.66,77280
2008-04-08,27.48,27.5,27.01,27.29,27.29,21560
2008-04-09,27.4,27.4,26.82,26.98,26.98,41027
2008-04-10,26.8,26.96,26.53,26.82,26.82,36370
2008-04-11,26.7,26.7,26.117,26.27,26.27,50700
2008-04-14,26.18,26.45,26.18,26.28,26.28,26705
2008-04-15,26.7,26.73,26.25,26.51,26.51,42829
2008-04-16,27.48,27.75,27.1,27.65,27.65,49898
2008-04-17,28.71,28.75,27.13,27.3,27.3,47091
2008-04-18,27.99,29.23,27.25,27.55,27.55,73080
2008-04-21,29.4,29.4,27.48,27.83,27.83,52481
