Date,Open,High,Low,Close,AdjustedClose,Volume
2003-01-16,15.25,15.5,15,15.5,15.5,23419301
2003-01-17,15.35,16,15.27,15.85,15.85,2224700
2003-01-21,15.7,15.83,15.52,15.57,15.57,1257700
2003-01-22,15.5,15.59,15.3,15.52,15.52,1243400
2003-01-23,15.58,15.65,15.42,15.65,15.65,631900
2003-01-24,15.7,15.7,15.51,15.65,15.65,619800
2003-01-27,15.54,15.61,15.5,15.53,15.53,470200
2003-01-28,15.52,15.65,15.52,15.57,15.57,457900
2003-01-29,15.49,15.62,15.45,15.57,15.57,582700
2003-01-30,15.67,15.72,15.4,15.4,15.4,323500
2003-01-31,15.38,15.57,15.38,15.46,15.46,430900
2003-02-03,15.47,15.55,15.47,15.53,15.53,291100
2003-02-04,15.52,15.56,15.48,15.54,15.54,300600
2003-02-05,15.51,15.55,15.47,15.49,15.49,198600
2003-02-06,15.4,15.49,15.4,15.46,15.46,367800
2003-02-07,15.45,15.48,15.25,15.3,15.3,468800
2003-02-10,15.28,15.35,14.8,15.14,15.14,979800
2003-02-11,15.15,15.19,14.97,15,15,1146700
2003-02-12,15,15.15,15,15.15,15.15,860300
2003-02-13,15.05,15.1,15.02,15.03,15.03,241000
2003-02-14,15.06,15.17,15,15.15,15.15,360100
2003-02-18,15.2,15.2,15.08,15.14,15.14,91400
2003-02-19,15.12,15.2,15.09,15.19,15.19,157500
2003-02-20,15.15,15.35,15.15,15.22,15.22,347600
2003-02-21,15.15,15.27,15.14,15.27,15.27,117200
2003-02-24,15.27,15.27,15.2,15.23,15.23,167900
2003-02-25,15.25,15.25,15.14,15.2,15.2,210600
2003-02-26,15.2,15.2,15.12,15.17,15.17,154600
2003-02-27,15.17,15.22,15.14,15.2,15.2,167400
2003-02-28,15.2,15.26,15.19,15.25,15.25,208500
2003-03-03,15.27,15.4,15.2,15.35,15.35,131700
2003-03-04,15.3,15.35,15.18,15.24,15.24,142900
2003-03-05,15.25,15.33,15.17,15.3,15.3,138600
2003-03-06,15.25,15.36,15.15,15.36,15.36,308900
2003-03-07,15.29,15.5,15.26,15.49,15.49,179900
2003-03-10,15.49,15.49,15.3,15.34,15.34,108400
2003-03-11,15.35,15.48,15.23,15.32,15.32,138100
2003-03-12,15.22,15.32,15.16,15.24,15.24,103100
2003-03-13,15.26,15.34,15.22,15.34,15.34,98600
2003-03-14,15.24,15.44,15.24,15.34,15.34,112100
2003-03-17,15.36,15.43,15.16,15.35,15.35,112600
2003-03-18,15.35,15.42,15.32,15.41,15.41,123900
2003-03-19,15.41,15.45,15.3,15.39,15.39,59500
2003-03-20,15.39,15.42,15.3,15.4,15.4,85300
2003-03-21,15.41,15.64,15.32,15.63,15.63,175200
2003-03-24,15.64,15.64,15.39,15.55,15.55,44600
2003-03-25,15.55,15.74,15.53,15.69,15.69,178900
2003-03-26,15.73,15.79,15.62,15.79,15.79,118500
2003-03-27,15.17,15.65,15.17,15.53,15.53,465900
2003-03-28,15.55,15.79,15.54,15.67,15.67,135900
2003-03-31,15.67,15.84,15.66,15.81,15.81,195200
2003-04-01,15.81,15.81,15.68,15.8,15.8,109900
2003-04-02,15.8,15.97,15.77,15.97,15.97,192400
2003-04-03,15.99,16,15.95,16,16,93200
2003-04-04,15.96,16.29,15.96,16.29,16.29,163500
2003-04-07,16.28,16.43,16.05,16.14,16.14,191400
2003-04-08,16.14,16.38,16.14,16.29,16.29,107000
2003-04-09,16.29,16.42,16.23,16.25,16.25,299800
2003-04-10,16.25,16.25,15.99,16.02,16.02,197100
