Date,Open,High,Low,Close,AdjustedClose,Volume
1997-09-24,7,8,6.125,7,7,14208
1997-09-25,6.9375,7.1875,6.625,6.9375,6.9375,5016
1997-09-26,7.25,7.25,6.75,7.25,7.25,4016
1997-09-29,6.875,7.25,6.875,6.875,6.875,1580
1997-09-30,7.0625,7.125,6.75,7.0625,7.0625,1716
1997-10-01,7.125,7.125,6.75,7.125,7.125,1116
1997-10-02,7.25,7.25,6.75,7.25,7.25,1680
1997-10-03,6.875,7.0625,6.875,6.875,6.875,536
1997-10-06,7,7.25,6.75,7,7,556
1997-10-07,6.75,7.0625,6.75,6.75,6.75,720
1997-10-08,6.875,7.125,6.75,6.875,6.875,1196
1997-10-09,6.875,7,6.875,6.875,6.875,704
1997-10-10,6.6875,7,6.5,6.6875,6.6875,1824
1997-10-13,6.875,6.875,6.5,6.875,6.875,1056
1997-10-14,6.5625,7,6.5625,6.5625,6.5625,1244
1997-10-15,6.875,6.875,6.5625,6.875,6.875,1796
1997-10-16,6.625,6.875,6.625,6.625,6.625,248
1997-10-17,6.625,6.875,6.625,6.625,6.625,432
1997-10-20,6.625,6.875,6.625,6.625,6.625,216
1997-10-21,6.625,6.875,6.625,6.625,6.625,1032
1997-10-22,6.875,7,6.6563,6.875,6.875,1344
1997-10-23,6.75,6.9375,6.6875,6.75,6.75,1288
1997-10-24,6.625,6.9375,6.625,6.625,6.625,1636
1997-10-27,6.5,6.8125,6.5,6.5,6.5,972
1997-10-28,6.4375,6.625,6.25,6.4375,6.4375,1276
1997-10-29,6.625,6.625,6.625,6.625,6.625,40
1997-10-30,6.5625,6.5625,6.4375,6.5625,6.5625,480
1997-10-31,6.5,6.5625,6.4375,6.5,6.5,760
1997-11-03,6.8125,7,6.5625,6.8125,6.8125,1012
1997-11-04,6.8125,7,6.8125,6.8125,6.8125,152
1997-11-05,6.8125,7.0938,6.6875,6.8125,6.8125,1568
1997-11-06,6.8125,7,6.75,6.8125,6.8125,304
1997-11-07,6.8125,6.9375,6.75,6.8125,6.8125,1024
1997-11-10,6.7813,7,6.75,6.7813,6.7813,960
1997-11-11,6.75,6.875,6.625,6.75,6.75,756
1997-11-12,6.625,6.75,6.625,6.625,6.625,288
1997-11-13,6.625,6.75,6.625,6.625,6.625,784
1997-11-14,6.375,6.875,6.375,6.375,6.375,1748
1997-11-17,6.4375,6.625,6.375,6.4375,6.4375,260
1997-11-18,6.4375,6.625,6.375,6.4375,6.4375,1760
1997-11-19,6.4375,6.625,6.4375,6.4375,6.4375,764
1997-11-20,6.5625,6.625,6.5,6.5625,6.5625,128
1997-11-21,6.75,6.875,6.5,6.75,6.75,984
1997-11-24,6.125,6.5,5.875,6.125,6.125,1068
1997-11-25,6,6.5,5.75,6,6,772
1997-11-26,6.1563,6.375,6,6.1563,6.1563,1488
1997-12-01,6.4375,6.4375,6.25,6.4375,6.4375,288
1997-12-02,6.25,6.5,6.0625,6.25,6.25,928
1997-12-03,6.3125,6.5,6.25,6.3125,6.3125,132
1997-12-04,6.4375,6.4375,6.25,6.4375,6.4375,120
1997-12-08,6.25,6.5,6.25,6.25,6.25,248
1997-12-09,6.25,6.25,6.25,6.25,6.25,204
1997-12-10,6.25,6.25,6.125,6.25,6.25,868
1997-12-11,6.25,6.25,6.125,6.25,6.25,224
1997-12-12,6,6.25,6,6,6,292
1997-12-15,6,6.125,6,6,6,704
1997-12-16,6,6.25,6,6,6,1980
1997-12-17,6.25,6.25,6,6.25,6.25,944
1997-12-18,6.125,6.375,6,6.125,6.125,876
1997-12-19,6.125,6.375,6.125,6.125,6.125,1304
1997-12-22,6.125,6.375,6.125,6.125,6.125,456
1997-12-23,6.125,6.125,6.125,6.125,6.125,292
1997-12-24,6.125,6.375,6.125,6.125,6.125,128
1997-12-26,6.125,6.25,6.125,6.125,6.125,84
1997-12-29,6.375,6.375,6.125,6.375,6.375,492
1997-12-30,6.375,6.375,6.125,6.375,6.375,56
1997-12-31,6.125,6.125,6.125,6.125,6.125,116
1998-01-02,6.25,6.2813,5.875,6.25,6.25,1348
1998-01-05,6,6.1563,6,6,6,340
1998-01-06,6,6.125,6,6,6,356
1998-01-07,6,6.125,6,6,6,644
1998-01-08,6.1719,6.1875,6,6.1719,6.1719,144
1998-01-09,6,6.25,6,6,6,276
1998-01-12,6,6.25,6,6,6,356
1998-01-13,6,6,6,6,6,180
1998-01-14,6.1875,6.1875,6,6.1875,6.1875,472
1998-01-15,6,6.1875,6,6,6,880
1998-01-16,6.25,6.25,6,6.25,6.25,440
1998-01-20,6,6,6,6,6,40
1998-01-21,6,6.1875,6,6,6,312
1998-01-22,6.1875,6.1875,6,6.1875,6.1875,520
1998-01-23,6,6.1875,6,6,6,512
1998-01-26,6,6,6,6,6,64
1998-01-27,5.875,6.1875,5.875,5.875,5.875,684
1998-01-28,6,6,5.5,6,6,1540
1998-01-29,6,6,6,6,6,400
1998-01-30,6,6,5.5625,6,6,36
