Date,Open,High,Low,Close,AdjustedClose,Volume
2010-04-07,25.33,25.39,25.32,25.38,25.38,2800
2010-04-08,25.156,25.339,25.156,25.33,25.33,1800
2010-04-09,25.27,25.27,25.21,25.2467,25.2467,2250
2010-04-12,25.41,25.485,25.38,25.485,25.485,2296
2010-04-14,25.871,25.871,25.871,25.871,25.871,100
2010-04-15,25.93,26.05,25.93,26.05,26.05,1100
2010-04-16,26.11,26.11,25.92,25.92,25.92,1253
2010-04-20,26.06,26.06,25.99,26.0524,26.0524,4100
2010-04-21,26.1096,26.34,26.1096,26.34,26.34,6300
2010-04-22,26.03,26.79,26.03,26.79,26.79,4150
2010-04-23,26.9,27.06,26.8999,27.06,27.06,1244
2010-04-26,27.31,27.31,27.2,27.24,27.24,3580
2010-04-27,26.96,27.2,26.5,26.5,26.5,37872
2010-04-28,26.6299,26.72,26.6257,26.67,26.67,3288
2010-04-29,26.7,27.1,26.66,27.0799,27.0799,21114
2010-04-30,27.1864,27.1865,26.52,26.52,26.52,7665
2010-05-03,26.73,27.15,26.68,27.15,27.15,19369
2010-05-04,26.76,26.76,26.31,26.31,26.31,500
2010-05-05,25.97,26.05,25.86,25.86,25.86,600
2010-05-06,25.9,26.13,11,24.92,24.92,11185
2010-05-07,24.91,24.96,24.26,24.33,24.33,4727
2010-05-10,25.4,25.53,25.27,25.53,25.53,5900
2010-05-11,25.22,25.8699,25.22,25.8699,25.8699,1000
2010-05-12,26.2696,26.63,26.1996,26.61,26.61,1716
2010-05-13,26.68,26.76,26.62,26.62,26.62,1310
2010-05-14,25.9401,25.9401,25.9401,25.9401,25.9401,100
2010-05-17,26.15,26.21,25.67,26.21,26.21,4805
2010-05-18,26.52,26.52,25.75,25.75,25.75,9200
2010-05-19,25.7,25.7,24.951,25.13,25.13,3400
2010-05-20,24.03,24.63,23.85,23.85,23.85,30847
2010-05-21,23.02,24.06,23.02,24.06,24.06,378
2010-05-24,23.9236,23.96,23.73,23.73,23.73,1900
2010-05-25,23.0001,23.44,23,23.44,23.44,1800
2010-05-26,24.0967,24.0967,23.66,23.66,23.66,600
2010-05-28,24.19,24.44,24.19,24.35,24.35,2648
2010-06-01,23.7,24.12,23.5,23.58,23.58,3500
2010-06-02,23.83,24.15,23.83,24.12,24.12,700
2010-06-03,24.4699,24.4699,24.4699,24.4699,24.4699,100
2010-06-07,23.74,23.74,22.64,22.64,22.64,2000
2010-06-09,22.83,22.83,22.83,22.83,22.83,100
2010-06-10,23.15,23.48,23.1429,23.48,23.48,700
2010-06-11,23.67,23.7,23.5534,23.7,23.7,550
2010-06-14,23.98,23.98,23.98,23.98,23.98,900
2010-06-15,24.05,24.553,24.05,24.553,24.553,3400
2010-06-16,24.4,24.4,24.4,24.4,24.4,200
2010-06-18,24.36,24.45,24.36,24.45,24.45,1200
2010-06-21,24.293,24.293,24.293,24.293,24.293,100
2010-06-22,24.3458,24.3458,24.3458,24.3458,24.3458,391
2010-06-24,23.87,23.87,23.87,23.87,23.87,1000
2010-06-29,23.35,23.35,23.01,23.01,23.01,1985
2010-07-08,22.8452,22.8452,22.8452,22.8452,22.8452,153
2010-07-09,23.11,23.12,23.11,23.12,23.12,4920
2010-07-12,22.95,22.95,22.95,22.95,22.95,217
2010-07-16,22.79,22.79,22.63,22.63,22.63,16806
2010-07-19,22.76,22.76,22.76,22.76,22.76,3000
2010-07-20,22.66,23.28,22.66,23.28,23.28,27406
2010-07-22,23.8069,23.81,23.75,23.75,23.75,1400
2010-07-26,24.83,24.83,24.81,24.81,24.81,907
2010-07-27,25.22,25.22,24.9169,24.917,24.917,1218
2010-07-29,24.7099,24.71,24.65,24.65,24.65,1500
2010-08-02,24.92,24.92,24.92,24.92,24.92,100
2010-08-05,24.52,24.52,24.5,24.5,24.5,2000
2010-08-09,24.44,24.44,24.44,24.44,24.44,300
2010-08-10,23.96,24.26,23.96,24.08,24.08,3020
2010-08-11,23.88,23.88,23.03,23.03,23.03,786764
2010-08-12,22.66,22.98,22.66,22.8545,22.8545,16554
2010-08-13,22.82,22.85,22.66,22.794,22.794,21045
2010-08-16,22.61,22.8908,22.5,22.8,22.8,20256
2010-08-17,23.06,23.5,23.05,23.35,23.35,22286
2010-08-18,23.11,23.3992,23.06,23.35,23.35,2721
2010-08-19,23.02,23.02,22.64,22.64,22.64,5284
2010-08-20,22.33,22.4701,22.19,22.47,22.47,21469
2010-08-23,22.2564,22.33,22.1,22.12,22.12,5615
2010-08-24,22.01,22.015,21.88,21.8801,21.8801,1288
2010-08-25,21.68,22.13,21.6444,22.13,22.13,2222
2010-08-26,22.23,22.27,21.99,22.0595,22.0595,5362
2010-08-27,22.0755,22.62,21.9395,22.62,22.62,2864
2010-08-30,22.2912,22.2912,22.06,22.06,22.06,698
2010-08-31,22.14,22.1439,21.91,21.91,21.91,882
2010-09-01,22.41,22.98,22.41,22.98,22.98,1833
2010-09-02,23.0564,23.26,22.97,23.26,23.26,8991
2010-09-03,24.25,24.25,23.4386,23.71,23.71,7754
2010-09-07,23.3536,23.3536,23.15,23.15,23.15,829
2010-09-08,23.51,23.51,23.36,23.36,23.36,2233
2010-09-09,23.52,23.56,23.26,23.41,23.41,4230
2010-09-10,23.47,23.64,23.4012,23.47,23.47,5402
2010-09-13,24.0005,24.0005,24.0005,24.0005,24.0005,135
2010-09-14,23.81,24.0231,23.81,23.97,23.97,4615
2010-09-15,23.68,23.9801,23.68,23.97,23.97,761
2010-09-16,23.9366,23.9366,23.532,23.7295,23.7295,448
2010-09-17,23.7799,23.9001,23.7799,23.9001,23.9001,650
2010-09-20,24.24,24.56,24.2244,24.54,24.54,1411
2010-09-21,24.47,24.59,24.44,24.59,24.59,5157
2010-09-22,23.98,23.98,23.98,23.98,23.98,100
2010-09-23,23.9499,24.1201,23.93,24.1201,24.1201,982
2010-09-24,24.05,24.52,24.05,24.52,24.52,2059
2010-09-27,24.35,24.37,24.35,24.37,24.37,553
2010-09-28,24.43,24.69,24.11,24.69,24.69,5537
2010-09-29,24.66,24.79,24.57,24.79,24.79,1358
2010-09-30,25.12,25.12,24.3925,24.75,24.75,5082
2010-10-01,24.8,24.8,24.66,24.71,24.71,1381
2010-10-04,24.18,24.18,24.18,24.18,24.18,100
2010-10-05,24.5669,24.9501,24.5669,24.9501,24.9501,950
2010-10-06,25.1099,25.11,24.92,24.92,24.92,542
2010-10-07,25.0699,25.0895,24.98,25.0895,25.0895,959
2010-10-08,25.04,25.3901,25.01,25.39,25.39,2816
2010-10-11,25.47,25.47,25.29,25.29,25.29,1669
2010-10-12,25.0305,25.32,25.0305,25.32,25.32,272
2010-10-13,25.4566,25.9301,25.4566,25.85,25.85,1563
2010-10-14,25.75,25.86,25.732,25.732,25.732,667
2010-10-15,26,26,25.62,25.67,25.67,2896
2010-10-18,25.8345,25.8345,25.71,25.71,25.71,1246
2010-10-19,25.52,25.6486,25.24,25.24,25.24,1171
2010-10-20,25.5,25.83,25.5,25.83,25.83,2807
2010-10-21,25.92,25.92,25.6299,25.88,25.88,4421
2010-10-22,25.96,26.0345,25.91,26.03,26.03,7043
2010-10-25,26.22,26.44,26.22,26.3001,26.3001,1419
2010-10-26,26.06,26.06,26.06,26.06,26.06,104
2010-10-27,25.78,25.8005,25.55,25.8005,25.8005,1442
2010-10-28,26.09,26.09,25.7699,25.77,25.77,1286
2010-10-29,25.92,25.92,25.88,25.88,25.88,1144
2010-11-01,26.1799,26.18,26.1799,26.1799,26.1799,400
2010-11-03,26.36,26.51,26.15,26.39,26.39,9616
2010-11-04,27.0375,27.1101,27.0375,27.1101,27.1101,665
2010-11-05,27.21,27.22,27.19,27.19,27.19,4000
2010-11-08,27.16,27.22,27.16,27.2044,27.2044,589
2010-11-09,27.16,27.16,26.9,26.9,26.9,9935
2010-11-10,26.7301,27.13,26.73,27.13,27.13,900
2010-11-11,26.9601,27.048,26.91,27.0212,27.0212,1136
2010-11-12,26.7,26.82,26.57,26.57,26.57,5608
2010-11-15,26.69,26.79,26.49,26.72,26.72,992
2010-11-16,26.21,26.21,26.2099,26.2099,26.2099,272
2010-11-17,26.0601,26.11,26,26.03,26.03,1592
2010-11-18,26.67,26.67,26.5299,26.53,26.53,1297
2010-11-19,26.3995,26.54,26.3995,26.5166,26.5166,783
2010-11-22,26.5401,26.59,26.2899,26.5614,26.5614,3014
2010-11-23,26.39,26.44,26.21,26.44,26.44,101904
2010-11-24,27.03,27.13,26.99,27.13,27.13,1691
2010-11-26,27.19,27.19,27.0683,27.092,27.092,2051
2010-11-29,26.65,27.03,26.61,26.97,26.97,9008
