Date,Open,High,Low,Close,AdjustedClose,Volume
2021-03-18,10.15,10.35,10.06,10.1,10.1,5506441
2021-03-19,10.09,10.1412,10.07,10.07,10.07,1101835
2021-03-22,10.2,10.2,10.05,10.11,10.11,1092700
2021-03-23,10.11,10.134,9.91,10.02,10.02,189500
2021-03-24,10.17,10.17,9.72,9.97,9.97,572300
2021-03-25,9.94,9.99,9.703,9.97,9.97,211300
2021-03-26,9.8101,10.04,9.8101,10.02,10.02,894623
2021-03-29,10.03,10.03,9.96,9.96,9.96,195000
2021-03-30,10,10.105,9.93,10.04,10.04,528800
2021-03-31,10.05,10.06,10.04,10.054,10.054,15800
2021-04-01,10.02,10.2,10.02,10.19,10.19,48100
2021-04-05,10.25,10.434,10.16,10.28,10.28,68300
2021-04-06,10.29,10.42,10.06,10.2,10.2,15000
2021-04-07,10.24,10.37,10.1,10.2,10.2,85900
2021-04-08,10.19,10.5,10.19,10.215,10.215,10700
2021-04-09,10.243,10.243,10.15,10.2,10.2,30100
2021-04-12,10.1,10.21,9.95,10.03,10.03,171200
2021-04-13,10.18,10.2,10.05,10.15,10.15,429700
2021-04-14,10.12,10.16,10.1,10.13,10.13,89100
2021-04-15,10.068,10.15,10.068,10.11,10.11,30500
2021-04-16,10.08,10.12,10.08,10.1,10.1,17600
2021-04-19,10.12,10.12,10.07,10.105,10.105,68700
2021-04-20,10.08,10.08,10.069,10.069,10.069,2000
2021-04-21,10.05,10.1,10.05,10.088,10.088,10700
2021-04-22,10.08,10.08,10.075,10.075,10.075,1400
2021-04-23,10.05,10.7,10.05,10.4,10.4,941900
2021-04-26,10.5,10.61,10.39,10.4,10.4,375700
2021-04-27,10.461,10.55,10.33,10.35,10.35,428100
2021-04-28,10.4,10.448,10.15,10.19,10.19,1940400
2021-04-29,10.33,10.4,10.18,10.2,10.2,88100
2021-04-30,10.28,10.39,10.2,10.2,10.2,503700
2021-05-03,10.45,10.45,10.17,10.21,10.21,457100
2021-05-04,10.28,10.45,10.13,10.2,10.2,72000
2021-05-05,10.23,10.23,10.156,10.177,10.177,25800
2021-05-06,10.3,10.3,10.16,10.17,10.17,30100
2021-05-07,10.2,10.21,10.15,10.19,10.19,58100
2021-05-10,10.25,10.25,10.15,10.19,10.19,27700
2021-05-11,10.27,10.27,10.1,10.18,10.18,50300
2021-05-12,10.41,10.41,10.1,10.19,10.19,197500
2021-05-13,10.32,10.32,10.1,10.12,10.12,50000
2021-05-14,10.15,10.238,10.06,10.1,10.1,83800
2021-05-17,10.12,10.159,10.06,10.1,10.1,11300
2021-05-18,10.1,10.165,10.02,10.11,10.11,35300
2021-05-19,10.05,10.24,10.03,10.09,10.09,14700
2021-05-20,10.12,10.21,10.03,10.14,10.14,15200
2021-05-21,10.16,10.16,10.01,10.07,10.07,93300
2021-05-24,10.1,10.1,10.02,10.03,10.03,105300
2021-05-25,10.02,10.08,10,10.04,10.04,75600
2021-05-26,10.04,10.09,10.015,10.03,10.03,10200
2021-05-27,10.08,10.18,10.02,10.02,10.02,24200
2021-05-28,10.07,10.07,10.005,10.02,10.02,26400
2021-06-01,10.05,10.06,9.99,10.03,10.03,47100
2021-06-02,10.04,10.06,10,10.01,10.01,67400
2021-06-03,10.06,10.06,10,10,10,126300
2021-06-04,10.04,10.04,10.01,10.02,10.02,53000
2021-06-07,10.058,10.09,10,10.08,10.08,437700
2021-06-08,10.05,10.135,10.05,10.085,10.085,308700
2021-06-09,10.2,10.22,10.03,10.03,10.03,76200
2021-06-10,10.19,10.215,10.04,10.18,10.18,1029400
2021-06-11,10.12,10.2,10.05,10.05,10.05,2700
2021-06-14,10.03,10.15,10.03,10.05,10.05,41100
2021-06-15,10.1,10.18,10.04,10.18,10.18,231200
2021-06-16,10.16,10.16,10.12,10.15,10.15,252200
2021-06-17,10.13,10.13,10.06,10.06,10.06,800
2021-06-18,10.11,10.15,10.08,10.11,10.11,8500
2021-06-21,10.11,10.15,10.08,10.08,10.08,2700
2021-06-22,10.08,10.15,10.046,10.05,10.05,3500
2021-06-23,10.05,10.12,10.05,10.099,10.099,27000
2021-06-24,10.15,10.15,10.09,10.09,10.09,3700
2021-06-25,10.1,10.18,10.1,10.175,10.175,2500
2021-06-28,10.11,10.135,10.11,10.12,10.12,1300
2021-06-29,10.13,10.16,10.021,10.045,10.045,8400
2021-06-30,10.095,10.116,10.04,10.08,10.08,3700
2021-07-01,10.1,10.1,10.02,10.02,10.02,1700
2021-07-02,10.09,10.09,10.03,10.04,10.04,2800
2021-07-06,10.09,10.09,10,10.01,10.01,5900
2021-07-07,10.01,10.055,10,10.02,10.02,6300
2021-07-08,10.1,10.1,10.03,10.03,10.03,2700
2021-07-09,10.046,10.05,10.01,10.01,10.01,4000
2021-07-12,10.02,10.05,10.02,10.05,10.05,2700
2021-07-13,10.065,10.065,10.065,10.065,10.065,500
2021-07-14,10.05,10.05,10.025,10.025,10.025,1900
2021-07-15,10.02,10.099,10.02,10.08,10.08,8300
2021-07-16,10.04,10.08,10.02,10.05,10.05,2900
2021-07-19,10.01,10.09,10.01,10.01,10.01,1608
