Date,Open,High,Low,Close,AdjustedClose,Volume
1995-12-13,3.5,5.125,3.5,5.125,5.125,502000
1995-12-14,4.875,5.125,4.75,4.75,4.75,204900
1995-12-15,4.8125,5.375,4.75,5.25,5.25,60600
1995-12-18,5.375,5.375,4.75,4.875,4.875,58300
1995-12-19,5.125,5.125,4.625,4.8438,4.8438,86500
1995-12-20,4.625,5,4.625,4.875,4.875,24200
1995-12-21,4.875,4.875,4.625,4.625,4.625,53100
1995-12-22,4.625,4.875,4.625,4.625,4.625,29900
1995-12-26,4.8125,5,4.625,4.625,4.625,17100
1995-12-27,4.625,4.8125,4.625,4.8125,4.8125,23500
1995-12-28,4.8125,4.8125,4.625,4.625,4.625,13000
1995-12-29,4.625,5,4.625,4.75,4.75,63800
1996-01-02,4.8125,4.8125,4.625,4.75,4.75,23400
1996-01-03,4.875,4.875,4.625,4.8125,4.8125,18900
1996-01-04,4.875,5,4.625,4.625,4.625,69900
1996-01-05,5,5,4.625,4.625,4.625,39900
1996-01-08,5,5,5,5,5,500
1996-01-09,4.625,5,4.625,4.875,4.875,22200
1996-01-10,4.875,4.875,4.5938,4.625,4.625,64800
1996-01-11,4.625,4.875,4.625,4.625,4.625,49400
1996-01-12,4.625,4.875,4.625,4.875,4.875,33400
1996-01-15,4.875,4.875,4.625,4.625,4.625,12800
1996-01-16,4.875,5,4.625,4.9375,4.9375,41200
1996-01-17,4.875,5,4.875,5,5,2700
1996-01-18,5.0625,5.375,4.75,5.375,5.375,92100
1996-01-19,5.25,5.9688,5.25,5.9688,5.9688,56100
1996-01-22,5.625,5.9688,5.5312,5.9688,5.9688,83400
1996-01-23,5.5625,5.9688,5.5,5.5,5.5,63300
1996-01-24,5.9688,5.9688,5.5,5.5,5.5,91800
1996-01-25,5.9688,5.9688,5.5,5.875,5.875,67900
1996-01-26,5.5,5.9688,5.5,5.5,5.5,174200
1996-01-29,5.9375,5.9375,5.5,5.5,5.5,18400
1996-01-30,5.9688,5.9688,5.5,5.5,5.5,120800
1996-01-31,5.75,5.9375,5.25,5.875,5.875,156300
1996-02-01,6,6,5.5,5.5,5.5,46400
1996-02-02,5.5,5.9375,5.5,5.9375,5.9375,20700
1996-02-05,5.5,5.9375,5.5,5.5,5.5,36800
1996-02-06,5.9375,5.9375,5.5,5.5,5.5,42800
1996-02-07,5.5,5.9375,5.5,5.5,5.5,133200
1996-02-08,5.9375,5.9375,5.5,5.5,5.5,84000
1996-02-09,5.9375,6,5.5,6,6,22400
1996-02-12,5.5,5.875,5.5,5.75,5.75,45500
1996-02-13,5.75,6,5.5,5.5,5.5,26900
1996-02-14,5.875,5.875,5.5,5.875,5.875,21900
1996-02-15,5.875,5.875,5.5,5.75,5.75,14400
1996-02-16,5.875,6.25,5.5,5.5,5.5,175500
1996-02-20,6.125,6.125,5.5,5.5,5.5,50000
1996-02-21,6,6.0938,5.5,5.5,5.5,26300
