Date,Open,High,Low,Close,AdjustedClose,Volume
2017-09-01,1.5,1.5,1.5,1.5,1.5,50
2017-09-05,2,2,2,2,2,1440
2017-09-11,1.9,1.9,1.9,1.9,1.9,250
2017-09-12,2,2,2,2,2,366
2017-09-14,2,2,1.977,2,2,600
2017-09-15,2,4,2,4,4,2342
2017-09-18,3.5,4,3.5,4,4,750
2017-09-19,4,4,4,4,4,50
2017-09-20,4.95,5,4.85,5,5,1639
2017-09-21,4.5,8,4.5,8,8,7363
2017-09-22,8,8,6.5,6.5,6.5,2977
2017-09-26,6.75,7,6.75,7,7,800
2017-09-27,7,7,7,7,7,745
2017-09-28,7.5,7.5,7,7,7,388
2017-09-29,7,7,6.75,6.75,6.75,1332
2017-10-03,7,7,6.75,7,7,1348
2017-10-04,7,7.5,7,7.5,7.5,225
2017-10-05,7.45,7.5,7.45,7.5,7.5,600
2017-10-06,7,7.5,6.5,6.5,6.5,2566
2017-10-10,7,7,7,7,7,580
2017-10-11,7.2,7.2,7.2,7.2,7.2,78
2017-10-12,7.2,7.45,6.75,6.75,6.75,313
2017-10-13,6.99,6.99,6.99,6.99,6.99,85
2017-10-16,7,7,7,7,7,662
2017-10-17,7,7,7,7,7,616
2017-10-18,7.2,7.2,7,7.2,7.2,789
2017-10-19,7.2,7.5,7.2,7.5,7.5,386
2017-10-20,7.45,7.45,7.45,7.45,7.45,811
2017-10-24,7.25,7.25,7.25,7.25,7.25,60
2017-10-25,7.25,7.25,6.49,6.49,6.49,1057
2017-10-26,6.95,6.95,6.95,6.95,6.95,225
2017-10-27,6.95,7.45,6.95,7.45,7.45,1029
2017-10-30,6.3,7.45,6.3,7.45,7.45,393
2017-10-31,6.75,6.75,6.2,6.2,6.2,550
2017-11-01,6.2,6.6,6.2,6.6,6.6,117
2017-11-02,6.5,6.5,6.5,6.5,6.5,50
2017-11-03,6.5,6.5,6.5,6.5,6.5,75
2017-11-06,6.375,6.375,6.24,6.24,6.24,489
2017-11-07,6.25,6.39,5.89,5.89,5.89,546
2017-11-08,6.19,6.4,6.19,6.4,6.4,810
2017-11-09,6.75,6.75,6.2,6.2,6.2,2595
2017-11-10,6,6,5.75,5.75,5.75,542
2017-11-13,5.75,5.99,5.75,5.99,5.99,165
2017-11-14,5.75,5.75,5.75,5.75,5.75,50
2017-11-15,5.75,6,5.75,6,6,350
2017-11-16,5.75,5.99,5.75,5.99,5.99,550
2017-11-17,6,6,5.75,5.75,5.75,1872
2017-11-20,6,6,6,6,6,50
2017-11-21,6,6,5.99,5.99,5.99,425
2017-11-22,5.95,5.95,5.95,5.95,5.95,289
2017-11-24,5.95,5.98,5.95,5.95,5.95,550
2017-11-28,5.9,5.9,5.9,5.9,5.9,250
2017-11-29,5.25,5.5,5.25,5.5,5.5,138
2017-11-30,5.3,5.4,5.3,5.3,5.3,2623
2017-12-01,5.5,5.5,5.3,5.3,5.3,676
2017-12-05,5.5,5.5,5,5,5,2687
2017-12-12,5.2,5.2,5.2,5.2,5.2,1250
2017-12-13,5.2,5.25,5.2,5.25,5.25,4599
2017-12-14,5.25,5.25,5.25,5.25,5.25,4293
2017-12-15,5.35,5.45,5.35,5.45,5.45,750
2017-12-18,5.4,5.4,5.1,5.1,5.1,3500
2017-12-19,5.25,5.25,5.1,5.1,5.1,100
2017-12-20,5.1,5.1,5.1,5.1,5.1,350
2017-12-21,5.1,5.1,5.1,5.1,5.1,246
2017-12-27,5.15,5.15,5.15,5.15,5.15,225
2017-12-28,5.25,5.25,5.2,5.23,5.23,964
2017-12-29,5.275,5.275,5.23,5.25,5.25,625
2018-01-02,5.25,5.25,5,5.15,5.15,1700
2018-01-03,5,5,4.8,4.8,4.8,300
2018-01-04,4.8,4.8,4.8,4.8,4.8,125
2018-01-05,4.8,4.8,4.8,4.8,4.8,100
2018-01-08,4.95,5,4.8,5,5,1236
2018-01-09,5.05,5.05,5.05,5.05,5.05,50
2018-01-10,5,5,5,5,5,500
2018-01-11,5,5,5,5,5,200
2018-01-12,5,5,4.74,4.74,4.74,1950
2018-01-16,4.75,5,4.74,5,5,866
2018-01-18,5,5,5,5,5,810
2018-01-19,5,5,5,5,5,1016
2018-01-22,5,5,4.95,4.95,4.95,1950
2018-01-23,4.95,4.95,4.95,4.95,4.95,950
2018-01-24,5,5,5,5,5,548
2018-01-25,4.95,4.95,4.95,4.95,4.95,1012
2018-01-26,4.95,4.95,4.95,4.95,4.95,500
2018-01-29,4.95,5,4.95,5,5,4892
2018-01-30,5,5,4.95,4.95,4.95,4279
2018-01-31,5,5,4.85,5,5,1239
2018-02-01,5,5,4.85,4.85,4.85,2029
2018-02-02,5,5,5,5,5,125
2018-02-05,4.75,4.75,4.56,4.56,4.56,505
2018-02-07,4.6,4.65,4.56,4.65,4.65,665
2018-02-09,4.7,4.7,4.7,4.7,4.7,103
2018-02-13,4.65,4.65,4.65,4.65,4.65,100
2018-02-14,4.65,4.65,4.65,4.65,4.65,588
2018-02-15,4.65,4.65,4.65,4.65,4.65,154
2018-02-16,5,5,4.65,5,5,840
2018-02-23,4.95,4.95,4.95,4.95,4.95,100
2018-02-26,4.65,4.65,4.65,4.65,4.65,250
2018-02-27,4.95,4.95,4.64,4.65,4.65,1700
2018-03-02,4.55,4.55,4.55,4.55,4.55,415
2018-03-05,4.8,4.8,4.79,4.8,4.8,644
2018-03-07,4.8,5,4.8,4.8,4.8,2950
2018-03-08,4.8,4.8,4.8,4.8,4.8,150
2018-03-09,4.8,4.8,4.8,4.8,4.8,505
2018-03-12,4.55,4.7,4.55,4.7,4.7,755
2018-03-13,4.7,4.95,4.7,4.95,4.95,718
2018-03-14,4.93,4.93,4.89,4.89,4.89,535
2018-03-16,4.9,4.95,4.9,4.93,4.93,3191
2018-03-19,4.55,4.55,4.55,4.55,4.55,165
2018-03-21,4.95,4.95,4.95,4.95,4.95,500
2018-03-22,4.95,4.95,4.95,4.95,4.95,2585
2018-03-23,4.57,4.95,4.55,4.95,4.95,2394
2018-03-26,4.95,4.95,4.55,4.55,4.55,1813
2018-03-27,4.55,4.75,4.5,4.75,4.75,1167
2018-03-28,4.56,4.56,4.56,4.56,4.56,188
2018-03-29,4.56,4.56,4.5,4.5,4.5,1255
2018-04-02,4.65,4.65,4.5,4.5,4.5,1293
2018-04-03,4.51,4.51,4.5,4.5,4.5,169
2018-04-04,4.5,4.65,4.5,4.65,4.65,1042
2018-04-05,4.69,4.75,4.55,4.55,4.55,744
2018-04-06,4.5,4.7,4.5,4.7,4.7,731
2018-04-09,4.7,4.7,4.5,4.6,4.6,1330
2018-04-10,4.51,4.51,4.5,4.5,4.5,550
2018-04-11,4.52,4.52,4.52,4.52,4.52,1750
2018-04-16,4.51,4.51,4.51,4.51,4.51,1000
2018-04-17,4.5,4.5,4.5,4.5,4.5,250
2018-04-18,4.5,4.5,4.2,4.2,4.2,630
2018-04-19,4.51,4.51,4.51,4.51,4.51,100
2018-04-20,4.56,4.94,4.48,4.5,4.5,2740
2018-04-23,4.5,4.94,4.5,4.85,4.85,7030
2018-04-24,4.9,4.9,4.65,4.65,4.65,15701
2018-04-25,4.5,4.63,4.46,4.5,4.5,1950
2018-04-30,4.45,4.5,4.45,4.5,4.5,1021
2018-05-01,4.49,4.5,4.49,4.5,4.5,275
2018-05-02,4.36,4.49,4.3,4.49,4.49,1010
2018-05-03,4.5,4.5,4.25,4.3,4.3,11975
2018-05-04,4.3,4.3,4.29,4.29,4.29,275
2018-05-07,4.5,4.5,4.3,4.3,4.3,5483
2018-05-08,4.3,4.48,4.3,4.48,4.48,2750
2018-05-09,4.37,4.37,4.25,4.25,4.25,3067
2018-05-10,4.3,4.48,4.3,4.3,4.3,1673
2018-05-14,4.3,4.3,4.15,4.15,4.15,4556
2018-05-15,4.15,4.15,4.15,4.15,4.15,804
2018-05-16,4.7,6.25,4.7,6.25,6.25,1600
2018-05-17,7,7.45,6.45,6.5,6.5,3419
2018-05-18,6.44,6.44,6.18,6.18,6.18,1188
2018-05-21,6.18,6.18,6.18,6.18,6.18,113
2018-05-22,6.55,6.55,6.55,6.55,6.55,118
2018-05-23,6.4,6.45,6.4,6.45,6.45,1857
2018-05-24,6.55,6.55,6.45,6.45,6.45,540
2018-05-25,6.4,6.4,6.4,6.4,6.4,467
2018-05-29,6.55,6.55,6.55,6.55,6.55,300
2018-05-30,6.55,6.55,6.5,6.5,6.5,450
2018-05-31,6.55,6.55,6.4,6.4,6.4,3422
2018-06-01,6.5,8.2,6.5,6.5,6.5,2027
2018-06-05,6.5,8.25,6.5,6.5,6.5,2472
2018-06-06,6.49,6.49,6.49,6.49,6.49,808
2018-06-07,6.4,6.49,6.4,6.49,6.49,312
2018-06-08,6.495,6.495,6.49,6.49,6.49,570
2018-06-11,6,6.45,4.25,6.45,6.45,1945
2018-06-12,6.45,6.45,6.45,6.45,6.45,100
2018-06-13,6.47,6.5,6.47,6.5,6.5,780
2018-06-14,6.5,6.5,6.5,6.5,6.5,742
2018-06-15,6.5,6.5,6.5,6.5,6.5,1040
2018-06-18,6.5,6.5,6.46,6.46,6.46,1784
2018-06-19,6.5,6.5,6.49,6.5,6.5,1710
2018-06-21,6.45,6.45,6.45,6.45,6.45,592
2018-06-25,6.5,6.5,6.3,6.3,6.3,650
2018-06-28,6.2,6.2,6.2,6.2,6.2,322
2018-06-29,6.2,6.2,6.2,6.2,6.2,2600
2018-07-05,6.1,6.1,6,6,6,679
2018-07-06,6.16,6.18,6.16,6.18,6.18,219
2018-07-09,6.2,6.35,6.2,6.35,6.35,6600
2018-07-10,6.175,6.52,6.175,6.52,6.52,6976
2018-07-11,6.5,6.5,6.5,6.5,6.5,2607
2018-07-16,6.5,6.5,6.5,6.5,6.5,11182
2018-07-17,6.5,6.5,6.5,6.5,6.5,8820
2018-07-18,6.38,6.38,6.38,6.38,6.38,318
2018-07-19,6.5,6.5,5.51,5.51,5.51,3088
2018-07-20,6.44,6.45,6.44,6.45,6.45,400
2018-07-23,6.44,6.45,6.44,6.45,6.45,1924
2018-07-24,6.55,6.55,6.44,6.45,6.45,2619
2018-07-25,6.44,6.45,5.9,5.9,5.9,3678
2018-07-26,6.15,6.15,5.75,6.05,6.05,5479
2018-07-27,6.15,6.45,6.15,6.45,6.45,3000
2018-07-30,6.35,6.44,6.35,6.44,6.44,2203
2018-07-31,6.25,6.35,6.01,6.01,6.01,435
2018-08-01,6.17,6.17,6.02,6.02,6.02,800
2018-08-02,6.18,6.5,6.15,6.5,6.5,2884
2018-08-03,6.5,6.75,6.4,6.4,6.4,6251
2018-08-06,6.4,6.4,6.35,6.35,6.35,2211
2018-08-07,6.3,6.4,6.15,6.2,6.2,1127
2018-08-08,6.1,6.1,6,6,6,2738
2018-08-09,3.25,3.25,2.27,2.4,2.4,654239
2018-08-10,2.49,2.79,2.4,2.77,2.77,246945
2018-08-13,2.95,3.25,2.85,3.25,3.25,325312
2018-08-14,3.3,4.15,3.2,3.92,3.92,766440
2018-08-15,3.75,3.89,3.5,3.61,3.61,232894
2018-08-16,3.88,3.88,3.621,3.795,3.795,195361
2018-08-17,3.88,3.88,3.65,3.68,3.68,53069
2018-08-20,3.98,3.98,3.52,3.7,3.7,89064
2018-08-21,3.69,3.7699,3.55,3.6,3.6,87721
2018-08-22,3.7,3.75,3.55,3.63,3.63,73629
2018-08-23,3.63,3.65,3.55,3.6375,3.6375,45841
2018-08-24,3.69,3.69,3.3,3.3916,3.3916,62869
2018-08-27,3.41,3.41,2.9501,3.12,3.12,117949
2018-08-28,3.15,3.38,3.1,3.16,3.16,35891
2018-08-29,3.2,3.6,3.12,3.6,3.6,100111
2018-08-30,3.75,3.9,3.508,3.6818,3.6818,134274
2018-08-31,3.83,3.83,3.6,3.6,3.6,32264
2018-09-04,3.6,3.6,3.2575,3.31,3.31,23353
2018-09-05,3.24,3.4724,3.15,3.3,3.3,70732
2018-09-06,3.3,3.3,3.2,3.2451,3.2451,3100
2018-09-07,3.24,3.39,3.2,3.25,3.25,10053
2018-09-10,3.25,3.44,3.25,3.25,3.25,21193
2018-09-11,3.25,3.299,3.2,3.21,3.21,17787
2018-09-12,3.2,3.2495,2.851,2.9232,2.9232,79526
2018-09-13,2.87,2.95,2.4001,2.52,2.52,146924
2018-09-14,2.73,2.9262,2.56,2.63,2.63,27267
2018-09-17,2.79,2.9144,2.7,2.75,2.75,13049
2018-09-18,2.81,2.81,2.6,2.61,2.61,29909
2018-09-19,2.7,2.7,2.61,2.64,2.64,15341
2018-09-20,2.55,2.55,2.37,2.42,2.42,46536
2018-09-21,2.69,2.69,2.4549,2.576,2.576,10074
2018-09-24,2.74,2.74,2.45,2.5252,2.5252,15685
2018-09-25,2.52,2.6027,2.45,2.45,2.45,19162
2018-09-26,2.45,2.5882,2.28,2.4475,2.4475,40594
2018-09-27,2.57,2.57,2.45,2.45,2.45,14229
2018-09-28,2.49,2.639,2.45,2.46,2.46,16793
2018-10-01,2.59,2.675,2.46,2.59,2.59,15731
2018-10-02,2.7,2.7,2.59,2.66,2.66,16685
2018-10-03,2.73,3.4,2.63,2.8912,2.8912,235222
2018-10-04,3.04,3.05,2.82,2.91,2.91,23289
2018-10-05,3.2,3.2,2.795,2.8,2.8,31625
2018-10-08,2.78,2.95,2.7101,2.822,2.822,10696
2018-10-09,2.81,2.95,2.65,2.65,2.65,29095
