Date,Open,High,Low,Close,AdjustedClose,Volume
2009-01-27,26.13,26.13,25.88,25.88,25.88,3515
2009-01-28,26.12,26.12,26.05,26.05,26.05,2445
2009-01-29,26.68,26.68,26.08,26.08,26.08,11806
2009-01-30,25.96,25.96,25.85,25.85,25.85,1400
2009-02-02,25.99,25.99,25.95,25.95,25.95,3700
2009-02-03,25.94,26,25.94,26,26,2300
2009-02-04,26,26,26,26,26,0
2009-02-05,26,26,25.87,25.91,25.91,2800
2009-02-06,25.91,25.91,25.91,25.91,25.91,0
2009-02-09,25.93,25.93,25.93,25.93,25.93,400
2009-02-10,25.93,25.93,25.93,25.93,25.93,0
2009-02-11,25.93,25.93,25.93,25.93,25.93,0
2009-02-12,26.17,26.17,26.09,26.09,26.09,2200
2009-02-13,26.82,26.82,26.22,26.29,26.29,1800
2009-02-17,26.29,26.29,26.29,26.29,26.29,0
2009-02-18,26.29,26.29,26.29,26.29,26.29,0
2009-02-19,26.18,26.18,26.18,26.18,26.18,300
2009-02-20,26.18,26.18,26.18,26.18,26.18,1000
2009-02-23,26.17,26.17,26.17,26.17,26.17,300
2009-02-24,26.13,26.18,26.13,26.18,26.18,800
2009-02-25,26.18,26.18,26.18,26.18,26.18,300
2009-02-26,25.86,25.86,25.86,25.86,25.86,100
2009-02-27,26.02,26.32,26.02,26.1,26.1,15700
2009-03-02,26.1,26.1,26.1,26.1,26.1,0
2009-03-03,25.96,26.01,25.96,26.01,26.01,5700
2009-03-04,26.06,26.08,26.06,26.08,26.08,900
2009-03-05,26,26.03,26,26.03,26.03,5700
2009-03-06,26.07,26.16,26.07,26.16,26.16,6500
2009-03-09,26.13,26.13,26.13,26.13,26.13,1100
2009-03-10,26.13,26.13,26.13,26.13,26.13,0
2009-03-11,26.02,26.2,26.02,26.2,26.2,2200
2009-03-12,26.4,26.4,26.21,26.21,26.21,6100
2009-03-13,26.21,26.29,26.21,26.28,26.28,1600
2009-03-16,26.15,26.32,26.11,26.23,26.23,12300
2009-03-17,26.34,26.34,26.34,26.34,26.34,100
2009-03-18,26.31,27.5,26.31,26.36,26.36,3700
2009-03-19,26.49,26.51,26.49,26.51,26.51,1600
2009-03-20,26.47,26.47,26.44,26.47,26.47,1700
2009-03-23,27.01,35.2,26.46,26.53,26.53,24500
2009-03-24,27.1,27.1,26.4,26.47,26.47,19900
2009-03-25,26.46,26.63,26.46,26.48,26.48,4400
2009-03-26,26.46,26.46,26.33,26.46,26.46,600
2009-03-27,26.39,26.4,26.25,26.3,26.3,700
2009-03-30,26.4,26.41,26.25,26.41,26.41,1200
2009-03-31,26.56,26.56,26.46,26.46,26.46,2900
2009-04-01,26.43,26.43,26.37,26.39,26.39,1600
2009-04-02,26.4,26.44,26.4,26.44,26.44,2000
2009-04-03,26.34,26.34,26.31,26.34,26.34,3100
2009-04-06,26.33,26.4,25,26.2,26.2,17300
2009-04-07,26.41,26.41,26.26,26.27,26.27,1700
2009-04-08,26.4,26.4,26.4,26.4,26.4,100
2009-04-09,26.27,26.65,26.27,26.65,26.65,3900
2009-04-13,26.3,26.3,26.3,26.3,26.3,500
2009-04-14,26.44,26.58,26.44,26.54,26.54,7400
2009-04-15,26.59,26.6,26.3,26.55,26.55,1200
2009-04-16,26.55,26.55,26.55,26.55,26.55,0
2009-04-17,26.52,26.55,26.52,26.52,26.52,1100
2009-04-20,27.01,27.01,26.12,26.13,26.13,2600
2009-04-21,26.26,26.36,26.26,26.36,26.36,1100
2009-04-22,26.31,26.31,26.31,26.31,26.31,200
2009-04-23,26.35,26.35,26.35,26.35,26.35,200
2009-04-24,26.37,26.37,26.37,26.37,26.37,700
2009-04-27,26.39,26.52,26.39,26.5,26.5,4800
2009-04-28,26.5,26.54,26.5,26.52,26.52,600
2009-04-29,26.49,26.52,26.3,26.47,26.47,2500
2009-04-30,26.43,26.48,26.43,26.45,26.45,1600
2009-05-01,26.17,26.36,26,26,26,15700
2009-05-04,26.11,26.11,26.11,26.11,26.11,2000
2009-05-05,26.11,26.11,26.11,26.11,26.11,0
2009-05-06,26.38,26.46,26.38,26.46,26.46,2500
