Date,Open,High,Low,Close,AdjustedClose,Volume
2018-05-24,14.25,16,14,15.5,15.5,1864288
2018-05-25,15.21,15.725,14.7,15,15,169726
2018-05-29,14.94,16.73,14.78,16.12,16.12,141240
2018-05-30,16,16.57,15.8154,16.5,16.5,186455
2018-05-31,16.61,17.8,16.55,17.49,17.49,75635
2018-06-01,17.63,19.95,17.284,19.65,19.65,123944
2018-06-04,19.94,19.94,16.8,17.5,17.5,58078
2018-06-05,17.25,17.9984,17,17.25,17.25,19372
2018-06-06,17.45,17.96,16.84,17.44,17.44,20414
2018-06-07,16.53,19.3,16.51,19.3,19.3,24745
2018-06-08,19,19.17,18.05,18.76,18.76,37853
2018-06-11,18.74,19.87,17.04,17.31,17.31,38925
2018-06-12,17.52,18.7363,17.4,17.61,17.61,20693
2018-06-13,17.98,19.205,17.4,18.92,18.92,84076
2018-06-14,17.82,19.7,17.82,18.7,18.7,69874
2018-06-15,18.7,19,18.0456,18.8,18.8,44321
2018-06-18,18.13,22.39,18.06,21.43,21.43,77224
2018-06-19,21.35,27.02,21.35,25.6,25.6,183668
2018-06-20,25.35,26.48,21.4,22.55,22.55,110051
2018-06-21,22.29,25.01,21.5,23.17,23.17,161110
2018-06-22,23.88,24.57,21.5,21.62,21.62,53767
2018-06-25,21.49,21.72,18.5,19.75,19.75,96579
2018-06-26,19.89,22.53,18.61,21.76,21.76,44682
2018-06-27,21.64,21.8259,18,18.48,18.48,51073
2018-06-28,18.34,19.2939,15.62,15.8,15.8,89209
2018-06-29,15.92,17.8401,15.6,15.6,15.6,95543
2018-07-02,15.69,17.65,14.13,14.83,14.83,124949
2018-07-03,14.86,15.63,14.7972,15,15,18562
2018-07-05,15.1,15.9,14.79,15.01,15.01,64784
2018-07-06,15.46,15.98,15,15.11,15.11,59283
2018-07-09,15.225,15.792,14.5562,14.805,14.805,77643
2018-07-10,14.88,16.59,14.81,15.39,15.39,98251
2018-07-11,15.25,16.18,15.035,15.66,15.66,12305
2018-07-12,15.66,16.78,15.255,15.95,15.95,41681
2018-07-13,15.94,17.7,15.475,15.78,15.78,59120
2018-07-16,15.79,16.9459,15.21,15.3,15.3,82047
2018-07-17,15.46,15.8,15.05,15.2,15.2,16685
2018-07-18,15.23,15.59,15.05,15.25,15.25,20291
2018-07-19,15.2,15.94,15.0501,15.4,15.4,13437
2018-07-20,15.32,15.7499,15.235,15.41,15.41,40178
2018-07-23,15.43,15.73,15,15,15,60948
2018-07-24,15.09,15.5,15.05,15.13,15.13,21088
2018-07-25,15.15,15.6185,15.15,15.4,15.4,5144
2018-07-26,15.86,15.9,15.25,15.54,15.54,25755
2018-07-27,16,16,15.6,15.6,15.6,12173
2018-07-30,15.65,15.849,15.44,15.7,15.7,4365
2018-07-31,15.92,17.11,15.7,16.24,16.24,11797
2018-08-01,16.5,16.78,16.02,16.64,16.64,42218
2018-08-02,16.5,16.5,14.03,15.65,15.65,54261
2018-08-03,15.705,15.705,15.1,15.3,15.3,9482
2018-08-06,15.14,15.7,15,15.15,15.15,26634
2018-08-07,15.25,16.15,14.9,15.2,15.2,10246
2018-08-08,15.19,15.99,14.31,15.48,15.48,55508
2018-08-09,14.9,14.9,13.55,14.18,14.18,63718
2018-08-10,13.86,15.08,13.5833,14.38,14.38,36852
2018-08-13,14.35,14.39,13.09,13.39,13.39,38376
2018-08-14,13.37,14.26,13.37,13.9,13.9,29199
2018-08-15,13.82,14.65,13.23,14.02,14.02,44795
2018-08-16,14,15.11,13.84,14.85,14.85,16142
2018-08-17,14.85,15.4,14.275,15.03,15.03,31115
2018-08-20,15,16.19,14.165,16.15,16.15,24963
2018-08-21,16.22,17.88,15.65,17.88,17.88,39908
2018-08-22,17.8901,19.97,17.8901,19.85,19.85,85443
2018-08-23,19.46,21.274,19.24,19.87,19.87,34447
2018-08-24,19.9,20.9317,19.26,19.69,19.69,8686
2018-08-27,20.22,20.22,18.42,18.8,18.8,8717
2018-08-28,18.73,20.05,18.73,19.92,19.92,22230
2018-08-29,20,20.25,18.83,18.84,18.84,34442
2018-08-30,18.56,18.66,16.2,17.15,17.15,93281
2018-08-31,17.19,17.68,15.55,17.01,17.01,64611
2018-09-04,17.12,20.51,17.0235,20,20,91734
2018-09-05,20,20.52,18.211,19.91,19.91,48602
2018-09-06,19.96,20.5,18.8,20.16,20.16,79207
2018-09-07,20.05,23,20.05,22.95,22.95,44512
2018-09-10,23.01,26.44,23.01,25.39,25.39,114596
2018-09-11,24.68,26.54,22.1967,25.44,25.44,94134
2018-09-12,25.34,26.9899,22.1886,25.63,25.63,85061
2018-09-13,26.25,26.3,24.965,26.25,26.25,58133
2018-09-14,26.51,26.52,24.8028,24.94,24.94,80366
2018-09-17,24.76,25.95,23.3041,25.28,25.28,109695
