Date,Open,High,Low,Close,AdjustedClose,Volume
1996-11-18,69.65,87.0625,69.65,69.65,69.65,17
1996-11-19,87.0625,87.0625,69.65,87.0625,87.0625,20
1996-11-20,117.5344,117.5344,104.475,117.5344,117.5344,3
1996-11-21,134.9469,134.9469,121.8875,134.9469,134.9469,3
1996-11-22,139.3,139.3,134.9469,139.3,139.3,4
1996-11-25,148.0063,148.0063,121.8875,148.0063,148.0063,5
1996-11-27,139.3,139.3,139.3,139.3,139.3,1
1996-11-29,130.5938,139.3,130.5938,130.5938,130.5938,1
1996-12-02,156.7125,174.125,156.7125,156.7125,156.7125,11
1996-12-03,148.0063,148.0063,148.0063,148.0063,148.0063,1
1996-12-04,121.191,139.3,121.191,121.191,121.191,6
1996-12-05,121.8875,121.8875,121.8875,121.8875,121.8875,1
1996-12-11,121.8875,121.8875,121.8875,121.8875,121.8875,5
1996-12-12,121.8875,121.8875,117.5344,121.8875,121.8875,3
1996-12-19,117.5344,121.8875,117.5344,117.5344,117.5344,3
1996-12-31,121.8875,121.8875,113.1813,121.8875,121.8875,3
1997-01-07,121.8875,121.8875,113.1813,121.8875,121.8875,1
1997-01-08,121.8875,121.8875,113.1813,121.8875,121.8875,1
1997-01-09,174.125,174.125,156.7125,174.125,174.125,5
1997-01-10,165.4188,165.4188,156.7125,165.4188,165.4188,2
1997-01-14,139.3,139.3,139.3,139.3,139.3,1
1997-01-15,148.0063,148.0063,148.0063,148.0063,148.0063,1
1997-01-23,161.0656,174.125,148.0063,161.0656,161.0656,4
1997-01-24,148.0063,156.7125,143.6531,148.0063,148.0063,6
1997-01-27,148.0063,148.0063,148.0063,148.0063,148.0063,1
1997-01-28,156.7125,161.0656,148.0063,156.7125,156.7125,13
1997-01-29,156.7125,174.125,156.7125,156.7125,156.7125,3
1997-01-30,148.0063,148.0063,148.0063,148.0063,148.0063,0
1997-01-31,169.7719,182.8313,169.7719,169.7719,169.7719,2
1997-02-03,156.7125,156.7125,156.7125,156.7125,156.7125,0
1997-02-05,156.7125,156.7125,156.7125,156.7125,156.7125,1
1997-02-07,165.4188,174.125,165.4188,165.4188,165.4188,2
1997-02-10,156.7125,156.7125,156.7125,156.7125,156.7125,1
1997-02-13,165.4188,165.4188,156.7125,165.4188,165.4188,13
1997-02-14,156.7125,165.4188,156.7125,156.7125,156.7125,27
1997-02-18,165.4188,174.125,156.7125,165.4188,165.4188,32
1997-02-19,156.7125,174.125,156.7125,156.7125,156.7125,4
1997-02-20,165.4188,174.125,156.7125,165.4188,165.4188,2
1997-02-21,165.4188,182.8313,165.4188,165.4188,165.4188,6
1997-02-24,165.4188,174.125,165.4188,165.4188,165.4188,15
1997-02-26,169.946,178.4781,169.946,169.946,169.946,6
1997-02-28,182.8313,200.2438,165.4188,182.8313,182.8313,15
1997-03-03,169.7719,169.7719,169.7719,169.7719,169.7719,0
1997-03-04,182.8313,187.1844,178.4781,182.8313,182.8313,3
1997-03-05,191.5375,195.02,187.1844,191.5375,191.5375,23
1997-03-06,217.6563,226.3625,200.2438,217.6563,217.6563,28
1997-03-07,235.0688,243.775,226.3625,235.0688,235.0688,17
1997-03-10,243.775,278.6,243.775,243.775,243.775,14
1997-03-11,226.3625,252.4813,226.3625,226.3625,226.3625,18
1997-03-12,261.1875,269.8938,243.775,261.1875,261.1875,9
1997-03-13,243.775,278.6,235.0688,243.775,243.775,13
1997-03-14,278.6,343.8969,239.4219,278.6,278.6,32
1997-03-17,261.1875,313.425,261.1875,261.1875,261.1875,13
1997-03-18,278.6,296.0125,261.1875,278.6,278.6,5
1997-03-19,278.6,278.6,278.6,278.6,278.6,0
1997-03-20,278.6,278.6,278.6,278.6,278.6,0
1997-03-21,246.561,269.8938,243.775,246.561,246.561,20
1997-03-24,226.3625,261.1875,213.3031,226.3625,226.3625,20
1997-03-25,174.125,226.3625,174.125,174.125,174.125,41
1997-03-26,200.2438,200.2438,200.2438,200.2438,200.2438,0
1997-03-27,191.5375,208.95,182.8313,191.5375,191.5375,14
1997-03-31,182.8313,182.8313,182.8313,182.8313,182.8313,1
1997-04-01,191.5375,191.5375,182.8313,191.5375,191.5375,5
1997-04-02,174.125,174.125,174.125,174.125,174.125,1
1997-04-03,182.8313,182.8313,182.8313,182.8313,182.8313,0
1997-04-04,208.95,208.95,191.5375,208.95,208.95,3
1997-04-07,200.2438,208.95,191.5375,200.2438,200.2438,4
1997-04-09,200.2438,208.95,200.2438,200.2438,200.2438,2
1997-04-10,174.125,200.2438,174.125,174.125,174.125,6
1997-04-11,191.5375,191.5375,191.5375,191.5375,191.5375,0
1997-04-15,182.8313,182.8313,174.125,182.8313,182.8313,3
1997-04-16,165.4188,182.8313,165.4188,165.4188,165.4188,5
1997-04-17,182.8313,182.8313,165.4188,182.8313,182.8313,10
1997-04-18,174.125,182.8313,174.125,174.125,174.125,2
1997-04-21,174.125,182.8313,174.125,174.125,174.125,11
1997-04-22,174.125,174.125,174.125,174.125,174.125,2
1997-04-23,174.125,182.8313,174.125,174.125,174.125,7
1997-04-24,174.125,182.8313,174.125,174.125,174.125,2
1997-04-25,174.125,174.125,174.125,174.125,174.125,5
1997-04-28,174.125,174.125,174.125,174.125,174.125,1
1997-04-29,165.4188,174.125,165.4188,165.4188,165.4188,2
1997-04-30,156.7125,165.4188,156.7125,156.7125,156.7125,5
1997-05-01,165.4188,174.125,165.4188,165.4188,165.4188,5
1997-05-02,174.125,182.8313,174.125,174.125,174.125,1
1997-05-05,165.4188,174.125,165.4188,165.4188,165.4188,8
1997-05-06,174.125,174.125,165.4188,174.125,174.125,20
1997-05-07,182.8313,182.8313,165.4188,182.8313,182.8313,3
1997-05-08,182.8313,187.1844,182.8313,182.8313,182.8313,5
1997-05-09,178.4781,191.5375,178.4781,178.4781,178.4781,3
1997-05-12,178.4781,187.1844,178.4781,178.4781,178.4781,3
1997-05-13,174.125,178.4781,174.125,174.125,174.125,5
1997-05-14,174.125,178.4781,165.4188,174.125,174.125,8
1997-05-15,174.125,191.5375,156.7125,174.125,174.125,27
1997-05-16,174.125,174.125,174.125,174.125,174.125,3
1997-05-19,191.5375,191.5375,174.125,191.5375,191.5375,1
1997-05-20,182.8313,191.5375,174.125,182.8313,182.8313,2
1997-05-21,182.8313,182.8313,169.7719,182.8313,182.8313,3
1997-05-22,182.8313,182.8313,169.7719,182.8313,182.8313,10
1997-05-27,169.7719,169.7719,169.7719,169.7719,169.7719,0
1997-05-28,165.4188,165.4188,130.5938,165.4188,165.4188,10
1997-05-29,156.7125,165.4188,156.7125,156.7125,156.7125,2
1997-06-02,139.3,139.3,139.3,139.3,139.3,1
1997-06-03,156.7125,165.4188,156.7125,156.7125,156.7125,9
1997-06-04,156.7125,165.4188,139.3,156.7125,156.7125,6
1997-06-06,156.7125,156.7125,148.0063,156.7125,156.7125,7
1997-06-10,148.0063,174.125,148.0063,148.0063,148.0063,12
1997-06-12,152.3594,152.3594,148.0063,152.3594,152.3594,3
1997-06-13,156.7125,174.125,156.7125,156.7125,156.7125,7
1997-06-16,174.125,174.125,156.7125,174.125,174.125,3
1997-06-18,174.125,191.5375,174.125,174.125,174.125,3
1997-06-20,165.4188,182.8313,165.4188,165.4188,165.4188,11
1997-06-23,165.4188,174.125,165.4188,165.4188,165.4188,4
1997-06-24,156.7125,165.4188,139.3,156.7125,156.7125,5
1997-06-25,156.7125,156.7125,156.7125,156.7125,156.7125,4
1997-06-26,139.3,156.7125,139.3,139.3,139.3,2
1997-06-27,130.5938,148.0063,130.5938,130.5938,130.5938,5
1997-06-30,152.3594,152.3594,152.3594,152.3594,152.3594,1
1997-07-01,139.3,139.3,139.3,139.3,139.3,1
1997-07-02,148.0063,148.0063,148.0063,148.0063,148.0063,1
1997-07-03,161.0656,161.0656,161.0656,161.0656,161.0656,1
1997-07-07,130.5938,139.3,121.8875,130.5938,130.5938,9
1997-07-10,139.3,148.0063,139.3,139.3,139.3,8
1997-07-11,156.7125,156.7125,148.0063,156.7125,156.7125,2
1997-07-14,143.6531,156.7125,139.3,143.6531,143.6531,4
1997-07-15,156.7125,160.6129,139.3,156.7125,156.7125,18
1997-07-17,139.3,174.125,139.3,139.3,139.3,5
1997-07-18,139.3,139.3,139.3,139.3,139.3,2
1997-07-21,139.3,139.3,139.3,139.3,139.3,3
1997-07-24,148.0063,148.0063,130.5938,148.0063,148.0063,2
1997-07-25,139.3,139.3,121.8875,139.3,139.3,3
1997-07-28,121.8875,121.8875,121.8875,121.8875,121.8875,1
1997-07-29,139.3,139.3,139.3,139.3,139.3,0
1997-07-30,121.8875,139.3,104.475,121.8875,121.8875,8
1997-07-31,95.7688,121.8875,95.7688,95.7688,95.7688,2
1997-08-01,143.6531,148.0063,121.8875,143.6531,143.6531,12
1997-08-04,156.7125,161.0656,152.3594,156.7125,156.7125,6
1997-08-05,148.0063,156.7125,139.3,148.0063,148.0063,8
1997-08-06,139.3,148.0063,139.3,139.3,139.3,2
1997-08-07,156.7125,156.7125,156.7125,156.7125,156.7125,0
1997-08-08,134.9469,139.3,130.5938,134.9469,134.9469,4
1997-08-12,130.5938,130.5938,126.2406,130.5938,130.5938,4
1997-08-13,148.0063,148.0063,123.977,148.0063,148.0063,7
1997-08-14,130.5938,148.0063,130.5938,130.5938,130.5938,1
1997-08-18,139.3,139.3,139.3,139.3,139.3,0
1997-08-19,113.1813,121.8875,113.1813,113.1813,113.1813,2
1997-08-21,121.8875,121.8875,121.8875,121.8875,121.8875,0
1997-08-22,130.5938,139.3,121.8875,130.5938,130.5938,20
1997-08-25,139.3,139.3,130.5938,139.3,139.3,13
1997-08-26,130.5938,143.6531,130.5938,130.5938,130.5938,7
1997-08-27,148.0063,148.0063,139.3,148.0063,148.0063,5
1997-08-29,139.3,139.3,134.9469,139.3,139.3,9
1997-09-02,134.9469,134.9469,126.2406,134.9469,134.9469,5
1997-09-03,126.2406,133.728,117.5344,126.2406,126.2406,6
1997-09-04,134.9469,134.9469,117.5344,134.9469,134.9469,13
1997-09-05,143.6531,161.0656,134.9469,143.6531,143.6531,11
1997-09-08,152.3594,161.0656,139.3,152.3594,152.3594,46
1997-09-09,165.4188,165.4188,152.3594,165.4188,165.4188,13
1997-09-10,182.8313,200.2438,165.4188,182.8313,182.8313,18
1997-09-11,208.95,217.6563,182.8313,208.95,208.95,32
1997-09-12,191.5375,217.6563,178.4781,191.5375,191.5375,40
1997-09-15,174.125,200.2438,174.125,174.125,174.125,15
1997-09-16,148.0063,174.125,148.0063,148.0063,148.0063,10
1997-09-17,156.7125,174.125,143.6531,156.7125,156.7125,13
1997-09-18,161.0656,174.125,156.7125,161.0656,161.0656,19
1997-09-19,168.553,168.553,161.0656,168.553,168.553,1
1997-09-22,161.0656,161.0656,139.3,161.0656,161.0656,4
1997-09-23,156.7125,161.0656,148.0063,156.7125,156.7125,7
1997-09-24,148.0063,148.0063,148.0063,148.0063,148.0063,1
1997-09-25,165.4188,165.4188,165.4188,165.4188,165.4188,1
1997-09-26,174.125,174.125,148.0063,174.125,174.125,8
1997-09-29,174.125,191.5375,156.7125,174.125,174.125,20
1997-09-30,163.2422,174.125,163.2422,163.2422,163.2422,16
1997-10-01,182.8313,182.8313,182.8313,182.8313,182.8313,0
1997-10-02,165.4188,182.8313,165.4188,165.4188,165.4188,1
1997-10-03,169.7719,182.8313,161.0656,169.7719,169.7719,2
1997-10-06,182.8313,182.8313,165.4188,182.8313,182.8313,4
1997-10-07,191.5375,191.5375,169.7719,191.5375,191.5375,3
1997-10-08,200.2438,226.3625,182.8313,200.2438,200.2438,17
1997-10-09,182.8313,208.95,182.8313,182.8313,182.8313,8
1997-10-10,204.5969,204.5969,200.2438,204.5969,204.5969,2
1997-10-13,248.1281,248.1281,204.5969,248.1281,248.1281,10
1997-10-14,213.3031,248.1281,204.5969,213.3031,213.3031,11
1997-10-15,217.6563,235.0688,208.95,217.6563,217.6563,7
1997-10-16,243.775,243.775,217.6563,243.775,243.775,11
1997-10-17,208.95,243.775,208.95,208.95,208.95,3
1997-10-20,217.6563,217.6563,200.2438,217.6563,217.6563,4
1997-10-21,217.6563,217.6563,217.6563,217.6563,217.6563,0
1997-10-22,191.5375,208.95,191.5375,191.5375,191.5375,2
1997-10-23,191.5375,230.7156,187.1844,191.5375,191.5375,3
1997-10-27,182.8313,200.2438,182.8313,182.8313,182.8313,1
1997-10-29,191.5375,191.5375,191.5375,191.5375,191.5375,1
1997-10-30,182.8313,191.5375,182.8313,182.8313,182.8313,1
1997-10-31,200.2438,200.2438,174.125,200.2438,200.2438,2
1997-11-03,208.95,208.95,182.8313,208.95,208.95,2
1997-11-04,182.8313,217.6563,182.8313,182.8313,182.8313,12
1997-11-05,208.95,217.6563,208.95,208.95,208.95,7
