Date,Open,High,Low,Close,AdjustedClose,Volume
2019-05-15,24.84,25.085,24.772,25.085,25.085,130400
2019-05-16,25.18,25.284,25.08,25.144,25.144,23900
2019-05-17,25,25.114,24.93,24.941,24.941,13100
2019-05-20,24.86,25.05,24.82,24.947,24.947,26900
2019-05-21,25.11,25.22,25.07,25.19,25.19,24900
2019-05-22,25.22,25.22,24.86,24.888,24.888,28400
2019-05-23,24.73,24.73,24.245,24.275,24.275,33500
2019-05-24,24.52,24.56,24.39,24.493,24.493,9100
2019-05-28,24.68,24.68,24.35,24.36,24.36,9800
2019-05-29,24.33,24.33,23.95,24.155,24.155,9000
2019-05-30,24.22,24.313,23.9,23.968,23.968,6500
2019-05-31,23.81,23.81,23.4,23.4,23.4,14500
2019-06-03,23.52,23.918,23.52,23.89,23.89,13400
2019-06-04,24.26,24.504,24.26,24.504,24.504,2500
2019-06-05,24.63,24.63,24.25,24.388,24.388,5800
2019-06-06,24.56,24.64,24.39,24.571,24.571,21600
2019-06-07,24.67,24.67,24.56,24.567,24.567,5100
2019-06-10,24.76,24.83,24.684,24.684,24.684,7800
2019-06-11,24.93,24.943,24.721,24.755,24.755,11300
2019-06-12,24.6,24.6,24.4,24.404,24.404,4800
2019-06-13,24.461,24.461,24.461,24.461,24.461,200
2019-06-14,24.55,24.55,24.37,24.539,24.539,1800
2019-06-17,24.62,24.62,24.287,24.287,24.287,9400
2019-06-18,24.43,24.81,24.43,24.715,24.715,2400
2019-06-19,24.855,24.912,24.855,24.865,24.865,1900
2019-06-20,25.05,25.074,24.878,25.074,25.074,1400
2019-06-21,25.039,25.047,24.932,24.932,24.932,600
2019-06-24,25.03,25.11,24.97,24.973,24.973,2800
2019-06-25,25,25,24.862,24.862,24.862,3400
2019-06-26,24.85,25.19,24.85,24.97,24.97,15200
2019-06-27,25.08,25.085,24.99,25.085,25.085,2200
2019-06-28,25.36,25.42,25.34,25.42,25.42,6600
2019-07-01,25.77,25.855,25.598,25.74,25.74,4000
2019-07-02,25.74,25.74,25.5,25.554,25.554,20300
2019-07-03,25.7,25.74,25.681,25.71,25.71,2300
2019-07-05,25.71,25.84,25.71,25.818,25.818,5400
2019-07-08,25.86,25.86,25.6,25.629,25.629,9000
2019-07-09,25.59,25.59,25.395,25.5,25.5,7500
2019-07-10,25.63,25.695,25.438,25.438,25.438,3900
2019-07-11,25.4,25.4,25.175,25.322,25.322,2500
2019-07-12,25.48,25.685,25.48,25.685,25.685,1800
2019-07-15,25,25.65,25,25.49,25.49,39000
2019-07-16,25.53,25.58,25.5,25.556,25.556,6700
2019-07-17,25.56,25.56,25.225,25.263,25.263,5700
2019-07-18,25.33,25.45,25.31,25.434,25.434,3300
2019-07-19,25.52,25.585,25.479,25.5,25.5,1900
2019-07-22,25.585,25.585,25.459,25.459,25.459,4700
2019-07-23,25.64,25.722,25.555,25.722,25.722,4200
2019-07-24,25.76,26,25.76,25.998,25.998,4600
2019-07-25,25.845,25.98,25.751,25.769,25.769,5100
