Date,Open,High,Low,Close,AdjustedClose,Volume
2020-01-22,25.07,28.2,24.94,24.978,24.978,149300
2020-01-23,24.92,25.02,24.88,24.995,24.995,39500
2020-01-24,24.94,24.94,24.81,24.864,24.864,27000
2020-01-27,24.62,24.65,24.598,24.598,24.598,24300
2020-01-28,24.7,24.8,24.65,24.7,24.7,55500
2020-01-29,24.73,24.75,24.675,24.675,24.675,19800
2020-01-30,24.57,24.741,24.57,24.741,24.741,2900
2020-01-31,24.595,24.595,24.485,24.513,24.513,15900
2020-02-03,24.626,24.65,24.58,24.593,24.593,24400
2020-02-04,24.786,24.786,24.731,24.731,24.731,176600
2020-02-05,24.99,25.016,24.98,24.994,24.994,9300
2020-02-06,25.12,25.138,25.07,25.07,25.07,5400
2020-02-07,25.003,25.033,24.92,24.967,24.967,176100
2020-02-10,25.21,25.21,25.064,25.064,25.064,2500
2020-02-11,25.16,25.178,25.15,25.165,25.165,4500
2020-02-12,25.154,25.154,25.148,25.148,25.148,2500
2020-02-13,25.1,25.13,25.09,25.09,25.09,5300
2020-02-14,24.939,24.962,24.939,24.962,24.962,400
2020-02-18,24.878,24.989,24.87,24.989,24.989,5600
2020-02-19,25.2,25.2,25.094,25.094,25.094,2600
2020-02-20,25.12,25.19,25.06,25.129,25.129,41300
2020-02-21,25.055,25.115,25.04,25.092,25.092,2900
2020-02-24,24.695,24.715,24.629,24.633,24.633,4400
2020-02-25,24.59,24.59,24.081,24.081,24.081,3700
2020-02-26,24.178,24.178,23.914,23.914,23.914,400
2020-02-27,23.551,23.68,23.227,23.227,23.227,7000
2020-02-28,22.48,22.812,22.48,22.812,22.812,3500
2020-03-02,23.14,23.438,23.115,23.438,23.438,1800
2020-03-03,23.56,23.56,23.195,23.242,23.242,3700
2020-03-04,23.404,23.742,23.404,23.742,23.742,14800
2020-03-05,23.46,23.5,23.2,23.302,23.302,111500
2020-03-06,23.02,23.205,22.823,23.112,23.112,114800
2020-03-09,23.11,23.11,21.68,21.68,21.68,2400
2020-03-10,22.25,22.25,21.55,21.806,21.806,21900
2020-03-11,21.57,21.83,21.43,21.83,21.83,23000
2020-03-12,21.83,21.83,20,20.153,20.153,8000
2020-03-13,20.19,20.86,19.792,20.86,20.86,197200
2020-03-16,19.96,20.76,19.316,19.323,19.323,14200
2020-03-17,19.48,20.4,19.14,20.079,20.079,6400
2020-03-18,19.213,19.32,18.738,19.053,19.053,12600
2020-03-19,19.3,19.472,19.06,19.472,19.472,3000
2020-03-20,19.44,19.66,18.66,18.66,18.66,11000
2020-03-23,18.64,18.64,18.009,18.163,18.163,4700
2020-03-24,19.96,19.96,19.063,19.56,19.56,11900
2020-03-25,19.56,20.42,19.536,19.881,19.881,10800
2020-03-26,20.285,20.595,20.285,20.55,20.55,7400
2020-03-27,19.842,20.258,19.842,19.997,19.997,5400
2020-03-30,20.25,20.61,20.155,20.479,20.479,60700
2020-03-31,20.4,20.47,20.202,20.214,20.214,118000
2020-04-01,19.64,19.74,19.64,19.705,19.705,900
2020-04-02,20.004,20.125,19.795,19.932,19.932,18200
2020-04-03,19.83,19.89,19.79,19.815,19.815,6400
2020-04-06,20.59,20.691,20.51,20.691,20.691,2800
2020-04-07,21.03,21.055,20.57,20.733,20.733,4700
2020-04-08,20.92,21.24,20.8,21.186,21.186,12700
2020-04-09,21.662,21.751,21.572,21.726,21.726,17300
2020-04-13,22.2,22.2,21.28,21.452,21.452,7900
2020-04-14,21.87,21.87,21.4,21.718,21.718,19200
2020-04-15,21.34,21.35,19.98,21.142,21.142,41200
2020-04-16,20.987,21.21,20.987,21.21,21.21,12800
2020-04-17,21.551,21.772,21.54,21.772,21.772,2600
2020-04-20,21.605,21.67,21.46,21.46,21.46,75000
2020-04-21,21.19,21.19,20.98,21.009,21.009,13200
2020-04-22,21.355,21.45,21.315,21.41,21.41,8700
2020-04-23,21.608,21.715,21.5,21.5,21.5,6100
2020-04-24,21.669,21.713,21.574,21.713,21.713,3800
2020-04-27,21.785,22.02,21.785,21.99,21.99,5200
2020-04-28,22.03,22.17,22.03,22.061,22.061,2400
2020-04-29,22.37,22.47,21.54,22.463,22.463,12500
2020-04-30,22.07,22.07,21.93,21.964,21.964,900
2020-05-01,21.59,21.59,21.42,21.462,21.462,1300
2020-05-04,21.477,21.599,21.43,21.599,21.599,1100
2020-05-05,21.913,21.945,21.793,21.793,21.793,7500
2020-05-06,21.6,21.68,21.52,21.52,21.52,4900
2020-05-07,21.82,21.87,21.748,21.748,21.748,800
2020-05-08,21.985,22.034,21.985,22.034,22.034,300
2020-05-11,21.75,21.874,21.75,21.874,21.874,400
2020-05-12,21.795,21.795,21.543,21.543,21.543,6600
2020-05-13,21.5,21.5,21.16,21.215,21.215,2400
2020-05-14,21.01,21.42,20.96,21.413,21.413,32400
2020-05-15,21.395,21.5,21.38,21.5,21.5,13700
2020-05-18,22.03,22.095,21.924,22.095,22.095,11000
2020-05-19,21.91,21.94,21.9,21.933,21.933,18500
2020-05-20,22.125,22.29,22.05,22.08,22.08,26900
2020-05-21,21.98,22.01,21.898,21.94,21.94,67700
2020-05-22,21.789,21.93,21.789,21.921,21.921,14300
2020-05-26,22.21,22.32,22.2,22.305,22.305,18100
2020-05-27,22.39,22.39,22.185,22.39,22.39,16200
2020-05-28,22.52,22.58,22.45,22.47,22.47,2500
2020-05-29,22.35,22.44,22.266,22.44,22.44,5800
2020-06-01,22.44,22.458,22.44,22.458,22.458,700
2020-06-02,22.549,22.65,22.51,22.616,22.616,21100
2020-06-03,22.78,22.82,22.72,22.779,22.779,3000
2020-06-04,22.833,22.833,22.833,22.833,22.833,1500
2020-06-05,23.17,23.29,23.17,23.232,23.232,600
2020-06-08,23.44,23.44,21.1,23.36,23.36,1500
2020-06-09,23.16,23.2,23.16,23.166,23.166,1200
2020-06-10,23,23.022,22.987,22.987,22.987,800
2020-06-11,22.14,22.14,21.89,22,22,3000
2020-06-12,22.075,22.204,22.075,22.204,22.204,300
2020-06-15,21.998,22.283,21.998,22.283,22.283,2300
2020-06-16,22.46,22.55,22.41,22.421,22.421,15200
2020-06-17,22.485,22.499,22.38,22.403,22.403,1600
2020-06-18,22.333,22.42,22.333,22.379,22.379,7000
2020-06-19,22.489,22.489,22.359,22.359,22.359,13500
2020-06-22,22.4,22.43,22.369,22.369,22.369,4100
2020-06-23,22.47,22.5,22.42,22.441,22.441,2400
2020-06-24,22.19,22.19,22.01,22.088,22.088,2100
2020-06-25,22.011,22.188,21.969,22.187,22.187,5500
2020-06-26,21.969,21.969,21.969,21.969,21.969,100
2020-06-29,24.08,24.08,22.01,22.07,22.07,5100
2020-06-30,22.299,22.299,22.299,22.299,22.299,600
2020-07-01,22.33,22.344,22.26,22.288,22.288,3100
2020-07-02,22.45,22.52,22.3,22.322,22.322,6800
2020-07-06,22.56,22.56,22.446,22.446,22.446,400
2020-07-07,22.298,22.33,22.263,22.263,22.263,1000
2020-07-08,22.38,22.38,22.277,22.324,22.324,1100
2020-07-09,22.086,22.086,22.086,22.086,22.086,200
2020-07-10,22.1,22.167,22.065,22.167,22.167,5500
2020-07-13,22.2,22.402,22.2,22.207,22.207,6200
2020-07-14,22.3,22.49,22.25,22.49,22.49,3500
2020-07-15,22.77,22.77,22.71,22.77,22.77,4200
2020-07-16,22.69,22.713,22.69,22.713,22.713,800
2020-07-17,22.871,22.871,22.8,22.851,22.851,3100
2020-07-20,22.76,22.8,22.6,22.69,22.69,12000
2020-07-21,23.05,23.1,22.88,22.937,22.937,15600
2020-07-22,23.075,23.13,23.05,23.125,23.125,5000
2020-07-23,23.23,23.23,23.11,23.111,23.111,1400
2020-07-24,23.1,23.132,23.03,23.132,23.132,5200
2020-07-27,23.18,23.235,23.18,23.235,23.235,2900
2020-07-28,23.3,23.31,23.227,23.227,23.227,6800
2020-07-29,23.3,23.47,23.3,23.397,23.397,26700
2020-07-30,23.098,23.24,23.098,23.22,23.22,6200
2020-07-31,23.15,23.176,23.12,23.176,23.176,1000
2020-08-03,23.19,23.22,23.19,23.22,23.22,100
2020-08-04,23.19,23.223,23.19,23.221,23.221,4300
2020-08-05,23.4,23.44,23.39,23.44,23.44,8500
2020-08-06,23.365,23.365,23.306,23.306,23.306,400
2020-08-07,21.23,23.3,21.23,23.26,23.26,2700
2020-08-10,23.54,23.66,23.5,23.591,23.591,52800
2020-08-11,23.625,23.655,23.526,23.526,23.526,20700
2020-08-12,23.587,23.61,23.544,23.544,23.544,2800
2020-08-13,23.525,23.58,23.43,23.47,23.47,4300
2020-08-14,23.52,23.62,23.52,23.522,23.522,3300
2020-08-17,23.583,23.583,23.51,23.569,23.569,2500
2020-08-18,23.608,23.699,23.608,23.651,23.651,4600
2020-08-19,23.64,23.66,23.488,23.488,23.488,4400
2020-08-20,23.44,23.47,23.417,23.417,23.417,2500
2020-08-21,22.91,23.45,22.91,23.4,23.4,700
2020-08-24,23.513,23.59,23.513,23.59,23.59,1000
2020-08-25,23.55,23.58,23.43,23.56,23.56,9900
2020-08-26,23.495,23.562,23.495,23.562,23.562,1100
2020-08-27,23.76,23.8,23.715,23.753,23.753,5200
2020-08-28,23.57,23.77,23.55,23.765,23.765,3200
2020-08-31,23.745,23.77,23.7,23.726,23.726,3100
2020-09-01,22.71,23.699,22.71,23.699,23.699,5700
2020-09-02,23.88,23.995,23.879,23.995,23.995,7900
