,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.25,9.28,9.14,9.05,8.9082,1263096
1,2021-06-11,9.14,9.18,9.09,9.02,8.8595,677382
2,2021-06-14,9.09,9.15,9.0,8.975,8.7718,865736
3,2021-06-15,9.07,9.15,9.07,8.965,8.84,1075962
4,2021-06-16,9.07,9.195,9.09,9.015,8.8595,838609
5,2021-06-17,9.05,9.07,8.75,8.74,8.5281,1169115
6,2021-06-18,8.64,8.69,8.12,8.03,7.9141,3900597
7,2021-06-21,8.22,8.54,8.44,8.17,8.226,1085098
8,2021-06-22,8.44,8.47,8.3,8.21,8.0895,966998
9,2021-06-23,8.34,8.42,8.3,8.27,8.0895,627763
10,2021-06-24,8.32,8.42,8.42,8.3,8.2065,658900
11,2021-06-25,8.43,8.66,8.61,8.39,8.3917,1683219
12,2021-06-28,8.65,8.67,8.45,8.34,8.2357,767984
13,2021-06-29,8.45,8.55,8.45,8.39,8.2357,796447
14,2021-06-30,8.45,8.58,8.48,8.415,8.265,956110
15,2021-07-01,8.5,8.6,8.46,8.425,8.2455,824076
16,2021-07-02,8.53,8.53,8.38,8.33,8.1675,702352
17,2021-07-06,8.44,8.53,8.48,8.27,8.2645,1325700
18,2021-07-07,8.48,8.58,8.53,8.37,8.3132,1257900
19,2021-07-08,8.43,8.53,8.38,8.3,8.167,1439000
20,2021-07-09,8.25,8.33,8.32,8.1,8.32,1263300
21,2021-07-12,8.3,8.47,8.46,8.21,8.46,753200
22,2021-07-13,8.39,8.46,8.36,8.33,8.36,869400
23,2021-07-14,8.37,8.55,8.53,8.35,8.53,889600
24,2021-07-15,8.52,8.66,8.56,8.41,8.56,1073600
25,2021-07-16,8.62,8.7,8.44,8.39,8.44,909400
26,2021-07-19,8.36,8.36,8.09,7.99,8.09,1135500
27,2021-07-20,8.11,8.53,8.4,8.11,8.4,962200
28,2021-07-21,8.47,8.6,8.48,8.46,8.48,532400
29,2021-07-22,8.5,8.5,8.34,8.23,8.34,599900
30,2021-07-23,8.41,8.48,8.4,8.27,8.4,519600
31,2021-07-26,8.39,8.54,8.52,8.39,8.52,443600
32,2021-07-27,8.47,8.6,8.54,8.42,8.54,603400
33,2021-07-28,8.54,8.65,8.51,8.39,8.51,632300
34,2021-07-29,8.54,8.74,8.64,8.53,8.64,654700
35,2021-07-30,8.58,8.77,8.47,8.45,8.47,546200
36,2021-08-02,8.49,8.7,8.43,8.41,8.43,786900
37,2021-08-03,8.44,8.48,8.41,8.34,8.41,413000
38,2021-08-04,8.3,8.35,8.21,8.15,8.21,598600
39,2021-08-05,8.37,8.61,8.55,8.32,8.55,541900
40,2021-08-06,8.64,8.7,8.55,8.51,8.55,504100
41,2021-08-09,8.51,8.52,8.44,8.35,8.44,522500
42,2021-08-10,8.42,8.68,8.53,8.36,8.53,653400
43,2021-08-11,8.55,8.64,8.59,8.46,8.59,545000
44,2021-08-12,8.56,8.59,8.56,8.49,8.56,378500
45,2021-08-13,8.56,8.61,8.57,8.49,8.57,393300
46,2021-08-16,8.53,8.66,8.58,8.5,8.58,516300
47,2021-08-17,8.53,8.57,8.53,8.4,8.53,872700
48,2021-08-18,8.49,8.53,8.42,8.37,8.42,584200
49,2021-08-19,8.37,8.4,8.33,8.21,8.33,667700
50,2021-08-20,8.28,8.42,8.4,8.16,8.4,715800
51,2021-08-23,8.42,8.52,8.48,8.38,8.48,563800
52,2021-08-24,8.5,8.54,8.51,8.44,8.51,579600
53,2021-08-25,8.56,8.58,8.54,8.47,8.54,729300
54,2021-08-26,8.56,8.59,8.5,8.46,8.5,671300
55,2021-08-27,8.51,8.74,8.68,8.51,8.68,1121100
56,2021-08-30,8.69,8.69,8.64,8.58,8.64,883000
57,2021-08-31,8.62,8.73,8.62,8.59,8.62,840500
58,2021-09-01,8.65,8.67,8.5,8.47,8.5,1686300
59,2021-09-02,8.5,8.53,8.5,8.44,8.5,856900
60,2021-09-03,8.46,8.53,8.52,8.42,8.52,925800
61,2021-09-07,8.55,8.69,8.6,8.47,8.6,1347139
