Date,Open,High,Low,Close,AdjustedClose,Volume
2013-12-18,50.05,50.06,50,50.06,50.06,1000
2013-12-19,50.21,50.21,50.07,50.07,50.07,1000
2013-12-20,49.9,49.9,49.8999,49.8999,49.8999,200
2013-12-23,49.82,50,49.82,50,50,15000
2013-12-24,50.1,50.1,50.1,50.1,50.1,1400
2013-12-27,50.07,50.07,50.07,50.07,50.07,795
2013-12-30,49.98,49.98,49.98,49.98,49.98,6000
2013-12-31,50,50,50,50,50,10000
2014-01-02,49.9261,49.9261,49.9261,49.9261,49.9261,200
2014-01-07,50.15,50.15,50.0514,50.08,50.08,8663
2014-01-08,50.175,50.23,50.15,50.15,50.15,13541
2014-01-09,50.19,50.19,50.1,50.12,50.12,10269
2014-01-10,50,50.12,49.9759,50.01,50.01,8806
2014-01-13,50.07,50.07,50.0076,50.0076,50.0076,9797
2014-01-14,50.1,50.1,50.0247,50.0247,50.0247,4185
2014-01-15,50.06,50.06,49.9975,50.01,50.01,2543
2014-01-16,50.08,50.1,50.0622,50.09,50.09,3512
2014-01-17,50.2,50.2,50.0271,50.05,50.05,6950
2014-01-21,50.18,50.18,50.009,50.02,50.02,3134
2014-01-22,50.04,50.11,50.02,50.11,50.11,36200
2014-01-23,50.2,50.2,49.8,49.8,49.8,6843
2014-01-24,49.9,49.9,49.9,49.9,49.9,200
2014-01-27,49.97,49.97,49.97,49.97,49.97,5000
2014-01-28,50.01,50.01,49.99,50,50,706
2014-01-30,49.9685,49.974,49.9685,49.974,49.974,200
2014-01-31,49.91,49.91,49.909,49.91,49.91,3400
2014-02-05,49.92,49.92,49.9,49.9,49.9,6000
2014-02-07,49.98,49.98,49.98,49.98,49.98,400
2014-02-10,49.98,49.98,49.98,49.98,49.98,400
2014-02-12,50.09,50.09,50.09,50.09,50.09,400
2014-02-19,50.08,50.08,50.08,50.08,50.08,310
2014-02-21,49.4,49.4,49.4,49.4,49.4,113
2014-02-27,49.821,49.821,49.821,49.821,49.821,1460
2014-03-03,49.963,49.963,49.963,49.963,49.963,174
2014-03-05,50.1,50.1,50.1,50.1,50.1,965
2014-03-11,50.089,50.089,50.089,50.089,50.089,1000
2014-03-19,50.12,50.12,50.12,50.12,50.12,501
