,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,11.17,11.24,11.1,10.96,11.1,248700
1,2021-06-11,11.1,11.2,11.1,11.01,11.1,300900
2,2021-06-14,11.14,11.15,10.65,10.59,10.65,231200
3,2021-06-15,10.6,10.65,10.39,10.22,10.39,115800
4,2021-06-16,10.43,10.45,10.35,10.25,10.35,86500
5,2021-06-17,10.3,10.345,10.18,10.05,10.18,190200
6,2021-06-18,10.19,10.3,10.17,10.045,10.17,117700
7,2021-06-21,10.15,10.15,10.13,10.08,10.13,146600
8,2021-06-22,10.19,10.19,10.16,10.08,10.16,147800
9,2021-06-23,10.13,10.19,10.11,10.08,10.11,92200
10,2021-06-24,10.09,10.148,10.06,10.05,10.06,120000
11,2021-06-25,10.446,10.446,10.17,10.07,10.17,110100
12,2021-06-28,10.15,10.243,10.08,10.05,10.08,640400
13,2021-06-29,10.06,10.1,10.09,10.06,10.09,92300
14,2021-06-30,10.09,10.25,10.19,10.09,10.19,254500
15,2021-07-01,10.21,10.25,10.24,10.18,10.24,178600
16,2021-07-02,10.25,10.25,10.21,10.15,10.21,69300
17,2021-07-06,10.24,10.25,10.17,10.07,10.17,89800
18,2021-07-07,10.17,10.2,10.07,10.055,10.07,93200
19,2021-07-08,10.06,10.07,10.06,9.98,10.06,402000
20,2021-07-09,10.04,10.14,10.12,10.02,10.12,37000
21,2021-07-12,10.14,10.15,10.04,10.024,10.04,158600
22,2021-07-13,10.04,10.35,10.24,10.03,10.24,409600
23,2021-07-14,10.29,10.29,10.11,10.065,10.11,101900
24,2021-07-15,10.15,10.15,10.03,9.99,10.03,187500
25,2021-07-16,10.06,10.129,9.99,9.979,9.99,123300
26,2021-07-19,9.94,10.002,9.97,9.86,9.97,109200
27,2021-07-20,10.1,10.1,9.97,9.88,9.97,308700
28,2021-07-21,9.96,10.0,9.99,9.94,9.99,64100
29,2021-07-22,9.99,9.99,9.99,9.95,9.99,98600
30,2021-07-23,10.06,10.06,9.99,9.926,9.99,117700
31,2021-07-26,10.01,10.04,10.02,9.98,10.02,50600
32,2021-07-27,9.98,10.0,9.99,9.94,9.99,87200
33,2021-07-28,9.97,9.97,9.97,9.95,9.97,37300
34,2021-07-29,9.97,9.97,9.96,9.95,9.96,24000
35,2021-07-30,9.96,9.97,9.97,9.95,9.97,120000
36,2021-08-02,9.98,9.98,9.98,9.97,9.98,70900
37,2021-08-03,9.99,9.995,9.99,9.97,9.99,21500
38,2021-08-04,9.97,10.06,10.01,9.97,10.01,200500
39,2021-08-05,10.0,10.0,9.98,9.97,9.98,66600
40,2021-08-06,9.98,10.0,9.98,9.97,9.98,49700
41,2021-08-09,9.98,10.04,10.04,9.97,10.04,120900
42,2021-08-10,9.98,10.03,10.0,9.97,10.0,100600
43,2021-08-11,10.01,10.01,10.0,9.98,10.0,116400
44,2021-08-12,10.01,10.01,9.98,9.97,9.98,63900
45,2021-08-13,9.99,10.11,10.08,9.97,10.08,360500
46,2021-08-16,10.07,10.12,9.97,9.97,9.97,206200
47,2021-08-17,9.97,9.99,9.97,9.97,9.97,1306700
48,2021-08-18,9.99,10.0,9.99,9.97,9.99,334500
49,2021-08-19,9.85,9.86,9.21,9.12,9.21,372300
50,2021-08-20,9.26,10.22,10.02,9.26,10.02,227400
51,2021-08-23,10.01,10.2138,10.19,9.925,10.19,118347
52,2021-08-24,10.21,10.2689,10.1,10.02,10.1,122014
53,2021-08-25,10.6946,10.6946,10.15,10.0,10.15,232285
54,2021-08-26,10.2,11.27,10.96,10.17,10.96,298128
55,2021-08-27,10.0,15.0,12.2,9.93,12.2,491800
