,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,39.59,39.79,39.76,39.32,39.76,11200
1,2021-06-11,39.82,40.14,40.14,39.66,40.14,17900
2,2021-06-14,40.25,40.48,40.301,40.2,40.301,21600
3,2021-06-15,40.05,40.24,39.71,39.58,39.71,38500
4,2021-06-16,39.86,39.93,39.755,39.34,39.755,37100
5,2021-06-17,39.78,40.42,40.4,39.75,40.4,94200
6,2021-06-18,40.18,40.29,40.12,39.955,40.12,32200
7,2021-06-21,40.03,40.72,40.6305,39.8,40.6305,25400
8,2021-06-22,40.69,41.0667,41.0226,40.52,41.0226,32488
9,2021-06-23,41.03,41.37,41.32,41.03,41.32,21300
10,2021-06-24,41.55,41.79,41.6,41.33,41.6,20900
11,2021-06-25,41.65,41.79,41.575,41.32,41.575,16200
12,2021-06-28,41.69,41.98,41.965,41.69,41.965,37000
13,2021-06-29,42.0,42.015,41.75,41.742,41.75,67500
14,2021-06-30,41.84,41.99,41.45,41.34,41.45,14700
15,2021-07-01,41.68,41.68,41.48,41.19,41.48,45900
16,2021-07-02,41.66,41.764,41.51,41.35,41.51,15800
17,2021-07-06,41.41,41.604,41.589,41.251,41.589,20400
18,2021-07-07,41.65,41.814,41.14,40.87,41.14,17200
19,2021-07-08,40.22,41.065,40.9,39.64,40.9,35500
20,2021-07-09,40.92,41.33,41.3,40.75,41.3,39500
21,2021-07-12,41.29,41.5,41.25,41.21,41.25,14900
22,2021-07-13,41.34,41.37,40.97,40.9,40.97,12900
23,2021-07-14,41.0,41.0,40.2,40.09,40.2,14300
24,2021-07-15,40.0,40.39,39.75,39.491,39.75,19800
25,2021-07-16,39.91,40.0,39.623,39.55,39.623,27500
26,2021-07-19,38.85,39.54,39.43,38.71,39.43,27126
27,2021-07-20,39.45,40.4999,40.3817,39.45,40.3817,12058
28,2021-07-21,40.41,40.788,40.777,40.286,40.777,11400
29,2021-07-22,40.76,40.88,40.844,40.63,40.844,6900
30,2021-07-23,41.0,41.29,41.23,40.88,41.23,8800
31,2021-07-26,41.32,41.32,41.23,41.05,41.23,10900
32,2021-07-27,41.22,41.22,40.77,40.25,40.77,14700
33,2021-07-28,40.83,41.338,41.225,40.77,41.225,13900
34,2021-07-29,41.3,41.76,41.51,41.3,41.51,8900
35,2021-07-30,41.09,41.55,41.485,41.09,41.485,14000
36,2021-08-02,41.75,41.75,41.515,41.417,41.515,15900
37,2021-08-03,41.49,41.599,41.51,41.23,41.51,7400
38,2021-08-04,41.4,41.718,41.473,41.4,41.473,6200
39,2021-08-05,41.46,41.9,41.9,41.46,41.9,50400
40,2021-08-06,41.9,42.0,41.7,41.675,41.7,6600
41,2021-08-09,41.76,42.0,41.87,41.482,41.87,15300
42,2021-08-10,41.97,42.074,41.726,41.72,41.726,7500
43,2021-08-11,41.82,41.88,41.705,41.35,41.705,9200
44,2021-08-12,41.51,41.898,41.858,41.51,41.858,5800
45,2021-08-13,41.95,41.95,41.691,41.592,41.691,59300
46,2021-08-16,41.76,41.76,41.485,41.155,41.485,34800
47,2021-08-17,41.37,41.37,41.17,40.85,41.17,21200
48,2021-08-18,41.33,41.396,41.04,41.0,41.04,13100
49,2021-08-19,40.5,40.99,40.737,40.5,40.737,10900
50,2021-08-20,40.97,41.38,41.38,40.85,41.38,20100
51,2021-08-23,41.51,41.895,41.895,41.51,41.895,17600
52,2021-08-24,42.14,42.28,42.28,41.96,42.28,39000
53,2021-08-25,42.24,42.45,42.45,42.209,42.45,9000
54,2021-08-26,42.27,42.4,42.18,42.18,42.18,6300
55,2021-08-27,42.09,42.77,42.73,42.09,42.73,22400
56,2021-08-30,42.93,43.0,42.98,42.678,42.98,18500
57,2021-08-31,42.85,43.0,43.0,42.72,43.0,13800
58,2021-09-01,43.0,43.41,43.3,42.92,43.3,13000
59,2021-09-02,43.59,43.71,43.517,43.485,43.517,39100
60,2021-09-03,43.53,43.666,43.612,43.36,43.612,11500
61,2021-09-07,43.6,43.67,43.49,43.3179,43.49,31504
