Date,Open,High,Low,Close,AdjustedClose,Volume
2018-06-13,265.01,265.01,265.01,265.01,265.01,280
2018-06-25,265,265,265,265,265,100
2018-08-01,15.5,15.5,15.5,15.5,15.5,740
2018-08-02,15.54,15.54,15.5,15.5,15.5,726
2018-08-03,15.05,15.7,15.05,15.7,15.7,630
2018-08-06,16.25,17,16.25,17,17,4826
2018-08-07,16.74,16.74,15.05,16,16,6100
2018-08-08,16.75,16.75,15.5,16,16,1450
2018-08-09,16,16.64,16,16.5,16.5,3584152
2018-08-10,16.39,16.48,16.01,16.4,16.4,337842
2018-08-13,16.45,16.52,16.2,16.5,16.5,212138
2018-08-14,16.49,16.5158,16.345,16.5,16.5,199834
2018-08-15,16.51,16.53,16.205,16.43,16.43,82129
2018-08-16,16.4,16.5311,16.34,16.43,16.43,227824
2018-08-17,16.42,16.53,16.4,16.42,16.42,107334
2018-08-20,16.49,16.55,16.331,16.49,16.49,69399
2018-08-21,16.52,16.68,16.44,16.64,16.64,66676
2018-08-22,16.64,17.045,16.6,17.04,17.04,86401
2018-08-23,16.99,17.8597,16.99,17.69,17.69,229247
2018-08-24,17.65,18,17.6,17.7,17.7,70766
2018-08-27,17.85,17.85,16.8701,17.3,17.3,71596
2018-08-28,17.4,17.98,17.0541,17.7,17.7,56481
2018-08-29,17.79,17.88,17.29,17.59,17.59,42724
2018-08-30,17.425,17.72,16.8494,17.4,17.4,81911
2018-08-31,17.2,17.465,16.875,17.44,17.44,82071
2018-09-04,17.44,17.88,17.37,17.75,17.75,154655
2018-09-05,17.88,17.98,17.69,17.96,17.96,56640
2018-09-06,17.98,19.62,17.9638,19.1,19.1,318232
2018-09-07,19.13,19.13,18.28,18.98,18.98,511944
2018-09-10,18.99,19,18.14,18.95,18.95,325947
2018-09-11,18.89,18.99,17.35,18.9,18.9,393023
2018-09-12,18.95,18.97,18.59,18.85,18.85,93257
2018-09-13,18.87,18.95,18.39,18.91,18.91,342030
2018-09-14,18.9,18.95,18.525,18.76,18.76,90680
