,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,22.19,23.82,23.38,21.548,23.38,252700
1,2021-06-11,23.4,24.65,23.62,23.4,23.62,238400
2,2021-06-14,23.27,23.84,23.61,22.53,23.61,310200
3,2021-06-15,23.6,23.92,23.2,22.53,23.2,152600
4,2021-06-16,23.13,23.54,22.75,22.21,22.75,520900
5,2021-06-17,22.62,22.62,20.83,20.69,20.83,277300
6,2021-06-18,20.83,21.2,21.06,20.3,21.06,268600
7,2021-06-21,20.77,22.51,22.28,20.692,22.28,211200
8,2021-06-22,21.73,22.628,22.21,21.705,22.21,114600
9,2021-06-23,22.26,24.61,23.43,22.25,23.43,241200
10,2021-06-24,23.47,24.52,24.3,23.41,24.3,153700
11,2021-06-25,24.55,26.48,25.73,24.47,25.73,359500
12,2021-06-28,25.45,25.875,23.34,23.03,23.34,161500
13,2021-06-29,23.07,24.36,23.2,23.01,23.2,72800
14,2021-06-30,23.16,26.008,25.63,23.16,25.63,187600
15,2021-07-01,25.91,26.93,26.23,25.464,26.23,170100
16,2021-07-02,26.28,26.831,25.14,24.76,25.14,100100
17,2021-07-06,25.28,25.375,24.05,23.55,24.05,89227
18,2021-07-07,24.03,25.35,24.82,23.11,24.82,110300
19,2021-07-08,24.18,24.18,23.24,22.65,23.24,160200
20,2021-07-09,23.56,24.25,23.97,23.22,23.97,139400
21,2021-07-12,23.55,24.64,24.07,23.55,24.07,114700
22,2021-07-13,23.97,24.294,23.69,23.0,23.69,85100
23,2021-07-14,24.02,24.72,23.96,23.45,23.96,235400
24,2021-07-15,23.87,25.21,24.56,23.31,24.56,264900
25,2021-07-16,24.79,25.3,24.13,23.89,24.13,281100
26,2021-07-19,23.565,23.9,22.74,21.28,22.74,187100
27,2021-07-20,22.94,24.04,23.46,22.32,23.46,296200
28,2021-07-21,23.76,24.5,23.99,22.95,23.99,286600
29,2021-07-22,23.98,24.07,23.85,23.216,23.85,198000
30,2021-07-23,24.01,24.73,23.86,23.15,23.86,96600
31,2021-07-26,23.86,25.124,23.83,23.4,23.83,340100
32,2021-07-27,23.88,24.41,24.06,22.66,24.06,225400
33,2021-07-28,24.18,25.545,24.64,23.66,24.64,263000
34,2021-07-29,24.42,28.27,28.09,24.42,28.09,221800
35,2021-07-30,28.12,28.23,27.87,26.64,27.87,193400
36,2021-08-02,28.16,28.566,27.85,26.49,27.85,231800
37,2021-08-03,27.56,29.41,28.21,26.42,28.21,138300
38,2021-08-04,28.19,29.346,28.42,28.03,28.42,162700
39,2021-08-05,28.95,30.41,29.29,28.64,29.29,144100
40,2021-08-06,28.98,31.5,30.38,28.34,30.38,362700
41,2021-08-09,30.48,33.06,32.84,30.185,32.84,280700
42,2021-08-10,33.72,35.11,34.68,33.59,34.68,276000
43,2021-08-11,35.48,36.61,35.44,34.68,35.44,272600
44,2021-08-12,35.6,36.34,35.59,34.5,35.59,209100
45,2021-08-13,36.34,36.7,36.53,35.615,36.53,247300
46,2021-08-16,36.17,36.68,36.26,34.627,36.26,149800
47,2021-08-17,35.77,37.14,36.72,35.46,36.72,234300
48,2021-08-18,36.63,36.87,34.38,34.22,34.38,420200
49,2021-08-19,33.65,33.98,32.84,31.54,32.84,311900
50,2021-08-20,32.53,35.16,34.1,32.255,34.1,128400
51,2021-08-23,34.27,36.58,36.36,34.25,36.36,403500
52,2021-08-24,36.8,38.46,37.67,36.7,37.67,185900
53,2021-08-25,37.67,38.63,38.31,36.91,38.31,372400
54,2021-08-26,37.89,38.74,37.89,36.69,37.89,197900
55,2021-08-27,38.01,39.72,38.97,38.01,38.97,202200
56,2021-08-30,39.05,39.295,39.0,37.41,39.0,203200
57,2021-08-31,39.08,40.0,39.11,38.2,39.11,134800
58,2021-09-01,39.11,39.665,39.53,37.6,39.53,159700
59,2021-09-02,40.19,41.45,41.26,40.0,41.26,334500
60,2021-09-03,41.76,45.95,45.02,41.76,45.02,442900
61,2021-09-07,46.37,49.85,49.06,46.32,49.06,359902
