,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,15.88,16.25,16.24,15.85,16.24,2985398
1,2021-06-11,16.27,16.43,16.38,16.185,16.38,2985911
2,2021-06-14,16.38,16.39,16.22,16.12,16.22,1968573
3,2021-06-15,16.23,16.24,15.89,15.775,15.89,2423022
4,2021-06-16,15.85,15.85,15.42,15.29,15.42,3412137
5,2021-06-17,15.33,15.525,15.42,15.295,15.42,1123830
6,2021-06-18,15.33,15.37,15.31,15.155,15.31,3767081
7,2021-06-21,15.41,15.435,15.41,15.315,15.41,1284462
8,2021-06-22,15.4,15.41,15.34,15.25,15.34,1093083
9,2021-06-23,15.34,15.46,15.19,15.18,15.19,1322319
10,2021-06-24,15.17,15.51,15.4,15.17,15.4,1600123
11,2021-06-25,15.37,15.47,15.28,15.26,15.28,1157332
12,2021-06-28,15.29,15.38,15.3,15.19,15.3,1335200
13,2021-06-29,15.32,15.38,15.3,15.22,15.3,1873200
14,2021-06-30,15.29,15.3,15.0,14.98,15.0,1325700
15,2021-07-01,15.01,15.01,14.8,14.79,14.8,2971700
16,2021-07-02,14.79,14.99,14.94,14.79,14.94,797100
17,2021-07-06,14.84,15.04,14.89,14.75,14.89,2525000
18,2021-07-07,14.93,14.98,14.72,14.62,14.72,2896300
19,2021-07-08,14.55,14.71,14.64,14.51,14.64,1738100
20,2021-07-09,14.71,14.86,14.79,14.66,14.79,2032300
21,2021-07-12,14.78,15.01,14.94,14.77,14.7521,2147000
22,2021-07-13,14.99,14.99,14.95,14.87,14.7619,1590800
23,2021-07-14,15.17,16.12,15.9,15.0,15.7,6516900
24,2021-07-15,15.77,16.12,15.82,15.61,15.82,3453000
25,2021-07-16,15.89,16.11,16.0,15.82,16.0,2316700
26,2021-07-19,15.83,15.87,15.58,15.42,15.58,2736800
27,2021-07-20,15.58,15.71,15.59,15.5,15.59,1602700
28,2021-07-21,15.65,15.75,15.65,15.57,15.65,1620900
29,2021-07-22,15.64,15.84,15.74,15.56,15.74,2408200
30,2021-07-23,15.77,15.83,15.73,15.64,15.73,1447200
31,2021-07-26,15.69,16.19,16.06,15.63,16.06,1931100
32,2021-07-27,16.06,16.38,16.35,16.02,16.35,2019800
33,2021-07-28,16.29,16.67,16.61,16.25,16.61,2879500
34,2021-07-29,16.68,16.92,16.81,16.53,16.81,1550800
35,2021-07-30,16.7,16.82,16.65,16.52,16.65,2876100
36,2021-08-02,16.71,16.99,16.72,16.67,16.72,1023800
37,2021-08-03,16.74,17.05,17.02,16.67,17.02,2456500
38,2021-08-04,16.97,17.06,16.82,16.76,16.82,997300
39,2021-08-05,16.92,17.16,17.1,16.77,17.1,2457500
40,2021-08-06,17.18,17.18,16.77,16.7,16.77,3313400
41,2021-08-09,16.75,16.76,16.4,16.39,16.4,4952500
42,2021-08-10,16.43,16.73,16.65,16.33,16.65,2047500
43,2021-08-11,16.69,16.92,16.85,16.67,16.85,1811300
44,2021-08-12,16.88,17.02,16.97,16.81,16.97,1992200
45,2021-08-13,17.02,17.35,17.26,16.98,17.26,2281800
46,2021-08-16,17.18,17.5,17.3,17.16,17.3,1431000
47,2021-08-17,17.16,17.76,17.69,17.12,17.69,3536600
48,2021-08-18,17.69,18.02,17.9,17.56,17.9,2387800
49,2021-08-19,17.81,18.02,17.92,17.6,17.92,2028900
50,2021-08-20,17.96,18.31,18.25,17.79,18.25,1878000
51,2021-08-23,18.27,18.45,18.4,18.02,18.4,1755600
52,2021-08-24,18.45,18.72,18.45,18.31,18.45,1844300
53,2021-08-25,18.44,18.52,18.49,18.24,18.49,2123400
54,2021-08-26,18.49,18.72,18.67,18.29,18.67,1869100
55,2021-08-27,18.66,18.89,18.85,18.56,18.85,1802200
56,2021-08-30,18.81,19.29,19.23,18.78,19.23,1839900
57,2021-08-31,19.19,19.69,19.56,19.19,19.56,2585900
58,2021-09-01,19.55,19.79,18.92,18.85,18.92,3430700
59,2021-09-02,18.95,19.065,19.02,18.85,19.02,2329745
60,2021-09-03,18.97,19.15,18.82,18.78,18.82,1825806
61,2021-09-07,18.8,19.08,19.05,18.8,19.05,1885322
