,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,32.44,32.5173,32.5,32.44,32.191,1067673
1,2021-06-11,32.52,32.55,32.52,32.4812,32.2108,921076
2,2021-06-14,32.54,32.54,32.5,32.46,32.191,1461095
3,2021-06-15,32.5071,32.53,32.53,32.46,32.2207,1121615
4,2021-06-16,32.53,32.57,32.44,32.38,32.1315,3115461
5,2021-06-17,32.5,32.55,32.52,32.47,32.2108,994803
6,2021-06-18,32.49,32.54,32.54,32.4,32.2306,852052
7,2021-06-21,32.55,32.58,32.58,32.52,32.2702,1459512
8,2021-06-22,32.58,32.63,32.61,32.55,32.2999,1447839
9,2021-06-23,32.62,32.66,32.58,32.58,32.2702,1577930
10,2021-06-24,32.68,32.68,32.67,32.64,32.3593,1119887
11,2021-06-25,32.74,32.7453,32.71,32.69,32.399,839256
12,2021-06-28,32.76,32.78,32.78,32.71,32.4683,1983129
13,2021-06-29,32.8,32.84,32.84,32.7801,32.5277,2098900
14,2021-06-30,32.87,32.9,32.9,32.85,32.5871,1322418
15,2021-07-01,32.89,32.9099,32.9,32.86,32.6892,4544760
16,2021-07-02,32.94,33.01,32.99,32.91,32.7786,1785533
17,2021-07-06,33.0,33.12,33.12,32.99,32.9078,1759624
18,2021-07-07,33.14,33.16,33.16,33.09,32.9475,990025
19,2021-07-08,33.11,33.14,33.12,33.0312,32.9078,2618822
20,2021-07-09,33.13,33.16,33.14,33.115,32.9277,1696085
21,2021-07-12,33.17,33.17,33.13,33.12,32.9177,1066124
22,2021-07-13,33.13,33.15,33.05,33.02,32.8382,992846
23,2021-07-14,33.08,33.13,33.09,33.03,32.878,1293148
24,2021-07-15,33.07,33.08,33.07,33.01,32.8581,1549647
25,2021-07-16,33.06,33.0645,33.01,32.99,32.7985,691967
26,2021-07-19,32.95,32.95,32.8,32.74,32.5898,1772028
27,2021-07-20,32.83,32.909,32.86,32.78,32.6494,1329340
28,2021-07-21,32.91,32.98,32.96,32.89,32.7488,1408184
29,2021-07-22,33.0,33.07,33.03,32.9696,32.8184,987199
30,2021-07-23,33.03,33.09,33.07,33.02,32.8581,766696
31,2021-07-26,33.07,33.09,33.06,33.04,32.8482,1638359
32,2021-07-27,33.04,33.04,33.01,32.96,32.7985,1347158
33,2021-07-28,33.0,33.05,33.03,32.97,32.8184,1425261
34,2021-07-29,33.05,33.12,33.08,33.05,32.868,979013
35,2021-07-30,33.09,33.12,33.1,33.07,32.8879,2073331
36,2021-08-02,32.99,33.03,32.93,32.905,32.8259,2135098
37,2021-08-03,32.94,32.95,32.91,32.86,32.806,1597764
38,2021-08-04,32.88,32.92,32.88,32.85,32.7761,838888
39,2021-08-05,32.89,32.95,32.94,32.89,32.8359,941998
40,2021-08-06,32.95,32.95,32.9,32.87,32.796,733153
41,2021-08-09,32.89,32.89,32.85,32.81,32.7462,722395
42,2021-08-10,32.85,32.85,32.72,32.72,32.6166,1840940
43,2021-08-11,32.75,32.86,32.86,32.75,32.7561,1334483
44,2021-08-12,32.84,32.87,32.85,32.81,32.7462,928366
45,2021-08-13,32.9,32.95,32.95,32.88,32.8458,421722
46,2021-08-16,32.9327,32.955,32.95,32.91,32.8458,1049673
47,2021-08-17,32.91,32.9299,32.87,32.86,32.7661,1496839
48,2021-08-18,32.88,32.9079,32.78,32.77,32.6764,1374087
49,2021-08-19,32.81,32.83,32.79,32.75,32.6863,2260331
50,2021-08-20,32.8,32.87,32.86,32.78,32.7561,1232546
51,2021-08-23,32.95,32.97,32.94,32.9,32.8359,1759397
52,2021-08-24,32.99,33.07,33.06,32.97,32.9555,3406907
53,2021-08-25,33.07,33.11,33.08,33.05,32.9754,1861175
54,2021-08-26,33.11,33.11,33.09,33.01,32.9854,1583960
55,2021-08-27,33.1,33.2,33.2,33.08,33.0951,1708089
56,2021-08-30,33.18,33.28,33.26,33.17,33.1551,1182400
57,2021-08-31,33.29,33.3,33.28,33.25,33.175,4590700
58,2021-09-01,33.22,33.29,33.27,33.18,33.27,2025900
59,2021-09-02,33.32,33.35,33.31,33.31,33.31,1037600
60,2021-09-03,33.31,33.36,33.33,33.3,33.33,817900
61,2021-09-07,33.29,33.29,33.22,33.21,33.22,831288
