,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,32.67,32.771,31.66,31.58,31.66,60800
1,2021-06-11,31.6,32.52,32.11,31.6,32.11,63800
2,2021-06-14,32.15,32.51,30.99,30.77,30.99,122700
3,2021-06-15,30.78,31.63,30.69,30.4,30.69,124800
4,2021-06-16,30.44,31.62,31.34,30.122,31.34,91100
5,2021-06-17,31.08,31.39,30.46,29.64,30.46,98800
6,2021-06-18,29.96,32.49,32.35,29.534,32.35,192500
7,2021-06-21,32.48,35.204,34.22,32.34,34.22,261900
8,2021-06-22,34.885,34.885,32.03,31.87,32.03,212400
9,2021-06-23,32.1,32.738,31.92,31.12,31.92,128400
10,2021-06-24,31.76,33.21,32.99,31.54,32.99,90500
11,2021-06-25,32.99,33.48,32.53,32.22,32.53,243200
12,2021-06-28,33.31,34.24,33.2,32.98,33.2,118300
13,2021-06-29,33.47,34.435,34.06,33.08,34.06,126200
14,2021-06-30,33.69,35.69,35.14,33.69,35.14,180500
15,2021-07-01,35.45,36.62,36.03,35.036,36.03,151800
16,2021-07-02,35.837,36.25,34.0,33.76,34.0,177100
17,2021-07-06,34.22,34.683,34.2,32.91,34.2,121000
18,2021-07-07,34.12,34.49,33.48,33.17,33.48,64600
19,2021-07-08,33.03,33.62,32.64,32.27,32.64,82400
20,2021-07-09,33.11,34.12,33.79,33.014,33.79,58100
21,2021-07-12,33.81,34.41,34.18,33.25,34.18,90000
22,2021-07-13,34.05,34.064,33.49,33.01,33.49,82500
23,2021-07-14,33.61,34.005,33.9,33.19,33.9,129700
24,2021-07-15,33.97,35.98,35.93,33.67,35.93,542600
25,2021-07-16,32.3,32.34,28.04,27.65,28.04,1990400
26,2021-07-19,26.69,29.0,28.77,26.0,28.77,678100
27,2021-07-20,28.91,29.39,29.0,28.23,29.0,366900
28,2021-07-21,29.33,30.75,29.82,29.16,29.82,224200
29,2021-07-22,29.82,29.82,28.43,28.321,28.43,202700
30,2021-07-23,28.36,28.75,27.37,27.29,27.37,219800
31,2021-07-26,27.63,29.17,28.54,27.63,28.54,125500
32,2021-07-27,28.21,28.396,27.14,26.75,27.14,190600
33,2021-07-28,27.36,27.92,27.6,27.05,27.6,122200
34,2021-07-29,27.6,27.97,27.69,27.413,27.69,104200
35,2021-07-30,27.56,28.15,26.98,26.75,26.98,120000
36,2021-08-02,27.15,27.95,27.86,26.86,27.86,185100
37,2021-08-03,27.96,28.73,28.34,27.46,28.34,90500
38,2021-08-04,28.08,28.409,27.43,27.38,27.43,75900
39,2021-08-05,27.78,28.23,28.12,27.42,28.12,85000
40,2021-08-06,28.12,28.7,28.66,27.77,28.66,120000
41,2021-08-09,28.5,29.13,28.95,28.03,28.95,126800
42,2021-08-10,29.04,29.19,29.1,28.6,29.1,142200
43,2021-08-11,29.29,29.89,29.68,28.74,29.68,173300
44,2021-08-12,29.41,29.83,28.15,28.02,28.15,163200
45,2021-08-13,28.17,28.3,27.51,27.47,27.51,100100
46,2021-08-16,27.41,28.03,27.55,26.83,27.55,67700
47,2021-08-17,27.45,27.79,26.59,26.43,26.59,147700
48,2021-08-18,26.86,27.59,26.33,26.17,26.33,121000
49,2021-08-19,26.05,26.945,26.41,25.55,26.41,93700
50,2021-08-20,26.2,27.11,27.09,26.2,27.09,85400
51,2021-08-23,27.3,27.859,26.76,26.4,26.76,82800
52,2021-08-24,26.7,27.23,26.86,26.66,26.86,52400
53,2021-08-25,26.85,28.19,27.21,26.85,27.21,91800
54,2021-08-26,27.4,27.82,26.84,26.61,26.84,78100
55,2021-08-27,26.92,27.4,27.21,26.55,27.21,65600
56,2021-08-30,27.4,27.732,27.52,26.71,27.52,108800
57,2021-08-31,27.46,28.14,27.83,27.15,27.83,73900
58,2021-09-01,27.94,28.07,27.4,27.22,27.4,172700
59,2021-09-02,27.29,27.29,25.31,24.71,25.31,440900
60,2021-09-03,25.29,26.205,26.16,24.87,26.16,213800
61,2021-09-07,26.77,26.77,25.66,25.45,25.66,109168
