,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,300.52,301.11,298.6,298.33,297.0464,563188
1,2021-06-11,299.67,302.17,300.45,299.26,298.8867,710375
2,2021-06-14,300.45,300.45,299.12,297.4,297.5637,567722
3,2021-06-15,301.89,302.23,301.08,298.44,299.5135,1068550
4,2021-06-16,302.47,304.75,300.04,299.3,298.4789,958773
5,2021-06-17,299.32,299.8,299.09,295.03,297.5338,786464
6,2021-06-18,295.64,297.81,292.7,292.0,291.1771,1701988
7,2021-06-21,295.4,298.13,296.56,294.3075,295.017,640741
8,2021-06-22,297.58,299.36,298.01,296.96,296.4594,566427
9,2021-06-23,297.14,298.1899,290.83,290.64,289.3168,936083
10,2021-06-24,292.82,293.98,289.93,289.31,288.4215,999807
11,2021-06-25,289.83,291.515,288.54,288.42,287.0387,1413656
12,2021-06-28,289.6,290.55,289.05,287.12,287.5461,921100
13,2021-06-29,290.45,291.22,288.29,286.89,286.79,984600
14,2021-06-30,287.12,288.51,287.68,286.29,287.68,673500
15,2021-07-01,289.41,290.34,288.8,287.41,288.8,619400
16,2021-07-02,288.73,291.64,290.77,287.67,290.77,541500
17,2021-07-06,291.75,291.79,286.72,285.2,286.72,1034800
18,2021-07-07,287.2,291.11,290.79,287.2,290.79,639700
19,2021-07-08,286.89,289.09,287.36,284.0,287.36,807300
20,2021-07-09,289.07,291.82,291.67,289.07,291.67,734300
21,2021-07-12,291.64,293.45,291.05,290.99,291.05,1041300
22,2021-07-13,290.67,291.7,288.86,287.99,288.86,580300
23,2021-07-14,288.8,291.27,288.14,287.76,288.14,597700
24,2021-07-15,286.65,290.24,288.1,286.65,288.1,733700
25,2021-07-16,288.78,289.35,285.54,284.16,285.54,1496200
26,2021-07-19,282.6,283.69,282.1,279.0,282.1,1102700
27,2021-07-20,283.02,289.86,285.95,282.2,285.95,1065600
28,2021-07-21,286.77,287.96,286.72,285.82,286.72,721800
29,2021-07-22,287.95,289.8,288.46,286.76,288.46,896900
30,2021-07-23,290.0,290.53,290.29,286.92,290.29,635100
31,2021-07-26,290.83,291.49,289.12,287.72,289.12,524900
32,2021-07-27,287.71,291.45,288.9,285.06,288.9,680200
33,2021-07-28,288.61,289.46,287.83,286.67,287.83,654400
34,2021-07-29,289.84,290.84,289.67,288.1,289.67,422500
35,2021-07-30,289.55,292.65,291.03,289.55,291.03,570600
36,2021-08-02,292.37,293.66,288.73,288.32,288.73,550500
37,2021-08-03,289.58,291.21,290.65,288.0,290.65,520500
38,2021-08-04,287.73,290.78,287.67,287.55,287.67,595800
39,2021-08-05,289.6,292.07,288.72,288.3,288.72,1039100
40,2021-08-06,290.3,293.11,290.82,288.68,290.82,809500
41,2021-08-09,290.32,291.5,275.75,270.77,275.75,2273400
42,2021-08-10,274.59,278.7,277.87,274.59,277.87,1301100
43,2021-08-11,278.08,279.69,278.73,274.35,278.73,978600
44,2021-08-12,279.7,280.36,277.61,276.27,277.61,862600
45,2021-08-13,277.35,279.78,279.74,276.57,279.74,604800
46,2021-08-16,280.0,282.73,281.55,279.0,281.55,1334400
47,2021-08-17,280.78,281.63,281.41,277.71,281.41,933800
48,2021-08-18,280.6,281.75,272.15,271.18,272.15,1184100
49,2021-08-19,270.27,272.83,271.39,269.19,271.39,1131000
50,2021-08-20,270.73,271.29,267.44,265.05,267.44,1624100
51,2021-08-23,268.07,271.0,270.49,267.1,270.49,1643100
52,2021-08-24,272.42,273.42,270.52,269.42,270.52,954500
53,2021-08-25,268.97,269.67,269.17,267.5,269.17,1305200
54,2021-08-26,269.38,271.95,268.42,267.6,268.42,774500
55,2021-08-27,269.46,269.99,268.5,268.32,268.5,551400
56,2021-08-30,269.06,271.18,270.2,268.64,270.2,563000
57,2021-08-31,269.8,271.98,269.51,269.07,269.51,876900
58,2021-09-01,269.51,270.59,269.34,267.5,269.34,543400
59,2021-09-02,269.95,271.34,270.0,268.53,270.0,453000
60,2021-09-03,269.93,270.59,268.28,267.88,268.28,821400
61,2021-09-07,267.85,268.55,267.1,266.11,267.1,666363
