,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,19.76,20.22,20.01,19.75,20.01,4900
1,2021-06-11,19.98,20.26,20.25,19.96,20.25,3600
2,2021-06-14,20.11,20.22,20.11,19.58,20.11,34500
3,2021-06-15,19.62,20.2,19.84,19.62,19.84,3700
4,2021-06-16,19.76,20.02,19.8,19.76,19.8,2400
5,2021-06-17,19.68,20.0,19.8,19.68,19.8,4000
6,2021-06-18,19.63,19.99,19.65,19.38,19.65,16700
7,2021-06-21,19.82,19.98,19.98,19.59,19.98,3200
8,2021-06-22,19.86,19.86,19.85,19.75,19.85,7000
9,2021-06-23,19.65,19.88,19.85,19.58,19.85,7200
10,2021-06-24,19.86,19.86,19.8,19.8,19.8,7600
11,2021-06-25,19.72,19.81,19.75,19.58,19.75,14100
12,2021-06-28,19.67,19.91,19.5,19.5,19.5,7400
13,2021-06-29,19.75,19.75,19.66,19.55,19.66,7800
14,2021-06-30,19.77,19.8,19.75,19.75,19.75,4300
15,2021-07-01,19.69,19.77,19.6,19.5,19.6,8000
16,2021-07-02,19.6,19.73,19.53,19.53,19.53,5700
17,2021-07-06,19.53,19.62,19.2,19.2,19.2,7100
18,2021-07-07,19.19,19.85,19.0,19.0,19.0,8800
19,2021-07-08,18.61,19.35,18.77,18.61,18.77,28800
20,2021-07-09,18.92,19.25,17.33,17.0,17.33,44100
21,2021-07-12,17.48,18.1,17.6,17.47,17.6,25800
22,2021-07-13,17.75,18.0,17.64,17.5,17.64,9900
23,2021-07-14,17.53,17.89,17.4,17.26,17.4,23400
24,2021-07-15,17.5,17.84,17.56,17.44,17.56,17200
25,2021-07-16,17.74,17.74,17.3,17.23,17.3,9700
26,2021-07-19,17.01,17.3,16.85,16.6,16.85,19700
27,2021-07-20,16.85,17.17,16.7,16.7,16.7,13800
28,2021-07-21,16.87,16.89,16.48,16.31,16.48,17000
29,2021-07-22,16.42,16.62,16.25,16.21,16.25,4700
30,2021-07-23,16.3,16.36,16.11,16.0,16.11,13800
31,2021-07-26,15.71,16.08,15.88,15.5,15.88,14200
32,2021-07-27,15.74,15.97,15.84,15.7,15.84,6900
33,2021-07-28,15.83,15.89,15.78,15.71,15.78,5500
34,2021-07-29,16.0,16.0,15.92,15.8,15.92,5100
35,2021-07-30,16.0,16.0,15.8,15.8,15.8,4200
36,2021-08-02,15.9,15.9,15.8,15.8,15.8,4100
37,2021-08-03,15.8,15.92,15.7,15.6,15.7,9700
38,2021-08-04,15.6,15.68,15.56,15.28,15.56,9600
39,2021-08-05,15.28,15.69,15.2,15.2,15.2,7900
40,2021-08-06,15.2,15.2,15.14,15.03,15.14,6000
41,2021-08-09,15.03,15.43,14.96,14.88,14.96,13400
42,2021-08-10,14.97,15.3,15.1,14.89,15.1,8100
43,2021-08-11,15.33,15.94,15.69,15.33,15.69,13200
44,2021-08-12,15.75,15.83,15.49,15.24,15.49,11500
45,2021-08-13,15.29,15.99,15.25,14.85,15.25,6500
46,2021-08-16,15.0,15.46,14.72,14.42,14.72,12700
47,2021-08-17,14.48,16.35,15.82,14.39,15.82,47700
48,2021-08-18,16.5,16.5,16.16,15.83,16.16,18500
49,2021-08-19,16.01,16.01,15.75,15.7,15.75,5300
50,2021-08-20,15.59,16.16,15.9,15.53,15.9,5300
51,2021-08-23,16.21,16.21,15.7,15.7,15.7,7100
52,2021-08-24,15.7,16.29,16.29,15.7,16.29,17700
53,2021-08-25,16.14,16.14,16.1,15.87,16.1,3100
54,2021-08-26,16.26,16.27,16.05,16.0,16.05,6100
55,2021-08-27,16.27,16.31,16.3,16.27,16.3,2200
56,2021-08-30,16.42,16.42,16.05,16.02,16.05,3900
57,2021-08-31,16.22,16.38,16.05,16.02,16.05,4300
58,2021-09-01,16.2,16.25,16.25,16.02,16.25,1700
59,2021-09-02,16.14,16.25,15.9,15.75,15.9,8400
60,2021-09-03,16.02,16.31,15.76,15.75,15.76,14500
61,2021-09-07,15.78,16.1903,15.99,15.76,15.99,9767
