Date,Open,High,Low,Close,AdjustedClose,Volume
2006-06-02,8.99,9,8.44,8.98,8.98,4294526
2006-06-05,9,9,8.6,8.75,8.75,355312
2006-06-06,8.95,8.95,8.75,8.81,8.81,539646
2006-06-07,8.9,8.9,8.8,8.84,8.84,45250
2006-06-08,8.9,8.97,8.75,8.85,8.85,127291
2006-06-09,8.95,8.95,8.33,8.63,8.63,182867
2006-06-12,8.8,8.8,8.42,8.5,8.5,156513
2006-06-13,8.41,8.46,8.2,8.4,8.4,71180
2006-06-14,8.4,8.44,8.31,8.31,8.31,72460
2006-06-15,8.29,8.35,8.14,8.15,8.15,35695
2006-06-16,8.25,8.25,7.92,7.92,7.92,58072
2006-06-19,8.13,8.4,7.9,8.07,8.07,115679
2006-06-20,7.99,8.25,7.36,7.46,7.46,257360
2006-06-21,7.4,7.4,7.16,7.29,7.29,217907
2006-06-22,7.29,7.3,6.91,7.13,7.13,130859
2006-06-23,7.09,7.11,7.05,7.05,7.05,35175
2006-06-26,7.37,7.37,6.75,6.89,6.89,103800
2006-06-27,6.89,7,6.6,6.61,6.61,59519
2006-06-28,6.94,6.94,5.98,6.3,6.3,146381
2006-06-29,6.27,7.02,6.25,6.35,6.35,66092
2006-06-30,6.5,6.56,6.2,6.3,6.3,25303
2006-07-03,6.56,6.97,6.4,6.4285,6.4285,13308
2006-07-05,6.33,6.4804,6.2,6.21,6.21,4305
2006-07-06,6.28,6.51,6.28,6.5,6.5,18350
2006-07-07,6.3,6.4695,6.26,6.43,6.43,12000
2006-07-10,6.5024,6.56,6.16,6.25,6.25,28300
2006-07-11,6.15,6.32,6.06,6.22,6.22,42371
2006-07-12,6.23,6.45,6.23,6.23,6.23,28190
2006-07-13,6.5,6.7,5.89,5.94,5.94,76861
2006-07-14,6.4,6.4,5.78,5.78,5.78,30653
2006-07-17,6.54,6.54,5.26,5.56,5.56,46270
2006-07-18,5.65,6.539,5.65,6,6,39953
2006-07-19,5.95,5.95,5.62,5.74,5.74,33135
2006-07-20,6.39,6.39,5.4063,5.5,5.5,27693
2006-07-21,5.4,5.65,5.4,5.5,5.5,6600
2006-07-24,5.46,5.6,5.46,5.5,5.5,5900
2006-07-25,5.45,5.5,5.25,5.3,5.3,52799
2006-07-26,5.35,5.6,5.32,5.52,5.52,19400
2006-07-27,5.61,5.61,5.3,5.35,5.35,96013
2006-07-28,5.3,5.5,5,5.2,5.2,165027
2006-07-31,5.3,5.3,5.04,5.04,5.04,9400
2006-08-01,5.04,5.04,4.65,4.74,4.74,174284
2006-08-02,4.75,5.02,4.75,4.82,4.82,143059
2006-08-03,4.85,4.94,4.8,4.85,4.85,51784
2006-08-04,4.81,5.02,4.81,4.85,4.85,117692
2006-08-07,4.8,5.1,4.8,5.1,5.1,71194
2006-08-08,5.1,6.04,5.1,5.95,5.95,197394
2006-08-09,6.02,6.13,5.59,6.09,6.09,83118
2006-08-10,5.932,6.26,5.45,6.07,6.07,41267
2006-08-11,5.45,6.11,5.45,5.83,5.83,37188
2006-08-14,5.97,6.35,5.66,6.14,6.14,53596
2006-08-15,6.3,6.36,6.16,6.19,6.19,16182
2006-08-16,6.37,6.45,6.1,6.1,6.1,13837
2006-08-17,6.1,6.23,5.81,5.81,5.81,23901
2006-08-18,5.87,5.87,5.62,5.7,5.7,4328
2006-08-21,5.7,5.72,5.65,5.68,5.68,5983
2006-08-22,5.56,5.65,5.5,5.65,5.65,38395
2006-08-23,5.6,5.6,5.3,5.3,5.3,32238
2006-08-24,5.51,5.95,5.07,5.2,5.2,69954
2006-08-25,5.5,5.5,4.98,5.1,5.1,32115
2006-08-28,5.15,5.85,5.15,5.5,5.5,31418
2006-08-29,5.45,5.8,5.17,5.41,5.41,14115
2006-08-30,5.36,5.58,5.2554,5.52,5.52,9499
2006-08-31,5.52,5.99,5.52,5.62,5.62,15367
2006-09-01,5.8,5.8,5.52,5.75,5.75,12860
2006-09-05,6.32,6.32,5.62,5.73,5.73,15516
2006-09-06,5.8,5.8,5.56,5.58,5.58,6895
2006-09-07,5.57,5.57,5.18,5.29,5.29,179502
2006-09-08,5.15,5.48,5.11,5.48,5.48,207400
2006-09-11,5.32,5.34,5.27,5.29,5.29,4830
2006-09-12,5.28,5.35,5.26,5.29,5.29,9760
2006-09-13,5.35,5.37,5.17,5.3,5.3,46821
2006-09-14,5.4,5.54,5.25,5.49,5.49,171366
2006-09-15,5.5,5.51,5.41,5.5,5.5,105963
2006-09-18,5.6,5.75,5.51,5.74,5.74,47065
2006-09-19,5.75,6.17,5.67,5.89,5.89,11851
2006-09-20,5.71,6.57,5.71,6.45,6.45,80719
2006-09-21,6.53,6.73,6.4,6.64,6.64,116961
2006-09-22,6.5,6.55,6.05,6.14,6.14,15956
2006-09-25,6.56,6.57,5.76,6.06,6.06,17754
2006-09-26,6.1,6.34,6.1,6.22,6.22,29442
2006-09-27,6.35,6.75,6.12,6.5,6.5,21450
2006-09-28,6.7,6.7,6.17,6.2,6.2,137739
2006-09-29,6.2,6.2,5.55,5.7166,5.7166,13300
2006-10-02,5.6,5.6,4.68,4.75,4.75,346188
2006-10-03,4.85,5.28,4.6,4.67,4.67,258717
2006-10-04,4.67,4.7,4.5742,4.61,4.61,81279
2006-10-05,4.65,4.65,4.5,4.55,4.55,54710
2006-10-06,4.65,4.65,4.51,4.55,4.55,11747
2006-10-09,4,4.06,3.5,3.63,3.63,159621
2006-10-10,3.93,3.93,3.2,3.21,3.21,339935
2006-10-11,3.34,3.35,2.82,3.05,3.05,592401
2006-10-12,3.17,3.17,2.77,2.77,2.77,245345
2006-10-13,2.8,3.03,2.8,3,3,108114
2006-10-16,3.15,3.9,3,3.54,3.54,400978
2006-10-17,3.55,3.65,3.34,3.53,3.53,119761
2006-10-18,3.54,3.58,3.29,3.32,3.32,41012
2006-10-19,3.3,3.34,3.14,3.25,3.25,75255
2006-10-20,3.23,3.53,3.23,3.37,3.37,86763
2006-10-23,3.38,3.8,3.35,3.37,3.37,121413
2006-10-24,3.37,3.5,3.29,3.39,3.39,109239
2006-10-25,3.35,3.49,3.26,3.3,3.3,34197
2006-10-26,3.5,3.5,3.34,3.39,3.39,92701
2006-10-27,3.4,3.466,3.39,3.44,3.44,61922
2006-10-30,3.4,3.47,3.37,3.44,3.44,56577
2006-10-31,3.43,3.59,3.43,3.44,3.44,126668
2006-11-01,3.43,3.4736,3.34,3.352,3.352,26432
2006-11-02,3.36,3.41,3.06,3.09,3.09,40676
2006-11-03,3.2,3.33,3.13,3.3,3.3,59501
2006-11-06,3.27,3.31,3.05,3.1,3.1,79904
2006-11-07,3.13,3.21,3.13,3.21,3.21,87014
2006-11-08,3.12,3.2,3.1,3.12,3.12,280886
2006-11-09,3.09,3.2,3,3,3,54620
2006-11-10,3.1,3.33,2.9501,2.98,2.98,185898
2006-11-13,3,3.37,3,3.31,3.31,164393
2006-11-14,3.41,3.7,3.38,3.63,3.63,360568
2006-11-15,3.7,3.82,3.6,3.72,3.72,340988
2006-11-16,3.69,3.73,3.61,3.66,3.66,36833
2006-11-17,3.61,3.74,3.57,3.69,3.69,17737
2006-11-20,3.7,3.71,3.6,3.63,3.63,17220
2006-11-21,3.69,3.74,3.69,3.73,3.73,36301
2006-11-22,3.74,4.08,3.74,4,4,104725
2006-11-24,3.97,4.12,3.96,4,4,56415
2006-11-27,4,4.09,3.72,3.83,3.83,84960
2006-11-28,3.93,4.03,3.86,3.92,3.92,21048
2006-11-29,3.94,4.01,3.9,3.91,3.91,72352
2006-11-30,3.92,4.03,3.9,4.03,4.03,81451
2006-12-01,4.03,4.55,4.03,4.35,4.35,126771
2006-12-04,4.26,4.67,4.26,4.44,4.44,289740
2006-12-05,4.4,4.44,4.14,4.23,4.23,120503
2006-12-06,4.21,4.26,4.17,4.18,4.18,51498
2006-12-07,4.18,4.2299,4.0901,4.2,4.2,44604
2006-12-08,4.23,4.23,4.09,4.18,4.18,43792
2006-12-11,4.2301,4.25,4.05,4.13,4.13,43965
2006-12-12,4.17,4.1995,4.06,4.06,4.06,15177
2006-12-13,4,4.01,3.61,3.6588,3.6588,82811
2006-12-14,3.7,3.85,3.31,3.45,3.45,207851
2006-12-15,4.4,4.4,3.55,3.55,3.55,210170
2006-12-18,3.6,3.6,3.47,3.56,3.56,245120
2006-12-19,3.59,3.59,3.45,3.53,3.53,93450
2006-12-20,3.5,3.51,3.39,3.46,3.46,67832
2006-12-21,3.43,3.55,3.41,3.55,3.55,108548
2006-12-22,3.55,3.68,3.4766,3.65,3.65,48427
2006-12-26,3.7,3.78,3.58,3.76,3.76,61523
2006-12-27,3.85,3.88,3.7,3.8,3.8,34300
2006-12-28,3.8199,3.82,3.75,3.79,3.79,45848
2006-12-29,3.76,3.8825,3.734,3.734,3.734,31727
