,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,20.3,20.66,20.6,20.3,20.6,4700
1,2021-06-11,20.65,20.65,20.1,20.013,20.1,12700
2,2021-06-14,20.24,20.27,20.15,20.01,20.15,5300
3,2021-06-15,20.45,20.74,20.74,20.45,20.74,3100
4,2021-06-16,20.75,20.88,20.6,20.563,20.6,7600
5,2021-06-17,20.59,21.032,20.78,20.5,20.78,10700
6,2021-06-18,20.69,21.23,21.19,20.69,21.19,8800
7,2021-06-21,21.18,23.0,22.86,21.104,22.86,34400
8,2021-06-22,23.0,24.15,24.05,23.0,24.05,17400
9,2021-06-23,23.57,24.3,24.16,23.57,24.16,17700
10,2021-06-24,24.04,24.97,24.76,24.04,24.76,8000
11,2021-06-25,24.91,25.1,24.95,24.6,24.95,13600
12,2021-06-28,25.0,25.1995,24.75,24.44,24.75,9916
13,2021-06-29,24.06,25.48,23.15,23.01,23.15,21140
14,2021-06-30,23.0,25.66,25.64,23.0,25.64,24039
15,2021-07-01,25.7974,26.13,25.8,25.66,25.8,12288
16,2021-07-02,25.56,26.1,25.85,25.44,25.85,12200
17,2021-07-06,26.0,29.61,28.94,26.0,28.94,37600
18,2021-07-07,29.03,29.65,28.57,27.0,28.57,37600
19,2021-07-08,27.86,28.46,27.9,27.26,27.9,15100
20,2021-07-09,27.85,28.42,26.5,26.0,26.5,24700
21,2021-07-12,26.14,27.1199,26.11,26.11,26.11,12900
22,2021-07-13,26.06,26.325,25.12,24.73,25.12,30848
23,2021-07-14,25.32,25.92,25.58,25.13,25.58,11200
24,2021-07-15,25.73,26.082,25.98,25.35,25.98,18200
25,2021-07-16,25.9,26.3,24.52,23.22,24.52,27500
26,2021-07-19,24.74,24.74,24.03,23.33,24.03,8600
27,2021-07-20,24.47,24.97,24.97,24.06,24.97,17800
28,2021-07-21,24.61,25.6,25.23,24.5,25.23,17200
29,2021-07-22,25.09,25.8,24.97,24.97,24.97,8600
30,2021-07-23,25.36,25.666,25.43,25.33,25.43,7500
31,2021-07-26,25.05,25.61,24.93,24.93,24.93,162800
32,2021-07-27,25.14,25.53,24.689,24.52,24.689,14600
33,2021-07-28,24.48,25.35,25.28,24.0,25.28,25200
34,2021-07-29,25.1,25.75,24.05,24.05,24.05,18000
35,2021-07-30,24.0,24.51,23.86,23.8,23.86,10800
36,2021-08-02,24.28,24.99,23.91,23.74,23.91,18600
37,2021-08-03,24.23,24.93,23.6,23.59,23.6,6300
38,2021-08-04,24.0,24.52,23.73,23.17,23.73,19400
39,2021-08-05,26.6,26.6,26.1,25.57,26.1,24100
40,2021-08-06,26.02,26.6,26.32,26.02,26.32,8000
41,2021-08-09,26.3,26.7,26.7,26.01,26.7,12100
42,2021-08-10,26.63,27.31,26.855,26.5,26.855,7600
43,2021-08-11,27.0,27.55,27.48,27.0,27.48,9400
44,2021-08-12,27.48,27.483,26.87,26.4,26.87,11100
45,2021-08-13,26.69,26.69,25.86,25.78,25.86,10900
46,2021-08-16,25.19,25.2,24.36,23.76,24.36,22700
47,2021-08-17,23.85,24.129,23.62,23.57,23.62,5300
48,2021-08-18,23.5,23.5,23.28,23.17,23.28,5600
49,2021-08-19,23.3,23.58,23.37,23.1,23.37,18600
50,2021-08-20,23.47,23.513,23.3,23.3,23.3,4300
51,2021-08-23,23.5,23.997,23.8,23.486,23.8,6700
52,2021-08-24,23.962,24.46,24.11,23.962,24.11,3300
53,2021-08-25,23.78,24.361,23.45,23.45,23.45,5300
54,2021-08-26,23.5,23.5,23.26,23.01,23.26,4200
55,2021-08-27,23.14,23.77,23.32,23.14,23.32,5200
56,2021-08-30,23.21,23.32,22.96,22.75,22.96,10800
57,2021-08-31,23.1,23.513,23.15,22.8,23.15,16200
58,2021-09-01,23.41,23.73,23.72,23.321,23.72,8600
59,2021-09-02,23.73,24.31,23.38,22.95,23.38,27500
60,2021-09-03,23.5,23.984,23.5,23.38,23.5,6400
61,2021-09-07,23.5,24.6243,24.4,23.49,24.4,14806
