,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,36.87,37.48,37.44,36.61,37.0191,638839
1,2021-06-11,37.65,37.66,37.31,37.11,36.8906,437342
2,2021-06-14,37.57,37.74,37.71,37.12,37.2861,540930
3,2021-06-15,37.55,37.61,36.85,36.6503,36.4357,397558
4,2021-06-16,37.065,37.5,36.77,36.35,36.3566,472088
5,2021-06-17,36.8,37.73,37.56,36.51,37.1378,428526
6,2021-06-18,37.09,37.3,36.5,36.35,36.0897,1097668
7,2021-06-21,36.48,37.01,36.88,36.05,36.4654,386557
8,2021-06-22,36.91,37.29,36.98,36.55,36.5643,286594
9,2021-06-23,37.08,37.35,37.27,36.8301,36.851,301760
10,2021-06-24,37.39,37.6,36.9,36.55,36.4852,529568
11,2021-06-25,36.9,37.51,37.42,36.9,36.9993,409911
12,2021-06-28,37.69,37.9097,37.83,37.11,37.4047,619259
13,2021-06-29,37.91,38.21,37.81,37.52,37.3849,555506
14,2021-06-30,37.73,37.85,37.22,37.01,36.8016,407874
15,2021-07-01,37.24,37.75,37.72,37.02,37.296,420344
16,2021-07-02,37.83,38.2,38.12,37.56,37.6915,291693
17,2021-07-06,38.24,38.62,38.45,37.8,38.0178,374240
18,2021-07-07,38.61,38.87,38.51,38.1,38.0771,532756
19,2021-07-08,37.89,37.99,37.34,37.11,36.9202,431373
20,2021-07-09,37.5,37.53,37.33,36.78,36.9103,286043
21,2021-07-12,37.41,37.82,37.81,36.9,37.3849,501505
22,2021-07-13,38.25,38.86,37.81,37.79,37.3849,625064
23,2021-07-14,37.91,38.0,37.15,37.09,36.7324,434869
24,2021-07-15,37.0,37.01,36.78,36.305,36.3665,478713
25,2021-07-16,36.93,37.42,37.05,36.86,36.6335,611338
26,2021-07-19,36.65,36.65,36.24,35.45,35.8326,624016
27,2021-07-20,36.42,38.035,37.78,36.21,37.3553,489434
28,2021-07-21,37.84,39.05,38.73,37.84,38.2946,629470
29,2021-07-22,38.82,39.48,38.93,38.62,38.4924,441172
30,2021-07-23,38.97,39.2,39.17,38.36,38.7297,309148
31,2021-07-26,39.15,39.4,38.59,38.29,38.1562,305502
32,2021-07-27,38.47,39.22,39.15,38.17,38.7099,375760
33,2021-07-28,39.35,39.96,39.86,39.04,39.4119,339281
34,2021-07-29,39.98,40.52,40.36,39.7,39.9063,463947
35,2021-07-30,40.02,40.6,39.76,39.59,39.313,379571
36,2021-08-02,39.88,39.91,39.71,39.49,39.2636,347978
37,2021-08-03,39.81,40.54,40.31,39.49,39.8568,432335
38,2021-08-04,39.87,40.14,39.87,39.36,39.4218,507464
39,2021-08-05,39.87,39.96,38.83,38.58,38.3935,536872
40,2021-08-06,38.82,39.26,38.77,38.65,38.3342,359812
41,2021-08-09,38.9,39.0199,38.91,38.44,38.4726,698331
42,2021-08-10,38.98,39.48,39.39,38.72,38.9472,524287
43,2021-08-11,39.5,39.51,39.28,39.08,38.8384,286821
44,2021-08-12,39.19,39.255,39.04,38.57,38.6011,337056
45,2021-08-13,38.93,39.3,38.835,38.75,38.3984,324570
46,2021-08-16,38.83,39.115,38.11,38.04,37.6816,657944
47,2021-08-17,37.89,38.54,38.5,37.035,38.0672,1311039
48,2021-08-18,38.5,38.5,37.88,37.395,37.4542,505868
49,2021-08-19,37.78,38.02,37.91,37.46,37.4838,547779
50,2021-08-20,37.95,38.505,38.43,37.86,37.998,397234
51,2021-08-23,38.53,38.865,38.75,38.2,38.3144,515584
52,2021-08-24,38.9,38.97,38.59,38.55,38.1562,557542
53,2021-08-25,38.75,39.17,38.91,38.1,38.4726,350115
54,2021-08-26,38.72,39.025,38.03,38.03,37.6025,380683
55,2021-08-27,38.0,38.67,38.25,37.65,37.82,375600
56,2021-08-30,38.01,38.13,37.41,37.26,37.41,499800
57,2021-08-31,37.55,37.8,37.61,37.05,37.61,607000
58,2021-09-01,37.87,38.449,37.96,37.77,37.96,412000
59,2021-09-02,38.02,38.635,38.46,37.91,38.46,292300
60,2021-09-03,38.53,38.53,38.16,38.05,38.16,237600
61,2021-09-07,38.21,38.33,38.0,37.63,38.0,331613
