,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,4.57,4.57,4.4,4.28,4.4,33900
1,2021-06-11,4.4,4.5,4.32,4.32,4.32,44700
2,2021-06-14,4.37,4.68,4.47,4.33,4.47,95200
3,2021-06-15,4.55,4.55,4.43,4.35,4.43,32300
4,2021-06-16,4.41,5.0,4.99,4.39,4.99,289300
5,2021-06-17,5.0,5.01,4.84,4.63,4.84,173700
6,2021-06-18,4.8,5.0,4.9,4.77,4.9,160500
7,2021-06-21,5.05,5.1,4.86,4.67,4.86,277900
8,2021-06-22,4.9,4.98,4.86,4.6,4.86,169900
9,2021-06-23,4.87,5.05,4.6,4.32,4.6,410400
10,2021-06-24,4.6,4.61,4.49,4.32,4.49,114400
11,2021-06-25,4.4,4.55,4.55,4.38,4.55,88300
12,2021-06-28,4.49,4.54,4.2,4.18,4.2,85300
13,2021-06-29,4.22,4.23,4.11,4.08,4.11,66000
14,2021-06-30,4.07,4.23,3.97,3.84,3.97,116000
15,2021-07-01,3.95,4.05,3.91,3.89,3.91,21100
16,2021-07-02,3.93,4.04,3.86,3.72,3.86,68900
17,2021-07-06,3.8,3.87,3.73,3.7,3.73,56300
18,2021-07-07,3.71,3.72,3.52,3.45,3.52,137200
19,2021-07-08,3.45,3.83,3.57,3.45,3.57,46400
20,2021-07-09,3.57,3.74,3.71,3.57,3.71,18000
21,2021-07-12,3.77,3.87,3.63,3.6,3.63,31600
22,2021-07-13,3.66,3.66,3.53,3.5,3.53,33300
23,2021-07-14,3.54,3.63,3.35,3.3,3.35,60600
24,2021-07-15,3.4,3.53,3.36,3.29,3.36,45300
25,2021-07-16,3.36,3.47,3.37,3.25,3.37,50500
26,2021-07-19,3.34,3.51,3.5,3.3,3.5,29000
27,2021-07-20,3.55,3.7,3.63,3.4,3.63,82400
28,2021-07-21,3.71,3.75,3.69,3.62,3.69,39400
29,2021-07-22,3.71,3.75,3.65,3.58,3.65,31100
30,2021-07-23,3.66,3.72,3.71,3.51,3.71,27300
31,2021-07-26,3.57,3.76,3.36,3.35,3.36,69200
32,2021-07-27,3.36,3.49,3.26,3.22,3.26,124800
33,2021-07-28,3.3,3.47,3.45,3.3,3.45,29700
34,2021-07-29,3.5,3.55,3.39,3.32,3.39,25600
35,2021-07-30,3.39,3.41,3.32,3.27,3.32,21000
36,2021-08-02,3.44,3.44,3.41,3.32,3.41,19700
37,2021-08-03,3.4,3.49,3.49,3.31,3.49,15600
38,2021-08-04,3.42,3.58,3.47,3.37,3.47,31300
39,2021-08-05,3.51,3.56,3.49,3.42,3.49,30600
40,2021-08-06,3.49,3.53,3.48,3.45,3.48,16600
41,2021-08-09,3.45,3.5,3.45,3.44,3.45,24500
42,2021-08-10,3.44,3.47,3.33,3.31,3.33,32100
43,2021-08-11,3.33,3.39,3.19,3.17,3.19,55000
44,2021-08-12,3.26,3.3,3.24,3.18,3.24,31300
45,2021-08-13,3.3,3.3,3.1,2.96,3.1,91400
46,2021-08-16,3.11,3.11,3.06,2.98,3.06,20400
47,2021-08-17,3.03,3.07,2.92,2.92,2.92,40400
48,2021-08-18,2.96,2.99,2.9,2.82,2.9,47100
49,2021-08-19,2.77,2.99,2.85,2.77,2.85,50100
50,2021-08-20,2.9,3.08,2.9,2.9,2.9,119800
51,2021-08-23,2.89,3.07,2.94,2.89,2.94,79200
52,2021-08-24,2.99,3.08,2.95,2.9,2.95,36400
53,2021-08-25,2.96,3.06,2.95,2.9,2.95,38400
54,2021-08-26,2.94,3.06,2.95,2.92,2.95,28400
55,2021-08-27,2.95,3.02,2.92,2.92,2.92,78900
56,2021-08-30,2.95,2.99,2.95,2.9,2.95,40900
57,2021-08-31,2.93,2.99,2.95,2.9,2.95,42100
58,2021-09-01,2.95,3.05,2.95,2.85,2.95,172800
59,2021-09-02,2.98,3.34,3.33,2.95,3.33,75800
60,2021-09-03,3.32,3.33,3.26,3.22,3.26,31900
61,2021-09-07,3.2905,3.2905,3.0,2.9201,3.0,102951
