,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,32.85,32.97,32.916,32.84,32.916,12800
1,2021-06-11,32.945,32.966,32.966,32.94,32.966,600
2,2021-06-14,32.953,32.988,32.961,32.87,32.961,2300
3,2021-06-15,32.89,32.99,32.939,32.882,32.939,5700
4,2021-06-16,32.945,32.95,32.865,32.85,32.865,19500
5,2021-06-17,32.91,32.95,32.929,32.855,32.929,262200
6,2021-06-18,32.784,32.84,32.772,32.71,32.772,1700
7,2021-06-21,32.83,32.971,32.971,32.8,32.971,11200
8,2021-06-22,32.79,33.08,33.066,32.79,33.066,6100
9,2021-06-23,33.039,33.06,33.05,33.02,33.05,4600
10,2021-06-24,33.156,33.156,33.15,33.08,33.15,10500
11,2021-06-25,33.11,33.12,33.12,33.1,33.12,14300
12,2021-06-28,33.19,33.26,33.1981,33.14,33.1981,4428
13,2021-06-29,33.23,33.2786,33.203,33.14,33.203,7560
14,2021-06-30,33.19,33.27,33.218,33.12,33.218,21376
15,2021-07-01,33.17,33.33,33.22,33.17,33.22,8300
16,2021-07-02,33.3,33.33,33.326,33.25,33.326,11800
17,2021-07-06,33.22,33.2995,33.2995,33.22,33.2995,581
18,2021-07-07,33.325,33.37,33.35,33.23,33.35,8500
19,2021-07-08,33.06,33.2,33.2,33.06,33.2,6400
20,2021-07-09,33.28,33.3799,33.33,33.25,33.33,6312
21,2021-07-12,33.2714,33.368,33.3352,33.2714,33.3352,12578
22,2021-07-13,33.37,33.3799,33.32,33.26,33.32,2003
23,2021-07-14,33.368,33.37,33.325,33.27,33.325,7072
24,2021-07-15,33.379,33.379,33.298,33.2,33.298,9100
25,2021-07-16,33.29,33.33,33.17,33.17,33.17,900
26,2021-07-19,33.15,33.15,32.921,32.87,32.921,7600
27,2021-07-20,32.89,33.22,33.207,32.89,33.207,8000
28,2021-07-21,33.27,33.35,33.293,33.201,33.293,10700
29,2021-07-22,33.284,33.37,33.291,33.25,33.291,24100
30,2021-07-23,33.34,33.37,33.36,33.33,33.36,5600
31,2021-07-26,33.35,33.38,33.365,33.35,33.365,10600
32,2021-07-27,33.3,33.4,33.365,33.3,33.365,6200
33,2021-07-28,33.09,33.387,33.375,33.09,33.375,8000
34,2021-07-29,33.33,33.44,33.4393,33.3217,33.4393,23462
35,2021-07-30,33.31,33.405,33.389,33.31,33.389,3400
36,2021-08-02,33.26,33.438,33.34,33.26,33.34,8900
37,2021-08-03,33.42,33.465,33.465,33.415,33.465,2200
38,2021-08-04,33.43,33.46,33.46,33.43,33.46,6200
39,2021-08-05,33.51,33.51,33.471,33.41,33.471,11600
40,2021-08-06,33.12,33.493,33.493,33.12,33.493,3000
41,2021-08-09,33.5,33.51,33.51,33.46,33.51,9800
42,2021-08-10,33.52,33.55,33.485,33.47,33.485,27700
43,2021-08-11,33.5,33.575,33.575,33.5,33.575,88200
44,2021-08-12,33.54,33.573,33.563,33.52,33.563,10900
45,2021-08-13,33.56,33.6,33.59,33.55,33.59,8800
46,2021-08-16,33.58,33.59,33.58,33.51,33.58,5319
47,2021-08-17,33.57,33.57,33.5103,33.49,33.5103,18803
48,2021-08-18,33.53,33.54,33.432,33.39,33.432,12300
49,2021-08-19,33.04,33.43,33.43,33.04,33.43,6700
50,2021-08-20,33.49,33.49,33.48,33.45,33.48,5500
51,2021-08-23,33.5,33.6499,33.6,33.5,33.6,6050
52,2021-08-24,33.6899,33.6899,33.6701,33.56,33.6701,4365
53,2021-08-25,33.7,33.7,33.66,33.62,33.66,8700
54,2021-08-26,33.59,33.67,33.6,33.531,33.6,8800
55,2021-08-27,33.65,33.651,33.63,33.62,33.63,213700
56,2021-08-30,33.71,33.71,33.685,33.685,33.685,27100
57,2021-08-31,33.705,33.762,33.67,33.65,33.67,4400
58,2021-09-01,33.69,33.745,33.745,33.682,33.745,1200
59,2021-09-02,33.76,33.76,33.749,33.68,33.749,3000
60,2021-09-03,33.796,33.8,33.76,33.68,33.76,4400
61,2021-09-07,33.77,33.794,33.765,33.67,33.765,2940
