,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,42.11,42.8655,42.69,41.57,42.3947,566285
1,2021-06-11,43.0,43.0,42.41,42.17,42.1166,500505
2,2021-06-14,42.66,43.1,42.8,42.25,42.5039,735159
3,2021-06-15,42.8,42.8,41.65,41.63,41.3619,728064
4,2021-06-16,41.6,42.66,40.68,40.65,40.3986,1092811
5,2021-06-17,40.31,40.64,39.79,39.51,39.5148,860767
6,2021-06-18,39.76,40.12,39.69,39.46,39.4154,1537308
7,2021-06-21,39.98,40.66,40.29,39.31,40.0113,854202
8,2021-06-22,40.01,40.4614,40.42,39.64,40.1404,677434
9,2021-06-23,40.41,40.5,39.93,39.51,39.6538,822454
10,2021-06-24,40.1,40.19,39.05,38.69,38.7799,1147600
11,2021-06-25,39.05,40.66,40.33,39.0,40.051,15446330
12,2021-06-28,41.11,42.66,42.28,40.25,41.9875,1381909
13,2021-06-29,42.23,43.1,42.62,41.97,42.3252,750384
14,2021-06-30,42.62,42.68,41.94,41.16,41.6499,810687
15,2021-07-01,42.1,42.335,41.86,41.77,41.5704,448356
16,2021-07-02,42.17,42.305,41.98,41.6872,41.6896,565168
17,2021-07-06,41.94,42.19,42.09,41.26,41.7988,660494
18,2021-07-07,42.1,42.59,41.77,41.43,41.4811,563053
19,2021-07-08,40.89,41.27,40.51,40.32,40.2298,410697
20,2021-07-09,40.59,41.075,40.86,40.33,40.5773,314070
21,2021-07-12,41.15,41.15,40.26,40.15,39.9815,499805
22,2021-07-13,40.15,40.53,39.55,39.41,39.2764,641603
23,2021-07-14,39.54,39.69,39.3,39.15,39.0281,364560
24,2021-07-15,39.06,39.22,39.0,38.52,38.7302,542905
25,2021-07-16,38.99,39.4,38.9,38.6,38.6309,551049
26,2021-07-19,38.47,38.53,38.53,37.52,38.2635,890425
27,2021-07-20,38.43,40.04,39.97,38.33,39.6935,752627
28,2021-07-21,40.16,41.64,41.59,40.15,41.3023,791918
29,2021-07-22,41.56,41.96,41.93,40.96,41.6399,735922
30,2021-07-23,41.92,42.42,42.3,41.59,42.0074,504036
31,2021-07-26,42.02,42.36,41.39,41.12,41.1037,424449
32,2021-07-27,41.28,42.65,42.54,41.19,42.2457,718029
33,2021-07-28,42.53,44.13,43.91,42.07,43.6063,630796
34,2021-07-29,44.09,44.35,43.3,43.26,43.0005,522183
35,2021-07-30,42.85,43.555,42.44,42.21,42.1464,503668
36,2021-08-02,42.62,42.85,42.07,41.77,41.779,327366
37,2021-08-03,42.15,42.84,41.9,41.69,41.6102,526700
38,2021-08-04,41.77,42.25,42.12,41.6,41.8286,353656
39,2021-08-05,42.21,43.22,43.21,42.1886,42.9111,639446
40,2021-08-06,42.83,42.98,41.82,41.77,41.5307,466576
41,2021-08-09,41.5,42.08,41.78,41.29,41.491,338684
42,2021-08-10,41.73,42.16,42.08,41.67,41.7889,384981
43,2021-08-11,42.59,42.99,42.48,42.103,42.1861,475517
44,2021-08-12,42.6,42.605,42.2,41.805,41.9081,459235
45,2021-08-13,41.9,42.06,41.3,41.14,41.0143,330874
46,2021-08-16,41.18,41.86,41.63,40.97,41.342,328379
47,2021-08-17,41.16,41.57,41.03,40.76,40.7462,447128
48,2021-08-18,41.45,41.45,41.04,40.55,40.7561,211251
49,2021-08-19,40.69,41.38,41.34,40.42,41.054,371860
50,2021-08-20,41.34,43.12,43.04,41.13,42.7423,469154
51,2021-08-23,43.4,43.98,43.88,43.09,43.5765,400437
52,2021-08-24,44.0,44.72,44.61,43.77,44.3014,562609
53,2021-08-25,44.82,44.9,44.73,44.25,44.4206,358584
54,2021-08-26,44.53,44.89,44.64,44.34,44.3312,232770
55,2021-08-27,44.66,44.74,43.91,43.87,43.6063,361952
56,2021-08-30,43.75,44.66,44.27,43.6108,44.27,303481
57,2021-08-31,44.37,44.4134,43.81,43.55,43.81,269803
58,2021-09-01,44.0,44.58,44.33,43.89,44.33,208779
59,2021-09-02,44.44,45.429,45.1,44.3,45.1,336233
60,2021-09-03,45.05,45.35,44.31,44.21,44.31,198153
61,2021-09-07,44.16,44.34,44.06,43.69,44.06,317356
