,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,154.36,156.68,155.93,152.5,155.93,636200
1,2021-06-11,155.08,157.545,157.34,153.13,157.34,774800
2,2021-06-14,157.72,159.1,157.05,155.907,157.05,776600
3,2021-06-15,155.78,159.7,159.4,153.775,159.4,1155600
4,2021-06-16,159.4,163.97,162.62,157.37,162.62,1274800
5,2021-06-17,162.0,173.66,172.74,161.75,172.74,1457700
6,2021-06-18,170.08,179.85,178.5,169.5,178.5,1441500
7,2021-06-21,175.71,184.76,181.23,173.52,181.23,1281600
8,2021-06-22,181.0,188.51,186.61,180.5,186.61,857900
9,2021-06-23,186.61,191.8,189.97,186.55,189.97,661900
10,2021-06-24,190.0,192.5,187.23,185.5,187.23,1101400
11,2021-06-25,188.93,189.75,189.46,180.99,189.46,2053500
12,2021-06-28,190.0,192.89,186.6,183.49,186.6,1081500
13,2021-06-29,187.0,188.9,186.38,184.4,186.38,990700
14,2021-06-30,186.01,186.315,183.18,182.06,183.18,875400
15,2021-07-01,181.0,184.8,179.85,177.88,179.85,955900
16,2021-07-02,181.6,185.0,184.7,180.0,184.7,764600
17,2021-07-06,183.98,189.94,188.36,179.83,188.36,1630200
18,2021-07-07,190.2,194.8,189.53,186.5,189.53,1150100
19,2021-07-08,183.44,189.32,188.81,180.345,188.81,1537200
20,2021-07-09,186.99,191.16,190.61,186.86,190.61,704000
21,2021-07-12,191.96,194.64,190.99,187.09,190.99,1068000
22,2021-07-13,189.98,195.655,191.11,187.13,191.11,1721600
23,2021-07-14,195.52,197.71,187.2,185.74,187.2,1643700
24,2021-07-15,187.0,190.7,179.65,178.07,179.65,2759100
25,2021-07-16,180.76,184.5,182.0,176.5,182.0,985800
26,2021-07-19,179.3,190.12,188.54,175.958,188.54,1727600
27,2021-07-20,190.07,197.26,194.41,185.08,194.41,1221400
28,2021-07-21,194.06,200.83,200.42,192.0,200.42,988900
29,2021-07-22,202.0,204.49,203.04,199.415,203.04,704900
30,2021-07-23,204.67,208.49,208.14,201.65,208.14,831000
31,2021-07-26,206.98,211.155,204.8,204.04,204.8,814400
32,2021-07-27,205.78,205.78,203.3,192.53,203.3,891000
33,2021-07-28,204.86,209.76,207.86,203.31,207.86,541700
34,2021-07-29,206.79,211.85,205.82,205.375,205.82,504100
35,2021-07-30,203.78,208.18,206.82,203.254,206.82,607500
36,2021-08-02,207.18,209.65,207.05,201.98,207.05,362600
37,2021-08-03,206.02,208.296,207.45,203.745,207.45,451300
38,2021-08-04,208.01,209.0,205.95,203.615,205.95,773300
39,2021-08-05,206.25,211.2,208.92,205.76,208.92,610000
40,2021-08-06,207.35,209.77,202.92,200.06,202.92,848400
41,2021-08-09,203.82,204.81,202.45,201.49,202.45,1006100
42,2021-08-10,203.1,204.88,199.73,196.86,199.73,864700
43,2021-08-11,199.66,200.45,198.64,192.82,198.64,915000
44,2021-08-12,196.68,205.23,204.33,194.74,204.33,727400
45,2021-08-13,204.0,208.72,207.85,202.77,207.85,819700
46,2021-08-16,206.06,206.385,200.59,194.52,200.59,1222000
47,2021-08-17,198.44,199.74,196.9,191.32,196.9,1032800
48,2021-08-18,197.77,208.89,204.92,196.26,204.92,1241500
49,2021-08-19,207.03,211.68,205.91,204.32,205.91,893600
50,2021-08-20,204.93,210.85,209.35,204.53,209.35,833300
51,2021-08-23,210.15,219.0,217.35,209.0,217.35,1006500
52,2021-08-24,218.8,221.19,217.17,215.15,217.17,1168500
53,2021-08-25,220.21,221.98,219.41,215.9,219.41,645100
54,2021-08-26,219.87,222.79,219.05,217.6,219.05,1041200
55,2021-08-27,249.03,288.88,283.98,237.0,283.98,10694200
56,2021-08-30,290.0,291.17,282.08,270.0,282.08,2502700
57,2021-08-31,278.25,281.58,274.39,272.0,274.39,2332100
58,2021-09-01,273.15,282.49,277.13,273.014,277.13,1256100
59,2021-09-02,278.49,292.61,287.46,277.2,287.46,1483800
60,2021-09-03,289.15,299.15,297.14,287.04,297.14,1734700
61,2021-09-07,297.5,299.68,294.4,289.134,294.4,1770142
