Date,Open,High,Low,Close,AdjustedClose,Volume
2019-01-02,24.92,25.3,24.92,25.2395,25.2395,419170
2019-01-03,25.15,25.15,24.81,24.82,24.82,67300
2019-01-04,25.11,25.47,25,25.401,25.401,87100
2019-01-07,25.46,25.68,25.44,25.57,25.57,73700
2019-01-08,25.66,25.769,25.54,25.765,25.765,49700
2019-01-09,25.76,25.92,25.75,25.826,25.826,29400
2019-01-10,25.75,25.89,25.701,25.86,25.86,32200
2019-01-11,25.83,25.93,25.83,25.886,25.886,20400
2019-01-14,25.97,25.97,25.804,25.87,25.87,13700
2019-01-15,25.82,26.09,25.82,26.027,26.027,21100
2019-01-16,26.1,26.19,26.02,26.02,26.02,30700
2019-01-17,26.14,26.256,26.117,26.211,26.211,35300
2019-01-18,26.39,26.51,26.368,26.451,26.451,11300
2019-01-22,26.43,26.43,26.05,26.25,26.25,50200
2019-01-23,26.293,26.293,26.14,26.225,26.225,19100
2019-01-24,26.3,26.3,26.2,26.294,26.294,4100
2019-01-25,26.46,26.53,26.4,26.433,26.433,30400
2019-01-28,26.224,26.33,26.22,26.278,26.278,42700
2019-01-29,26.32,26.325,26.236,26.236,26.236,8800
2019-01-30,26.44,26.61,26.386,26.566,26.566,5800
2019-01-31,26.63,26.8,26.63,26.772,26.772,42200
2019-02-01,26.8,26.8,26.68,26.745,26.745,20700
2019-02-04,26.82,26.85,26.8,26.85,26.85,20500
2019-02-05,26.965,27.04,26.928,26.977,26.977,17300
2019-02-06,27.02,27.04,26.96,26.982,26.982,7900
2019-02-07,26.84,26.84,26.64,26.786,26.786,35300
2019-02-08,26.75,26.81,26.729,26.81,26.81,6900
2019-02-11,26.94,26.94,26.82,26.9,26.9,8500
2019-02-12,27.12,27.14,27.04,27.108,27.108,18400
2019-02-13,27.185,27.215,27.099,27.099,27.099,34300
2019-02-14,27.06,27.133,27.034,27.1,27.1,13700
2019-02-15,27.212,27.3,27.212,27.264,27.264,5600
2019-02-19,27.28,27.319,27.28,27.319,27.319,700
2019-02-20,27.36,27.41,27.34,27.39,27.39,3000
2019-02-21,27.297,27.37,27.287,27.306,27.306,11700
2019-02-22,27.436,27.438,27.436,27.438,27.438,1000
2019-02-25,27.55,27.55,27.47,27.47,27.47,4800
2019-02-26,27.451,27.465,27.39,27.436,27.436,22200
2019-02-27,27.36,27.48,27.35,27.455,27.455,3400
