,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,7.32,7.51,7.3,7.22,7.3,1409900
1,2021-06-11,7.76,8.51,8.49,7.74,8.49,6330400
2,2021-06-14,8.54,8.74,8.57,8.32,8.57,2557100
3,2021-06-15,8.57,8.9,8.74,8.56,8.74,3677400
4,2021-06-16,8.76,8.85,8.75,8.62,8.75,2318200
5,2021-06-17,8.83,8.95,8.74,8.5,8.74,2591000
6,2021-06-18,8.64,8.66,8.33,8.27,8.33,1899200
7,2021-06-21,8.39,8.49,8.42,8.2,8.42,2726100
8,2021-06-22,8.39,8.63,8.6,8.27,8.6,1120700
9,2021-06-23,8.73,8.83,8.73,8.64,8.73,1024400
10,2021-06-24,8.76,8.79,8.62,8.48,8.62,676900
11,2021-06-25,8.58,8.63,8.3,8.27,8.3,2895000
12,2021-06-28,8.39,8.51,8.48,8.26,8.48,955900
13,2021-06-29,8.48,8.93,8.23,8.21,8.23,5283500
14,2021-06-30,8.14,8.27,7.9,7.86,7.9,3598800
15,2021-07-01,8.0,8.19,8.17,7.91,8.17,2198800
16,2021-07-02,8.17,8.32,8.24,8.12,8.24,611100
17,2021-07-06,8.17,8.2,8.14,7.94,8.14,1797700
18,2021-07-07,8.07,8.21,8.09,7.93,8.09,1127000
19,2021-07-08,7.92,8.35,8.17,7.83,8.17,1016100
20,2021-07-09,8.29,8.49,8.39,8.2,8.39,990900
21,2021-07-12,8.5,8.59,8.59,8.21,8.59,1137200
22,2021-07-13,8.62,8.79,8.43,8.38,8.43,1197500
23,2021-07-14,8.48,8.55,8.28,8.24,8.28,1049800
24,2021-07-15,8.23,8.44,8.34,8.09,8.34,1610800
25,2021-07-16,8.43,8.48,8.16,8.15,8.16,1205600
26,2021-07-19,7.89,8.04,7.86,7.67,7.86,1480000
27,2021-07-20,7.84,8.35,8.16,7.83,8.16,1734500
28,2021-07-21,8.24,8.44,8.28,8.21,8.28,1572900
29,2021-07-22,8.24,8.27,7.83,7.78,7.83,1158100
30,2021-07-23,7.84,7.87,7.8,7.68,7.8,835600
31,2021-07-26,7.84,7.92,7.89,7.68,7.89,1239300
32,2021-07-27,7.89,7.89,7.77,7.57,7.77,1023500
33,2021-07-28,7.79,7.85,7.69,7.54,7.69,1009300
34,2021-07-29,7.74,7.82,7.72,7.59,7.72,991600
35,2021-07-30,7.65,7.72,7.52,7.44,7.52,1363600
36,2021-08-02,7.51,7.74,7.5,7.36,7.5,1342700
37,2021-08-03,7.55,7.56,7.39,7.35,7.39,1210700
38,2021-08-04,7.28,7.35,7.2,7.09,7.2,1563700
39,2021-08-05,7.26,7.34,7.3,7.07,7.3,3040100
40,2021-08-06,7.14,7.2,7.0,6.52,7.0,3807900
41,2021-08-09,6.88,6.89,6.79,6.5,6.79,2301600
42,2021-08-10,6.75,6.84,6.63,6.57,6.63,2279000
43,2021-08-11,6.6,6.66,6.64,6.51,6.64,1104700
44,2021-08-12,6.64,6.67,6.62,6.52,6.62,1188400
45,2021-08-13,6.62,6.67,6.6,6.54,6.6,750000
46,2021-08-16,6.56,6.59,6.55,6.49,6.55,1015500
47,2021-08-17,6.45,6.58,6.51,6.4,6.51,1242200
48,2021-08-18,6.5,6.57,6.39,6.38,6.39,1050100
49,2021-08-19,6.31,6.41,6.39,6.19,6.39,1696400
50,2021-08-20,6.36,6.41,6.39,6.25,6.39,1176500
51,2021-08-23,6.45,6.53,6.5,6.34,6.5,878900
52,2021-08-24,6.5,6.76,6.73,6.5,6.73,1046000
53,2021-08-25,6.73,6.79,6.68,6.65,6.68,724200
54,2021-08-26,6.64,6.72,6.54,6.53,6.54,747600
55,2021-08-27,6.54,6.9,6.83,6.52,6.83,1116600
56,2021-08-30,6.9,6.9,6.84,6.75,6.84,849600
57,2021-08-31,6.85,7.36,7.3,6.76,7.3,4525700
58,2021-09-01,7.27,7.36,7.14,7.09,7.14,1570300
59,2021-09-02,7.19,7.26,7.12,7.12,7.12,743000
60,2021-09-03,7.07,7.07,6.95,6.81,6.95,1198300
61,2021-09-07,6.91,7.0,6.89,6.76,6.89,1367063
