,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,65.55,67.7,67.39,65.42,66.8958,15019347
1,2021-06-11,67.89,67.94,67.34,66.78,66.8462,9541745
2,2021-06-14,67.32,67.45,67.29,66.65,66.7966,5426846
3,2021-06-15,67.5,67.5699,67.42,66.916,66.9256,6247883
4,2021-06-16,67.42,67.86,66.92,66.8379,66.4293,10795510
5,2021-06-17,67.03,67.17,66.77,66.23,66.2804,8841491
6,2021-06-18,66.4,66.73,66.47,65.78,65.9826,15038504
7,2021-06-21,66.61,67.16,66.83,66.48,66.3399,10195528
8,2021-06-22,66.75,66.79,65.94,65.71,65.4565,9458979
9,2021-06-23,66.15,66.22,65.26,65.24,64.7814,7473095
10,2021-06-24,65.46,66.21,65.85,65.41,65.3671,6742227
11,2021-06-25,65.93,67.09,66.74,65.71,66.2506,22602671
12,2021-06-28,66.72,66.99,66.4,66.12,65.9131,8769900
13,2021-06-29,66.4,66.61,66.27,66.09,65.784,5328300
14,2021-06-30,66.31,67.16,66.82,66.19,66.33,10119900
15,2021-07-01,66.42,66.74,66.56,66.25,66.56,8425600
16,2021-07-02,66.76,66.98,66.95,66.33,66.95,6884400
17,2021-07-06,66.68,66.81,66.65,66.05,66.65,9573200
18,2021-07-07,66.77,67.19,67.14,66.22,67.14,7936400
19,2021-07-08,66.65,66.8,66.69,66.07,66.69,11434800
20,2021-07-09,66.7,67.57,67.16,66.7,67.16,8895300
21,2021-07-12,67.06,67.86,67.5,67.0,67.5,7978900
22,2021-07-13,67.22,67.61,67.44,67.01,67.44,5535600
23,2021-07-14,67.53,67.99,67.88,67.2,67.88,7132800
24,2021-07-15,67.65,67.94,67.43,67.12,67.43,7473000
25,2021-07-16,67.44,67.58,67.3,66.82,67.3,6381400
26,2021-07-19,66.8,67.26,66.36,65.78,66.36,11138100
27,2021-07-20,66.5,67.67,66.72,66.44,66.72,8710000
28,2021-07-21,67.11,67.24,67.16,66.56,67.16,5796400
29,2021-07-22,67.14,68.0,67.96,66.93,67.96,11068400
30,2021-07-23,68.0,68.53,68.34,67.8,68.34,7091800
31,2021-07-26,68.22,68.34,67.69,67.49,67.69,8306000
32,2021-07-27,67.26,67.72,67.49,67.05,67.49,11190400
33,2021-07-28,67.6,68.99,68.73,67.01,68.73,11625900
34,2021-07-29,69.0,69.27,68.15,68.05,68.15,8963700
35,2021-07-30,68.15,68.52,67.87,67.49,67.87,10007300
36,2021-08-02,68.2,68.7,68.02,67.96,68.02,6562100
37,2021-08-03,68.3,69.33,69.31,68.0,69.31,8780200
38,2021-08-04,68.93,69.34,68.49,68.45,68.49,5857300
39,2021-08-05,68.67,68.76,68.42,67.97,68.42,5484300
40,2021-08-06,68.39,68.4,68.12,67.76,68.12,6632500
41,2021-08-09,68.2,68.33,67.38,67.22,67.38,8154100
42,2021-08-10,67.44,67.57,67.38,66.77,67.38,7415300
43,2021-08-11,67.53,67.73,66.87,66.75,66.87,5768900
44,2021-08-12,66.77,67.22,66.95,66.6,66.95,5722900
45,2021-08-13,67.01,67.83,67.51,66.98,67.51,4900600
46,2021-08-16,67.51,68.7,68.68,67.5,68.68,6753600
47,2021-08-17,68.68,69.16,68.96,68.21,68.96,7560300
48,2021-08-18,68.99,69.07,67.93,67.86,67.93,6863800
49,2021-08-19,67.65,69.11,68.51,67.56,68.51,11707400
50,2021-08-20,68.71,69.35,69.2,68.3,69.2,9052700
51,2021-08-23,69.26,69.75,68.94,68.88,68.94,7988800
52,2021-08-24,68.84,68.85,68.52,68.19,68.52,5125100
53,2021-08-25,68.26,68.31,67.6,67.3,67.6,7639700
54,2021-08-26,67.43,67.76,66.99,66.95,66.99,4697700
55,2021-08-27,67.08,67.22,66.6,66.58,66.6,6860400
56,2021-08-30,66.71,67.48,67.21,66.51,67.21,4257400
57,2021-08-31,67.05,67.65,66.86,66.77,66.86,8502700
58,2021-09-01,67.29,67.29,65.81,65.44,65.81,10320400
59,2021-09-02,65.97,66.12,66.12,65.5,66.12,7064400
60,2021-09-03,65.97,65.97,65.61,65.29,65.61,7770800
61,2021-09-07,65.44,65.56,65.19,64.65,65.19,8789056
