,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,13.61,13.86,13.73,13.57,13.73,274700
1,2021-06-11,13.83,14.1,14.07,13.74,14.07,233100
2,2021-06-14,14.05,14.41,14.39,14.03,14.39,285600
3,2021-06-15,14.44,14.48,14.3,14.12,14.3,349900
4,2021-06-16,14.28,14.44,14.21,14.02,14.21,347000
5,2021-06-17,14.18,14.41,14.27,14.14,14.27,320000
6,2021-06-18,14.11,14.37,13.92,13.86,13.92,409300
7,2021-06-21,13.98,13.99,13.88,13.73,13.88,330900
8,2021-06-22,13.91,14.1,14.05,13.74,14.05,329600
9,2021-06-23,14.1,14.28,14.2,14.02,14.2,203600
10,2021-06-24,14.21,14.66,14.52,14.21,14.52,919700
11,2021-06-25,14.6,14.6,14.44,14.41,14.44,1244900
12,2021-06-28,14.51,14.59,14.5,14.29,14.5,247500
13,2021-06-29,14.53,14.81,14.39,14.35,14.39,292000
14,2021-06-30,14.37,14.62,14.1,14.08,14.1,177000
15,2021-07-01,14.07,14.27,14.17,13.98,14.17,206500
16,2021-07-02,14.23,14.3,13.82,13.82,13.82,160400
17,2021-07-06,13.8,13.84,13.78,13.63,13.78,188900
18,2021-07-07,13.81,13.84,13.32,13.27,13.32,359400
19,2021-07-08,13.13,13.19,13.05,12.99,13.05,578300
20,2021-07-09,13.17,13.37,13.32,13.04,13.32,392900
21,2021-07-12,13.34,13.67,13.42,13.26,13.42,172500
22,2021-07-13,13.33,13.38,13.07,13.03,13.07,146100
23,2021-07-14,13.11,13.12,13.0,12.86,13.0,295200
24,2021-07-15,12.95,13.0,12.75,12.67,12.75,194800
25,2021-07-16,12.85,12.92,12.79,12.75,12.79,172800
26,2021-07-19,12.6,12.93,12.69,12.52,12.69,179800
27,2021-07-20,12.7,13.37,13.12,12.56,13.12,383600
28,2021-07-21,13.15,13.41,13.32,13.0,13.32,124500
29,2021-07-22,13.34,13.42,13.14,13.08,13.14,139500
30,2021-07-23,13.21,13.21,13.07,12.91,13.07,104500
31,2021-07-26,13.13,13.3,13.14,12.98,13.14,116200
32,2021-07-27,13.08,13.09,13.07,12.82,13.07,192100
33,2021-07-28,13.16,13.37,13.27,13.01,13.27,122400
34,2021-07-29,13.3,13.45,13.24,13.05,13.24,101600
35,2021-07-30,13.26,13.33,13.16,13.0,13.16,96900
36,2021-08-02,13.16,13.22,13.06,13.0,13.06,152900
37,2021-08-03,13.13,13.13,12.87,12.82,12.87,189700
38,2021-08-04,12.03,12.12,11.62,11.18,11.62,886300
39,2021-08-05,11.6,12.02,11.5,11.49,11.5,577900
40,2021-08-06,11.72,11.76,11.56,11.37,11.56,1986300
41,2021-08-09,11.5,12.03,11.98,11.5,11.98,244300
42,2021-08-10,12.46,12.46,12.1,11.68,12.1,371900
43,2021-08-11,12.01,12.45,12.27,12.01,12.27,346200
44,2021-08-12,12.16,12.29,11.73,11.71,11.73,180100
45,2021-08-13,11.69,11.73,11.49,11.46,11.49,304400
46,2021-08-16,11.38,11.52,11.37,11.35,11.37,243000
47,2021-08-17,11.25,11.44,11.43,11.24,11.43,238000
48,2021-08-18,11.42,11.82,11.49,11.41,11.49,190300
49,2021-08-19,11.36,11.48,11.33,11.18,11.33,191800
50,2021-08-20,11.26,11.64,11.59,11.22,11.59,228200
51,2021-08-23,11.64,12.05,12.05,11.64,12.05,109200
52,2021-08-24,12.03,12.28,11.98,11.94,11.98,149300
53,2021-08-25,11.97,12.12,11.9,11.55,11.9,131100
54,2021-08-26,11.88,11.96,11.59,11.56,11.59,177400
55,2021-08-27,11.62,12.03,11.84,11.62,11.84,225100
56,2021-08-30,11.96,12.22,12.2,11.91,12.2,156300
57,2021-08-31,12.17,12.33,12.07,12.04,12.07,121800
58,2021-09-01,12.14,12.23,11.93,11.85,11.93,185700
59,2021-09-02,12.01,12.01,11.95,11.78,11.95,100200
60,2021-09-03,11.96,11.96,11.85,11.68,11.85,171300
61,2021-09-07,11.8,11.86,11.61,11.52,11.61,150322
