,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.01,10.05,10.05,9.985,10.05,2600
1,2021-06-11,10.05,10.05,10.05,10.05,10.05,0
2,2021-06-14,10.07,10.07,10.07,10.07,10.07,500
3,2021-06-15,10.07,10.07,10.07,10.07,10.07,200
4,2021-06-16,10.0,10.08,10.07,10.0,10.07,12000
5,2021-06-17,9.95,10.06,10.06,9.95,10.06,900
6,2021-06-18,10.04,10.04,10.02,10.0,10.02,1700
7,2021-06-21,10.02,10.02,10.02,10.02,10.02,0
8,2021-06-22,10.01,10.022,10.01,10.01,10.01,1000
9,2021-06-23,10.04,10.1,10.08,10.04,10.08,88300
10,2021-06-24,10.08,10.13,10.13,10.08,10.13,19400
11,2021-06-25,10.1,10.11,10.1,10.08,10.1,108100
12,2021-06-28,10.08,10.0801,10.08,10.08,10.08,2211
13,2021-06-29,10.08,10.12,10.12,10.08,10.12,17195
14,2021-06-30,10.13,10.13,10.13,10.12,10.13,1618
15,2021-07-01,10.13,10.155,10.155,10.13,10.155,8000
16,2021-07-02,10.16,10.17,10.151,10.151,10.151,3500
17,2021-07-06,10.151,10.151,10.151,10.151,10.151,0
18,2021-07-07,10.14,10.14,10.134,10.134,10.134,1500
19,2021-07-08,10.134,10.134,10.134,10.134,10.134,0
20,2021-07-09,10.108,10.108,10.089,10.089,10.089,1800
21,2021-07-12,10.14,10.14,10.14,10.14,10.14,2000
22,2021-07-13,10.13,10.135,10.09,10.09,10.09,25200
23,2021-07-14,10.09,10.11,10.09,10.09,10.09,3300
24,2021-07-15,10.1,10.1,10.07,10.07,10.07,13100
25,2021-07-16,10.07,10.11,10.09,10.07,10.09,8900
26,2021-07-19,10.05,10.19,10.03,10.025,10.03,39900
27,2021-07-20,10.03,10.03,10.01,9.99,10.01,130300
28,2021-07-21,10.172,10.2,10.15,10.08,10.15,7600
29,2021-07-22,10.2,10.2,10.05,10.05,10.05,52600
30,2021-07-23,10.05,10.05,10.05,10.05,10.05,0
31,2021-07-26,10.09,10.1,10.09,10.08,10.09,4600
32,2021-07-27,10.09,10.09,10.09,10.09,10.09,0
33,2021-07-28,10.125,10.125,10.06,10.06,10.06,1800
34,2021-07-29,10.06,10.06,10.06,10.06,10.06,600
35,2021-07-30,10.025,10.025,10.025,10.025,10.025,62300
36,2021-08-02,10.085,10.085,10.03,10.0,10.03,28100
37,2021-08-03,10.01,10.01,10.01,10.01,10.01,500
38,2021-08-04,10.02,10.02,10.0,10.0,10.0,7300
39,2021-08-05,9.97,9.97,9.97,9.97,9.97,1000
40,2021-08-06,10.005,10.005,10.005,10.005,10.005,200
41,2021-08-09,10.005,10.005,10.005,10.005,10.005,0
42,2021-08-10,10.005,10.005,10.005,10.005,10.005,0
43,2021-08-11,9.96,9.96,9.96,9.96,9.96,200
44,2021-08-12,9.97,10.0,10.0,9.97,10.0,2200
45,2021-08-13,10.0,10.0,10.0,10.0,10.0,0
46,2021-08-16,9.975,10.0,10.0,9.94,10.0,10800
47,2021-08-17,10.0,10.0,10.0,10.0,10.0,0
48,2021-08-18,9.93,9.942,9.942,9.93,9.942,1700
49,2021-08-19,9.95,9.95,9.9,9.9,9.9,26000
50,2021-08-20,9.9,9.91,9.89,9.89,9.89,157000
51,2021-08-23,9.89,9.9,9.89,9.89,9.89,49200
52,2021-08-24,9.88,9.89,9.88,9.88,9.88,8800
53,2021-08-25,9.88,9.88,9.88,9.88,9.88,10000
54,2021-08-26,9.88,9.88,9.88,9.88,9.88,0
55,2021-08-27,9.99,9.99,9.99,9.99,9.99,4500
56,2021-08-30,9.9,9.94,9.93,9.86,9.93,20100
57,2021-08-31,9.93,9.93,9.93,9.93,9.93,0
58,2021-09-01,9.94,9.94,9.92,9.92,9.92,6400
59,2021-09-02,9.92,9.92,9.92,9.92,9.92,0
60,2021-09-03,9.92,9.92,9.92,9.92,9.92,0
61,2021-09-07,9.415,9.884,9.884,9.415,9.884,300
