,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,38.74,38.9994,37.96,37.14,37.96,264045
1,2021-06-11,38.07,38.37,37.86,37.17,37.86,134200
2,2021-06-14,37.93,38.8,38.36,37.87,38.36,238100
3,2021-06-15,38.22,38.3,37.32,36.83,37.32,169900
4,2021-06-16,37.01,37.66,36.64,35.68,36.64,219200
5,2021-06-17,36.56,37.83,37.51,35.927,37.51,148200
6,2021-06-18,37.03,37.89,37.79,36.56,37.79,439900
7,2021-06-21,37.79,38.57,38.24,37.43,38.24,173100
8,2021-06-22,38.35,38.54,36.85,36.21,36.85,234900
9,2021-06-23,32.6,32.9,31.68,30.75,31.68,2382200
10,2021-06-24,32.1,32.45,31.11,30.9,31.11,868700
11,2021-06-25,31.45,31.51,31.08,30.73,31.08,930800
12,2021-06-28,31.5,32.09,31.24,31.1,31.24,634100
13,2021-06-29,31.31,31.63,30.63,30.55,30.63,643100
14,2021-06-30,30.09,30.54,29.06,28.34,29.06,1469200
15,2021-07-01,29.38,29.72,28.61,28.43,28.61,633500
16,2021-07-02,28.63,28.985,27.97,27.27,27.97,590100
17,2021-07-06,27.97,28.0,27.55,26.81,27.55,421400
18,2021-07-07,27.64,27.84,27.25,26.606,27.25,373800
19,2021-07-08,26.8,27.6,26.75,26.37,26.75,558500
20,2021-07-09,26.85,28.01,27.96,26.22,27.96,317517
21,2021-07-12,27.75,28.2,27.91,27.58,27.91,235013
22,2021-07-13,27.64,27.94,26.06,26.01,26.06,383229
23,2021-07-14,26.2,26.93,26.5,25.91,26.5,611300
24,2021-07-15,26.48,27.278,26.76,26.01,26.76,262000
25,2021-07-16,26.82,27.27,27.19,26.172,27.19,505600
26,2021-07-19,26.615,27.95,26.96,26.615,26.96,348500
27,2021-07-20,26.79,27.64,27.49,26.35,27.49,339900
28,2021-07-21,27.39,27.46,26.62,26.49,26.62,245400
29,2021-07-22,26.6,26.82,25.94,25.83,25.94,295400
30,2021-07-23,25.78,25.78,24.86,24.72,24.86,255600
31,2021-07-26,24.64,24.85,24.23,23.79,24.23,469900
32,2021-07-27,24.27,26.001,25.26,24.0,25.26,494100
33,2021-07-28,25.56,26.846,26.74,25.28,26.74,319500
34,2021-07-29,26.97,27.17,26.08,25.27,26.08,321800
35,2021-07-30,25.99,26.4,25.59,25.33,25.59,170000
36,2021-08-02,25.62,26.34,25.95,25.23,25.95,201100
37,2021-08-03,26.07,26.1,25.49,25.0,25.49,241000
38,2021-08-04,25.36,26.216,25.63,25.167,25.63,161100
39,2021-08-05,25.55,26.56,26.34,25.49,26.34,299800
40,2021-08-06,26.39,26.39,26.2,25.57,26.2,250600
41,2021-08-09,25.72,25.82,24.99,24.61,24.99,311600
42,2021-08-10,25.0,25.035,24.93,24.54,24.93,313000
43,2021-08-11,25.09,26.85,25.53,24.7,25.53,316700
44,2021-08-12,25.51,25.93,25.75,25.401,25.75,172600
45,2021-08-13,25.66,25.951,24.59,24.52,24.59,244000
46,2021-08-16,24.57,24.64,23.84,23.83,23.84,253700
47,2021-08-17,23.71,23.92,23.9,23.07,23.9,267500
48,2021-08-18,23.99,25.26,24.12,23.3,24.12,275300
49,2021-08-19,25.3,25.49,24.45,24.36,24.45,327200
50,2021-08-20,24.18,25.14,24.27,23.86,24.27,308700
51,2021-08-23,24.68,25.88,25.88,24.33,25.88,315400
52,2021-08-24,26.01,26.12,25.36,25.03,25.36,154200
53,2021-08-25,25.39,27.3,26.94,25.13,26.94,258000
54,2021-08-26,26.69,27.4,26.52,26.29,26.52,205500
55,2021-08-27,26.48,28.47,28.11,26.36,28.11,394500
56,2021-08-30,28.43,28.99,28.18,27.87,28.18,256300
57,2021-08-31,28.08,29.66,29.45,28.08,29.45,207300
58,2021-09-01,29.0,30.55,30.14,29.0,30.14,254700
59,2021-09-02,30.22,31.0,30.75,29.5,30.75,213100
60,2021-09-03,30.9,31.78,29.18,29.02,29.18,386700
61,2021-09-07,29.43,30.95,30.75,29.2,30.75,237983
