,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,8.65,8.874,8.26,8.25,8.26,645600
1,2021-06-11,8.28,8.52,8.5,8.27,8.5,516500
2,2021-06-14,8.54,8.68,8.18,8.13,8.18,578300
3,2021-06-15,8.15,8.27,8.17,7.98,8.17,539800
4,2021-06-16,8.07,8.25,8.18,7.96,8.18,698200
5,2021-06-17,8.15,8.25,7.82,7.76,7.82,831300
6,2021-06-18,7.78,7.82,7.5,7.39,7.5,988000
7,2021-06-21,7.57,7.82,7.78,7.51,7.78,754600
8,2021-06-22,7.67,7.78,7.58,7.48,7.58,757200
9,2021-06-23,7.73,7.81,7.66,7.56,7.66,584500
10,2021-06-24,7.7,8.195,8.12,7.7,8.12,700200
11,2021-06-25,8.14,8.24,7.94,7.88,7.94,6905800
12,2021-06-28,7.86,7.982,7.84,7.64,7.84,990900
13,2021-06-29,7.91,7.99,7.56,7.54,7.56,731900
14,2021-06-30,7.53,7.94,7.88,7.32,7.88,1184400
15,2021-07-01,7.93,7.945,7.6,7.46,7.6,1104800
16,2021-07-02,7.66,7.695,7.42,7.345,7.42,580500
17,2021-07-06,7.41,7.485,7.35,7.26,7.35,625900
18,2021-07-07,7.33,7.39,7.32,7.072,7.32,612800
19,2021-07-08,7.05,7.33,7.1,7.02,7.1,561800
20,2021-07-09,7.27,7.435,7.32,7.18,7.32,357100
21,2021-07-12,7.42,7.865,7.64,7.38,7.64,965500
22,2021-07-13,7.51,7.58,7.09,7.01,7.09,1049200
23,2021-07-14,7.14,7.14,6.83,6.72,6.83,928300
24,2021-07-15,6.77,7.14,7.01,6.72,7.01,654300
25,2021-07-16,7.11,7.29,6.74,6.69,6.74,763100
26,2021-07-19,6.5,6.77,6.74,6.42,6.74,763800
27,2021-07-20,6.76,7.15,7.11,6.705,7.11,489900
28,2021-07-21,7.19,7.44,7.23,7.17,7.23,582400
29,2021-07-22,7.22,7.23,6.88,6.76,6.88,526600
30,2021-07-23,6.9,6.95,6.81,6.65,6.81,408100
31,2021-07-26,6.88,7.13,6.95,6.81,6.95,335400
32,2021-07-27,6.85,6.95,6.76,6.55,6.76,416100
33,2021-07-28,6.85,7.289,7.17,6.84,7.17,504100
34,2021-07-29,7.22,7.37,7.32,7.11,7.32,482000
35,2021-07-30,7.27,7.29,7.16,7.08,7.16,412100
36,2021-08-02,7.38,7.46,7.02,6.96,7.02,772300
37,2021-08-03,7.02,7.03,6.85,6.61,6.85,449300
38,2021-08-04,6.72,6.83,6.67,6.57,6.67,508000
39,2021-08-05,6.69,7.19,7.05,6.68,7.05,470700
40,2021-08-06,7.12,7.2,7.12,7.0,7.12,321000
41,2021-08-09,7.07,7.335,7.25,7.0,7.25,406100
42,2021-08-10,7.25,7.545,7.54,7.22,7.54,398000
43,2021-08-11,7.52,7.77,7.69,7.4,7.69,545600
44,2021-08-12,7.66,7.683,7.6,7.4,7.6,370000
45,2021-08-13,7.56,8.26,7.78,7.56,7.78,854600
46,2021-08-16,7.75,7.876,7.55,7.48,7.55,551400
47,2021-08-17,7.46,7.46,7.14,6.95,7.14,633300
48,2021-08-18,7.11,7.155,6.8,6.8,6.8,632200
49,2021-08-19,6.67,6.91,6.7,6.52,6.7,731700
50,2021-08-20,6.66,6.98,6.9,6.66,6.9,910500
51,2021-08-23,7.04,7.35,7.27,6.98,7.27,539200
52,2021-08-24,7.31,8.01,7.92,7.31,7.92,1290600
53,2021-08-25,7.91,8.08,7.85,7.8,7.85,717600
54,2021-08-26,7.82,7.87,7.62,7.53,7.62,565000
55,2021-08-27,7.68,7.79,7.6,7.561,7.6,486300
56,2021-08-30,7.62,7.7,7.25,7.18,7.25,594000
57,2021-08-31,7.27,7.42,7.3,7.2,7.3,324400
58,2021-09-01,7.32,7.34,7.12,7.0,7.12,734400
59,2021-09-02,7.13,7.41,7.29,7.13,7.29,445300
60,2021-09-03,7.26,7.26,7.2,7.01,7.2,413600
61,2021-09-07,7.21,7.36,7.1,7.1,7.1,390822
