,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,42.66,42.68,41.24,41.13,40.9151,286232
1,2021-06-11,41.46,42.04,41.27,41.09,40.9449,212070
2,2021-06-14,41.34,42.92,40.69,40.41,40.3694,378119
3,2021-06-15,40.71,41.69,41.33,40.66,41.0044,280143
4,2021-06-16,41.05,41.96,41.76,40.59,41.431,298069
5,2021-06-17,41.9,42.1,39.97,39.89,39.6551,334548
6,2021-06-18,39.21,40.0,38.31,38.27,38.0082,829939
7,2021-06-21,38.73,40.2155,39.97,38.73,39.6551,415990
8,2021-06-22,39.84,40.19,40.03,39.1368,39.7146,388257
9,2021-06-23,40.09,40.4,40.06,39.97,39.7444,330425
10,2021-06-24,40.22,40.81,40.78,40.0,40.4587,311328
11,2021-06-25,41.13,41.305,40.81,40.61,40.4885,989544
12,2021-06-28,40.69,40.7,39.87,39.795,39.5559,394814
13,2021-06-29,40.0,40.37,39.42,39.22,39.1094,275868
14,2021-06-30,39.11,39.69,39.36,39.07,39.0499,399705
15,2021-07-01,39.58,39.87,39.55,39.38,39.2384,264189
16,2021-07-02,39.37,39.54,38.89,38.8,38.5836,179559
17,2021-07-06,38.7,38.94,37.91,37.58,37.6113,331247
18,2021-07-07,37.64,38.17,37.65,37.32,37.3534,252962
19,2021-07-08,37.1,37.3,36.69,36.28,36.401,286151
20,2021-07-09,37.65,38.19,38.14,37.355,37.8395,271455
21,2021-07-12,37.73,38.48,38.4,37.5,38.0975,216920
22,2021-07-13,38.22,38.29,37.63,37.43,37.3336,187873
23,2021-07-14,37.75,38.3,37.76,37.24,37.4625,258992
24,2021-07-15,37.35,38.33,38.27,37.35,37.9685,277700
25,2021-07-16,38.48,38.66,37.15,37.1,36.8573,207693
26,2021-07-19,36.21,36.34,35.81,35.51,35.5279,344210
27,2021-07-20,35.78,37.72,36.8,35.78,36.5101,434140
28,2021-07-21,37.32,37.837,37.49,37.21,37.1947,183224
29,2021-07-22,37.24,37.265,36.58,36.23,36.2918,213815
30,2021-07-23,37.1,37.9599,37.1,36.59,36.8077,142600
31,2021-07-26,37.38,37.77,37.1,36.7401,36.8077,216710
32,2021-07-27,36.26,37.59,37.02,36.21,36.7284,211056
33,2021-07-28,37.28,37.86,37.52,36.69,37.2244,268357
34,2021-07-29,37.78,38.59,38.17,37.6,37.8693,284299
35,2021-07-30,37.87,38.68,37.87,37.76,37.5717,304513
36,2021-08-02,38.02,39.015,37.55,37.48,37.2542,217832
37,2021-08-03,37.58,38.355,38.12,37.08,37.8197,293056
38,2021-08-04,37.51,38.4,37.75,37.345,37.4526,220584
39,2021-08-05,37.91,38.83,38.78,37.91,38.4745,264298
40,2021-08-06,39.44,40.18,39.8,39.26,39.4865,196540
41,2021-08-09,38.845,39.63,38.99,38.845,38.6828,391575
42,2021-08-10,38.86,39.63,39.56,38.8,39.2483,169044
43,2021-08-11,39.57,40.27,40.27,39.18,39.9528,205179
44,2021-08-12,40.48,40.48,39.93,39.695,39.6154,159424
45,2021-08-13,39.99,40.09,39.45,39.335,39.1392,107504
46,2021-08-16,39.04,39.595,39.51,38.72,39.1987,177494
47,2021-08-17,39.1,39.41,39.1,38.62,38.792,207219
48,2021-08-18,38.84,39.43,38.71,38.6775,38.405,337309
49,2021-08-19,38.36,38.96,38.39,38.04,38.0876,309951
50,2021-08-20,38.27,39.2,39.18,38.22,38.8713,230652
51,2021-08-23,39.42,39.64,39.26,39.1,38.9507,198800
52,2021-08-24,39.3,39.77,39.69,39.16,39.3773,271700
53,2021-08-25,39.76,40.32,39.81,39.71,39.4964,195900
54,2021-08-26,39.83,39.86,39.35,39.28,39.04,278700
55,2021-08-27,39.28,40.33,40.31,39.26,40.31,301000
56,2021-08-30,40.5,40.5,39.48,39.4,39.48,266500
57,2021-08-31,39.82,40.1,39.78,39.36,39.78,221000
58,2021-09-01,39.78,39.78,39.52,39.24,39.52,211500
59,2021-09-02,39.58,39.75,39.16,39.13,39.16,348600
60,2021-09-03,40.0,40.19,39.79,39.59,39.79,367500
61,2021-09-07,39.93,41.3,40.57,39.895,40.57,517130
