,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.767,9.79,9.75,9.73,9.75,36600
1,2021-06-11,9.766,9.784,9.778,9.75,9.778,56400
2,2021-06-14,9.721,9.78,9.78,9.7,9.78,4400
3,2021-06-15,9.78,9.78,9.78,9.78,9.78,0
4,2021-06-16,9.78,9.78,9.78,9.78,9.78,0
5,2021-06-17,9.77,9.77,9.77,9.72,9.77,1100
6,2021-06-18,9.79,9.79,9.74,9.74,9.74,400
7,2021-06-21,9.74,9.74,9.74,9.74,9.74,0
8,2021-06-22,9.75,9.8,9.8,9.75,9.8,1300
9,2021-06-23,9.79,9.8,9.77,9.74,9.77,3000
10,2021-06-24,9.72,9.79,9.79,9.72,9.79,10500
11,2021-06-25,9.8,9.8,9.8,9.8,9.8,200
12,2021-06-28,9.75,9.89,9.88,9.75,9.88,70100
13,2021-06-29,9.88,9.88,9.79,9.77,9.79,246300
14,2021-06-30,9.75,9.8,9.71,9.71,9.71,11600
15,2021-07-01,9.71,9.78,9.78,9.7,9.78,12300
16,2021-07-02,9.704,9.8,9.78,9.704,9.78,13200
17,2021-07-06,9.73,9.77,9.77,9.7,9.77,4382
18,2021-07-07,9.7,9.73,9.71,9.7,9.71,400
19,2021-07-08,9.72,9.75,9.75,9.72,9.75,1500
20,2021-07-09,9.76,9.81,9.78,9.73,9.78,12300
21,2021-07-12,9.74,9.9,9.85,9.74,9.85,16300
22,2021-07-13,9.97,10.05,9.96,9.96,9.96,16921500
23,2021-07-14,10.0,10.01,9.94,9.93,9.94,1573200
24,2021-07-15,9.99,10.0,9.93,9.92,9.93,236000
25,2021-07-16,10.03,10.03,9.93,9.91,9.93,309600
26,2021-07-19,10.05,10.05,9.95,9.91,9.95,320800
27,2021-07-20,9.95,9.982,9.95,9.91,9.95,62400
28,2021-07-21,9.98,10.0,9.95,9.95,9.95,391800
29,2021-07-22,10.0,10.0,9.91,9.91,9.91,238400
30,2021-07-23,9.95,9.965,9.92,9.91,9.92,40300
31,2021-07-26,9.95,9.95,9.92,9.9,9.92,57300
32,2021-07-27,9.9,9.95,9.92,9.9,9.92,48800
33,2021-07-28,9.93,9.95,9.92,9.9,9.92,56800
34,2021-07-29,9.91,9.934,9.9,9.9,9.9,60300
35,2021-07-30,9.95,9.95,9.88,9.88,9.88,159100
36,2021-08-02,9.91,9.922,9.9,9.88,9.9,70900
37,2021-08-03,9.9,9.92,9.89,9.86,9.89,19600
38,2021-08-04,9.85,9.9,9.9,9.833,9.9,459200
39,2021-08-05,9.89,9.92,9.87,9.85,9.87,454200
40,2021-08-06,9.84,9.9,9.9,9.84,9.9,12700
41,2021-08-09,9.88,9.93,9.93,9.86,9.93,13800
42,2021-08-10,9.97,9.97,9.93,9.91,9.93,25700
43,2021-08-11,9.91,9.93,9.93,9.88,9.93,22300
44,2021-08-12,9.89,9.91,9.91,9.89,9.91,71200
45,2021-08-13,9.9,9.92,9.92,9.9,9.92,28200
46,2021-08-16,9.9,9.92,9.88,9.87,9.88,1214895
47,2021-08-17,9.9,9.93,9.93,9.87,9.93,383314
48,2021-08-18,9.93,9.93,9.9,9.88,9.9,208900
49,2021-08-19,9.87,9.91,9.9,9.87,9.9,16300
50,2021-08-20,9.88,9.9,9.89,9.88,9.89,30000
51,2021-08-23,9.84,9.89,9.87,9.84,9.87,1152100
52,2021-08-24,9.87,9.9,9.87,9.85,9.87,80300
53,2021-08-25,9.85,9.87,9.86,9.85,9.86,3200
54,2021-08-26,9.9,9.9,9.865,9.86,9.865,4900
55,2021-08-27,9.88,9.9,9.9,9.86,9.9,166800
56,2021-08-30,9.9,9.9,9.9,9.88,9.9,36200
57,2021-08-31,9.93,9.94,9.94,9.91,9.94,76700
58,2021-09-01,9.93,9.93,9.9,9.87,9.9,567100
59,2021-09-02,9.89,9.93,9.93,9.89,9.93,43800
60,2021-09-03,9.95,9.95,9.924,9.9,9.924,4600
61,2021-09-07,9.9,9.95,9.95,9.9,9.95,17110
